Date,Close,High,Low,Open,Volume
2010-01-01,15.6675,15.8361,15.6446,15.8055,0
2010-01-04,15.8361,15.9638,15.6778,15.688,2844756
2010-01-05,16.4593,16.5309,15.8361,15.9332,3193930
2010-01-06,16.7046,16.7556,16.398,16.5053,3874044
2010-01-07,16.6943,16.8476,16.6177,16.633,2507138
2010-01-08,16.7454,16.8374,16.582,16.6228,2449202
2010-01-11,16.6892,16.8374,16.6075,16.8272,2362099
2010-01-12,16.2448,16.679,16.2295,16.679,2804374
2010-01-13,16.3419,16.398,15.9843,16.2193,2359773
2010-01-14,16.209,16.4798,16.1733,16.2908,1634605
2010-01-15,16.5666,16.868,16.4747,16.7097,4102535
2010-01-18,16.5666,16.868,16.4747,16.7097,0
2010-01-19,16.5513,16.5922,16.4134,16.4798,1992226
2010-01-20,16.4236,16.5207,16.3061,16.4951,1888254
2010-01-21,16.2499,16.6075,15.9996,16.4747,2357643
2010-01-22,15.7799,16.3265,15.7748,16.2754,2015360
2010-01-25,15.7493,15.9792,15.642,15.8719,1784623
2010-01-26,15.7391,15.8004,15.5756,15.642,1652616
2010-01-27,15.4326,15.7391,15.1312,15.6829,2487946
2010-01-28,15.4632,15.573,15.1874,15.4887,2016564
2010-01-29,15.1516,15.5603,15.1312,15.55,2746585
2010-02-01,15.218,15.3917,15.1158,15.2691,2547453
2010-02-02,15.075,15.2844,14.9779,15.1925,3920841
2010-02-03,14.9932,15.0954,14.9677,15.0596,4839590
2010-02-04,14.6203,14.9166,14.5794,14.9166,3916411
2010-02-05,14.5386,14.5743,14.1452,14.5284,4799053
2010-02-08,14.5641,14.7225,14.5181,14.5999,3947284
2010-02-09,14.9524,14.9983,14.6356,14.6612,5387935
2010-02-10,14.2423,14.6305,14.227,14.416,8055598
2010-02-11,14.3087,14.3853,14.1503,14.2116,6644989
2010-02-12,14.6561,14.6816,14.1452,14.3087,5313119
2010-02-15,14.6561,14.6816,14.1452,14.3087,0
2010-02-16,14.7838,14.8451,14.513,14.559,2653801
2010-02-17,16.0302,16.2448,15.6778,15.7595,19707720
2010-02-18,16.1426,16.2908,15.923,15.9485,4299014
2010-02-19,16.3521,16.5513,16.0507,16.112,5626744
2010-02-22,16.3929,16.6841,16.3674,16.4747,6085359
2010-02-23,16.3827,16.5513,15.9843,16.0405,11186110
2010-02-24,16.347,16.4747,16.1426,16.4747,9147067
2010-02-25,16.0354,16.2601,15.9127,16.2601,14547014
2010-02-26,15.9127,16.1324,15.8004,16.1324,119209169
2010-03-01,15.7799,15.9383,15.7391,15.9383,15200980
2010-03-02,15.7084,15.8872,15.6829,15.8617,11568233
2010-03-03,15.6369,15.8412,15.6369,15.8412,6159337
2010-03-04,15.877,16.0405,15.5858,15.6216,6137479
2010-03-05,16.1171,16.1401,15.9051,16.02,5057019
2010-03-08,16.1835,16.2703,16.02,16.1171,4767746
2010-03-09,16.301,16.3419,15.785,16.0098,3899253
2010-03-10,16.2908,16.4491,15.9843,16.1988,4786857
2010-03-11,16.4951,16.5207,16.1018,16.1937,3699284
2010-03-12,16.5717,16.5973,16.3367,16.5104,5098139
2010-03-15,16.5462,16.6177,16.4185,16.6075,3765527
2010-03-16,16.5717,16.6075,16.421,16.4798,2882018
2010-03-17,16.6381,16.7659,16.4491,16.5513,2462783
2010-03-18,16.6279,16.7097,16.5411,16.6943,1920597
2010-03-19,16.6024,16.868,16.5002,16.6688,4438613
2010-03-22,16.9498,17.0008,16.4389,16.582,3697584
2010-03-23,17.0366,17.0621,16.8476,16.9804,4730135
2010-03-24,17.0928,17.1643,16.8833,16.9038,4052210
2010-03-25,17.0621,17.3073,16.9804,17.1592,3923828
2010-03-26,17.1592,17.292,17.034,17.0621,3762156
2010-03-29,17.1643,17.475,17.0724,17.2818,3097687
2010-03-30,17.4913,17.55,17.0417,17.1694,4697975
2010-03-31,17.2614,17.3942,17.2001,17.3278,4062276
2010-04-01,17.2716,17.3073,17.1005,17.2512,3268932
2010-04-02,17.2716,17.3073,17.1005,17.2512,0
2010-04-05,17.4248,17.4402,17.1643,17.2665,3878626
2010-04-06,17.6854,17.7109,17.338,17.338,4632941
2010-04-07,17.4248,17.6292,17.3252,17.619,5459096
2010-04-08,17.3942,17.5066,17.3431,17.4146,4035596
2010-04-09,17.7926,17.8182,17.3789,17.4146,3412044
2010-04-12,17.7211,17.8131,17.6905,17.808,2496810
2010-04-13,17.8591,17.8744,17.6241,17.716,3023535
2010-04-14,18.0481,18.0481,17.7007,17.8131,3552407
2010-04-15,17.9714,18.0992,17.9204,18.0787,3455561
2010-04-16,17.9766,18.2269,17.7722,17.8846,7672850
2010-04-19,18.0532,18.1605,17.8335,17.9817,3698804
2010-04-20,18.4006,18.4363,18.0532,18.0889,3055009
2010-04-21,18.6202,18.7479,18.4261,18.4567,6197419
2010-04-22,18.7122,18.7326,18.4108,18.5793,4671849
2010-04-23,19.0544,19.1106,18.564,18.7581,5296967
2010-04-26,18.9012,19.1106,18.8552,19.0851,4476488
2010-04-27,18.4376,18.8859,18.3801,18.7735,5027785
2010-04-28,18.518,18.6202,18.3546,18.4261,3412205
2010-04-29,19.1566,19.2434,18.6611,18.7326,8189623
2010-04-30,19.7849,19.9791,19.2179,19.2843,8490830
2010-05-03,20.1068,20.1272,19.7696,19.9229,6645972
2010-05-04,19.8565,19.9765,19.6572,19.9637,5255019
2010-05-05,19.2026,19.7032,19.0289,19.6266,4954155
2010-05-06,18.5538,19.495,17.1183,19.0493,5635054
2010-05-07,18.0072,18.9267,17.8182,18.6406,6463738
2010-05-10,19.2843,19.7492,18.5947,18.5947,6041036
2010-05-11,19.4886,19.5883,19.0493,19.2945,4590707
2010-05-12,19.7798,19.7952,19.4427,19.504,2359642
2010-05-13,19.458,19.9739,19.458,19.8054,2704564
2010-05-14,19.1515,19.4733,18.9931,19.4018,3352253
2010-05-17,19.0033,19.3456,18.7224,19.2588,4270714
2010-05-18,18.9446,19.2945,18.753,19.1617,3158563
2010-05-19,18.9267,19.2179,18.5742,18.8961,5459303
2010-05-20,18.2831,18.7888,18.2677,18.5896,5555781
2010-05-21,18.6049,18.7173,17.9101,17.9868,6322479
2010-05-24,18.5896,18.8156,18.3393,18.5129,3681313
2010-05-25,18.6253,18.6636,17.808,18.14,5582378
2010-05-26,19.0161,19.4325,18.6304,18.7122,5864929
2010-05-27,19.7747,19.7798,19.3303,19.3303,3853517
2010-05-28,19.2383,19.7339,19.0468,19.6623,5252952
2010-05-31,19.2383,19.7339,19.0468,19.6623,0
2010-06-01,18.942,19.5244,18.942,19.0187,3383977
2010-06-02,19.9586,19.9586,18.9523,19.0646,9255364
2010-06-03,19.8616,20.1987,19.7492,19.8769,5492820
2010-06-04,18.8756,19.601,18.8041,19.5653,5129802
2010-06-07,18.421,19.0493,18.3954,18.8552,3970670
2010-06-08,18.3239,18.4516,17.8259,18.421,6414300
2010-06-09,18.3086,18.7735,18.2575,18.3341,4122649
2010-06-10,19.4018,19.4222,18.4261,18.656,4758391
2010-06-11,19.6725,19.6777,19.0391,19.1719,4511823
2010-06-14,19.5959,19.9229,19.5551,19.7594,3416206
2010-06-15,20.1936,20.1987,19.6215,19.7952,4399613
2010-06-16,20.0097,20.2728,19.882,20.1017,4539104
2010-06-17,20.0812,20.1783,19.9126,19.9944,3842388
2010-06-18,20.0557,20.2856,19.8871,20.1579,4239407
2010-06-21,20.1119,20.5001,20.0199,20.2805,5777503
2010-06-22,19.7696,20.3418,19.7083,20.1579,8186268
2010-06-23,19.5091,19.9126,19.2792,19.8156,5776679
2010-06-24,19.0544,19.5244,18.9778,19.4835,7522449
2010-06-25,19.223,19.3405,18.8399,19.0544,40501265
2010-06-28,19.1259,19.4273,19.1157,19.3047,6584902
2010-06-29,18.1145,18.9727,17.9714,18.9063,5954845
2010-06-30,18.2422,18.6049,18.0021,18.0123,6921199
2010-07-01,18.4363,18.4465,17.8591,18.1911,5637759
2010-07-02,18.0787,18.5691,17.8488,18.4721,3724113
2010-07-05,18.0787,18.5691,17.8488,18.4721,0
2010-07-06,18.2013,18.5232,18.0072,18.2984,3779187
2010-07-07,18.5283,18.5589,18.1605,18.1758,4617631
2010-07-08,18.5589,18.7071,18.3188,18.6509,3744992
2010-07-09,18.5385,18.6458,18.3602,18.518,4358072
2010-07-12,18.3597,18.5283,18.1758,18.3954,3541908
2010-07-13,18.6968,18.845,18.4057,18.5078,4845684
2010-07-14,18.7122,18.8552,18.4465,18.5896,3535893
2010-07-15,18.5385,18.7224,18.2728,18.6764,3310894
2010-07-16,17.8744,18.5232,17.8386,18.4619,4052009
2010-07-19,18.0992,18.1911,17.8744,17.9459,2755183
2010-07-20,18.2933,18.3239,17.7262,17.7978,3948994
2010-07-21,17.8693,18.3546,17.7978,18.3239,4397246
2010-07-22,18.4465,18.5027,17.8284,18.0327,3819385
2010-07-23,18.8859,18.8961,18.2728,18.3852,3260536
2010-07-26,19.5602,19.5602,18.8859,18.9523,3677261
2010-07-27,19.4018,19.6828,19.2996,19.4171,2799852
2010-07-28,19.3354,19.4018,19.1821,19.3609,2449770
