Date,Close,High,Low,Open,Volume
2010-01-01,13.26,13.315,13.105,13.135,0
2010-01-04,13.395,13.46,13.25,13.31,535244
2010-01-05,13.985,14.02,13.34,13.58,857264
2010-01-06,14.125,14.205,13.92,13.96,1015976
2010-01-07,14.255,14.295,14.065,14.065,744770
2010-01-08,14.455,14.455,14.15,14.165,1252092
2010-01-11,14.365,14.525,14.325,14.475,1086110
2010-01-12,13.98,14.36,13.97,14.3,1762022
2010-01-13,13.955,14.08,13.725,14.025,1195884
2010-01-14,13.9,14.1275,13.86,13.935,531014
2010-01-15,14.215,14.515,13.995,13.995,661120
2010-01-18,14.215,14.515,13.995,13.995,0
2010-01-19,14.27,14.27,14.075,14.15,665886
2010-01-20,14.095,14.23,14.07,14.18,385450
2010-01-21,13.945,14.325,13.665,14.185,1456878
2010-01-22,13.42,13.99,13.415,13.975,637914
2010-01-25,13.39,13.64,13.28,13.575,872408
2010-01-26,13.435,13.5075,13.27,13.3,514217
2010-01-27,13.2,13.45,12.945,13.35,403370
2010-01-28,13.305,13.385,13.045,13.2,668300
2010-01-29,13.13,13.415,13.125,13.35,986566
2010-02-01,13.26,13.34,13.16,13.25,483686
2010-02-02,13.25,13.34,13.1175,13.23,741554
2010-02-03,13.205,13.3175,13.18,13.215,503218
2010-02-04,12.885,13.13,12.855,13.125,827106
2010-02-05,12.82,12.845,12.4788,12.845,921300
2010-02-08,12.865,13.025,12.83,12.86,3177596
2010-02-09,13.11,13.1775,12.905,12.925,1100810
2010-02-10,12.665,12.935,12.5,12.7,1078156
2010-02-11,12.7,12.7725,12.6,12.66,581642
2010-02-12,12.85,12.9,12.6,12.645,1006219
2010-02-15,12.85,12.9,12.6,12.645,0
2010-02-16,12.915,13.025,12.865,12.9,910514
2010-02-17,13.745,13.92,13.5,13.5,2467632
2010-02-18,13.76,13.89,13.635,13.635,1354776
2010-02-19,14.01,14.09,13.655,13.67,980432
2010-02-22,14.115,14.26,13.99,13.99,1477478
2010-02-23,14.1,14.225,13.765,13.99,1776082
2010-02-24,14.065,14.21,13.955,14.21,1154708
2010-02-25,13.655,13.945,13.515,13.89,1541916
2010-02-26,13.275,13.805,13.26,13.645,15485862
2010-03-01,13.46,13.55,13.325,13.375,5921736
2010-03-02,13.42,13.5,13.38,13.44,2754272
2010-03-03,13.38,13.51,13.375,13.4,1195568
2010-03-04,13.615,13.705,13.3,13.425,910352
2010-03-05,13.855,13.9,13.625,13.63,893960
2010-03-08,13.975,14.045,13.815,13.83,1449414
2010-03-09,14.095,14.15,13.84,13.84,869832
2010-03-10,14.085,14.2,13.885,14.055,762410
2010-03-11,14.21,14.245,13.975,14.095,429216
2010-03-12,14.37,14.375,14.105,14.19,602596
2010-03-15,14.325,14.38,14.19,14.335,587026
2010-03-16,14.39,14.455,14.215,14.29,721410
2010-03-17,14.43,14.52,14.35,14.395,273388
2010-03-18,14.375,14.48,14.33,14.405,806340
2010-03-19,14.35,14.6,14.255,14.37,802218
2010-03-22,14.655,14.725,14.2175,14.32,809454
2010-03-23,14.69,14.75,14.525,14.565,1206942
2010-03-24,14.81,14.82,14.565,14.7,723340
2010-03-25,14.73,14.995,14.705,14.82,905020
2010-03-26,14.77,14.9,14.69,14.785,1561216
2010-03-29,14.715,15.07,14.685,14.81,578566
2010-03-30,14.9,14.97,14.635,14.75,2053566
2010-03-31,14.705,14.84,14.64,14.83,1156846
2010-04-01,14.66,14.73,14.53,14.72,1026412
2010-04-02,14.66,14.73,14.53,14.72,0
2010-04-05,14.79,14.805,14.6,14.725,563048
2010-04-06,14.965,14.985,14.69,14.705,854286
2010-04-07,14.8,14.9,14.7,14.89,1403152
2010-04-08,14.815,14.855,14.69,14.82,2413904
2010-04-09,15.05,15.135,14.795,14.82,1514576
2010-04-12,14.955,15.075,14.905,15.075,1081494
2010-04-13,15.015,15.025,14.835,14.93,715700
2010-04-14,15.085,15.105,14.885,15.015,1183254
2010-04-15,15.09,15.18,15.04,15.11,966992
2010-04-16,15.005,15.265,14.855,15.065,737694
2010-04-19,14.995,15.155,14.82,14.92,1171200
2010-04-20,15.23,15.33,15.0,15.11,1663476
2010-04-21,15.38,15.495,15.22,15.22,2841802
2010-04-22,15.385,15.405,15.2,15.245,2264774
2010-04-23,15.69,15.77,15.285,15.415,1075464
2010-04-26,15.565,15.72,15.485,15.63,913438
2010-04-27,15.295,15.545,15.24,15.425,1548422
2010-04-28,15.5,15.535,15.245,15.265,1268234
2010-04-29,16.095,16.105,15.57,15.61,2158922
2010-04-30,16.69,16.85,16.07,16.07,2817994
2010-05-03,16.79,16.9,16.605,16.83,1743186
2010-05-04,16.59,16.685,16.395,16.685,947454
2010-05-05,15.865,16.545,15.72,16.545,1270466
2010-05-06,15.375,16.07,14.225,15.825,2304614
2010-05-07,14.94,15.685,14.735,15.485,1685460
2010-05-10,15.855,16.275,15.57,15.57,1974162
2010-05-11,16.23,16.23,15.635,15.815,1612232
2010-05-12,16.45,16.535,16.165,16.38,929066
2010-05-13,16.23,16.565,16.17,16.515,759914
2010-05-14,15.88,16.1975,15.715,16.135,813862
2010-05-17,15.735,16.04,15.46,15.865,694998
2010-05-18,15.59,16.0,15.475,15.87,999742
2010-05-19,15.52,15.8,15.26,15.55,1518476
2010-05-20,15.11,15.44,15.05,15.23,1562554
2010-05-21,15.35,15.405,14.765,14.945,930304
2010-05-24,15.455,15.585,15.155,15.32,951138
2010-05-25,15.47,15.515,14.765,14.865,1235250
2010-05-26,15.71,16.165,15.485,15.59,1289884
2010-05-27,16.355,16.355,14.59,14.59,1040032
2010-05-28,15.87,16.32,15.645,16.32,2639018
2010-05-31,15.87,16.32,15.645,16.32,0
2010-06-01,15.615,16.09,15.58,15.71,1630694
2010-06-02,16.345,16.375,15.6,15.715,1874246
2010-06-03,16.42,16.615,16.23,16.39,1794246
2010-06-04,15.5425,16.2,15.47,16.2,1611358
2010-06-07,15.055,15.645,15.0,15.525,2031796
2010-06-08,14.95,15.1,14.465,15.1,1555414
2010-06-09,14.85,15.305,14.79,15.015,1699200
2010-06-10,15.64,15.67,15.065,15.065,1721286
2010-06-11,16.04,16.075,15.38,15.585,2057056
2010-06-14,15.975,16.28,15.945,16.19,1580494
2010-06-15,16.385,16.435,15.99,16.05,1878102
2010-06-16,16.285,16.5,15.945,16.245,1738632
2010-06-17,16.485,16.515,16.24,16.285,1544804
2010-06-18,16.52,16.725,16.42,16.435,2356536
2010-06-21,16.82,17.29,16.665,16.695,3894528
2010-06-22,16.615,17.085,16.54,16.92,6902062
2010-06-23,16.525,16.745,16.32,16.655,4718558
2010-06-24,16.1,16.455,15.7,16.315,5318992
2010-06-25,16.175,16.455,15.975,16.065,40189730
2010-06-28,16.37,16.59,16.24,16.34,4382098
2010-06-29,15.295,16.175,15.22,16.15,3587328
2010-06-30,15.465,15.735,15.25,15.305,2980278
2010-07-01,15.7,15.705,15.225,15.355,2440718
2010-07-02,15.42,15.815,15.125,15.79,2391536
2010-07-05,15.42,15.815,15.125,15.79,0
2010-07-06,15.57,15.78,15.4,15.78,2424492
2010-07-07,15.75,15.76,15.5,15.57,2048576
2010-07-08,15.76,15.96,15.55,15.855,2430328
2010-07-09,15.74,15.795,15.58,15.725,2835536
2010-07-12,15.58,15.75,15.38,15.655,1868242
2010-07-13,15.935,16.025,15.67,15.725,1752782
2010-07-14,16.05,16.2151,15.81,15.905,2354316
2010-07-15,15.945,16.09,15.715,16.07,2629700
2010-07-16,15.315,15.85,15.265,15.85,1473498
2010-07-19,15.415,15.535,15.315,15.41,958788
2010-07-20,15.54,15.57,15.105,15.175,1793474
2010-07-21,15.17,15.565,15.145,15.555,1551814
2010-07-22,15.65,15.7175,15.07,15.325,1712752
2010-07-23,16.115,16.125,15.615,15.63,1159476
2010-07-26,16.845,16.905,16.055,16.055,2754846
2010-07-27,16.66,17.065,16.615,17.065,1578098
2010-07-28,16.615,16.64,16.4575,16.595,1418156
2010-07-29,16.765,16.915,16.55,16.76,919348
2010-07-30,17.19,17.215,16.41,16.575,2560552
2010-08-02,17.43,17.875,17.41,17.49,2794674
2010-08-03,17.02,17.875,16.95,17.335,3765174
2010-08-04,17.015,17.11,16.74,16.96,1314732
2010-08-05,16.925,16.98,16.565,16.87,1655362
2010-08-06,16.735,16.885,16.535,16.77,1886134
2010-08-09,16.68,16.79,16.63,16.785,1240072
2010-08-10,16.835,16.875,16.45,16.5,1603514
2010-08-11,16.555,16.66,16.345,16.605,894024
2010-08-12,16.35,16.475,16.17,16.38,864354
2010-08-13,16.41,16.52,16.245,16.265,1342244
2010-08-16,16.36,16.425,16.2,16.385,847166
2010-08-17,16.8,16.965,16.365,16.495,1340698
2010-08-18,16.995,17.115,16.64,16.82,948372
2010-08-19,16.64,16.92,16.575,16.855,1177244
2010-08-20,16.785,16.84,16.46,16.58,1206084
2010-08-23,16.775,17.0,16.715,17.0,635618
2010-08-24,16.375,16.68,16.33,16.68,726094
2010-08-25,16.37,16.42,16.035,16.2,740440
2010-08-26,16.56,16.67,16.375,16.465,998830
2010-08-27,16.965,16.965,16.4,16.75,963348
2010-08-30,16.865,17.095,16.815,16.995,751878
2010-08-31,16.9,17.065,16.7,16.825,1164688
2010-09-01,17.445,17.54,17.07,17.09,1164948
2010-09-02,17.68,17.7,17.475,17.54,1211654
2010-09-03,18.065,18.15,17.74,17.955,905608
2010-09-06,18.065,18.15,17.74,17.955,0
2010-09-07,17.495,18.11,17.36,18.11,824560
2010-09-08,17.325,17.75,17.29,17.495,1354998
2010-09-09,17.38,17.61,17.25,17.57,1352722
2010-09-10,17.495,17.505,17.26,17.47,760890
2010-09-13,17.605,17.85,17.58,17.675,815594
2010-09-14,17.88,17.89,17.455,17.655,1445572
2010-09-15,18.325,18.62,17.805,17.805,2707734
2010-09-16,18.54,18.64,18.075,18.345,1804414
2010-09-17,18.7,18.785,18.5,18.55,1113788
2010-09-20,19.26,19.305,18.695,18.775,1510778
2010-09-21,19.105,19.57,19.025,19.315,1436050
2010-09-22,18.765,19.26,18.67,19.01,1318282
2010-09-23,18.665,19.015,18.465,18.52,1099094
2010-09-24,19.045,19.15,18.88,18.96,2282858
2010-09-27,19.12,19.285,18.92,18.99,656964
2010-09-28,19.1,19.195,18.93,19.1,1001088
2010-09-29,19.125,19.15,18.9,19.02,735674
2010-09-30,19.095,19.505,19.03,19.22,897066
2010-10-01,18.88,19.325,18.765,19.325,1041670
2010-10-04,18.69,18.93,18.575,18.82,808554
2010-10-05,19.195,19.2625,18.69,18.9,2248436
2010-10-06,18.935,19.295,18.805,19.195,1124914
2010-10-07,19.175,19.225,18.955,19.09,679632
2010-10-08,19.005,19.28,18.875,19.255,1378860
2010-10-11,18.98,19.125,18.92,18.96,515456
2010-10-12,19.085,19.185,18.69,18.915,374656
2010-10-13,19.32,19.48,19.23,19.23,765366
2010-10-14,19.0,19.325,18.845,19.325,919518
2010-10-15,18.995,19.185,18.78,19.115,1090358
2010-10-18,19.045,19.19,18.905,19.19,1133732
2010-10-19,18.76,19.09,18.625,18.885,1347698
2010-10-20,19.075,19.33,18.695,18.835,1052900
2010-10-21,19.055,19.505,19.025,19.185,531936
2010-10-22,19.305,19.305,19.06,19.185,385482
2010-10-25,19.445,19.855,19.405,19.48,1179588
2010-10-26,19.545,19.624,19.25,19.36,671448
2010-10-27,19.665,19.665,19.25,19.48,1415170
2010-10-28,19.54,19.84,19.43,19.84,1019136
2010-10-29,19.45,19.48,19.01,19.01,2824644
2010-11-01,19.38,19.655,19.24,19.49,554154
