Date,Close,High,Low,Open,Volume
2010-01-01,50.28,50.81,49.87,50.02,0
2010-01-04,50.15,51.01,49.43,50.38,1306889
2010-01-05,50.48,50.55,49.52,50.03,841453
2010-01-06,49.8,50.76,49.55,50.66,988246
2010-01-07,50.24,50.48,49.52,49.68,881067
2010-01-08,50.8,50.94,49.91,50.12,971606
2010-01-11,50.55,51.39,50.36,51.19,607893
2010-01-12,49.96,50.5,49.42,50.14,817043
2010-01-13,50.2,50.47,49.75,50.0,814022
2010-01-14,50.5,50.84,49.73,49.99,884799
2010-01-15,50.0,50.66,49.63,50.43,1392840
2010-01-18,50.0,50.66,49.63,50.43,0
2010-01-19,51.05,51.4,50.09,50.09,1200487
2010-01-20,50.45,50.77,49.76,50.77,795022
2010-01-21,50.47,51.35,50.31,50.76,2243026
2010-01-22,49.1,50.95,49.01,50.4,1314505
2010-01-25,48.79,49.77,48.26,49.71,681618
2010-01-26,48.5,49.27,48.29,48.66,728755
2010-01-27,48.63,48.82,47.79,48.35,871817
2010-01-28,47.98,48.89,47.7,48.7,660308
2010-01-29,48.0,48.43,47.45,48.14,1132147
2010-02-01,48.3,48.54,47.25,48.18,1234634
2010-02-02,49.57,49.75,48.32,48.56,1492913
2010-02-03,49.3,49.44,48.65,49.4,990200
2010-02-04,47.89,49.04,47.75,49.04,1323231
2010-02-05,48.85,48.89,47.69,47.88,1405288
2010-02-08,47.02,49.04,46.95,48.78,800705
2010-02-09,46.76,47.73,46.51,47.73,666836
2010-02-10,46.69,47.18,46.21,46.82,720773
2010-02-11,47.2,47.23,46.5,46.68,852261
2010-02-12,47.66,47.67,46.5,46.59,529822
2010-02-15,47.66,47.67,46.5,46.59,0
2010-02-16,48.43,48.54,47.77,48.14,775447
2010-02-17,48.85,49.11,48.43,48.64,625001
2010-02-18,49.84,49.9898,48.59,48.59,595658
2010-02-19,50.07,50.34,49.39,49.47,735899
2010-02-22,50.78,51.03,49.82,50.38,674644
2010-02-23,50.64,51.15,50.53,50.77,757471
2010-02-24,51.12,51.14,50.44,50.67,934591
2010-02-25,51.24,51.44,50.0,50.22,945923
2010-02-26,51.58,52.14,51.27,51.27,959510
2010-03-01,52.42,52.49,51.44,51.65,1128285
2010-03-02,52.82,52.84,52.07,52.42,1111673
2010-03-03,52.67,52.93,52.33,52.73,703566
2010-03-04,52.99,53.07,52.54,52.94,1041474
2010-03-05,54.28,54.4,53.04,53.42,1134597
2010-03-08,54.98,55.1,54.04,54.07,831539
2010-03-09,55.03,55.83,54.58,54.58,517370
2010-03-10,54.4,55.08,54.07,54.95,922083
2010-03-11,55.33,55.48,53.66,53.89,2796134
2010-03-12,55.53,56.09,55.15,55.8,1192776
2010-03-15,55.48,55.86,54.8,55.54,631935
2010-03-16,55.94,56.01,55.14,55.56,1553492
2010-03-17,55.96,56.23,55.58,56.0,748214
2010-03-18,55.93,56.23,55.75,55.96,572610
2010-03-19,56.0,56.16,55.17,55.83,1236307
2010-03-22,56.46,56.6,55.35,55.54,897625
2010-03-23,55.37,56.27,54.95,55.95,1068891
2010-03-24,55.53,56.42,55.16,55.32,988765
2010-03-25,55.44,56.14,55.41,55.95,979569
2010-03-26,54.51,55.62,54.27,55.45,1097235
2010-03-29,54.95,55.186,54.57,54.6,663219
2010-03-30,54.45,55.14,54.18,54.92,783391
2010-03-31,54.2,54.56,53.83,54.33,703548
2010-04-01,54.41,54.77,53.89,54.44,644180
2010-04-02,54.41,54.77,53.89,54.44,0
2010-04-05,55.7,56.1,54.43,54.77,719263
2010-04-06,56.27,56.55,55.02,55.21,1082890
2010-04-07,55.18,56.32,55.02,56.15,882509
2010-04-08,55.4,55.52,54.88,55.18,934416
2010-04-09,56.57,56.68,55.14,55.6,620313
2010-04-12,56.32,56.93,56.3,56.75,735684
2010-04-13,58.0,58.16,56.03,56.42,726439
2010-04-14,56.84,58.42,56.65,58.38,1002599
2010-04-15,55.65,57.1,55.53,56.97,1028907
2010-04-16,54.93,56.15,54.83,55.62,1166760
