Date,Close,High,Low,Open,Volume
2010-01-01,27.5207,27.9771,27.5207,27.8779,0
2010-01-04,28.0168,28.0168,27.5339,27.7257,1884935
2010-01-05,27.8845,27.9837,27.7456,27.9506,1289373
2010-01-06,28.2152,28.2549,27.7125,27.8779,1877566
2010-01-07,28.8369,29.1742,28.3276,28.3276,1985752
2010-01-08,29.6636,29.6769,28.5856,28.8104,2220308
2010-01-11,30.0208,30.1266,29.6636,29.7099,2033405
2010-01-12,30.1266,30.1332,29.6504,29.7364,3272152
2010-01-13,30.4044,30.4639,29.9414,30.0208,4700516
2010-01-14,30.7086,30.7417,30.1266,30.3846,2743981
2010-01-15,30.1531,30.6425,30.0472,30.5697,2886507
2010-01-18,30.1531,30.6425,30.0472,30.5697,0
2010-01-19,30.3581,30.4242,29.948,29.9811,2359980
2010-01-20,30.0605,30.1068,29.743,30.0935,2777533
2010-01-21,29.6636,30.239,29.5644,29.9811,2844634
2010-01-22,28.9493,29.6239,28.9096,29.6239,2025706
2010-01-25,28.6054,29.3858,28.4863,29.0485,2650254
2010-01-26,28.4136,28.7311,28.2549,28.4334,1661236
2010-01-27,28.3144,28.4136,27.7588,28.321,2750459
2010-01-28,28.1226,28.5062,27.9705,28.3938,2929283
2010-01-29,28.3607,29.7959,28.3408,28.5029,4590940
2010-02-01,28.7509,29.0287,28.4533,28.5591,2304735
2010-02-02,29.3131,29.3925,28.8237,28.8766,2744127
2010-02-03,29.1874,29.5181,29.0155,29.0221,2090798
2010-02-04,28.2813,29.1213,28.1623,28.9229,3157653
2010-02-05,27.4413,28.4202,26.7866,28.2284,5034281
2010-02-08,27.1503,27.5538,27.018,27.395,3209471
2010-02-09,27.8183,28.0168,27.4413,27.481,4247308
2010-02-10,27.8382,28.0763,27.5273,27.7853,2094120
2010-02-11,28.3607,28.3871,27.5935,27.7919,3251922
2010-02-12,28.2549,28.3607,27.7522,28.0961,2097372
2010-02-15,28.2549,28.3607,27.7522,28.0961,0
2010-02-16,28.87,28.8766,28.4004,28.5657,1984496
2010-02-17,29.3991,29.4123,28.8898,29.0088,3225541
2010-02-18,30.0539,30.1729,29.366,29.3991,3408397
2010-02-19,30.4771,30.497,29.829,30.0208,3710946
2010-02-22,30.4375,30.5697,30.2523,30.5168,2954166
2010-02-23,29.7232,30.3713,29.4454,30.3581,3627282
2010-02-24,29.5644,29.829,29.4321,29.6967,4043783
2010-02-25,29.5049,29.5512,28.7311,28.989,3037553
2010-02-26,29.9348,30.0009,29.4586,29.6636,2431201
2010-03-01,30.2655,30.4838,29.9745,29.9745,2076117
2010-03-02,30.5234,30.6756,30.325,30.4838,2288742
2010-03-03,30.3713,30.7219,30.2721,30.5102,2403751
2010-03-04,30.4705,30.7483,30.2787,30.4639,1890936
2010-03-05,31.0989,31.1319,30.6756,30.6756,2105248
2010-03-08,30.8674,31.1319,30.8277,31.0856,791809
2010-03-09,30.7682,30.9997,30.6359,30.7483,1425889
2010-03-10,30.6425,30.7219,30.4507,30.7219,1642182
2010-03-11,30.6954,30.702,30.0605,30.5367,1183565
2010-03-12,30.7086,30.9335,30.5135,30.8608,1021437
2010-03-15,30.583,30.6557,30.3118,30.6094,1536116
2010-03-16,30.6623,30.9467,30.583,30.6954,2210790
2010-03-17,31.0393,31.2907,30.6359,30.7417,1318696
2010-03-18,31.1452,31.251,30.9004,30.9864,1412600
2010-03-19,30.7748,31.3766,30.7086,31.3105,1896553
2010-03-22,30.702,31.0195,30.4044,30.5433,1406501
2010-03-23,31.337,31.456,30.4507,30.6954,3397538
2010-03-24,30.6888,31.2907,30.669,31.2642,2287438
2010-03-25,30.5433,30.9798,30.4904,30.96,2512866
2010-03-26,30.4705,30.7483,30.1266,30.5499,3488685
2010-03-29,30.8475,30.874,30.411,30.5764,2508309
2010-03-30,31.165,31.2708,30.9534,30.993,2206564
2010-03-31,30.9203,31.2047,30.8012,31.0658,1406133
2010-04-01,31.0856,31.37,30.8608,31.0856,2155241
2010-04-02,31.0856,31.37,30.8608,31.0856,0
2010-04-05,31.4494,31.5486,31.1848,31.2311,2154429
2010-04-06,31.5155,31.5288,31.1981,31.2841,1582206
2010-04-07,31.3105,31.5685,31.1915,31.4163,1767572
2010-04-08,31.1782,31.2708,30.8211,31.1584,1280909
2010-04-09,31.7603,31.7867,31.0922,31.2179,1680591
2010-04-12,31.628,31.8992,31.5288,31.8727,1352049
2010-04-13,31.661,31.8198,31.4163,31.5023,1349511
2010-04-14,32.2034,32.2431,31.7206,31.7338,1581729
2010-04-15,32.0843,32.2431,32.005,32.1042,1503663
2010-04-16,31.6015,32.0579,31.4494,32.0116,1397494
2010-04-19,31.5817,31.6412,31.0393,31.5222,1432066
2010-04-20,31.9124,32.1571,31.7338,31.8925,1422978
2010-04-21,32.3357,32.3621,31.8462,31.8793,1789513
2010-04-22,33.2352,33.2947,31.9124,32.1439,3114183
2010-04-23,35.8477,36.7075,35.4509,35.7154,8365275
2010-04-26,35.4575,35.7948,35.2789,35.517,3233352
2010-04-27,34.2207,35.5633,34.095,35.2855,3795067
2010-04-28,34.4191,34.6241,34.1876,34.3132,1795112
