Date,Close,High,Low,Open,Volume
2010-01-01,12.17,12.7,12.0901,12.55,0
2010-01-04,12.11,12.36,12.02,12.27,2854272
2010-01-05,12.29,12.39,12.02,12.18,4152174
2010-01-06,12.47,12.58,12.3,12.3,4241302
2010-01-07,12.83,12.9,12.37,12.48,2654715
2010-01-08,13.12,13.14,12.68,12.71,4668825
2010-01-11,13.22,13.37,13.11,13.12,2399047
2010-01-12,12.85,13.2199,12.79,13.05,2769610
2010-01-13,13.18,13.21,12.82,12.89,2458781
2010-01-14,13.0,13.15,12.88,13.04,1724398
2010-01-15,12.67,13.02,12.52,12.88,2569209
2010-01-18,12.67,13.02,12.52,12.88,0
2010-01-19,13.05,13.07,12.58,12.67,3534585
2010-01-20,12.96,13.04,12.73,12.85,2714209
2010-01-21,12.59,13.11,12.56,13.02,3457325
2010-01-22,12.18,12.79,12.15,12.55,3728449
2010-01-25,12.13,12.41,11.95,12.33,2971464
2010-01-26,11.98,12.13,11.94,12.0,3975353
2010-01-27,12.05,12.09,11.72,11.95,3796251
2010-01-28,11.44,12.15,11.29,11.88,8361359
2010-01-29,11.32,11.77,11.25,11.43,3739814
2010-02-01,11.53,11.7,11.37,11.41,3044645
2010-02-02,11.61,11.83,11.22,11.38,6641177
2010-02-03,11.44,11.55,11.21,11.53,3080406
2010-02-04,10.93,11.35,10.93,11.35,3456412
2010-02-05,11.24,11.25,10.73,10.94,4091241
2010-02-08,10.83,11.31,10.83,11.21,3597392
2010-02-09,10.64,11.09,10.55,11.06,4343313
2010-02-10,10.46,10.65,10.36,10.55,7098989
2010-02-11,10.55,10.56,10.26,10.46,3575384
2010-02-12,10.67,10.71,10.29,10.36,3471924
2010-02-15,10.67,10.71,10.29,10.36,0
2010-02-16,10.96,10.96,10.7,10.79,2481326
2010-02-17,10.93,11.07,10.86,10.98,2575139
2010-02-18,11.09,11.15,10.72,10.97,2874946
2010-02-19,11.15,11.2,10.97,11.02,2301862
