Date,Close,High,Low,Open,Volume
2010-01-01,43.59,44.65,43.59,44.4,0
2010-01-04,43.54,44.22,43.44,43.9,1421559
2010-01-05,43.05,43.79,42.745,43.41,2127126
2010-01-06,43.23,43.6,43.02,43.05,1531727
2010-01-07,42.83,43.31,42.61,43.22,1210184
2010-01-08,43.16,43.23,42.45,42.69,948728
2010-01-11,43.77,43.78,43.04,43.43,1229787
2010-01-12,43.73,44.04,43.31,43.59,2342769
2010-01-13,44.12,44.18,43.79,43.97,1119521
2010-01-14,44.29,44.35,43.83,44.14,1010968
2010-01-15,43.93,44.18,43.43,44.18,1350503
2010-01-18,43.93,44.18,43.43,44.18,0
2010-01-19,44.33,44.42,43.94,44.04,1124112
2010-01-20,43.88,44.05,43.34,43.84,1507993
2010-01-21,42.85,44.17,42.68,43.78,2047203
2010-01-22,42.06,42.87,42.01,42.81,2046835
2010-01-25,42.66,42.93,41.906,42.47,1676680
2010-01-26,43.04,43.35,42.41,42.41,1629560
2010-01-27,42.75,42.93,42.25,42.93,1079522
2010-01-28,42.4,42.83,42.25,42.81,1075150
2010-01-29,42.04,42.77,42.03,42.6,1304873
2010-02-01,42.61,42.61,41.82,42.23,1048307
2010-02-02,43.03,43.05,42.0802,42.56,811999
2010-02-03,42.68,43.035,42.51,42.94,533037
2010-02-04,41.75,42.57,41.75,42.39,1295796
2010-02-05,41.78,41.86,41.25,41.68,2090964
2010-02-08,41.5,42.01,41.43,41.84,1257217
2010-02-09,42.0,42.58,41.585,41.97,1315608
2010-02-10,41.95,42.28,41.63,42.03,1080612
2010-02-11,42.33,42.34,41.31,41.81,886227
2010-02-12,41.95,42.12,41.6,41.98,1109321
2010-02-15,41.95,42.12,41.6,41.98,0
2010-02-16,43.07,43.07,42.23,42.23,824117
2010-02-17,42.88,43.3,42.75,43.16,934448
2010-02-18,43.59,43.61,42.72,42.72,1161015
2010-02-19,44.6,44.9,43.43,43.63,2801284
2010-02-22,44.62,44.99,44.472,44.8,1266944
2010-02-23,43.99,44.62,43.885,44.34,1860485
2010-02-24,44.26,44.33,43.57,44.18,1238330
2010-02-25,43.95,43.99,43.19,43.7,1286877
2010-02-26,43.42,44.1,43.345,44.1,1239993
2010-03-01,44.31,44.37,43.66,43.71,1320892
2010-03-02,44.65,44.78,44.46,44.53,964722
2010-03-03,44.59,45.23,44.55,44.9,1410855
2010-03-04,44.7,44.82,44.32,44.76,999474
2010-03-05,45.04,45.14,44.675,44.89,1073038
2010-03-08,44.84,45.1,44.78,44.98,1158033
2010-03-09,44.94,44.99,44.51,44.61,1566802
2010-03-10,44.81,44.95,44.38,44.94,1342670
2010-03-11,44.91,44.91,44.57,44.72,654802
2010-03-12,44.87,45.14,44.52,45.09,742621
2010-03-15,45.06,45.085,44.72,44.76,994685
2010-03-16,45.61,45.63,44.97,45.2,926846
2010-03-17,45.82,45.93,45.43,45.7,1270044
2010-03-18,45.14,45.3,45.03,45.14,1164274
2010-03-19,45.1,45.36,44.76,45.17,1328409
2010-03-22,44.96,45.08,44.74,44.85,789104
2010-03-23,45.28,45.32,44.77,44.95,1044300
2010-03-24,45.04,45.32,44.97,45.19,1797992
2010-03-25,44.69,45.31,44.63,45.2,1176525
2010-03-26,44.7,45.04,44.41,44.7,1124283
2010-03-29,45.38,45.38,44.8,44.8,732058
2010-03-30,45.2,45.54,45.12,45.37,1110859
2010-03-31,44.6,45.1,44.42,44.94,1536738
2010-04-01,45.38,45.52,44.7,44.8,786761
2010-04-02,45.38,45.52,44.7,44.8,0
2010-04-05,45.75,45.75,45.28,45.46,677514
2010-04-06,46.48,46.49,45.01,45.52,936018
2010-04-07,46.12,46.56,45.87,46.5,622472
2010-04-08,45.88,46.08,45.7,46.07,782822
2010-04-09,46.12,46.13,45.51,45.89,688891
2010-04-12,46.25,46.47,46.14,46.3,635239
2010-04-13,46.03,46.25,45.7,46.24,539287
2010-04-14,45.99,46.04,45.58,46.0,1010664
2010-04-15,46.12,46.35,45.62,45.97,1135328
2010-04-16,45.64,46.21,45.2,46.05,1515587
2010-04-19,45.9,46.08,45.49,45.61,1250771
2010-04-20,46.21,46.3,45.96,46.14,880548
2010-04-21,46.82,46.91,46.185,46.21,1357565
2010-04-22,47.26,47.33,46.44,46.64,1227784
2010-04-23,47.93,47.98,47.01,47.25,1147635
2010-04-26,47.55,47.97,47.51,47.82,874611
2010-04-27,46.87,47.68,46.72,47.32,1159641
2010-04-28,48.29,48.49,47.01,47.03,1908194
2010-04-29,48.07,48.79,48.01,48.44,1534326
2010-04-30,48.17,48.78,48.0,48.2,1530324
2010-05-03,48.91,49.05,48.14,48.31,1292384
2010-05-04,48.14,48.63,47.93,48.33,1735235
2010-05-05,47.64,48.24,47.41,47.94,1375013
2010-05-06,46.55,47.67,43.0,47.47,2440847
2010-05-07,45.69,46.88,45.49,46.48,2631416
2010-05-10,47.4,47.59,46.65,47.2,1399629
