Date,Close,High,Low,Open,Volume
2010-01-01,51.63,52.5,51.63,52.29,0
2010-01-04,50.91,51.87,50.73,51.63,4152379
2010-01-05,50.07,51.03,49.89,51.03,3872656
2010-01-06,50.25,50.58,49.92,49.98,3486882
2010-01-07,50.49,50.58,50.1,50.31,2376583
2010-01-08,50.52,50.52,50.04,50.22,1654091
2010-01-11,51.03,51.15,50.49,50.55,2195608
2010-01-12,51.09,51.339,50.67,50.94,2650923
2010-01-13,51.21,51.57,50.73,51.27,3035221
2010-01-14,51.21,51.42,50.85,51.33,1919854
2010-01-15,50.7,51.18,50.04,50.64,4350084
2010-01-18,50.7,51.18,50.04,50.64,0
2010-01-19,51.27,51.3,50.52,50.97,1858339
2010-01-20,50.79,51.03,50.22,51.03,2628643
2010-01-21,50.04,50.97,49.92,50.82,3958197
2010-01-22,49.65,50.37,49.56,50.04,3927167
2010-01-25,49.98,50.16,49.44,50.1,2257619
2010-01-26,50.43,50.58,49.6725,50.01,2827139
2010-01-27,50.22,50.4,49.725,50.34,2935816
2010-01-28,49.86,50.34,49.65,50.31,2354606
2010-01-29,49.59,50.25,49.56,50.22,3044192
2010-02-01,49.95,49.95,49.23,49.68,1873106
2010-02-02,50.28,50.34,49.29,49.77,2775309
2010-02-03,49.92,50.31,49.74,50.31,1572457
2010-02-04,49.11,50.01,49.11,49.83,2519900
2010-02-05,48.96,49.35,48.39,49.2,2997906
2010-02-08,48.96,49.65,48.75,49.05,3194705
2010-02-09,49.68,50.58,49.05,49.26,5056199
2010-02-10,48.66,49.41,48.45,49.08,3547290
2010-02-11,48.63,48.87,48.06,48.48,3105461
2010-02-12,48.45,48.81,48.12,48.48,3110913
2010-02-15,48.45,48.81,48.12,48.48,0
2010-02-16,48.75,49.29,48.63,49.02,3638960
2010-02-17,48.54,49.05,48.3,49.05,2367329
2010-02-18,48.99,48.99,48.36,48.54,2296751
2010-02-19,49.83,49.89,48.63,48.75,2960882
2010-02-22,49.29,49.95,49.2,49.83,2671880
2010-02-23,49.05,49.47,48.99,49.32,2054278
2010-02-24,49.35,49.47,48.72,48.96,2645851
2010-02-25,49.14,49.17,48.6,48.75,2568052
