Date,Close,High,Low,Open,Volume
2010-01-01,17.75,18.26,17.73,18.18,0
2010-01-04,18.15,18.235,17.89,17.95,3853582
2010-01-05,18.66,18.87,18.23,18.3,6632992
2010-01-06,18.18,18.65,18.06,18.65,5047203
2010-01-07,18.04,18.07,17.78,17.91,5437890
2010-01-08,18.4,18.45,18.03,18.12,4055760
2010-01-11,18.27,18.7,18.13,18.47,6142303
2010-01-12,16.85,17.14,16.56,16.74,31922328
2010-01-13,17.17,17.22,16.73,16.87,14348439
2010-01-14,17.18,17.34,16.98,17.13,9111288
2010-01-15,17.03,17.29,16.95,17.21,9530385
2010-01-18,17.03,17.29,16.95,17.21,0
2010-01-19,17.17,17.22,16.88,16.95,7652640
2010-01-20,17.21,17.24,16.62,16.96,8093033
2010-01-21,17.38,17.57,17.13,17.27,12838441
2010-01-22,16.77,17.3,16.7,17.26,8718873
2010-01-25,16.83,17.1702,16.665,16.89,7703693
2010-01-26,16.74,16.96,16.66,16.75,6189050
2010-01-27,17.13,17.22,16.65,16.7,10948365
2010-01-28,16.77,17.3,16.42,17.2,12769402
2010-01-29,16.28,17.0899,16.26,16.9,7559645
2010-02-01,16.74,16.74,16.32,16.4,6580733
2010-02-02,17.07,17.13,16.57,16.75,8117984
2010-02-03,17.27,17.32,16.79,16.93,6417136
2010-02-04,16.98,17.18,16.82,17.18,7194809
2010-02-05,17.26,17.33,16.83,16.89,10278493
2010-02-08,17.49,17.86,17.01,17.3,16170648
2010-02-09,15.96,16.2799,15.7,16.02,47398071
2010-02-10,15.94,16.12,15.75,16.03,13679136
2010-02-11,16.12,16.2,15.85,15.91,8685271
2010-02-12,16.06,16.2703,15.92,16.0,8433769
2010-02-15,16.06,16.2703,15.92,16.0,0
2010-02-16,16.31,16.5,16.03,16.14,7442583
2010-02-17,16.63,16.66,16.38,16.42,9097119
2010-02-18,16.59,16.81,16.5,16.63,5234635
2010-02-19,16.75,16.87,16.49,16.54,8940132
2010-02-22,16.59,16.95,16.33,16.76,7470855
2010-02-23,16.31,16.68,16.22,16.59,5673021
2010-02-24,16.52,16.58,16.3306,16.41,3758885
2010-02-25,16.56,16.58,16.22,16.26,6468659
2010-02-26,16.58,16.6902,16.38,16.41,5745441
2010-03-01,16.87,16.91,16.63,16.63,5875933
2010-03-02,16.74,17.05,16.69,16.93,5983895
2010-03-03,16.81,16.9495,16.76,16.82,3319450
2010-03-04,16.82,16.85,16.65,16.83,4501098
2010-03-05,17.12,17.2,16.85,16.9,5399455
2010-03-08,17.28,17.55,17.11,17.19,6267432
2010-03-09,17.58,17.81,17.23,17.27,13646120
2010-03-10,17.89,17.95,17.54,17.64,7334197
2010-03-11,17.9,17.93,17.71,17.83,6244037
2010-03-12,17.77,17.92,17.63,17.92,4571727
2010-03-15,17.87,17.92,17.58,17.71,3721699
2010-03-16,17.92,17.93,17.65,17.9,6721537
2010-03-17,18.14,18.29,17.88,17.94,5720502
2010-03-18,18.53,18.74,18.17,18.17,10612606
2010-03-19,18.42,18.72,18.25,18.61,7791455
2010-03-22,18.56,18.63,18.28,18.39,4891125
2010-03-23,18.52,18.7,18.44,18.6,4377923
2010-03-24,18.53,18.57,18.34,18.43,4998545
2010-03-25,18.56,18.98,18.55,18.68,4655453
2010-03-26,18.85,18.88,18.5,18.6,5822181
2010-03-29,18.68,18.99,18.61,18.9,3019432
2010-03-30,18.79,18.92,18.46,18.64,4569582
2010-03-31,18.66,18.73,18.56,18.66,4220665
2010-04-01,18.84,18.95,18.59,18.72,3481562
2010-04-02,18.84,18.95,18.59,18.72,0
2010-04-05,19.1,19.16,18.88,18.95,2815548
2010-04-06,19.11,19.22,18.85,19.1,4044996
2010-04-07,19.18,19.24,18.92,19.03,3707555
2010-04-08,19.19,19.27,18.885,19.07,3213290
2010-04-09,19.36,19.49,19.155,19.2,5426718
2010-04-12,19.4,19.65,19.31,19.35,5066293
2010-04-13,19.32,19.45,19.14,19.44,3457332
2010-04-14,19.74,19.79,19.32,19.34,6967296
2010-04-15,19.45,20.01,19.43,20.0,7064151
2010-04-16,19.57,19.83,19.38,19.58,6340302
2010-04-19,19.71,19.785,19.46,19.48,4242765
2010-04-20,19.97,20.04,19.68,19.74,3951553
2010-04-21,19.75,19.95,19.55,19.91,3946478
2010-04-22,19.84,19.89,19.39,19.6,3157085
2010-04-23,19.97,20.06,19.57,19.77,4102363
2010-04-26,19.9,20.06,19.78,19.95,3012613
2010-04-27,19.77,20.24,19.72,19.91,6267403
2010-04-28,19.63,19.92,19.55,19.85,4515067
2010-04-29,19.8,19.87,19.615,19.75,2975048
2010-04-30,19.37,19.81,19.37,19.81,3977239
2010-05-03,19.72,19.74,19.37,19.41,3496118
2010-05-04,19.07,19.54,18.91,19.51,6700756
2010-05-05,19.3,19.61,19.06,19.41,10251442
2010-05-06,18.18,19.29,17.05,19.27,19743413
2010-05-07,17.63,18.79,17.5,18.08,20256999
2010-05-10,18.24,18.72,17.945,18.52,11774698
2010-05-11,18.8,19.13,18.36,18.47,16994074
2010-05-12,17.71,18.2101,17.55,17.85,21367026
2010-05-13,18.09,18.34,17.59,17.64,10053422
2010-05-14,17.42,17.89,17.23,17.76,12073339
2010-05-17,17.76,17.83,17.21,17.48,7510769
2010-05-18,17.54,18.09,17.41,17.89,7303930
2010-05-19,17.12,17.55,17.06,17.47,6915535
2010-05-20,16.37,16.94,16.33,16.81,8753776
2010-05-21,16.7,16.84,16.07,16.12,10463079
2010-05-24,16.28,16.71,16.26,16.6,6894633
2010-05-25,16.24,16.28,15.825,15.94,9440706
2010-05-26,16.255,16.82,16.205,16.34,6246024
2010-05-27,16.72,16.74,16.52,16.55,3833547
2010-05-28,16.51,16.67,16.32,16.64,3976722
2010-05-31,16.51,16.67,16.32,16.64,0
