Date,Close,High,Low,Open,Volume
2010-01-01,45.43,46.35,45.41,46.31,0
2010-01-04,45.38,45.95,45.23,45.73,2142238
2010-01-05,44.79,45.63,44.51,45.49,2855985
2010-01-06,45.27,45.49,44.75,44.75,2035374
2010-01-07,45.11,45.35,44.91,45.34,1993386
2010-01-08,45.25,45.3,44.71,44.99,1306368
2010-01-11,45.82,45.96,45.36,45.47,1751809
2010-01-12,45.73,46.0,45.53,45.76,1451568
2010-01-13,46.08,46.19,45.7,45.73,1247134
2010-01-14,46.23,46.3,45.97,46.16,1129380
2010-01-15,45.72,46.02,45.27,45.92,2444659
2010-01-18,45.72,46.02,45.27,45.92,0
2010-01-19,46.41,46.41,45.66,45.78,1567534
2010-01-20,46.21,46.26,45.56,46.24,1869016
2010-01-21,45.61,46.45,45.32,46.31,2114319
2010-01-22,43.51,45.27,43.39,44.82,6468410
2010-01-25,43.62,44.0,43.07,43.76,3040078
2010-01-26,44.08,44.24,43.35,43.58,2522622
2010-01-27,44.05,44.07,43.35,43.67,2840851
2010-01-28,43.72,44.05,43.45,44.05,1885101
2010-01-29,43.74,44.0,43.5,43.88,2050360
2010-02-01,43.93,43.93,43.36,43.84,1277968
2010-02-02,44.14,44.16,43.4,43.95,1628020
2010-02-03,43.76,44.03,43.6,44.02,1205701
2010-02-04,43.02,43.73,43.0,43.63,3207377
2010-02-05,43.18,43.25,42.51,43.04,3735587
2010-02-08,42.81,43.3,42.76,43.23,1381211
2010-02-09,43.44,43.8,42.874,43.04,2116133
2010-02-10,42.98,43.4,42.66,43.4,2490962
2010-02-11,43.17,43.28,42.71,42.98,2019442
2010-02-12,42.22,42.48,42.09,42.26,2688420
2010-02-15,42.22,42.48,42.09,42.26,0
2010-02-16,42.95,42.95,42.39,42.5,1309430
2010-02-17,42.86,43.11,42.7,43.02,1027493
2010-02-18,42.71,42.87,42.44,42.7,1941469
2010-02-19,43.13,43.34,42.49,42.49,1993642
2010-02-22,42.92,43.33,42.79,43.33,1598653
2010-02-23,42.75,43.0,42.65,42.78,1240130
2010-02-24,42.88,42.94,42.52,42.94,1752395
2010-02-25,42.87,42.91,42.16,42.45,1817582
2010-02-26,42.75,42.99,42.6,42.96,1353327
2010-03-01,43.19,43.44,42.81,42.92,1547972
2010-03-02,43.79,43.95,43.36,43.45,1898413
2010-03-03,43.68,44.2,43.55,43.82,1795748
2010-03-04,43.54,43.78,43.25,43.64,1737786
2010-03-05,43.62,43.72,43.21,43.32,1682817
2010-03-08,43.79,43.8,43.5,43.65,1043091
2010-03-09,43.66,43.9,43.59,43.79,1390167
2010-03-10,43.74,43.9,43.58,43.65,1220839
2010-03-11,43.89,43.92,43.46,43.61,1056005
2010-03-12,43.7,44.0,43.67,43.93,1463988
2010-03-15,44.15,44.15,43.74,43.93,1269991
2010-03-16,44.48,44.61,43.98,44.29,1731438
2010-03-17,44.51,44.63,44.35,44.46,1481243
2010-03-18,44.33,44.61,44.22,44.53,1454740
2010-03-19,44.3,44.51,44.03,44.29,2053618
2010-03-22,44.26,44.35,44.02,44.07,1212467
2010-03-23,44.17,44.45,43.93,44.4,1927748
2010-03-24,43.84,44.15,43.68,44.01,1553741
2010-03-25,43.84,44.12,43.76,44.03,1651509
2010-03-26,44.18,44.36,43.86,43.99,1513118
2010-03-29,44.58,44.6,44.26,44.28,1477668
2010-03-30,44.68,44.91,44.53,44.57,1729610
2010-03-31,44.54,44.85,44.37,44.61,1246011
2010-04-01,44.9,45.14,44.67,44.74,1043723
2010-04-02,44.9,45.14,44.67,44.74,0
2010-04-05,45.04,45.12,44.85,45.06,909819
2010-04-06,45.36,45.37,44.9,44.99,1045339
2010-04-07,44.91,45.32,44.75,45.32,1205110
2010-04-08,44.51,44.89,44.43,44.84,1453227
2010-04-09,44.85,44.87,44.2,44.51,1163708
2010-04-12,45.03,45.11,44.75,45.01,1114072
2010-04-13,44.76,45.05,44.59,45.02,1222915
2010-04-14,44.82,44.88,44.41,44.62,1627336
2010-04-15,44.79,44.94,44.53,44.74,1166022
2010-04-16,44.54,44.98,44.46,44.74,1864847
2010-04-19,44.63,44.7,44.36,44.57,1156164
2010-04-20,44.91,45.0,44.68,44.78,1593472
2010-04-21,45.16,45.29,44.86,44.99,1926236
2010-04-22,45.2,45.26,44.73,45.02,1190638
2010-04-23,45.41,45.415,44.9,45.14,1156748
2010-04-26,45.29,45.5175,45.24,45.39,1050989
2010-04-27,44.6,45.45,44.58,45.19,1827164
2010-04-28,45.17,45.32,44.6,44.83,1671490
2010-04-29,45.21,45.44,44.97,45.32,1421500
2010-04-30,45.2,45.79,45.07,45.33,2072534
2010-05-03,45.73,45.83,45.2,45.23,1287072
2010-05-04,45.04,45.52,44.89,45.42,1583408
2010-05-05,45.05,45.45,44.77,44.92,1703435
2010-05-06,44.21,45.1,42.2,45.0,3747227
2010-05-07,44.34,44.99,43.82,44.72,4686521
2010-05-10,44.8,45.16,44.36,44.99,2319634
2010-05-11,44.85,45.34,44.54,44.74,1723951
2010-05-12,44.85,45.095,44.68,44.86,2076959
2010-05-13,44.54,45.06,44.5,44.77,1566977
2010-05-14,44.44,44.97,44.0,44.5,3220371
2010-05-17,44.52,44.65,43.92,44.45,2080686
2010-05-18,44.35,44.92,44.07,44.57,2220095
2010-05-19,43.82,44.2,43.52,44.07,1677487
2010-05-20,42.96,43.81,42.96,43.39,3672704
2010-05-21,43.29,43.42,42.31,42.55,3870882
2010-05-24,42.79,43.33,42.7,43.06,2600536
2010-05-25,42.52,42.53,41.78,42.25,2966301
2010-05-26,42.27,42.86,42.08,42.82,2313735
2010-05-27,42.74,42.86,42.34,42.7,1771541
2010-05-28,42.59,42.98,42.44,42.68,1923685
2010-05-31,42.59,42.98,42.44,42.68,0
2010-06-01,41.75,42.55,41.72,42.36,2123144
2010-06-02,42.55,42.55,41.72,41.9,2419029
2010-06-03,42.82,43.145,42.63,42.76,1741873
2010-06-04,41.66,42.48,41.52,42.35,2138541
2010-06-07,41.87,42.365,41.7,41.71,1645338
2010-06-08,42.46,42.51,41.71,41.94,1519084
2010-06-09,42.15,42.74,42.03,42.52,1341763
2010-06-10,43.09,43.09,42.58,42.72,1224453
2010-06-11,43.13,43.14,42.52,42.81,1081740
2010-06-14,43.35,43.63,43.25,43.36,1407304
2010-06-15,44.09,44.1,43.51,43.77,1297764
2010-06-16,44.42,44.52,43.84,44.03,1349120
2010-06-17,44.77,44.8301,44.19,44.4,1388482
2010-06-18,44.89,44.93,44.57,44.82,1374185
2010-06-21,44.69,45.08,44.47,45.01,1288183
2010-06-22,43.81,44.81,43.71,44.67,1757265
2010-06-23,43.65,44.018,43.45,44.01,1692477
2010-06-24,43.76,44.29,43.475,43.5,1472169
2010-06-25,43.84,43.98,43.42,43.83,1481617
2010-06-28,44.14,44.28,43.57,43.88,966941
2010-06-29,43.48,43.9,43.26,43.88,1678518
2010-06-30,43.1,43.76,43.0,43.33,2205589
2010-07-01,42.9,43.11,42.5,43.1,2239751
2010-07-02,43.19,43.42,42.9,43.06,1901067
2010-07-05,43.19,43.42,42.9,43.06,0
2010-07-06,43.62,43.8,43.2,43.39,3046540
2010-07-07,44.75,44.77,43.5,43.64,1738346
2010-07-08,45.32,45.32,44.7201,44.85,2240232
2010-07-09,45.27,45.35,44.9,45.18,1225919
2010-07-12,45.4,45.51,44.95,45.19,1080998
2010-07-13,45.52,45.71,45.21,45.7,1580073
2010-07-14,45.57,45.57,45.15,45.42,1117837
2010-07-15,45.74,45.85,45.26,45.46,1511295
2010-07-16,45.06,45.7,44.97,45.56,1852958
2010-07-19,45.67,45.85,45.11,45.24,1505486
2010-07-20,45.83,45.85,44.98,45.27,1705734
2010-07-21,45.27,45.79,45.01,45.79,1874481
2010-07-22,46.02,46.2,45.44,45.48,1765160
2010-07-23,46.3,46.303,45.6,45.79,1609746
2010-07-26,46.68,46.69,46.21,46.38,1314331
2010-07-27,47.16,47.19,46.575,46.78,2253981
2010-07-28,47.03,47.1,46.79,47.01,1514125
2010-07-29,46.57,47.25,46.28,47.16,1994769
2010-07-30,46.12,46.39,45.9,46.3,2042819
2010-08-02,47.14,47.15,46.4,46.4,2096950
2010-08-03,46.93,47.23,46.73,47.04,1989595
2010-08-04,46.94,47.05,46.61,47.03,1820850
2010-08-05,47.21,47.24,46.67,46.84,1384707
2010-08-06,47.57,47.59,46.89,47.12,2404284
2010-08-09,47.97,48.22,47.58,47.58,2490533
2010-08-10,48.36,48.53,47.6501,47.84,2691350
2010-08-11,47.64,48.24,47.6,47.8,2565435
2010-08-12,47.95,48.11,47.25,47.57,3292564
2010-08-13,47.55,47.99,47.4801,47.99,3825271
2010-08-16,46.85,47.04,46.23,46.65,3002468
2010-08-17,47.38,47.64,46.91,47.06,2844062
2010-08-18,46.96,47.43,46.665,47.43,2185564
2010-08-19,46.5,46.87,46.22,46.87,2115137
2010-08-20,46.7,46.78,46.12,46.25,2090363
2010-08-23,46.98,47.3,46.71,46.78,2439493
2010-08-24,47.31,47.63,46.64,46.78,2317786
2010-08-25,47.44,47.61,47.01,47.01,2028213
2010-08-26,47.15,47.63,47.025,47.59,1610621
2010-08-27,47.88,47.9,47.1,47.34,1823711
2010-08-30,47.25,47.862,47.21,47.7,1054468
2010-08-31,47.53,47.69,46.841,47.01,2026563
2010-09-01,48.24,48.3,47.58,47.92,2247018
2010-09-02,48.25,48.28,47.84,48.17,1581956
2010-09-03,48.44,48.45,48.0,48.39,2160720
2010-09-06,48.44,48.45,48.0,48.39,0
