Date,Close,High,Low,Open,Volume
2010-01-01,30.89,31.5,30.89,31.43,0
2010-01-04,31.47,31.52,31.04,31.15,750616
2010-01-05,31.46,31.4895,31.05,31.42,948759
2010-01-06,31.8,31.88,31.36,31.48,812019
2010-01-07,31.93,31.94,31.55,31.67,536263
2010-01-08,31.94,31.97,31.67,31.83,640636
2010-01-11,31.64,32.1,31.56,32.0,580771
2010-01-12,31.45,31.67,31.28,31.55,735598
2010-01-13,31.77,31.79,31.42,31.45,671845
2010-01-14,31.98,31.98,31.52,31.67,434223
2010-01-15,31.74,31.93,31.63,31.87,775875
2010-01-18,31.74,31.93,31.63,31.87,0
2010-01-19,31.93,31.96,31.63,31.66,546684
2010-01-20,31.77,31.8595,31.42,31.75,639825
2010-01-21,31.61,32.25,31.6,31.73,1043323
2010-01-22,31.43,31.69,31.33,31.69,1101861
2010-01-25,31.85,31.92,31.37,31.71,1113095
2010-01-26,31.59,31.91,31.52,31.82,651596
2010-01-27,32.15,32.15,31.468,31.47,1016563
2010-01-28,31.73,32.21,31.61,32.21,1112683
2010-01-29,32.0,32.18,31.5801,31.82,1514673
2010-02-01,33.4,33.4,31.97,32.11,2494769
2010-02-02,33.38,33.59,32.9,33.43,2638049
2010-02-03,33.04,33.39,32.9,33.13,1127596
2010-02-04,31.72,32.74,31.37,32.17,2989251
2010-02-05,31.57,32.19,30.93,31.67,2224061
2010-02-08,31.18,31.72,31.08,31.63,1199074
2010-02-09,31.47,31.81,31.23,31.44,1891378
2010-02-10,31.35,31.605,31.06,31.34,1402297
2010-02-11,31.6,31.67,31.07,31.37,1284479
2010-02-12,31.44,31.69,31.25,31.4,1432283
2010-02-15,31.44,31.69,31.25,31.4,0
2010-02-16,31.96,31.98,31.36,31.64,1613347
2010-02-17,32.49,32.58,32.02,32.02,1478365
2010-02-18,32.01,32.54,31.935,32.44,1784493
2010-02-19,32.0,32.19,31.9,31.9,1884356
2010-02-22,31.97,32.08,31.77,32.07,828467
2010-02-23,31.71,32.12,31.55,31.98,1149034
2010-02-24,32.3,32.31,31.76,31.77,1170855
2010-02-25,32.3,32.33,31.71,31.83,904808
2010-02-26,32.26,32.4,32.11,32.36,1020980
2010-03-01,32.66,32.69,32.12,32.23,748953
2010-03-02,32.77,32.98,32.67,32.83,818888
2010-03-03,32.66,32.94,32.59,32.92,529450
2010-03-04,32.75,32.81,32.54,32.8,683950
2010-03-05,33.34,33.34,32.7325,32.81,1346263
2010-03-08,33.04,33.34,32.98,33.29,642800
2010-03-09,33.04,33.3,32.9,33.0,578941
2010-03-10,33.21,33.35,32.93,32.99,768604
2010-03-11,33.29,33.29,32.97,33.08,609334
2010-03-12,33.51,33.51,33.09,33.34,514621
2010-03-15,33.75,33.79,33.39,33.54,788528
2010-03-16,34.65,34.7,33.72,33.87,1027946
2010-03-17,35.15,35.18,34.58,34.68,1090468
2010-03-18,35.71,36.07,35.04,35.04,2564760
2010-03-19,35.53,35.93,35.25,35.93,1655263
2010-03-22,35.91,35.95,35.29,35.31,966519
2010-03-23,35.86,35.94,35.59,35.92,841212
2010-03-24,35.85,36.03,35.745,35.77,904804
2010-03-25,35.9,36.19,35.88,35.98,1639370
2010-03-26,36.09,36.11,35.84,36.09,1093246
2010-03-29,36.4,36.63,36.06,36.27,1315790
2010-03-30,36.18,36.55,36.12,36.35,1147652
2010-03-31,35.8,36.08,35.67,36.05,1336165
2010-04-01,35.73,36.16,35.44,35.99,878427
2010-04-02,35.73,36.16,35.44,35.99,0
2010-04-05,35.95,36.05,35.61,35.88,892960
2010-04-06,35.79,35.98,35.79,35.85,1271346
2010-04-07,35.44,35.9,35.35,35.79,1017678
2010-04-08,35.6,35.625,35.16,35.38,755356
2010-04-09,35.57,35.64,35.44,35.59,641206
2010-04-12,35.4,35.62,35.33,35.56,675727
2010-04-13,35.6,35.69,35.3,35.3,652587
2010-04-14,35.82,35.82,35.47,35.63,808537
2010-04-15,35.66,35.76,35.42,35.68,835788
2010-04-16,34.83,35.62,34.79,35.37,1896672
2010-04-19,34.87,35.04,34.53,34.86,1038079
2010-04-20,35.2,35.24,34.9,35.05,553658
2010-04-21,35.27,35.34,35.1,35.25,580912
2010-04-22,35.91,35.94,34.59,35.13,851069
2010-04-23,35.94,35.97,35.54,35.88,654440
2010-04-26,35.93,36.22,35.77,35.84,555769
2010-04-27,35.4,36.19,35.39,35.6,1048337
2010-04-28,35.26,35.705,35.11,35.63,1225096
2010-04-29,33.53,33.9,33.06,33.81,2352448
2010-04-30,33.6,33.9,33.41,33.47,1624371
2010-05-03,33.89,34.04,33.57,33.84,1321416
2010-05-04,33.26,33.51,32.82,33.36,1448540
