Date,Close,High,Low,Open,Volume
2010-01-01,48.65,49.875,48.65,49.41,0
2010-01-04,50.19,50.22,49.62,49.675,4109931
2010-01-05,49.575,50.0,48.895,49.505,4449868
2010-01-06,49.74,49.845,48.835,49.42,3650214
2010-01-07,49.275,49.525,48.72,49.445,4496644
2010-01-08,49.525,49.645,48.145,48.865,5911260
2010-01-11,49.07,49.905,48.51,49.79,3030656
2010-01-12,47.71,48.55,47.58,47.88,4477002
2010-01-13,48.88,49.08,47.025,47.59,4303598
2010-01-14,49.0,49.355,48.725,48.8375,3175628
2010-01-15,48.435,49.445,48.345,49.0,5931034
2010-01-18,48.435,49.445,48.345,49.0,0
2010-01-19,48.675,48.795,48.035,48.16,4412176
2010-01-20,48.165,48.265,47.625,47.91,4049566
2010-01-21,48.295,48.785,47.65,48.285,6386350
2010-01-22,47.025,48.595,46.885,48.135,5838070
2010-01-25,47.485,48.07,47.31,47.43,2796360
2010-01-26,46.57,47.535,46.22,46.98,3936664
2010-01-27,46.195,46.91,45.05,46.115,6554224
2010-01-28,45.755,46.67,44.785,46.505,5443144
2010-01-29,45.21,47.015,44.685,45.885,6351454
2010-02-01,47.775,47.83,45.625,45.63,4457488
2010-02-02,48.515,48.61,47.13,47.92,3776038
2010-02-03,48.6,49.1098,48.03,48.08,4281042
2010-02-04,46.45,48.02,46.39,47.885,4853100
2010-02-05,46.43,46.69,45.01,46.45,5978508
2010-02-08,45.79,46.875,45.445,46.27,4260554
2010-02-09,47.27,47.65,46.19,46.515,5327734
2010-02-10,44.12,45.495,43.39,45.315,15979508
2010-02-11,45.53,45.575,43.885,43.96,7156354
2010-02-12,45.49,45.62,44.3,44.74,5836968
2010-02-15,45.49,45.62,44.3,44.74,0
2010-02-16,46.41,46.935,46.135,46.325,5396328
2010-02-17,46.43,46.635,46.095,46.575,4310490
2010-02-18,47.17,47.41,46.0525,46.52,4983536
2010-02-19,47.32,47.52,46.495,47.21,3841086
2010-02-22,46.055,47.61,45.9,47.47,3793306
2010-02-23,44.955,45.975,44.8,45.7,4299838
2010-02-24,46.34,46.49,45.41,45.755,5405310
2010-02-25,46.61,46.665,44.975,45.045,3998730
2010-02-26,47.025,47.19,46.2,46.675,3510048
2010-03-01,47.325,47.775,47.115,47.47,4078302
2010-03-02,47.415,48.045,47.26,47.645,3815442
2010-03-03,47.91,48.16,47.39,47.475,4738474
2010-03-04,47.6,48.47,47.415,48.075,4888720
2010-03-05,48.69,48.735,47.63,47.81,5520188
2010-03-08,48.685,49.11,48.5,48.69,4479680
2010-03-09,49.025,49.64,48.26,48.33,5116742
2010-03-10,49.42,49.69,48.71,48.875,4033502
2010-03-11,48.89,49.595,48.69,49.31,4581890
2010-03-12,48.79,49.465,48.535,49.32,2114382
2010-03-15,48.445,48.745,47.679,48.67,3561462
2010-03-16,48.24,48.745,47.985,48.67,3621604
2010-03-17,47.905,48.77,47.625,48.385,5742226
2010-03-18,46.64,48.195,46.175,47.84,6340156
2010-03-19,45.85,47.18,45.17,46.91,8345950
2010-03-22,45.75,46.315,44.795,45.255,6130484
2010-03-23,47.07,47.125,45.755,45.865,5594708
2010-03-24,46.285,47.225,46.0475,46.54,4117774
2010-03-25,44.71,46.955,44.56,46.805,6803196
2010-03-26,44.795,44.835,43.765,44.755,7181548
