Date,Close,High,Low,Open,Volume
2010-01-01,33.78,35.29,33.64,35.15,0
2010-01-04,33.4,34.53,33.23,34.06,3299404
2010-01-05,33.27,33.49,32.91,33.32,4545384
2010-01-06,33.46,33.65,33.27,33.27,3409701
2010-01-07,33.78,34.18,33.18,33.29,3637100
2010-01-08,33.35,33.87,33.09,33.65,2325843
2010-01-11,33.25,33.85,33.14,33.57,2320577
2010-01-12,32.77,33.29,32.52,32.98,2684583
2010-01-13,33.81,33.89,32.88,32.93,3127960
2010-01-14,33.75,33.86,33.35,33.52,1810750
2010-01-15,33.37,33.67,33.26,33.57,2485544
2010-01-18,33.37,33.67,33.26,33.57,0
2010-01-19,34.42,34.46,33.46,33.8,2516908
2010-01-20,33.77,34.12,33.64,34.12,2940975
2010-01-21,32.93,34.2293,32.88,33.79,4540480
2010-01-22,31.93,33.39,31.81,32.96,4798264
2010-01-25,31.92,32.39,31.48,32.27,3559338
2010-01-26,31.86,32.37,31.49,31.79,2341159
2010-01-27,32.44,32.49,31.4,31.78,3021004
2010-01-28,32.28,32.67,31.89,32.64,2205254
2010-01-29,32.05,32.71,31.78,32.39,3315428
2010-02-01,32.77,32.85,32.25,32.32,2506236
2010-02-02,33.35,33.35,32.43,32.76,3170703
2010-02-03,32.37,33.14,32.28,33.14,2428945
2010-02-04,32.72,34.72,32.69,33.99,7454034
2010-02-05,32.97,33.32,32.05,32.9,4660933
2010-02-08,32.44,33.23,32.37,32.94,3304241
2010-02-09,32.4,32.96,32.12,32.84,3456669
2010-02-10,32.26,32.84,31.82,32.36,3014836
2010-02-11,32.76,32.78,31.88,32.1,2615252
2010-02-12,33.2,33.26,32.19,32.45,3192787
2010-02-15,33.2,33.26,32.19,32.45,0
2010-02-16,34.39,34.45,33.56,33.8,3112978
2010-02-17,34.6,34.67,34.3,34.48,2615034
2010-02-18,35.07,35.26,34.37,34.41,3128849
2010-02-19,35.46,35.59,34.7,35.0,3696103
2010-02-22,35.92,36.23,35.21,35.41,4216875
2010-02-23,35.7,35.97,35.48,35.82,4729613
2010-02-24,36.11,36.11,35.48,35.84,3002967
2010-02-25,36.24,36.25,35.34,35.46,2843313
2010-02-26,36.08,36.5,36.01,36.25,3645715
2010-03-01,36.1,36.45,35.98,36.24,2461410
2010-03-02,36.12,36.36,35.93,36.36,2008973
2010-03-03,35.84,36.2,35.74,36.2,2456550
2010-03-04,36.08,36.19,35.79,35.96,2356289
2010-03-05,37.27,37.31,36.03,36.2,3557359
2010-03-08,37.62,37.71,37.15,37.37,2450179
2010-03-09,38.3,38.63,37.31,37.47,5593887
2010-03-10,38.41,38.49,37.9,38.28,3577606
2010-03-11,38.14,38.15,37.61,37.85,2076080
2010-03-12,38.07,38.5,37.8,38.2,2517790
2010-03-15,38.11,38.27,37.49,38.04,2118043
2010-03-16,39.37,39.48,38.2,38.33,3139351
2010-03-17,39.91,39.98,39.29,39.67,2725514
2010-03-18,39.64,40.43,39.61,39.84,3333678
2010-03-19,39.31,39.83,39.09,39.64,3829834
2010-03-22,39.65,39.76,38.95,38.97,2609263
2010-03-23,39.54,39.62,39.02,39.5,2192966
2010-03-24,39.37,39.7,39.05,39.06,4154232
2010-03-25,39.5,40.19,39.45,39.64,4088870
2010-03-26,39.35,39.84,39.08,39.68,2853689
2010-03-29,39.36,39.56,39.11,39.5,2162821
2010-03-30,39.49,39.76,39.11,39.48,2619537
2010-03-31,39.15,39.59,39.0,39.14,2559313
2010-04-01,39.13,39.47,38.84,39.31,2454996
2010-04-02,39.13,39.47,38.84,39.31,0
2010-04-05,40.23,40.26,39.21,39.22,3486188
2010-04-06,41.56,41.6002,39.96,39.96,3894702
2010-04-07,40.63,41.61,40.46,41.43,3551616
2010-04-08,40.56,40.62,40.18,40.37,3425583
2010-04-09,41.95,41.96,40.69,40.72,3562408
2010-04-12,41.97,42.16,41.71,41.91,2764295
2010-04-13,43.03,43.17,41.9,41.96,3306031
2010-04-14,43.09,43.38,42.8,43.26,2726651
2010-04-15,42.04,43.17,41.93,42.99,3183494
2010-04-16,41.11,42.17,40.96,41.67,4143351
2010-04-19,41.15,41.52,40.54,40.81,2764235
2010-04-20,42.01,42.01,41.0,41.36,1986532
2010-04-21,42.94,43.53,41.85,42.04,3602543
2010-04-22,43.75,43.85,42.25,42.47,3168890
2010-04-23,44.6,44.65,43.46,43.68,3677256
2010-04-26,45.26,45.67,44.86,45.04,3190323
2010-04-27,43.7,45.38,43.68,44.8,3516997
2010-04-28,43.92,44.42,43.76,44.12,3129335
2010-04-29,47.16,47.38,44.26,44.6,5231664
2010-04-30,45.27,47.08,45.1301,45.91,4711431
2010-05-03,47.52,48.0,45.64,45.64,4186630
2010-05-04,47.01,47.56,46.5,46.79,3873048
2010-05-05,46.27,47.35,45.92,46.62,3228741
2010-05-06,44.33,47.45,41.5,46.04,6128751
2010-05-07,43.43,45.52,42.8,44.33,4620819
2010-05-10,47.0,47.12,45.36,45.68,4667332
2010-05-11,47.33,47.93,45.95,46.3,3829822
2010-05-12,48.1,48.455,47.27,47.46,3339857
2010-05-13,47.01,48.32,46.92,48.17,2891127
2010-05-14,45.62,46.74,45.0,46.72,3804666
2010-05-17,45.91,46.53,44.48,45.93,3228202
2010-05-18,44.59,46.87,44.43,46.53,3735117
2010-05-19,44.5,45.43,43.19,44.17,3753731
2010-05-20,42.28,43.9,42.2,43.46,5757254
2010-05-21,43.96,44.01,41.27,41.5,5660660
2010-05-24,42.61,44.07,42.54,43.92,3225332
2010-05-25,43.4,43.44,40.9,41.05,4319514
2010-05-26,43.37,44.64,43.12,44.13,4133734
2010-05-27,45.75,45.83,43.85,44.42,3851721
2010-05-28,45.13,46.04,44.99,45.62,3608266
2010-05-31,45.13,46.04,44.99,45.62,0
2010-06-01,44.33,45.39,44.2,44.79,3497501
2010-06-02,44.51,44.78,43.7,44.72,5248732
2010-06-03,44.31,45.04,43.94,44.45,3332282
2010-06-04,41.23,43.83,41.0,43.34,5339739
2010-06-07,40.86,42.04,40.77,41.62,4264748
2010-06-08,41.82,41.97,39.79,40.97,4228497
2010-06-09,41.81,43.38,41.59,42.21,4334403
2010-06-10,44.2,44.26,42.29,42.56,3536210
2010-06-11,44.55,44.61,43.38,43.49,2146597
2010-06-14,45.22,45.47,44.72,44.83,3884839
2010-06-15,46.43,46.48,45.11,45.42,2938375
2010-06-16,45.85,46.22,45.57,45.7,2532564
2010-06-17,46.33,46.73,45.94,45.98,3299445
2010-06-18,45.76,46.67,45.67,46.54,3650480
2010-06-21,45.56,46.92,45.36,46.62,2183142
2010-06-22,43.85,45.79,43.8,45.75,3535096
2010-06-23,44.34,44.87,43.08,43.84,2969758
2010-06-24,42.95,44.12,42.85,43.93,3188288
2010-06-25,44.56,44.85,43.08,43.34,3500345
2010-06-28,43.89,44.83,43.64,44.76,1673129
2010-06-29,42.14,43.41,41.89,43.24,4887640
2010-06-30,41.64,42.95,41.59,42.17,4034354
2010-07-01,41.65,42.1,40.53,41.85,4304603
2010-07-02,40.67,41.58,39.98,41.08,5050655
2010-07-05,40.67,41.58,39.98,41.08,0
2010-07-06,40.22,41.92,39.69,41.89,5215915
2010-07-07,42.53,42.58,40.27,40.43,4950258
2010-07-08,43.31,43.82,42.37,43.08,4442620
2010-07-09,44.05,44.12,43.2,43.25,2367094
2010-07-12,44.31,44.51,43.63,44.14,2235589
2010-07-13,45.23,45.46,44.77,44.94,3037197
2010-07-14,44.69,45.1,43.9,44.63,2382380
2010-07-15,44.8,44.93,43.53,44.77,2241085
2010-07-16,42.69,44.68,42.39,44.26,3822658
2010-07-19,43.64,43.86,42.29,42.71,2747407
2010-07-20,44.12,44.21,42.48,42.85,3978109
2010-07-21,42.85,44.67,42.71,44.67,3680585
2010-07-22,44.92,45.25,43.51,43.51,4437352
2010-07-23,45.15,45.25,43.79,44.69,3281705
2010-07-26,46.72,46.76,45.02,45.15,2520773
2010-07-27,46.44,47.15,45.66,47.15,2295556
2010-07-28,46.56,47.03,45.94,46.33,2404661
2010-07-29,45.21,47.5,44.5901,46.95,4051389
2010-07-30,45.85,46.07,44.52,44.56,2621697
2010-08-02,47.33,47.57,46.31,46.73,3712088
2010-08-03,46.94,47.275,46.46,47.12,2514897
2010-08-04,46.82,47.2,46.55,46.98,2270711
2010-08-05,45.91,46.77,45.88,46.45,2940565
2010-08-06,45.85,46.05,44.93,45.21,1940833
2010-08-09,46.99,47.05,45.96,46.29,2613991
2010-08-10,47.08,47.52,46.385,46.58,2864773
2010-08-11,45.43,46.22,45.15,45.32,3201979
2010-08-12,44.67,45.08,44.23,44.46,2459061
2010-08-13,44.88,45.2,44.62,44.62,1660831
2010-08-16,44.88,45.34,44.39,44.58,1473782
2010-08-17,45.9,46.17,44.95,45.35,2771520
2010-08-18,45.95,46.12,45.51,45.9,1947388
2010-08-19,44.66,45.87,44.31,45.82,2886908
2010-08-20,44.85,45.01,44.14,44.26,1690673
2010-08-23,44.92,45.42,44.89,45.05,1503434
2010-08-24,44.61,45.06,43.87,44.23,2406680
2010-08-25,45.38,45.59,44.17,44.4,2433454
2010-08-26,44.98,46.0,44.93,45.56,2369948
2010-08-27,45.89,45.92,44.19,45.21,2299157
2010-08-30,45.2,46.07,45.17,45.76,1832691
2010-08-31,45.83,46.06,44.9,45.17,2266236
2010-09-01,47.84,48.14,46.29,46.49,4911184
2010-09-02,48.1,48.41,47.74,47.92,2722778
2010-09-03,48.86,49.02,48.07,48.5,2411771
2010-09-06,48.86,49.02,48.07,48.5,0
2010-09-07,48.21,48.99,48.13,48.42,2535948
2010-09-08,48.26,48.79,47.96,48.49,2052104
2010-09-09,47.44,49.08,47.35,49.05,2761980
2010-09-10,47.63,48.01,47.24,47.43,2373214
2010-09-13,47.9,48.44,47.36,48.44,3360470
2010-09-14,47.98,48.24,47.33,47.76,2779967
2010-09-15,48.96,49.145,47.82,48.12,2774574
2010-09-16,48.75,49.04,48.365,48.7,1993359
2010-09-17,48.87,49.15,48.49,48.83,3088626
2010-09-20,50.48,50.8,48.98,49.17,3573736
2010-09-21,49.15,50.35,49.05,49.51,4086494
2010-09-22,49.04,49.49,48.79,48.91,2899751
2010-09-23,47.8,49.07,47.72,48.48,3172435
2010-09-24,49.26,49.31,48.47,48.54,2899147
2010-09-27,48.12,49.26,48.09,49.24,2905628
2010-09-28,48.06,48.21,47.1601,48.21,3045923
2010-09-29,47.39,47.77,47.18,47.71,2003302
2010-09-30,47.57,48.26,47.24,47.74,3515837
2010-10-01,47.82,47.98,47.23,47.78,2905372
2010-10-04,48.23,48.38,47.7,47.72,2653506
2010-10-05,48.89,49.05,48.21,48.79,2612758
2010-10-06,48.58,49.02,48.12,48.85,1785063
2010-10-07,48.51,49.158,48.28,48.81,1362878
2010-10-08,48.63,48.85,48.2,48.64,1504784
2010-10-11,48.55,48.94,48.36,48.59,972952
2010-10-12,49.48,49.67,48.3,48.46,2484932
2010-10-13,49.95,50.36,49.39,49.76,1946897
2010-10-14,49.76,50.18,49.34,49.78,2004954
2010-10-15,49.95,50.49,49.83,50.31,2142322
2010-10-18,50.67,50.69,49.85,49.95,2231537
2010-10-19,50.24,50.95,49.91,50.17,2741717
2010-10-20,51.51,52.02,50.47,50.47,3179388
