Date,Close,High,Low,Open,Volume
2010-01-01,43.92,44.98,43.89,44.6,0
2010-01-04,44.79,45.25,44.49,44.49,774143
2010-01-05,45.1,45.12,44.62,44.87,762220
2010-01-06,45.28,45.5,44.92,45.0,505035
2010-01-07,44.67,45.13,44.48,45.12,706464
2010-01-08,44.29,44.67,44.07,44.48,715316
2010-01-11,44.25,45.13,44.0899,44.53,797106
2010-01-12,43.67,44.04,43.42,44.04,525338
2010-01-13,43.99,44.02,43.23,43.87,481208
2010-01-14,44.4,44.47,43.66,43.91,563431
2010-01-15,43.66,44.33,43.2,44.22,806781
2010-01-18,43.66,44.33,43.2,44.22,0
2010-01-19,44.3,44.31,43.56,43.57,724068
2010-01-20,43.7,43.93,43.42,43.86,902634
2010-01-21,43.27,44.23,43.06,43.64,953649
2010-01-22,42.16,43.08,42.12,42.94,748404
2010-01-25,42.89,43.18,42.3,42.54,1094001
2010-01-26,42.7,43.4,42.391,42.64,819545
2010-01-27,42.87,42.95,42.0,42.71,1393546
2010-01-28,44.38,45.78,43.46,45.78,3461212
2010-01-29,44.02,44.78,43.51,44.78,2174097
2010-02-01,44.81,45.13,44.445,44.48,1256619
2010-02-02,46.2,46.3,44.7,45.62,1582465
2010-02-03,45.91,46.31,45.79,46.03,923349
2010-02-04,43.24,45.41,43.2,45.41,2361290
2010-02-05,42.89,43.33,41.925,43.16,1504268
2010-02-08,42.37,43.17,42.35,42.96,854498
2010-02-09,43.02,43.45,42.53,43.03,766805
2010-02-10,42.41,42.93,41.79,42.93,790434
2010-02-11,42.81,42.82,41.81,42.26,912042
2010-02-12,43.0,43.05,42.06,42.31,875114
2010-02-15,43.0,43.05,42.06,42.31,0
2010-02-16,44.24,44.48,43.4,43.52,1358876
2010-02-17,44.23,44.56,44.17,44.31,2147788
2010-02-18,44.45,44.55,43.94,44.26,691210
2010-02-19,45.12,45.22,44.16,44.16,974282
2010-02-22,44.47,45.54,44.22,45.25,1056320
2010-02-23,43.67,44.6,43.63,44.4,929438
2010-02-24,44.05,44.27,43.61,43.87,913192
2010-02-25,43.99,44.1,43.04,43.22,931620
2010-02-26,43.76,44.2397,43.67,44.18,764556
2010-03-01,44.92,44.95,44.0,44.2,850972
2010-03-02,45.75,45.97,45.25,45.4,1485117
2010-03-03,46.2,46.28,45.86,45.86,1038665
2010-03-04,46.01,46.48,45.78,46.14,1064802
2010-03-05,47.33,47.43,46.29,46.36,1246469
2010-03-08,47.1,47.37,46.95,47.19,1136929
2010-03-09,47.37,47.41,46.78,46.85,1162808
2010-03-10,44.68,45.83,44.3,44.53,4012305
2010-03-11,43.82,44.26,43.64,44.0,10199248
2010-03-12,43.9,44.23,43.65,44.14,3446631
2010-03-15,43.5,43.95,42.62,43.94,2471612
2010-03-16,43.7,43.75,43.344,43.69,1700337
2010-03-17,43.62,44.0,43.45,43.81,1448287
2010-03-18,42.76,43.71,42.31,43.6,3054492
2010-03-19,41.72,42.95,41.24,42.78,3059613
2010-03-22,41.33,41.46,40.86,41.28,2171740
2010-03-23,41.73,41.85,41.04,41.38,1372346
2010-03-24,41.51,41.76,41.28,41.59,1276857
2010-03-25,40.81,41.9,40.75,41.82,2424630
2010-03-26,40.29,40.99,39.78,40.85,2772330
2010-03-29,41.21,41.26,40.29,40.34,1626331
2010-03-30,41.11,41.25,40.81,41.2,1359017
2010-03-31,41.0,41.4,40.77,41.11,3481638
2010-04-01,42.08,42.18,41.24,41.36,2014444
2010-04-02,42.08,42.18,41.24,41.36,0
2010-04-05,43.28,43.28,42.1,42.1,1894586
2010-04-06,43.39,43.65,42.92,42.92,1957610
2010-04-07,43.41,43.54,42.936,43.22,2549279
2010-04-08,43.44,43.53,42.77,43.11,1155996
2010-04-09,44.81,44.98,43.91,44.75,2368236
2010-04-12,44.91,45.1,44.7,44.7,2042914
2010-04-13,44.68,45.06,44.42,44.83,1831976
2010-04-14,44.87,45.08,44.64,44.83,1343206
2010-04-15,44.66,44.99,44.6,44.69,1177886
2010-04-16,43.76,44.62,43.38,44.55,1394624
2010-04-19,43.68,43.69,43.01,43.67,809234
2010-04-20,43.98,44.07,43.63,43.83,975464
2010-04-21,43.66,43.955,43.32,43.93,782393
2010-04-22,44.36,44.59,43.205,43.79,1458855
2010-04-23,45.6,45.67,44.05,44.25,1970447
2010-04-26,45.62,46.06,45.501,45.6,1756100
2010-04-27,43.78,45.33,43.61,45.28,1260017
2010-04-28,44.46,45.72,43.6,43.6,1546854
2010-04-29,43.79,44.98,43.27,44.87,1278624
2010-04-30,43.49,44.15,43.4,43.92,1087205
2010-05-03,44.5,44.71,43.57,43.95,1155638
2010-05-04,43.89,44.2499,43.45,44.01,1036680
2010-05-05,42.32,43.44,42.26,43.07,1428602
2010-05-06,40.67,42.29,38.28,42.1,1921626
2010-05-07,39.78,40.96,39.28,40.62,1549347
2010-05-10,42.12,42.22,40.995,41.74,2223411
2010-05-11,42.13,43.13,41.68,41.68,2272595
2010-05-12,42.91,43.2,42.2,42.29,1104242
2010-05-13,42.65,43.313,42.52,42.76,766328
2010-05-14,42.28,42.44,41.54,42.37,1545417
2010-05-17,41.19,42.67,40.72,42.49,1607816
2010-05-18,40.51,42.08,40.34,41.34,1957073
2010-05-19,39.57,40.5,39.01,40.08,1940851
2010-05-20,37.7,38.6,37.65,38.42,1740704
2010-05-21,38.35,38.38,36.63,36.78,1833667
2010-05-24,37.18,38.45,37.1,38.07,1179043
2010-05-25,36.84,36.9,35.8,36.33,1931381
