Date,Close,High,Low,Open,Volume
2010-01-01,43.21,43.925,43.21,43.9,0
2010-01-04,44.265,44.37,43.585,43.96,3687792
2010-01-05,43.46,44.29,43.25,44.25,4364072
2010-01-06,43.325,43.6184,43.11,43.315,5427386
2010-01-07,44.335,44.415,43.115,43.205,4443662
2010-01-08,45.825,45.95,43.75,44.295,6256622
2010-01-11,45.115,46.5,44.83,45.845,7211158
2010-01-12,44.585,45.125,44.265,44.955,4326238
2010-01-13,45.05,45.205,44.655,44.7,2816226
2010-01-14,45.475,45.61,44.745,44.805,2829936
2010-01-15,45.02,45.75,44.42,45.65,5696276
2010-01-18,45.02,45.75,44.42,45.65,0
2010-01-19,45.5,45.955,44.745,45.195,3870904
2010-01-20,44.415,45.535,43.62,45.3,5760318
2010-01-21,43.165,44.355,42.785,44.215,5357802
2010-01-22,42.6,43.705,42.535,43.03,6527104
2010-01-25,42.905,43.2475,42.6,42.755,3324096
2010-01-26,42.6,42.965,42.45,42.78,3082714
2010-01-27,42.8,42.99,42.075,42.43,3445448
2010-01-28,42.45,43.23,42.23,42.815,3432132
2010-01-29,41.93,42.82,41.93,42.725,4046012
2010-02-01,42.78,42.78,41.58,42.015,3834960
2010-02-02,43.515,43.55,42.38,42.625,3492324
2010-02-03,43.22,43.335,42.655,43.045,3251534
2010-02-04,42.16,42.97,42.16,42.97,4944218
2010-02-05,42.41,42.655,41.38,42.31,6566110
2010-02-08,42.25,42.695,42.085,42.535,3240740
2010-02-09,42.62,43.06,42.11,42.695,3058382
2010-02-10,42.485,42.93,42.205,42.5,3106798
2010-02-11,43.38,43.61,42.355,42.465,4224820
2010-02-12,43.215,43.27,42.715,42.97,3218476
2010-02-15,43.215,43.27,42.715,42.97,0
2010-02-16,43.65,43.725,42.85,43.535,2378632
2010-02-17,44.4,44.74,43.6382,43.8,3326152
2010-02-18,44.875,45.055,44.405,44.52,3215818
2010-02-19,45.06,45.195,44.635,44.78,4083243
2010-02-22,44.685,45.472,44.565,45.125,4807676
2010-02-23,43.995,44.4575,43.665,44.445,4602162
2010-02-24,43.875,44.6,43.715,44.3,7138902
2010-02-25,47.615,48.33,46.825,48.16,16580480
2010-02-26,48.005,48.21,47.25,47.565,4850618
2010-03-01,48.22,48.595,47.5,47.5,5056284
2010-03-02,49.335,49.395,48.18,48.245,6430994
2010-03-03,49.495,49.725,49.1555,49.405,5829918
2010-03-04,49.51,49.79,49.185,49.32,5699882
2010-03-05,49.7225,49.755,49.245,49.315,5229710
2010-03-08,49.145,49.725,49.01,49.585,3622086
2010-03-09,49.165,49.52,48.89,48.97,2898794
2010-03-10,49.295,49.53,48.985,48.995,2478260
2010-03-11,49.625,49.625,48.87,49.28,3176950
2010-03-12,49.47,49.975,49.285,49.92,3064722
2010-03-15,49.95,49.955,49.2108,49.455,4329636
2010-03-16,49.835,50.25,49.29,50.0,2875886
2010-03-17,49.505,50.0,49.115,49.695,2607318
2010-03-18,49.82,49.82,49.185,49.295,3069566
2010-03-19,50.365,50.555,49.75,50.54,5682170
2010-03-22,51.09,51.62,50.63,50.63,5087810
2010-03-23,51.0,51.365,50.655,51.33,4385312
2010-03-24,50.415,51.145,50.405,50.995,2523120
2010-03-25,50.29,50.85,50.055,50.85,3116620
2010-03-26,50.31,50.655,49.7875,50.395,2973232
2010-03-29,51.12,51.2,50.29,50.54,2765870
2010-03-30,50.8,51.25,50.475,51.2,2071264
2010-03-31,50.88,51.05,50.195,50.725,2240680
2010-04-01,51.195,51.5,50.715,51.055,2529124
2010-04-02,51.195,51.5,50.715,51.055,0
2010-04-05,51.2,51.495,51.01,51.3,1669400
2010-04-06,51.03,51.375,50.86,50.885,1739288
2010-04-07,50.84,51.285,50.5875,51.04,2551818
2010-04-08,51.53,51.765,50.475,50.885,3681798
2010-04-09,51.655,51.9,51.35,51.69,2784208
2010-04-12,51.215,51.685,50.91,51.63,2601176
2010-04-13,51.47,51.545,50.155,51.025,3816344
2010-04-14,50.27,51.655,49.905,51.445,6496958
2010-04-15,49.445,50.52,49.115,50.065,6226808
2010-04-16,50.39,50.48,49.32,49.32,5556950
2010-04-19,51.395,51.535,50.065,50.345,4574596
2010-04-20,52.455,52.5,51.125,51.625,3893242
2010-04-21,51.835,52.435,51.47,52.245,3843858
2010-04-22,51.55,51.9,51.145,51.755,2727234
2010-04-23,52.095,52.12,51.195,51.64,2930454
2010-04-26,51.375,52.345,51.17,51.99,2728046
2010-04-27,51.15,52.5,51.15,51.715,5092666
2010-04-28,50.84,51.855,50.03,51.635,6745082
2010-04-29,51.445,52.065,49.66,49.735,8409426
2010-04-30,50.065,51.635,49.895,51.635,5247048
2010-05-03,50.23,50.615,49.13,50.05,4804608
2010-05-04,49.97,50.62,49.325,49.775,5403892
2010-05-05,51.245,51.59,49.99,50.085,4962620
2010-05-06,49.8,52.125,49.8,51.29,10665324
2010-05-07,48.575,49.945,48.155,49.785,8331825
2010-05-10,52.185,52.21,49.86,50.33,8135180
2010-05-11,51.585,52.185,51.34,51.445,6540796
2010-05-12,52.065,52.535,51.2,51.605,4572194
2010-05-13,51.83,52.33,51.365,51.925,4313764
2010-05-14,50.845,51.875,50.42,51.78,5810874
2010-05-17,51.56,51.88,50.85,51.025,4699008
2010-05-18,52.065,53.15,51.265,51.28,6342958
2010-05-19,51.885,52.465,51.54,52.115,6011380
2010-05-20,49.755,51.1,49.655,51.0,7395134
2010-05-21,50.295,50.77,48.755,48.875,7789410
2010-05-24,50.16,50.77,49.33,50.08,4541538
2010-05-25,49.565,49.945,48.775,48.79,5957898
2010-05-26,49.725,50.79,49.21,49.65,5568468
2010-05-27,50.915,50.915,49.905,50.36,3972498
2010-05-28,50.3,51.725,50.0,50.915,4157543
2010-05-31,50.3,51.725,50.0,50.915,0
2010-06-01,50.255,51.39,49.815,50.15,3628782
2010-06-02,51.955,51.955,49.945,50.23,4234248
2010-06-03,51.59,52.175,51.265,51.845,3999916
2010-06-04,49.5662,51.25,49.435,50.915,4723638
2010-06-07,51.685,52.49,49.98,50.01,7112654
2010-06-08,50.92,52.2099,50.19,51.95,4435942
2010-06-09,50.81,51.58,50.56,51.2,4225067
2010-06-10,52.64,52.73,51.11,51.75,5997659
2010-06-11,52.67,53.69,52.4,52.58,6192483
2010-06-14,53.26,53.72,52.91,53.35,4523074
2010-06-15,53.27,54.0,53.18,53.5,4237503
2010-06-16,53.15,53.32,52.85,53.09,3601309
2010-06-17,52.74,53.285,52.26,53.22,3796347
2010-06-18,52.02,52.36,51.424,52.01,6260519
2010-06-21,51.71,52.8,51.47,52.45,3928675
2010-06-22,50.2,52.05,50.06,51.95,5538659
2010-06-23,50.32,50.83,49.99,50.13,3822785
2010-06-24,49.32,50.13,49.15,50.03,5257223
2010-06-25,49.63,50.02,49.19,49.32,5200371
2010-06-28,49.06,49.84,48.815,49.83,3985542
2010-06-29,47.21,48.6,46.93,48.55,7717371
2010-06-30,47.02,48.03,45.82,47.02,6625706
2010-07-01,45.84,47.04,45.14,46.93,7778049
2010-07-02,45.6,46.14,45.104,46.12,3863582
2010-07-05,45.6,46.14,45.104,46.12,0
2010-07-06,45.64,46.39,45.3,46.31,4984308
2010-07-07,45.97,45.99,45.25,45.52,4815865
2010-07-08,46.76,46.92,46.0001,46.26,5071587
2010-07-09,46.95,47.0,46.44,46.88,3417811
2010-07-12,47.88,47.94,46.85,46.86,4962573
2010-07-13,48.19,48.8,47.99,48.54,4227222
2010-07-14,48.29,48.52,47.78,48.03,2275717
2010-07-15,47.76,48.81,47.45,48.33,3317877
2010-07-16,46.94,48.07,46.91,47.86,6002751
2010-07-19,46.39,47.22,46.27,46.87,4978566
2010-07-20,45.93,45.94,45.11,45.74,7727985
2010-07-21,45.2,46.53,45.12,46.0,5375227
2010-07-22,42.12,45.76,41.55,45.52,22071442
2010-07-23,43.07,43.3,41.7,42.3,14285286
2010-07-26,43.65,43.65,42.44,43.08,9638014
2010-07-27,43.39,44.17,42.74,43.69,8915599
2010-07-28,42.2,43.39,41.67,43.2,12981585
2010-07-29,44.66,45.45,43.12,43.29,13379113
2010-07-30,45.18,45.52,44.02,44.12,9092388
2010-08-02,46.37,46.7,45.875,45.97,8099757
2010-08-03,46.32,46.84,46.14,46.42,7031010
2010-08-04,45.1,46.63,44.68,46.23,10698495
2010-08-05,45.69,46.09,44.8209,44.87,8200600
2010-08-06,46.35,46.37,45.13,45.27,7075746
2010-08-09,45.81,46.7,45.74,46.57,3798279
2010-08-10,46.11,46.42,45.06,45.96,5009572
2010-08-11,44.81,45.29,44.7,45.24,5859150
2010-08-12,45.45,46.06,44.1,44.15,5554049
2010-08-13,45.93,46.14,45.19,45.19,4156999
2010-08-16,46.04,46.29,45.35,45.69,4965595
2010-08-17,46.47,46.71,45.63,46.29,3621325
2010-08-18,46.34,46.72,45.84,46.3,3549333
2010-08-19,45.45,46.18,45.04,46.1,4430533
2010-08-20,45.36,45.64,45.18,45.48,5584217
2010-08-23,45.64,46.17,45.39,45.56,4488825
2010-08-24,45.02,45.5505,44.71,45.45,4448135
2010-08-25,45.47,45.75,44.68,44.69,4663006
2010-08-26,44.84,45.91,44.82,45.56,4544548
2010-08-27,44.72,45.26,43.26,44.96,4916395
2010-08-30,43.67,44.82,43.66,44.5,2954242
2010-08-31,42.6,43.84,42.5,43.44,6572468
2010-09-01,43.85,43.87,43.01,43.22,5325874
2010-09-02,43.79,44.07,43.34,43.92,2937766
2010-09-03,44.08,44.44,43.8,44.08,3024188
2010-09-06,44.08,44.44,43.8,44.08,0
2010-09-07,44.0,44.21,43.43,44.04,2537226
2010-09-08,44.33,44.48,43.82,43.95,2929751
2010-09-09,44.93,45.09,43.84,44.54,5507738
2010-09-10,45.68,45.785,43.75,45.07,4351873
2010-09-13,46.3,46.6,45.6,46.02,4127824
2010-09-14,46.15,46.51,45.635,46.07,2908992
2010-09-15,46.79,46.91,45.75,46.0,3637149
2010-09-16,46.03,46.8599,45.91,46.81,3167060
2010-09-17,46.37,46.53,45.775,46.25,4793143
2010-09-20,47.67,47.75,46.36,46.55,3149611
2010-09-21,47.55,48.0,47.19,47.56,3161514
2010-09-22,48.03,48.39,47.46,47.6,3316478
2010-09-23,48.9,49.68,47.74,47.84,5460735
2010-09-24,49.6,49.67,48.91,49.37,4300957
2010-09-27,48.89,49.38,48.25,48.83,4001535
2010-09-28,49.04,49.69,48.44,49.08,3686493
2010-09-29,48.98,49.36,48.695,48.9,2777695
2010-09-30,48.7,49.54,48.13,49.05,5206914
2010-10-01,48.83,49.09,48.41,48.9,3422444
2010-10-04,47.9,48.79,47.69,48.65,2709286
2010-10-05,48.97,49.29,48.17,48.2,4680885
2010-10-06,47.91,48.96,47.71,48.95,4429959
2010-10-07,48.41,48.87,48.07,48.15,3100317
2010-10-08,48.3,48.88,47.73,48.37,3743078
2010-10-11,48.19,48.55,47.98,48.24,2509349
2010-10-12,47.77,48.12,47.38,48.07,3948753
2010-10-13,48.05,48.27,47.69,47.87,3252123
2010-10-14,47.41,48.06,47.23,47.99,3955545
2010-10-15,48.37,48.38,47.26,47.59,4489316
2010-10-18,48.34,48.42,47.75,48.2,2844313
2010-10-19,47.86,48.17,47.3796,48.06,3766966
2010-10-20,48.71,49.04,47.82,47.97,5279279
2010-10-21,48.27,48.98,47.51,48.88,3840312
2010-10-22,49.0,49.0,48.04,48.45,3238105
2010-10-25,49.1,49.88,48.97,49.3,3127923
2010-10-26,49.5,49.51,48.39,48.95,3535929
2010-10-27,49.26,49.51,48.59,48.97,5206400
2010-10-28,48.66,49.34,48.08,49.34,8815255
2010-10-29,48.52,49.22,48.51,48.56,5323658
2010-11-01,48.06,48.9,47.66,48.56,5194300
2010-11-02,51.09,51.14,48.63,48.64,8271196
2010-11-03,51.26,51.63,50.62,50.89,4704110
2010-11-04,52.34,52.35,51.3,51.53,4915554
2010-11-05,52.765,53.15,52.1,52.4,3777152
2010-11-08,53.04,53.1,52.55,52.72,2686937
2010-11-09,52.59,53.33,52.33,53.15,4106684
2010-11-10,52.6,52.79,51.61,52.6,3045593
2010-11-11,53.05,53.12,52.1,52.15,3019135
2010-11-12,52.22,52.83,51.75,52.67,1828976
2010-11-15,51.67,52.52,51.63,52.31,2494322
2010-11-16,50.72,51.74,50.48,51.23,4602642
2010-11-17,51.41,51.56,50.46,50.84,3665171
2010-11-18,52.99,53.3,51.36,51.81,5145604
2010-11-19,53.38,53.75,52.8,53.04,4057202
2010-11-22,53.59,53.69,52.8,53.18,2657352
2010-11-23,52.74,53.16,52.6,53.03,4161041
2010-11-24,52.94,53.25,52.39,53.03,3858204
2010-11-25,52.94,53.25,52.39,53.03,0
2010-11-26,52.51,52.79,52.16,52.56,860293
2010-11-29,52.8,53.005,51.66,52.04,3043517
2010-11-30,52.09,52.72,51.68,52.11,4345503
2010-12-01,54.38,54.68,52.76,52.91,5815330
2010-12-02,54.08,54.65,53.89,54.23,3625661
2010-12-03,54.2,54.29,53.27,53.86,3161831
2010-12-06,53.99,54.18,53.6,54.02,2252701
2010-12-07,54.23,54.6,53.67,54.53,2840359
2010-12-08,54.4,54.6,54.02,54.4,2116529
2010-12-09,54.17,54.8,54.02,54.56,2788442
2010-12-10,54.76,55.0,54.19,54.38,2687717
2010-12-13,54.32,54.93,54.15,54.77,4034500
2010-12-14,54.86,54.97,54.33,54.48,1994148
2010-12-15,54.23,54.89,54.0,54.81,3515005
2010-12-16,54.61,54.77,53.88,54.15,2911179
2010-12-17,54.91,55.18,54.16,54.43,8130455
2010-12-20,55.24,55.68,54.565,55.37,2847852
2010-12-21,54.72,55.45,54.24,55.45,3685695
2010-12-22,54.75,55.22,54.6,54.8,2498143
2010-12-23,54.26,54.72,53.78,54.61,2006535
2010-12-24,54.26,54.72,53.78,54.61,0
2010-12-27,53.99,54.2,53.6506,53.96,1432580
2010-12-28,54.14,54.36,53.745,53.95,1399890
2010-12-29,54.11,54.45,54.0395,54.29,2249371
