Date,Close,High,Low,Open,Volume
2010-01-01,83.65,86.03,83.64,84.63,0
2010-01-04,82.62,84.62,82.15,84.21,447992
2010-01-05,83.12,83.25,81.29,82.72,542263
2010-01-06,83.7,84.649,83.12,83.23,472907
2010-01-07,84.57,85.29,83.0,83.42,284385
2010-01-08,83.7,84.78,82.93,84.35,214089
2010-01-11,83.76,84.48,83.62,84.11,181726
2010-01-12,82.65,83.7685,82.07,83.03,297922
2010-01-13,84.29,84.45,82.64,82.93,209091
2010-01-14,84.86,85.13,83.39,83.6,250002
2010-01-15,84.29,85.06,84.0,84.77,244812
2010-01-18,84.29,85.06,84.0,84.77,0
2010-01-19,85.44,85.61,84.15,84.25,303949
2010-01-20,85.69,86.67,84.32,85.11,520584
2010-01-21,83.46,86.67,83.41,85.7,327307
2010-01-22,80.88,84.8,80.68,83.53,431348
2010-01-25,81.45,82.35,80.23,81.705,294977
2010-01-26,81.0,82.18,80.55,80.56,211021
2010-01-27,82.0,82.34,79.45,80.8,248474
2010-01-28,81.42,82.27,80.55,82.25,170430
2010-01-29,79.69,82.18,79.55,81.89,372476
2010-02-01,80.99,81.19,79.37,80.18,235186
2010-02-02,82.39,82.53,80.48,81.32,190980
2010-02-03,80.02,82.02,79.59,81.69,415099
2010-02-04,77.66,79.15,77.27,79.15,509776
2010-02-05,78.25,78.49,76.35,77.85,504012
2010-02-08,77.87,79.76,77.81,78.69,339607
2010-02-09,78.25,78.95,77.26,78.74,442193
2010-02-10,78.42,79.25,76.48,78.31,349411
2010-02-11,79.44,79.53,77.75,78.42,190561
2010-02-12,80.21,80.28,78.38,78.5,332807
2010-02-15,80.21,80.28,78.38,78.5,0
2010-02-16,82.22,82.39,80.65,80.85,301138
2010-02-17,83.65,83.65,82.23,82.4,253350
2010-02-18,84.25,84.52,82.85,83.42,281633
2010-02-19,84.19,84.41,83.63,83.84,341873
2010-02-22,84.62,84.94,83.58,84.48,300132
2010-02-23,84.59,84.97,83.67,84.42,247619
2010-02-24,85.22,85.24,84.31,84.94,373077
2010-02-25,85.42,85.57,83.75,84.05,274542
2010-02-26,85.9,87.05,85.04,85.47,560025
2010-03-01,86.52,86.57,85.48,86.21,195518
2010-03-02,87.1,87.29,86.48,87.15,348706
2010-03-03,87.13,87.48,86.6,87.07,257309
2010-03-04,88.06,88.13,87.15,87.2,398431
2010-03-05,90.38,90.57,88.2,88.67,473285
2010-03-08,90.54,91.27,89.5,90.35,339776
2010-03-09,89.84,90.93,89.41,90.11,636869
2010-03-10,89.86,90.06,88.86,89.95,498772
2010-03-11,90.46,90.5,89.07,89.4,391070
2010-03-12,91.1,91.57,90.18,90.96,251624
2010-03-15,90.46,91.85,89.98,91.0,298009
2010-03-16,92.37,92.37,90.59,90.59,543788
2010-03-17,93.42,93.98,92.09,92.96,308567
2010-03-18,92.92,93.86,92.8,93.51,250192
2010-03-19,92.17,93.5099,91.99,92.95,394789
2010-03-22,92.9,92.965,91.55,91.69,352969
2010-03-23,91.77,92.85,90.55,92.2,356143
2010-03-24,91.75,92.5,91.43,91.46,270678
2010-03-25,91.12,92.555,90.92,92.09,482198
2010-03-26,89.81,91.59,89.55,90.97,594828
2010-03-29,88.5,90.24,88.42,88.89,536493
2010-03-30,89.82,90.05,88.42,88.42,319329
2010-03-31,89.95,90.52,88.54,89.12,593116
2010-04-01,90.86,91.05,89.23,90.13,603273
