Date,Close,High,Low,Open,Volume
2010-01-01,17.6,17.8,17.5,17.8,0
2010-01-04,18.4,18.4,17.7,17.8,5231978
2010-01-05,18.0,18.5,17.6,18.3,5734852
2010-01-06,17.9,18.1,17.7,17.9,2010905
2010-01-07,18.0,18.2,17.6,17.8,2743182
2010-01-08,18.0,18.0,17.8,17.9,2108613
2010-01-11,17.8,18.1,17.8,18.1,1432191
2010-01-12,17.3,17.8,17.2,17.8,3871459
2010-01-13,17.4,17.5,17.2,17.4,1889366
2010-01-14,17.3,17.55,17.1,17.4,2753072
2010-01-15,18.399,18.4,17.0,17.3,6371872
2010-01-18,18.399,18.4,17.0,17.3,0
2010-01-19,18.1,18.2,17.6,17.9,3902895
2010-01-20,17.7,18.1,17.5,18.0,3072229
2010-01-21,17.4,17.9,17.2,17.6,2405976
2010-01-22,16.4,17.4,16.4,17.3,4131158
2010-01-25,16.6,17.1,16.5,17.0,2213619
2010-01-26,16.2,16.7,16.0,16.7,4068669
2010-01-27,16.5,16.5,15.7,16.1,4937613
2010-01-28,16.0,17.4,15.9,17.3,6984488
2010-01-29,15.2,16.4,15.2,16.2,5647697
2010-02-01,15.9,16.3,15.5,15.5,3575967
2010-02-02,15.3,16.2,15.1,15.95,8191191
2010-02-03,15.4,15.6,15.2,15.4,3874714
2010-02-04,14.5,15.3,14.5,15.2,6006708
2010-02-05,14.6,14.8,14.1,14.7,4996154
2010-02-08,14.9,15.6,14.7,14.8,6059867
2010-02-09,15.0,15.3,14.8,15.2,3696696
2010-02-10,14.5,15.2,14.5,15.0,4509204
2010-02-11,14.9,14.9,14.3,14.6,3833007
2010-02-12,14.9,15.1,14.4,14.6,3245727
2010-02-15,14.9,15.1,14.4,14.6,0
2010-02-16,15.2,15.3,15.0,15.1,2761129
2010-02-17,15.3,15.7,15.2,15.4,2687883
2010-02-18,15.5,15.5,15.1,15.2,2201064
2010-02-19,15.6,15.7,15.3,15.5,5078875
2010-02-22,15.7,15.8,15.4,15.7,1791729
2010-02-23,15.5,15.6,15.0,15.6,3487076
2010-02-24,15.5,15.7,15.3,15.5,2270443
2010-02-25,15.6,15.6,15.2,15.4,2013896
2010-02-26,16.1,16.5,15.5,15.6,9038763
2010-03-01,16.5,16.7,16.2,16.2,3142413
2010-03-02,16.2,16.6,16.1,16.5,2497506
2010-03-03,16.5,16.5,16.1,16.2,2955534
2010-03-04,16.6,16.7,16.4,16.4,1812079
2010-03-05,16.6,16.9,16.6,16.7,2090886
2010-03-08,16.7,16.8,16.4,16.6,1690802
2010-03-09,16.8,16.9,16.5,16.5,2369641
2010-03-10,16.7,17.0,16.5,16.8,5101593
2010-03-11,16.7,16.8,16.5,16.7,2470096
2010-03-12,16.5,16.7,16.4,16.7,2398027
2010-03-15,16.6,16.6,16.2,16.5,1535157
2010-03-16,16.9,16.9,16.5,16.6,2173513
2010-03-17,16.725,17.2,16.6,16.9,3513686
2010-03-18,16.4,16.7,16.3,16.7,3288345
2010-03-19,15.7,16.6,15.7,16.5,4429432
2010-03-22,15.1,16.0,14.5,15.0,10347254
2010-03-23,16.2,16.3,15.2,15.3,5326366
2010-03-24,15.9,16.2,15.8,16.2,2933769
2010-03-25,15.9,16.2,15.7,15.9,2970449
2010-03-26,15.5,16.0,15.5,15.9,2395563
2010-03-29,15.9,16.0,15.7,15.8,1837944
2010-03-30,16.6,16.6,15.85,16.0,3743881
2010-03-31,16.525,16.6,16.2,16.5,3014900
2010-04-01,16.6,16.7,16.3,16.7,1541087
2010-04-02,16.6,16.7,16.3,16.7,0
2010-04-05,16.9,16.9,16.6,16.7,2344983
2010-04-06,17.1,17.671,16.8,16.9,4963807
2010-04-07,17.1,17.2,16.8,16.9,3186125
2010-04-08,17.0,17.05,16.5,16.8,3071101
2010-04-09,17.1,17.441,16.8,17.1,2792119
2010-04-12,17.1,17.2,16.7,17.1,3247721
2010-04-13,16.8,17.2,16.4,17.0,4802789
2010-04-14,17.0,17.2,16.8,16.9,8421998
2010-04-15,17.8,18.5,17.1,17.2,14238452
2010-04-16,17.4,17.8,17.2,17.8,3447810
2010-04-19,17.3,17.5,16.9,17.1,2599547
2010-04-20,17.7,17.8,17.3,17.4,2244067
2010-04-21,18.2,18.6,17.7,18.0,6358604
2010-04-22,18.3,18.4,17.1,17.8,6894627
2010-04-23,19.0,19.1,18.2,18.2,7250377
2010-04-26,18.7,19.9,18.6,19.1,8506145
2010-04-27,18.3,19.5,18.1,18.9,6316643
2010-04-28,18.4,18.6,18.0,18.5,4265147
2010-04-29,17.4,17.5,16.85,17.5,31092790
2010-04-30,16.9,17.3,16.8,17.3,7491705
2010-05-03,17.5,17.5,17.1,17.2,5148532
2010-05-04,16.575,17.3,16.3,17.2,6761686
2010-05-05,16.475,16.8,15.5,16.2,8216379
2010-05-06,15.6,16.9,14.4,16.6,16098715
2010-05-07,15.0,15.7,14.0,15.6,10934604
2010-05-10,16.1,16.3,15.5,15.9,6216018
2010-05-11,15.9,16.3,15.5,15.7,5727097
2010-05-12,16.0,16.0,15.7,15.8,3393980
2010-05-13,16.0,16.6,15.7,15.7,4597636
2010-05-14,15.7,16.0,15.3,15.7,4073671
2010-05-17,15.3,15.8,14.8,15.7,4813984
2010-05-18,14.9,15.6,14.7,15.4,5339895
2010-05-19,15.5,15.7,14.8,15.0,7790349
2010-05-20,14.3,15.1,14.2,15.0,10042736
2010-05-21,14.6,15.1,14.0,14.0,7208678
2010-05-24,14.6,15.1,14.6,15.0,3535356
2010-05-25,14.2,14.4,13.9,14.1,6836439
2010-05-26,14.4,15.0,14.2,14.5,5899098
2010-05-27,15.1,15.1,14.6,14.8,3770413
