Date,Close,High,Low,Open,Volume
2010-01-01,31.81,32.025,31.795,32.0,0
2010-01-04,32.16,32.57,31.94,32.105,2347502
2010-01-05,31.97,32.225,31.615,32.225,2946532
2010-01-06,31.83,32.005,31.54,31.775,4187932
2010-01-07,32.3,32.32,31.615,31.685,2992882
2010-01-08,33.025,33.045,31.965,32.105,2768084
2010-01-11,34.535,34.65,33.06,33.06,5802264
2010-01-12,34.095,34.775,33.985,34.23,3667868
2010-01-13,34.445,34.5,33.865,34.13,3168742
2010-01-14,34.505,34.695,34.25,34.32,2061426
2010-01-15,33.875,34.56,33.845,34.515,3069522
2010-01-18,33.875,34.56,33.845,34.515,0
2010-01-19,34.9,35.075,34.035,34.035,4370918
2010-01-20,34.195,34.53,33.865,34.385,2905338
2010-01-21,33.37,34.395,33.24,34.07,3435362
2010-01-22,32.94,33.56,32.84,33.315,3770644
2010-01-25,32.29,34.0,32.245,33.965,8599888
2010-01-26,32.065,32.62,31.79,32.43,4987686
2010-01-27,31.66,32.23,30.955,32.06,6130500
2010-01-28,31.265,31.855,31.0,31.855,3252974
2010-01-29,30.62,31.59,30.5455,31.4,4108100
2010-02-01,32.185,32.225,30.74,30.82,5818636
2010-02-02,32.575,32.61,32.04,32.1,3712074
2010-02-03,32.385,32.87,32.31,32.48,2240836
2010-02-04,30.96,31.84,30.905,31.84,3923480
2010-02-05,31.0,31.225,30.415,30.9,4306854
2010-02-08,30.99,31.6,30.825,31.105,4361842
2010-02-09,31.93,32.205,31.065,31.375,5204758
2010-02-10,31.765,32.115,31.455,31.965,2352688
2010-02-11,32.42,32.455,31.5,31.74,2612680
2010-02-12,32.51,32.61,31.635,31.98,3581792
2010-02-15,32.51,32.61,31.635,31.98,0
2010-02-16,33.32,33.385,32.47,32.875,3749784
2010-02-17,33.52,33.71,33.065,33.43,3524342
2010-02-18,33.805,33.91,33.445,33.5,2185372
2010-02-19,33.86,34.01,33.57,33.785,3417776
2010-02-22,33.715,34.035,33.605,33.85,2424842
2010-02-23,33.185,33.86,33.06,33.545,2576890
2010-02-24,33.405,33.52,33.11,33.32,2153618
2010-02-25,33.475,33.52,32.29,32.61,4099592
2010-02-26,34.06,34.65,33.565,33.92,4776016
2010-03-01,35.0,35.0,34.045,34.07,3980758
2010-03-02,35.01,35.345,34.905,35.13,2890168
2010-03-03,35.77,36.29,35.5,35.885,4760932
2010-03-04,35.77,36.125,35.48,35.725,4150426
2010-03-05,36.57,36.675,36.065,36.25,3531764
2010-03-08,36.3,36.69,36.205,36.605,1560086
2010-03-09,36.21,36.39,36.005,36.115,2566124
2010-03-10,36.23,36.405,35.955,36.25,3626982
2010-03-11,36.27,36.27,35.65,36.1,3034998
2010-03-12,37.21,37.21,36.51,36.55,4880410
2010-03-15,36.98,37.315,36.625,37.2,2474078
2010-03-16,37.285,37.36,36.945,37.06,1813532
2010-03-17,37.45,37.865,37.195,37.295,2647328
2010-03-18,37.55,37.7125,37.29,37.425,1321674
2010-03-19,37.075,37.985,36.97,37.655,4355440
2010-03-22,37.83,37.925,36.72,36.83,3088030
