Date,Close,High,Low,Open,Volume
2013-08-14,25.15,25.69,24.5,25.25,27221523
2013-08-15,25.5,25.72,24.9,24.93,1717690
2013-08-16,25.7,26.07,25.55,25.84,815537
2013-08-19,25.25,25.74,24.67,25.7,837461
2013-08-20,25.25,25.29,25.06,25.2,414816
2013-08-21,25.1,25.47,25.09,25.13,593622
2013-08-22,25.15,25.32,25.1,25.1,229934
2013-08-23,25.45,25.49,25.1,25.1,213898
2013-08-26,25.97,26.21,25.311,25.49,524126
2013-08-27,26.07,26.17,25.33,25.4,331785
2013-08-28,26.08,26.2,25.83,26.01,244761
2013-08-29,26.38,26.39,26.0601,26.07,529659
2013-08-30,26.24,26.62,26.1,26.48,939477
2013-09-02,26.24,26.24,26.24,26.24,0
2013-09-03,26.7,26.74,25.63,25.67,444830
2013-09-04,27.39,27.5,26.87,26.95,783214
2013-09-05,27.0,27.37,26.83,27.34,812869
2013-09-06,26.91,27.51,26.73,27.51,375805
2013-09-09,26.8,27.19,26.72,26.87,405232
2013-09-10,27.14,27.19,26.65,26.7,300919
2013-09-11,28.28,28.37,26.9201,26.96,658789
2013-09-12,28.49,28.7,27.92,28.33,264676
2013-09-13,28.51,28.88,28.48,28.77,297192
2013-09-16,27.45,28.44,27.14,28.22,566454
2013-09-17,27.99,27.99,27.51,27.65,852282
2013-09-18,28.12,28.3,27.94,28.0,458639
2013-09-19,27.92,28.25,27.82,28.22,258400
2013-09-20,26.84,27.94,26.74,27.8,946544
2013-09-23,26.84,27.35,26.24,27.28,1351497
2013-09-24,26.84,26.99,26.49,26.99,628946
2013-09-25,26.48,26.98,26.16,26.97,647002
2013-09-26,26.46,26.725,26.35,26.48,655530
2013-09-27,26.08,26.48,26.07,26.34,779529
2013-09-30,26.03,26.8,25.51,26.07,2987189
2013-10-01,26.21,26.32,25.97,26.21,628065
2013-10-02,26.89,27.13,26.28,26.51,1692424
2013-10-03,28.2,28.99,27.04,27.04,1213184
2013-10-04,29.28,29.8,28.3,28.31,1007361
2013-10-07,29.37,29.53,28.95,29.25,402546
2013-10-08,28.91,29.41,28.83,29.41,299853
2013-10-09,28.95,29.1259,28.14,28.88,378047
2013-10-10,29.22,29.84,28.86,29.3,709645
2013-10-11,28.85,29.18,28.67,29.1,139009
2013-10-14,28.48,29.19,28.48,28.61,277922
2013-10-15,28.12,28.65,27.75,28.46,539497
2013-10-16,28.9,29.3,28.36,28.37,331980
2013-10-17,29.22,29.22,28.64,28.97,507437
2013-10-18,29.36,29.85,29.29,29.36,453468
2013-10-21,29.19,29.72,28.86,29.33,234437
2013-10-22,29.1,29.38,29.02,29.16,184825
2013-10-23,29.0,29.0499,28.72,29.04,116826
2013-10-24,28.99,29.1799,28.65,29.07,162126
2013-10-25,28.75,29.04,28.54,28.87,125162
2013-10-28,29.17,29.6,28.77,28.84,312588
2013-10-29,29.18,29.52,28.84,29.29,227863
2013-10-30,29.03,29.49,28.42,29.34,252421
2013-10-31,29.05,29.73,28.921,29.11,366751
2013-11-01,29.04,29.14,28.62,29.01,194197
2013-11-04,29.33,29.46,29.03,29.1,167014
2013-11-05,29.22,29.44,28.75,29.33,139805
2013-11-06,29.0,29.36,28.93,29.32,254407
2013-11-07,28.51,29.15,28.13,29.14,239313
2013-11-08,28.36,29.0,28.32,28.43,297423
2013-11-11,28.36,28.51,28.12,28.4011,387968
2013-11-12,28.34,28.52,28.12,28.4,256373
2013-11-13,28.07,28.33,27.912,28.19,418929
2013-11-14,28.6,29.24,28.29,28.44,952863
2013-11-15,28.75,28.98,27.9047,28.79,426841
2013-11-18,28.96,29.5,28.58,28.87,253682
2013-11-19,27.7,29.0,27.5175,29.0,1222023
2013-11-20,28.18,28.4,27.0,27.79,406164
2013-11-21,28.89,28.97,28.0,28.29,343615
2013-11-22,29.2,29.21,28.7301,28.9,486836
2013-11-25,29.04,29.53,28.91,29.11,155170
2013-11-26,28.94,29.53,28.86,28.97,482416
2013-11-27,30.0,30.06,28.94,28.94,482847
2013-11-28,30.0,30.0,30.0,30.0,0
2013-11-29,29.62,30.39,29.59,30.11,98420
2013-12-02,29.5,29.63,29.19,29.61,925658
2013-12-03,29.27,29.93,28.97,29.52,412369
2013-12-04,29.91,30.03,29.19,29.28,325238
2013-12-05,30.32,30.74,29.79,29.82,297500
2013-12-06,30.99,31.13,30.39,30.5,580015
2013-12-09,32.25,32.54,30.97,31.05,822881
2013-12-10,31.95,32.33,31.591,32.33,494641
2013-12-11,31.26,32.006,31.21,31.88,381311
2013-12-12,31.44,31.675,30.84,31.12,363739
2013-12-13,32.44,32.99,31.47,31.66,499067
2013-12-16,33.31,33.35,31.23,32.02,659472
2013-12-17,32.48,33.28,32.22,33.28,1034090
