Date,Close,High,Low,Open,Volume
2010-01-01,21.7125,21.985,21.665,21.925,0
2010-01-04,21.8675,22.1,21.785,21.9175,1030520
2010-01-05,22.025,22.025,21.7875,21.8,929088
2010-01-06,22.2675,22.3675,21.9275,22.0725,1003012
2010-01-07,22.47,22.525,22.1525,22.385,900708
2010-01-08,22.37,22.7075,22.33,22.66,1191540
2010-01-11,22.8575,22.865,22.4625,22.5,1478936
2010-01-12,22.9375,22.95,22.625,22.75,1735012
2010-01-13,23.0275,23.17,22.855,23.0,933844
2010-01-14,23.105,23.1425,23.0075,23.0825,1047531
2010-01-15,22.8975,23.15,22.67,23.15,1620732
2010-01-18,22.8975,23.15,22.67,23.15,0
2010-01-19,23.2625,23.265,22.925,22.93,1153012
2010-01-20,23.4875,23.52,23.075,23.225,1568148
2010-01-21,23.5175,23.6375,23.315,23.6025,1676188
2010-01-22,22.73,23.46,22.675,23.46,2318512
2010-01-25,22.955,23.105,22.4975,22.7275,1687824
2010-01-26,22.92,23.06,22.7925,22.7975,721800
2010-01-27,22.89,22.9925,22.75,22.8425,771544
2010-01-28,22.635,23.185,22.5975,22.8575,1391184
2010-01-29,22.405,22.8,22.405,22.7925,1447992
2010-02-01,22.5575,22.6325,22.25,22.4,871456
2010-02-02,23.2575,23.29,22.52,22.6425,1145564
2010-02-03,23.11,23.475,23.0625,23.255,1589948
2010-02-04,22.415,23.1225,22.345,23.0525,2504528
2010-02-05,22.43,22.47,21.3125,22.11,5664864
2010-02-08,21.7625,22.4012,21.74,22.4012,3235036
2010-02-09,21.6625,22.0625,21.4025,22.0,2900224
2010-02-10,21.4525,21.6125,21.1525,21.5275,2036052
2010-02-11,21.5875,21.625,21.27,21.375,2305992
2010-02-12,21.8325,21.8325,21.4937,21.5425,1396936
2010-02-15,21.8325,21.8325,21.4937,21.5425,0
2010-02-16,22.0275,22.0325,21.565,21.865,1773352
2010-02-17,22.4525,22.4775,22.0275,22.14,1539524
2010-02-18,22.67,22.685,22.355,22.485,1851608
2010-02-19,22.625,22.8125,22.4975,22.6975,1789656
2010-02-22,22.8425,22.8672,22.5435,22.765,2007744
2010-02-23,22.54,22.8675,22.4775,22.8675,2539376
2010-02-24,22.7525,22.7675,22.6,22.72,2406584
2010-02-25,22.815,22.815,22.425,22.545,2724812
2010-02-26,22.9575,22.99,22.6975,22.875,3396396
2010-03-01,23.4075,23.4375,22.5075,22.965,2104452
2010-03-02,23.7825,23.7825,23.485,23.505,1834232
2010-03-03,23.865,23.87,23.64,23.835,1813716
2010-03-04,23.9525,23.9825,23.85,23.9375,1507584
2010-03-05,24.2325,24.235,23.92,23.985,1243568
2010-03-08,24.195,24.3125,24.154,24.235,925076
2010-03-09,24.0875,24.2925,23.995,24.21,784192
2010-03-10,24.295,24.315,24.0375,24.0375,989008
2010-03-11,24.3025,24.3075,23.805,24.2675,966784
