Date,Close,High,Low,Open,Volume
2010-01-01,11.55,11.92,11.48,11.84,0
2010-01-04,11.89,11.91,11.6,11.75,774357
2010-01-05,11.81,11.95,11.69,11.93,642542
2010-01-06,11.85,12.09,11.73,11.73,1144157
2010-01-07,11.76,11.97,11.58,11.78,595551
2010-01-08,11.5,11.75,11.49,11.73,411986
2010-01-11,11.59,12.09,11.57,11.68,453318
2010-01-12,11.18,11.51,11.17,11.43,566973
2010-01-13,11.38,11.38,11.25,11.28,415772
2010-01-14,11.34,11.44,11.24,11.27,263385
2010-01-15,11.39,11.5,11.28,11.4,791282
2010-01-18,11.39,11.5,11.28,11.4,0
2010-01-19,11.72,11.76,11.33,11.39,584766
2010-01-20,11.75,11.79,11.47,11.57,630685
2010-01-21,11.56,11.84,11.52,11.8,1092572
2010-01-22,11.48,11.71,11.43,11.57,811432
2010-01-25,11.52,11.59,11.36,11.59,635582
2010-01-26,11.35,11.52,11.3,11.47,462979
2010-01-27,11.4,11.41,11.09,11.31,581533
2010-01-28,11.3,11.4,11.08,11.3,601715
2010-01-29,11.35,11.52,11.16,11.3,693783
2010-02-01,11.46,11.62,11.33,11.42,495800
2010-02-02,11.72,11.83,11.49,11.51,844469
2010-02-03,11.61,11.73,11.55,11.63,531658
2010-02-04,11.18,11.67,11.13,11.55,610719
2010-02-05,11.35,11.38,11.01,11.2,420025
2010-02-08,11.13,11.44,11.1,11.3,413114
2010-02-09,11.08,11.42,10.92,11.28,646505
2010-02-10,11.13,11.33,10.8,11.05,517857
2010-02-11,11.29,11.34,10.88,11.07,361197
2010-02-12,11.36,11.38,11.08,11.11,402770
2010-02-15,11.36,11.38,11.08,11.11,0
2010-02-16,11.59,11.6099,11.32,11.5,441729
2010-02-17,11.6,11.74,11.57,11.68,574911
2010-02-18,11.84,11.87,11.52,11.62,347909
2010-02-19,12.07,12.18,11.78,11.83,656768
2010-02-22,12.0,12.33,12.0,12.16,868571
2010-02-23,11.52,11.66,10.78,11.08,2375143
2010-02-24,11.5,11.6,11.46,11.6,980042
2010-02-25,11.43,11.52,11.32,11.33,759373
2010-02-26,11.28,11.456,11.24,11.38,1137402
2010-03-01,11.34,11.53,11.25,11.36,631557
2010-03-02,11.17,11.53,11.1,11.4,1617105
2010-03-03,11.31,11.38,11.17,11.23,1791719
2010-03-04,11.73,11.74,11.31,11.31,401488
2010-03-05,12.21,12.29,11.78,11.78,896819
2010-03-08,12.48,12.49,12.23,12.27,685073
2010-03-09,12.66,13.06,12.4,12.4,1824766
2010-03-10,12.66,12.82,12.55,12.64,820052
2010-03-11,12.56,12.56,12.315,12.49,1018875
2010-03-12,12.72,12.79,12.59,12.64,784243
2010-03-15,12.8,12.86,12.6,12.73,579954
2010-03-16,13.1,13.15,12.85,12.9,852817
2010-03-17,13.13,13.31,13.04,13.1,533286
2010-03-18,13.18,13.29,13.0,13.1,454173
2010-03-19,12.87,13.31,12.85,13.25,1690404
2010-03-22,12.9,12.94,12.65,12.77,1123561
2010-03-23,13.06,13.13,12.75,12.87,725071
2010-03-24,13.04,13.32,12.95,12.95,614070
2010-03-25,12.9,13.35,12.89,13.13,854016
2010-03-26,13.0,13.16,12.9,13.0,697570
2010-03-29,13.03,13.13,12.915,13.01,573947
2010-03-30,13.07,13.145,12.96,13.06,513719
2010-03-31,12.68,13.04,12.62,12.95,727425
2010-04-01,12.71,12.79,12.515,12.73,536531
2010-04-02,12.71,12.79,12.515,12.73,0
2010-04-05,13.04,13.04,12.73,12.75,330794
2010-04-06,13.4,13.41,12.9,12.9,574448
2010-04-07,13.56,13.675,13.34,13.34,1028621
2010-04-08,13.43,13.65,13.39,13.52,705987
2010-04-09,13.79,13.84,13.31,13.42,542527
2010-04-12,13.63,13.855,13.6,13.71,663447
2010-04-13,14.1,14.17,13.5,13.62,773230
2010-04-14,14.39,14.41,14.01,14.17,704020
2010-04-15,13.69,14.39,13.69,14.39,713310
2010-04-16,13.36,13.71,13.2,13.64,1328731
2010-04-19,13.5,13.54,13.15,13.29,647731
2010-04-20,13.61,13.61,13.36,13.55,893916
2010-04-21,14.09,14.14,13.58,13.59,556795
2010-04-22,14.13,14.22,13.82,13.87,328302
2010-04-23,14.5,14.5,14.03,14.19,496782
2010-04-26,14.83,14.87,14.44,14.47,556740
2010-04-27,14.34,14.89,14.32,14.72,832349
2010-04-28,14.22,14.52,14.19,14.43,648702
2010-04-29,15.16,15.16,14.4,14.4,647853
2010-04-30,15.02,15.24,14.79,15.15,1180615
2010-05-03,15.56,15.78,14.97,15.08,1209001
2010-05-04,15.6,15.78,15.04,15.04,1074082
2010-05-05,15.83,15.99,15.25,15.39,1594722
2010-05-06,15.37,15.99,14.65,15.76,2038621
2010-05-07,15.05,15.59,14.79,15.22,1780877
2010-05-10,15.92,16.32,15.64,15.94,1387388
2010-05-11,15.86,16.08,15.45,15.62,1471890
2010-05-12,16.23,16.26,15.85,15.95,1736216
2010-05-13,15.84,16.26,15.7,16.17,811311
2010-05-14,15.65,15.71,15.4,15.71,995005
2010-05-17,15.87,16.2,15.12,15.79,1269873
2010-05-18,15.17,16.19,15.02,16.16,958270
2010-05-19,14.93,15.32,14.59,15.05,767757
2010-05-20,14.02,14.78,14.0,14.48,1237052
2010-05-21,14.64,14.64,13.7,13.7,1248014
2010-05-24,14.44,14.83,14.41,14.61,625548
2010-05-25,14.37,14.44,13.72,13.96,728416
2010-05-26,14.46,14.97,14.34,14.65,895767
2010-05-27,15.27,15.28,14.72,14.88,772111
2010-05-28,15.04,15.26,14.8,15.23,987358
