Date,Close,High,Low,Open,Volume
2010-01-01,10.0,10.06,9.92,10.04,0
2010-01-04,10.28,10.28,10.0455,10.17,60855796
2010-01-05,10.96,11.24,10.4,10.45,215620138
2010-01-06,11.37,11.46,11.13,11.21,200070554
2010-01-07,11.66,11.69,11.32,11.46,130201626
2010-01-08,11.69,11.74,11.46,11.67,130462911
2010-01-11,12.11,12.14,11.78,11.9,170626174
2010-01-12,11.87,12.03,11.72,11.98,162995898
2010-01-13,11.68,11.93,11.47,11.91,154527028
2010-01-14,11.76,11.86,11.51,11.65,116572673
2010-01-15,11.6,11.76,11.55,11.74,96174717
2010-01-18,11.6,11.76,11.55,11.74,0
2010-01-19,11.75,11.83,11.46,11.51,65933944
2010-01-20,11.51,11.69,11.5,11.68,71649459
2010-01-21,11.18,11.62,11.01,11.53,121451396
2010-01-22,10.52,11.12,10.41,11.01,161530010
2010-01-25,11.03,11.1,10.61,10.73,121621423
2010-01-26,11.19,11.46,11.07,11.17,108250462
2010-01-27,11.55,11.62,11.22,11.57,105091531
2010-01-28,11.41,11.95,11.27,11.9,203466724
2010-01-29,10.84,11.61,10.7,11.6,159741164
2010-02-01,11.12,11.18,10.93,11.14,82748130
2010-02-02,11.39,11.52,11.19,11.26,119785377
2010-02-03,11.64,11.66,11.42,11.49,90125495
2010-02-04,11.06,11.53,11.0,11.49,129792142
2010-02-05,10.91,11.11,10.49,10.97,181535182
2010-02-08,10.97,11.32,10.88,11.09,92031327
2010-02-09,11.15,11.22,11.02,11.18,83207091
2010-02-10,10.94,11.14,10.9,11.12,73395561
2010-02-11,11.18,11.185,10.88,11.0,65116156
2010-02-12,11.12,11.18,10.85,10.92,69465400
2010-02-15,11.12,11.18,10.85,10.92,0
2010-02-16,11.32,11.38,11.11,11.21,62537480
2010-02-17,11.49,11.52,11.35,11.41,65983124
2010-02-18,11.38,11.48,11.29,11.42,53406735
2010-02-19,11.29,11.4,11.26,11.34,46989996
2010-02-22,11.21,11.38,11.18,11.36,41993070
2010-02-23,11.6,11.63,11.15,11.18,114688393
2010-02-24,11.73,11.88,11.65,11.72,84200733
2010-02-25,11.78,11.83,11.4,11.53,83114433
2010-02-26,11.74,11.85,11.61,11.83,72368345
2010-03-01,12.41,12.42,11.75,11.81,142605445
2010-03-02,12.22,12.68,12.18,12.62,193706534
2010-03-03,12.69,12.83,12.35,12.46,157004555
2010-03-04,12.79,12.8,12.52,12.75,89836710
2010-03-05,13.0,13.04,12.83,12.94,106920602
2010-03-08,12.93,12.96,12.79,12.94,78903174
2010-03-09,12.8,13.03,12.73,12.83,83934217
2010-03-10,12.82,12.95,12.8,12.86,56850540
2010-03-11,12.91,12.97,12.75,12.79,59385985
2010-03-12,13.34,13.37,12.98,13.02,104770909
2010-03-15,13.4,13.63,13.32,13.46,95198188
2010-03-16,13.49,13.51,13.32,13.49,74692616
2010-03-17,14.1,14.15,13.55,13.55,137318668
2010-03-18,13.73,14.54,13.65,14.21,235094317
2010-03-19,13.29,13.92,13.04,13.91,246672856
2010-03-22,13.99,14.0,12.81,12.96,170576031
2010-03-23,13.9,14.3,13.81,14.17,167002341
2010-03-24,13.9,14.05,13.76,13.77,91820854
2010-03-25,13.8,14.12,13.76,14.05,88909207
2010-03-26,13.86,13.98,13.76,13.9,60400334
2010-03-29,13.57,13.8841,13.39,13.7,158224973
2010-03-30,13.28,13.64,13.18,13.55,142055129
2010-03-31,12.57,12.95,12.42,12.82,433659040
2010-04-01,12.63,12.95,12.58,12.85,212952064
2010-04-02,12.63,12.95,12.58,12.85,0
2010-04-05,12.77,12.92,12.76,12.89,88957147
2010-04-06,12.7,12.88,12.6,12.78,76423715
2010-04-07,12.58,12.82,12.53,12.7,88112383
2010-04-08,12.63,12.71,12.34,12.55,77491353
2010-04-09,12.72,12.84,12.61,12.72,60408583
2010-04-12,12.77,12.81,12.64,12.72,50544171
2010-04-13,12.79,12.89,12.71,12.75,70878260
2010-04-14,13.35,13.43,12.86,12.92,153602044
2010-04-15,13.76,13.88,13.41,13.42,159110456
2010-04-16,13.42,13.92,13.3,13.84,149644441
2010-04-19,13.6,13.75,13.36,13.38,95855052
2010-04-20,13.91,13.94,13.67,13.72,75630699
2010-04-21,14.13,14.15,13.92,14.02,120393065
2010-04-22,14.2,14.23,13.85,14.0,93331069
2010-04-23,14.21,14.39,14.11,14.22,92002193
2010-04-26,14.46,14.57,14.28,14.39,123029116
2010-04-27,13.57,14.5,13.15,14.44,292667383
2010-04-28,13.25,13.45,12.9,13.39,208023452
2010-04-29,13.58,13.7,13.38,13.44,110114356
2010-04-30,13.02,13.73,12.96,13.64,146322816
2010-05-03,13.3,13.49,13.18,13.18,106416777
2010-05-04,12.85,13.08,12.75,13.07,123207308
2010-05-05,12.34,12.7,11.59,12.32,198525532
2010-05-06,11.78,12.51,10.59,12.17,237086247
2010-05-07,11.51,11.97,10.95,11.95,261066491
2010-05-10,12.15,12.56,12.02,12.54,134388670
2010-05-11,12.31,12.56,11.85,11.99,125738941
2010-05-12,12.68,12.71,12.49,12.57,102656959
2010-05-13,12.42,12.87,12.32,12.85,100159960
2010-05-14,12.11,12.35,11.87,12.21,105855905
