Date,Close,High,Low,Open,Volume
2011-09-16,12.7,12.93,11.0,11.9,963294
2011-09-19,13.78,13.78,12.0,12.25,665400
2011-09-20,13.7,14.02,13.33,13.98,794825
2011-09-21,13.4,14.0,13.18,13.8,619015
2011-09-22,13.2,13.25,12.4,13.09,1230488
2011-09-23,12.25,13.4,12.02,13.4,406175
2011-09-26,12.67,12.67,11.39,12.39,181854
2011-09-27,13.37,14.34,12.75,12.75,1788004
2011-09-28,12.85,13.7,12.75,13.29,251689
2011-09-29,13.17,13.25,12.67,13.0,222290
2011-09-30,12.4,13.25,12.06,13.03,623140
2011-10-03,12.3,12.68,11.75,12.0,23632234
2011-10-04,12.3,13.25,11.05,12.19,6068137
2011-10-05,12.2,12.3,11.26,11.55,1982954
2011-10-06,12.76,12.98,11.9,11.9,3333556
2011-10-07,12.35,13.0,12.27,12.59,2049856
2011-10-10,12.37,12.44,11.99,12.35,1922446
2011-10-11,12.48,12.76,11.48,11.5,3015144
2011-10-12,12.6,12.8,12.38,12.46,3255075
2011-10-13,12.62,12.77,12.15,12.4,3575238
2011-10-14,13.01,13.07,12.38,12.62,1658695
2011-10-17,13.72,13.73,13.0,13.03,1767585
2011-10-18,14.48,15.25,13.78,13.8,5257331
2011-10-19,15.06,15.25,14.33,14.33,3400059
2011-10-20,14.93,15.24,14.68,14.91,1252869
2011-10-21,14.95,15.49,14.78,15.11,1741267
2011-10-24,15.8,16.4,14.92,14.92,2008792
2011-10-25,14.78,15.83,14.75,15.74,2284830
2011-10-26,14.88,15.33,14.51,14.71,856825
2011-10-27,15.65,15.9,14.97,14.98,1132861
2011-10-28,14.92,15.33,14.76,15.27,1000623
2011-10-31,14.53,15.26,14.46,14.7,1162112
2011-11-01,14.67,14.91,14.11,14.26,1174822
2011-11-02,15.07,15.5,14.62,14.8,1289198
2011-11-03,15.0,15.5,14.5,15.42,2279821
2011-11-04,15.0,15.06,14.72,14.77,611628
2011-11-07,14.79,14.98,14.66,14.88,1101910
2011-11-08,15.09,15.53,14.8,14.83,708763
2011-11-09,14.9,15.15,14.8,14.87,1301308
2011-11-10,15.7,15.81,14.85,14.91,801667
2011-11-11,15.25,16.0,15.12,15.88,476895
2011-11-14,15.03,15.49,14.92,15.11,325857
2011-11-15,15.49,15.72,14.8,14.94,569380
2011-11-16,15.04,15.47,14.95,15.31,703148
2011-11-17,15.53,15.62,14.88,14.95,699085
2011-11-18,15.51,15.69,15.38,15.64,449495
2011-11-21,15.26,15.35,14.98,15.25,706737
2011-11-22,15.37,15.44,15.15,15.15,428687
2011-11-23,15.31,15.44,15.0,15.23,501133
2011-11-24,15.31,15.31,15.31,15.31,0
2011-11-25,15.45,15.5,15.15,15.2,95912
2011-11-28,15.97,16.0,15.49,15.81,507548
2011-11-29,16.01,16.39,15.67,15.96,461702
2011-11-30,16.68,16.74,16.21,16.37,2037185
2011-12-01,15.99,16.8,15.94,16.61,663984
2011-12-02,16.52,16.57,16.15,16.19,950575
2011-12-05,16.45,16.84,16.34,16.69,406513
2011-12-06,16.47,16.69,16.3,16.48,787712
2011-12-07,16.45,16.64,15.75,16.26,538736
2011-12-08,16.41,16.54,15.9501,16.15,707663
2011-12-09,17.01,17.09,16.32,16.39,787162
2011-12-12,16.32,16.94,16.16,16.87,563276
2011-12-13,15.78,16.48,15.68,16.33,313631
2011-12-14,15.98,16.05,15.4,15.68,377821
2011-12-15,15.91,16.53,15.7,16.12,797632
2011-12-16,15.59,15.97,15.33,15.92,2164401
2011-12-19,15.33,15.92,15.2,15.61,778042
2011-12-20,15.75,15.82,15.53,15.56,513464
2011-12-21,16.2,16.3875,15.65,15.69,775906
2011-12-22,16.45,16.53,16.22,16.31,1535439
2011-12-23,16.7,16.84,16.5,16.52,305372
2011-12-26,16.7,16.7,16.7,16.7,0
2011-12-27,16.65,16.84,16.5206,16.59,171982
2011-12-28,16.39,16.65,16.34,16.6,598952
2011-12-29,16.64,16.72,16.23,16.36,537205
2011-12-30,17.03,17.04,16.62,16.62,402055
2012-01-02,17.03,17.03,17.03,17.03,0
2012-01-03,16.82,17.36,16.76,17.26,1442178
2012-01-04,17.03,17.1,16.72,16.75,1958428
2012-01-05,17.33,17.7,16.88,16.93,1579900
2012-01-06,17.65,18.0,17.08,17.37,642105
2012-01-09,17.78,17.93,17.27,17.69,654789
2012-01-10,18.02,18.105,17.72,18.0,691884
2012-01-11,17.98,18.02,17.75,17.9,3590610
2012-01-12,18.29,18.35,17.977,18.32,1250395
2012-01-13,18.22,18.35,17.82,18.18,564301
2012-01-16,18.22,18.22,18.22,18.22,0
2012-01-17,17.92,18.375,17.81,18.3,496025
2012-01-18,17.81,18.0,17.58,17.89,1438165
2012-01-19,18.1,18.17,17.77,17.82,596083
2012-01-20,17.89,18.12,17.77,18.12,1201843
2012-01-23,17.78,18.04,17.6,17.86,1738001
2012-01-24,17.86,17.86,17.52,17.71,318773
2012-01-25,17.9,17.9,17.56,17.85,975385
2012-01-26,17.91,17.9817,17.7,17.89,667393
2012-01-27,17.95,18.0291,17.8,17.87,424875
2012-01-30,18.32,18.35,17.74,17.75,704958
2012-01-31,18.57,18.66,18.36,18.36,703587
2012-02-01,18.89,19.2,18.5,18.54,2145795
2012-02-02,19.25,19.25,18.58,18.87,837945
2012-02-03,19.55,19.83,19.32,19.32,1732836
2012-02-06,18.84,19.44,18.8,19.44,907468
2012-02-07,18.65,18.8,18.28,18.8,1368992
2012-02-08,19.11,19.14,18.51,18.64,1063886
2012-02-09,19.22,19.32,18.935,19.1,957166
2012-02-10,19.34,19.39,18.97,19.06,1215194
2012-02-13,19.52,19.53,19.11,19.41,803195
2012-02-14,19.72,19.8,19.26,19.36,929362
2012-02-15,19.49,20.15,19.33,19.9,1058641
2012-02-16,19.52,19.66,19.3,19.44,650888
2012-02-17,19.32,19.73,19.3,19.56,470226
2012-02-20,19.32,19.32,19.32,19.32,0
2012-02-21,19.46,19.64,19.3,19.31,668047
2012-02-22,19.24,19.46,19.2,19.4,922546
2012-02-23,19.75,19.77,18.85,19.16,1001730
2012-02-24,19.41,19.8,19.29,19.68,631868
2012-02-27,19.45,19.55,19.23,19.31,802017
2012-02-28,19.24,19.56,19.22,19.44,1669468
2012-02-29,19.34,19.515,19.24,19.29,1533710
2012-03-01,19.37,19.5,19.19,19.5,1196416
2012-03-02,19.15,19.43,19.0,19.33,979467
2012-03-05,19.25,19.28,19.004,19.11,698387
2012-03-06,19.02,19.12,18.77,19.08,1442723
2012-03-07,19.5,19.52,18.86,19.13,2065411
2012-03-08,20.13,20.24,19.5,19.65,1058488
2012-03-09,20.95,20.98,19.95,20.09,903046
2012-03-12,21.02,21.18,20.17,20.17,1441775
2012-03-13,21.57,21.91,21.05,21.12,1588523
2012-03-14,21.23,21.589,20.87,21.49,724191
2012-03-15,21.3,21.34,21.0,21.23,1316217
2012-03-16,21.41,21.53,20.89,21.33,7184100
2012-03-19,21.45,21.6,21.26,21.46,1483458
2012-03-20,21.16,21.35,20.96,21.3,598695
2012-03-21,21.12,21.25,20.81,21.19,766313
2012-03-22,21.29,21.32,20.86,21.04,1309122
2012-03-23,21.33,21.36,20.97,21.19,2046131
2012-03-26,21.61,21.7,21.42,21.45,803929
2012-03-27,21.65,21.95,21.5,21.57,1284684
2012-03-28,22.25,22.25,21.55,21.59,2144071
2012-03-29,22.2,22.25,21.85,22.08,684606
2012-03-30,22.07,22.32,21.96,22.28,805520
2012-04-02,21.71,22.02,21.7,22.0,1340291
2012-04-03,21.61,21.7,21.46,21.69,1175039
2012-04-04,21.34,21.51,20.99,21.41,1287836
2012-04-05,21.38,21.63,21.16,21.33,1556727
2012-04-06,21.38,21.38,21.38,21.38,0
2012-04-09,21.0,21.09,20.88,21.05,1041777
2012-04-10,20.21,20.94,20.05,20.92,1883351
2012-04-11,20.54,20.67,20.19,20.37,652466
2012-04-12,20.99,21.12,20.52,20.53,596669
2012-04-13,20.69,21.07,20.64,20.9,2775106
2012-04-16,20.72,20.84,20.37,20.77,589768
