Date,Close,High,Low,Open,Volume
2010-01-01,83.45,84.7399,83.3,84.21,0
2010-01-04,83.45,85.0,83.11,84.21,3215569
2010-01-05,84.54,84.59,82.64,83.44,2493465
2010-01-06,83.84,85.12,83.61,84.33,2490997
2010-01-07,82.93,83.85,82.4,83.85,3093139
2010-01-08,84.99,85.26,82.95,84.08,4351109
2010-01-11,87.25,88.29,85.4,85.59,6132193
2010-01-12,86.58,88.68,85.6,86.44,3345045
2010-01-13,85.82,87.33,85.15,86.95,2855612
2010-01-14,86.29,86.45,85.09,85.58,2104266
2010-01-15,85.11,86.8,84.93,86.34,4369604
2010-01-18,85.11,86.8,84.93,86.34,0
2010-01-19,85.9,86.26,84.97,84.97,2289208
2010-01-20,84.06,84.8,83.08,84.75,2793032
2010-01-21,81.6,84.48,81.3,84.35,2865471
2010-01-22,80.29,81.86,80.19,81.32,2551808
2010-01-25,80.69,81.22,79.15,81.22,1878470
2010-01-26,80.76,81.2315,79.51,80.46,2272727
2010-01-27,80.42,80.77,78.61,80.75,3524155
2010-01-28,79.07,80.98,78.39,80.98,1974167
2010-01-29,78.35,80.7,78.3,79.68,3139660
2010-02-01,80.67,80.73,78.76,78.81,3063152
2010-02-02,82.33,82.55,80.36,81.07,3217377
2010-02-03,82.12,82.85,80.91,81.66,2593666
2010-02-04,78.85,81.74,78.75,81.36,3830304
2010-02-05,76.69,79.25,75.17,78.85,5535279
2010-02-08,76.69,77.77,75.31,76.82,2967000
2010-02-09,79.22,79.72,76.96,77.27,4694742
2010-02-10,78.29,79.29,77.52,79.16,2196718
2010-02-11,79.53,79.78,77.44,78.38,2272795
2010-02-12,78.55,78.68,77.51,78.4,2901990
2010-02-15,78.55,78.68,77.51,78.4,0
2010-02-16,79.97,80.2,78.92,79.25,2649160
2010-02-17,79.94,80.49,78.93,80.22,2484395
2010-02-18,80.1,80.39,79.37,79.67,1714204
2010-02-19,81.76,82.44,80.1,80.2,2999972
2010-02-22,82.36,83.14,81.52,82.5,2218742
2010-02-23,81.49,83.12,80.92,82.13,2217269
2010-02-24,83.08,83.61,81.73,81.93,3083382
2010-02-25,83.18,83.27,80.27,81.28,3007008
2010-02-26,84.76,84.98,82.32,83.5,3029971
2010-03-01,85.81,86.45,84.83,85.0,2418912
2010-03-02,85.41,87.12,85.21,86.58,3169288
