Date,Close,High,Low,Open,Volume
2010-01-01,32.73,33.3,32.72,33.14,0
2010-01-04,32.64,33.22,32.61,33.21,2269757
2010-01-05,32.72,32.81,32.38,32.61,1420634
2010-01-06,32.8,33.0491,32.73,32.97,1498415
2010-01-07,32.84,32.915,32.52,32.81,964827
2010-01-08,32.93,33.02,32.63,32.63,1293393
2010-01-11,32.57,33.03,32.38,32.94,1971325
2010-01-12,31.915,32.53,31.76,32.38,1643423
2010-01-13,31.82,32.1,31.66,32.04,1927480
2010-01-14,31.8,31.92,31.62,31.75,1228260
2010-01-15,30.81,32.06,30.77,31.95,3259124
2010-01-18,30.81,32.06,30.77,31.95,0
2010-01-19,31.29,31.56,30.851,30.92,2560131
2010-01-20,31.06,31.43,30.79,31.28,3338382
2010-01-21,31.1,31.55,30.99,31.17,2575050
2010-01-22,30.52,31.26,30.5,31.19,2921457
2010-01-25,30.69,30.91,30.1,30.52,2595525
2010-01-26,30.58,30.91,30.32,30.57,1547908
2010-01-27,30.57,30.71,30.19,30.66,1862554
2010-01-28,30.0,30.672,29.68,30.61,2334486
2010-01-29,29.58,30.33,29.55,30.02,1482476
2010-02-01,29.9,29.94,29.4,29.51,1154622
2010-02-02,30.08,30.25,29.65,29.87,929391
2010-02-03,30.11,30.21,29.81,29.87,937722
2010-02-04,29.57,29.95,29.56,29.91,1520087
2010-02-05,29.51,29.72,28.77,29.54,1619792
2010-02-08,29.42,29.7,28.83,29.43,1522742
2010-02-09,29.78,30.02,29.56,29.63,2072667
2010-02-10,29.67,29.955,29.37,29.58,1490122
2010-02-11,27.42,28.1,27.26,28.05,7702769
2010-02-12,26.62,27.19,26.5,27.12,4765502
2010-02-15,26.62,27.19,26.5,27.12,0
2010-02-16,26.64,26.78,26.25,26.68,2907433
2010-02-17,26.93,27.07,26.55,26.79,3119958
2010-02-18,26.96,27.2,26.7,26.8,2698839
2010-02-19,27.15,27.35,26.75,26.83,2085025
2010-02-22,26.96,27.29,26.88,27.2,1239336
2010-02-23,26.68,27.08,26.63,27.04,2103012
2010-02-24,26.79,26.86,26.55,26.72,1870974
2010-02-25,26.5,26.51,25.89,26.47,2936287
2010-02-26,26.81,26.85,26.2,26.48,1872473
2010-03-01,26.91,27.07,26.74,26.91,1693765
2010-03-02,26.6,26.91,26.5,26.86,3116329
2010-03-03,26.55,26.73,26.46,26.7,2062087
2010-03-04,26.49,26.655,26.35,26.55,1768430
2010-03-05,26.64,26.75,26.415,26.55,2773567
2010-03-08,26.49,26.75,26.45,26.7,1645251
2010-03-09,26.55,26.67,26.45,26.57,2236178
2010-03-10,26.63,26.76,26.5,26.53,2430638
2010-03-11,26.64,26.79,26.6,26.61,2855878
2010-03-12,26.68,26.81,26.53,26.7,1769728
2010-03-15,26.66,26.738,26.52,26.72,1292337
2010-03-16,26.8,26.87,26.5,26.63,1973240
2010-03-17,26.7,26.99,26.63,26.77,1866306
2010-03-18,26.91,27.01,26.71,26.8,3196790
2010-03-19,27.32,27.3222,26.8,26.93,3750717
2010-03-22,27.46,27.64,27.1,27.28,1674088
2010-03-23,27.84,27.84,27.46,27.64,1612390
2010-03-24,27.74,27.875,27.56,27.7,1746533
2010-03-25,27.9,28.07,27.73,27.92,2206686
2010-03-26,27.91,28.06,27.74,27.9,1591186
2010-03-29,27.97,28.25,27.8175,28.0,1506393
2010-03-30,28.03,28.1095,27.73,27.92,883205
2010-03-31,28.18,28.37,28.0,28.16,1462320
2010-04-01,28.09,28.51,27.88,28.34,1271681
2010-04-02,28.09,28.51,27.88,28.34,0
2010-04-05,28.27,28.47,28.02,28.09,2084120
2010-04-06,28.66,28.67,27.92,28.11,1659467
2010-04-07,28.93,28.99,28.52,28.52,2307150
2010-04-08,28.81,28.92,28.59,28.79,2221030
2010-04-09,28.91,28.96,28.68,28.81,1300417
2010-04-12,28.6,28.9,28.44,28.89,1565811
2010-04-13,28.22,28.46,28.04,28.4,1282882
2010-04-14,28.85,28.89,28.12,28.2,2120658
2010-04-15,28.79,28.93,28.69,28.8,1381319
2010-04-16,29.29,29.46,28.83,28.83,3281400
2010-04-19,29.1,29.47,28.93,29.27,2238316
2010-04-20,29.39,29.4,28.83,29.05,1436424
2010-04-21,29.72,29.88,29.23,29.42,2592259
2010-04-22,30.03,30.12,29.26,29.49,2756814
