Date,Close,High,Low,Open,Volume
2010-01-01,45.04,45.54,44.8915,45.14,0
2010-01-04,46.01,46.02,45.2,45.46,3553566
2010-01-05,45.98,46.41,45.605,46.02,2981259
2010-01-06,47.18,47.33,45.86,46.0,3951628
2010-01-07,48.97,49.08,47.36,47.72,5255695
2010-01-08,49.76,49.87,48.8,48.87,3994620
2010-01-11,49.98,50.31,49.62,50.05,3348515
2010-01-12,49.12,49.43,48.5,49.17,2950958
2010-01-13,49.44,49.58,48.43,49.34,3236439
2010-01-14,50.2,50.5,49.33,49.33,3406702
2010-01-15,49.09,50.13,49.0,50.04,3147386
2010-01-18,49.09,50.13,49.0,50.04,0
2010-01-19,49.5,49.61,48.92,49.1,2056436
2010-01-20,48.52,49.25,47.6424,49.14,3380850
2010-01-21,46.54,48.68,46.53,48.68,4270198
2010-01-22,46.41,47.68,46.4,46.5,3446696
2010-01-25,46.81,47.49,46.75,46.75,2015785
2010-01-26,46.76,47.38,46.425,46.6,1926125
2010-01-27,47.13,47.2,46.01,46.74,2524511
2010-01-28,46.05,47.89,45.3333,47.55,2386628
2010-01-29,45.34,47.14,45.21,46.36,2522728
2010-02-01,45.96,46.32,45.2,45.64,1658261
2010-02-02,47.6,47.65,46.01,46.39,3247863
2010-02-03,46.8,48.13,46.68,47.34,2742709
2010-02-04,44.31,46.4,44.0,46.4,5887281
2010-02-05,43.06,44.49,41.705,44.24,5709720
2010-02-08,42.44,43.82,42.43,43.25,4416021
2010-02-09,43.28,43.76,42.48,43.09,3971201
2010-02-10,43.53,43.8,42.44,43.33,2787419
2010-02-11,44.42,44.53,43.05,43.39,2889602
2010-02-12,44.11,44.22,43.31,43.81,2112711
2010-02-15,44.11,44.22,43.31,43.81,0
2010-02-16,45.49,45.58,44.66,44.75,2645188
2010-02-17,45.58,45.97,45.13,45.91,2600885
2010-02-18,46.81,47.02,45.3,45.41,2600666
2010-02-19,45.94,46.8,45.8,46.65,3274197
2010-02-22,46.4,47.33,46.14,47.11,3146009
2010-02-23,45.01,46.49,44.51,46.34,3541976
2010-02-24,45.28,45.4,44.77,45.26,1842185
2010-02-25,45.05,45.17,43.64,44.28,2760902
2010-02-26,42.8,43.2,41.85,43.0,10599915
2010-03-01,42.87,43.29,42.21,42.97,4447763
2010-03-02,42.75,43.35,42.4,43.13,3050689
2010-03-03,43.33,43.5,42.52,42.59,3676238
2010-03-04,43.66,43.73,43.26,43.6,2331734
2010-03-05,44.65,44.87,44.04,44.04,2776383
2010-03-08,44.89,44.94,44.2802,44.82,2069324
2010-03-09,45.14,45.45,44.66,44.7,1987801
2010-03-10,45.28,45.57,45.07,45.34,1914461
2010-03-11,45.86,45.89,44.95,45.24,1963533
2010-03-12,45.99,46.32,45.78,46.13,1747399
2010-03-15,45.68,45.88,44.95,45.73,1973889
2010-03-16,45.85,45.93,45.34,45.75,1362797
2010-03-17,46.2,46.57,45.94,45.94,1802992
2010-03-18,45.94,46.5,45.63,46.27,1472539
2010-03-19,45.25,46.2,45.02,46.03,2572569
2010-03-22,45.36,45.43,44.63,44.63,2204425
2010-03-23,45.85,45.95,45.06,45.31,1504905
2010-03-24,46.77,47.03,45.55,45.9,3903333
2010-03-25,46.22,47.4,46.12,47.37,2345099
2010-03-26,46.26,46.65,45.77,46.26,1429109
2010-03-29,46.98,47.08,46.42,46.57,2280159
2010-03-30,47.08,47.73,46.84,47.15,2216844
2010-03-31,46.51,46.9,46.27,46.8,1606751
2010-04-01,47.6,48.0101,46.84,46.84,2581217
2010-04-02,47.6,48.0101,46.84,46.84,0
2010-04-05,49.5,49.52,47.75,48.12,2946623
2010-04-06,49.97,50.49,49.11,49.4,3405784
2010-04-07,49.34,50.2,49.0,49.71,2997190
2010-04-08,49.74,49.76,48.5,49.08,3029845
2010-04-09,50.77,51.28,49.81,49.87,2735615
2010-04-12,51.19,51.37,50.45,51.18,2504917
2010-04-13,51.08,51.19,50.63,51.15,1958682
2010-04-14,51.69,51.76,51.14,51.5,2385533
2010-04-15,51.34,51.68,51.0,51.24,2905022
2010-04-16,50.66,51.53,49.65,51.24,3761819
2010-04-19,50.8,51.08,50.0,50.29,2471951
2010-04-20,52.36,52.49,51.22,51.34,2294012
2010-04-21,52.61,52.71,51.78,52.27,2166567
2010-04-22,53.11,53.2,51.55,52.13,1808315
2010-04-23,53.39,53.4,52.28,53.22,2370031
2010-04-26,53.01,53.9,52.71,53.28,1709028
2010-04-27,52.25,53.78,52.08,52.3,3698589
2010-04-28,53.2,53.74,52.61,52.61,2775728
2010-04-29,55.13,55.47,53.59,53.68,3914080
2010-04-30,52.84,55.3699,52.71,55.2,3022816
2010-05-03,53.61,53.74,52.33,53.1,2832914
2010-05-04,51.39,52.64,50.66,52.5,3115655
2010-05-05,50.81,51.15,49.4101,50.45,3392836
2010-05-06,49.25,51.52,45.8768,50.5,3776456
2010-05-07,45.95,48.94,45.6,48.9,7912882
2010-05-10,48.96,49.08,47.89,48.5,4383877
2010-05-11,50.47,51.34,47.26,48.2,7300880
2010-05-12,53.39,54.15,50.71,50.74,6465687
2010-05-13,53.1,53.83,52.91,53.4,4719731
2010-05-14,51.28,53.0,50.66,52.92,3547915
2010-05-17,50.31,51.63,48.61,51.37,5333764
2010-05-18,50.09,52.33,49.88,51.0,4417541
2010-05-19,48.28,49.82,47.14,49.37,4673057
2010-05-20,45.3,46.75,45.23,45.51,4880875
2010-05-21,45.79,46.68,44.01,44.1,4527898
2010-05-24,45.01,46.45,45.0,45.39,2744378
2010-05-25,45.15,45.15,43.52,43.77,3532663
2010-05-26,44.28,45.99,44.11,45.77,3430545
2010-05-27,47.81,47.83,46.03,46.52,3891825
2010-05-28,46.92,47.74,46.69,47.63,2536444
2010-05-31,46.92,47.74,46.69,47.63,0
2010-06-01,44.56,46.84,44.48,46.61,3321722
2010-06-02,45.6,45.66,44.32,44.84,2880147
2010-06-03,46.09,46.22,44.88,46.0,3395860
2010-06-04,43.99,45.13,43.75,44.12,3498822
2010-06-07,42.64,44.28,42.55,43.74,3028852
2010-06-08,43.87,44.05,42.65,42.76,3605177
2010-06-09,43.63,45.38,43.43,44.03,2826872
2010-06-10,45.59,45.65,44.44,44.8,1875557
2010-06-11,45.61,45.85,44.78,45.09,1500503
2010-06-14,45.81,47.04,45.7,46.18,1443931
2010-06-15,47.3,47.38,45.91,46.48,1707508
2010-06-16,47.03,47.41,46.45,46.87,1620835
2010-06-17,46.18,47.1,45.7,46.99,1769473
2010-06-18,46.47,46.76,46.18,46.33,1531233
2010-06-21,46.32,47.72,45.96,47.06,1449103
2010-06-22,45.42,46.92,45.28,46.21,1319991
2010-06-23,45.08,45.46,44.2,45.27,1409624
2010-06-24,43.81,44.9,43.48,44.68,1983554
2010-06-25,44.36,44.9,43.85,44.09,4777549
2010-06-28,43.46,44.6,43.41,44.58,2103775
2010-06-29,42.22,43.42,41.68,42.7,4267309
2010-06-30,42.5,43.34,42.01,42.21,2448182
2010-07-01,41.76,42.47,41.2,42.17,2684619
2010-07-02,41.76,42.44,41.21,42.44,1694981
2010-07-05,41.76,42.44,41.21,42.44,0
2010-07-06,42.56,43.04,41.8,42.55,2527696
2010-07-07,44.4,44.43,42.63,42.63,2540063
2010-07-08,45.2,45.34,44.53,44.73,2464701
2010-07-09,45.41,45.66,44.6,45.23,1513639
2010-07-12,44.67,45.22,44.42,45.22,1640478
2010-07-13,45.74,46.13,45.05,45.19,2706628
2010-07-14,44.98,45.5,44.43,45.44,2359654
2010-07-15,44.39,44.95,43.6,44.77,2259504
2010-07-16,42.79,44.06,42.67,44.06,1940078
2010-07-19,43.1,43.35,42.31,43.08,1446656
2010-07-20,44.38,44.45,42.26,42.3,2204562
2010-07-21,43.96,45.12,43.74,44.835,1782364
2010-07-22,46.02,46.35,44.75,44.86,2608629
2010-07-23,47.04,47.1,45.56,46.11,1881970
2010-07-26,47.85,47.96,46.62,47.24,2466078
2010-07-27,49.1,49.75,48.04,49.17,5788250
2010-07-28,48.59,49.13,48.25,49.01,3004876
2010-07-29,47.97,49.2,47.57,48.99,2295898
2010-07-30,48.29,48.5,46.86,47.14,1643425
2010-08-02,49.61,49.93,48.95,49.24,2305996
2010-08-03,48.97,49.57,48.71,49.33,1399956
2010-08-04,49.22,49.36,48.35,49.04,2048984
2010-08-05,48.86,49.28,48.31,48.88,1286370
2010-08-06,48.75,48.93,47.82,48.24,1176466
2010-08-09,49.23,49.31,48.71,49.15,1136371
2010-08-10,48.74,49.04,48.28,48.61,1659692
2010-08-11,46.66,47.7,46.3,47.7,2312962
2010-08-12,46.3,46.71,45.52,45.67,2026309
2010-08-13,46.08,46.74,45.89,45.95,1047903
2010-08-16,45.9,46.4,45.44,45.76,1273355
2010-08-17,47.0,47.71,46.42,46.56,1780973
2010-08-18,47.76,48.13,46.74,46.89,2455383
2010-08-19,46.75,47.51,46.57,47.33,2216043
2010-08-20,46.59,46.62,45.35,46.24,2204323
2010-08-23,46.31,47.59,46.29,46.79,1344014
2010-08-24,45.04,45.62,44.66,45.49,2097992
2010-08-25,44.96,45.15,44.04,44.55,1656980
2010-08-26,44.59,45.52,44.3,45.16,1684004
2010-08-27,45.75,45.77,44.31,45.06,1404629
2010-08-30,44.89,46.02,44.89,45.49,1177008
2010-08-31,44.66,44.9199,44.16,44.57,2054317
2010-09-01,46.34,46.64,45.3,45.38,2135369
2010-09-02,47.42,47.5,46.35,46.55,1659382
2010-09-03,48.08,48.65,47.9825,48.16,1843531
2010-09-06,48.08,48.65,47.9825,48.16,0
2010-09-07,47.67,48.41,47.54,48.05,1798435
2010-09-08,48.07,48.216,47.65,47.65,1586691
2010-09-09,48.0,48.87,47.76,48.75,1519067
2010-09-10,48.59,49.0,48.03,48.23,1284265
2010-09-13,49.76,50.04,49.13,49.26,2742404
2010-09-14,48.94,49.72,48.65,49.72,1958969
2010-09-15,48.99,49.03,48.17,48.57,1015441
2010-09-16,48.68,49.04,48.2,48.82,1113583
2010-09-17,48.63,49.17,48.25,49.06,1642592
2010-09-20,49.89,50.05,48.81,48.95,2437088
2010-09-21,50.46,50.86,49.72,49.8,2222759
2010-09-22,49.56,51.0,49.27,50.23,2050484
2010-09-23,48.16,49.23,48.0,48.86,2314869
2010-09-24,48.91,49.34,48.835,48.92,2408635
2010-09-27,48.87,49.24,48.555,48.92,1237529
2010-09-28,50.06,50.3,48.32,49.13,2497481
2010-09-29,49.59,50.425,49.37,49.47,2140249
2010-09-30,49.53,50.4,49.36,50.14,1902491
2010-10-01,50.35,50.84,50.0,50.0,1957571
2010-10-04,49.66,50.96,49.17,50.29,2282950
2010-10-05,51.74,52.41,50.215,50.29,2945853
2010-10-06,52.05,52.228,51.23,51.51,1781704
2010-10-07,52.34,52.54,51.56,52.38,2064788
2010-10-08,52.66,52.84,51.67,52.34,1511555
2010-10-11,51.91,52.54,51.68,52.52,1680732
2010-10-12,51.42,51.65,50.59,51.65,2009509
2010-10-13,52.59,53.34,51.695,51.82,2235545
2010-10-14,52.48,52.85,51.93,52.64,1704046
2010-10-15,51.87,52.74,51.29,52.73,2154297
2010-10-18,49.23,50.72,48.1001,49.72,8858367
2010-10-19,48.99,49.53,48.48,48.6,4379891
2010-10-20,49.2,50.13,48.801,48.95,3175269
2010-10-21,49.93,50.16,49.42,49.46,2839815
2010-10-22,49.47,50.02,49.25,50.0,1354458
2010-10-25,49.57,50.5,49.53,50.0,1657610
2010-10-26,49.92,50.21,49.25,49.35,1633936
2010-10-27,49.1,49.4999,48.36,49.48,1884743
2010-10-28,49.08,49.75,48.77,49.29,1665180
2010-10-29,48.19,49.7895,47.94,48.81,3862334
2010-11-01,48.82,49.07,48.26,48.28,1412164
2010-11-02,49.47,49.65,49.2,49.41,1599579
2010-11-03,49.56,49.71,48.75,49.56,1662393
2010-11-04,49.8,50.8891,49.62,50.08,3217251
2010-11-05,54.53,56.34,52.05,52.11,12266281
2010-11-08,55.72,56.0,53.85,54.14,3859337
2010-11-09,54.87,55.66,54.44,55.53,2276320
2010-11-10,55.45,55.63,53.61,54.36,2593007
2010-11-11,56.16,56.55,54.9,54.93,2484257
2010-11-12,54.95,56.05,54.775,55.68,2679085
2010-11-15,55.38,55.92,54.82,55.35,2244694
2010-11-16,54.11,55.0,53.61,54.93,2553625
2010-11-17,54.95,55.02,53.74,54.2,1904623
2010-11-18,57.08,57.8,55.5405,55.6,3938115
2010-11-19,57.71,57.87,56.22,57.1,3376255
2010-11-22,58.11,58.44,56.33,57.28,3211872
2010-11-23,56.92,57.62,56.54,57.16,3768721
2010-11-24,58.08,58.24,57.05,57.16,2321813
2010-11-25,58.08,58.24,57.05,57.16,0
2010-11-26,57.59,57.7,57.0201,57.29,829252
2010-11-29,57.98,58.24,56.0606,57.09,1633732
2010-11-30,57.83,58.28,57.11,57.5,2110724
2010-12-01,59.76,60.16,58.64,58.65,2876137
2010-12-02,60.74,61.0,59.72,59.72,2276880
2010-12-03,61.77,61.95,60.22,60.32,1938229
2010-12-06,61.62,61.99,61.04,61.36,2684084
2010-12-07,60.86,62.33,60.8,62.19,2310477
2010-12-08,61.43,61.657,60.58,60.76,1548949
2010-12-09,62.03,62.62,61.76,62.245,2180804
2010-12-10,62.24,62.65,62.07,62.19,1705671
2010-12-13,61.79,63.39,61.77,62.395,2102774
2010-12-14,61.79,62.67,61.53,62.1,1663604
2010-12-15,61.31,62.66,61.14,61.41,1362459
2010-12-16,63.15,63.23,61.4,61.4,1750858
2010-12-17,63.76,64.44,63.07,63.31,1877636
2010-12-20,64.08,64.26,63.225,63.94,1402269
2010-12-21,64.91,65.3,64.2,64.28,1815153
2010-12-22,66.06,67.31,65.03,65.06,2583825
2010-12-23,65.98,66.5,65.5,65.82,1302166
2010-12-24,65.98,66.5,65.5,65.82,0
2010-12-27,66.63,66.94,65.47,65.6,1257356
2010-12-28,65.46,66.8,65.44,66.68,1088159
2010-12-29,66.25,66.68,65.42,65.42,1130984
2010-12-30,66.16,66.48,65.74,66.26,902486
2010-12-31,66.26,66.686,65.95,66.21,1008399
2011-01-03,67.79,68.53,67.13,67.13,1845941
2011-01-04,64.55,66.91,63.75,66.55,4614662
2011-01-05,65.09,66.0,64.89,65.16,3637736
2011-01-06,65.35,65.47,64.71,65.16,2209529
2011-01-07,65.92,66.35,65.25,65.64,1831584
2011-01-10,66.01,66.145,65.17,65.44,2042149
2011-01-11,68.34,69.23,67.0,67.47,2891542
2011-01-12,69.92,70.22,68.58,69.41,2263406
2011-01-13,70.18,71.12,69.74,69.85,2829476
2011-01-14,71.19,71.4,69.66,69.88,2188547
2011-01-17,71.19,71.4,69.66,69.88,0
2011-01-18,72.48,72.52,70.6,71.01,2358400
2011-01-19,69.59,72.81,69.28,72.3,3022230
2011-01-20,69.9,70.57,68.52,70.29,2849496
2011-01-21,71.02,71.9,70.57,70.68,2202439
2011-01-24,71.53,71.6,70.71,70.77,1257588
2011-01-25,70.44,70.82,69.01,70.38,1788702
2011-01-26,72.01,72.17,70.76,70.79,1982648
2011-01-27,69.79,72.27,69.36,72.05,2203942
2011-01-28,68.33,70.69,68.15,70.03,1824792
2011-01-31,69.19,69.9426,68.59,68.97,1863787
2011-02-01,69.47,70.44,69.41,69.62,2343449
2011-02-02,69.48,69.53,68.65,69.09,2516155
2011-02-03,68.64,69.32,67.87,68.47,2035111
2011-02-04,68.69,69.4,68.44,68.82,1360688
2011-02-07,70.59,71.42,68.57,68.67,2466933
2011-02-08,70.5,70.869,69.7945,70.56,1736645
2011-02-09,70.02,70.67,69.37,70.13,1310541
2011-02-10,71.41,71.6,69.34,69.34,2153397
2011-02-11,73.52,73.53,71.42,71.9,2307347
2011-02-14,74.21,74.9,73.45,73.45,1931124
2011-02-15,73.31,74.26,73.0,73.97,1318963
2011-02-16,75.07,75.55,73.81,73.82,1323769
2011-02-17,75.63,75.69,74.24,75.21,1491105
2011-02-18,74.77,75.76,74.11,75.67,1709436
2011-02-21,74.77,75.76,74.11,75.67,0
2011-02-22,70.57,73.92,70.25,73.64,3319285
2011-02-23,68.39,70.99,63.43,68.08,9370848
2011-02-24,68.71,70.0,67.06,68.06,3344286
2011-02-25,69.16,69.46,68.345,69.39,1863336
2011-02-28,70.76,71.02,68.86,69.52,2558837
2011-03-01,68.89,71.0,68.7,70.54,2801752
2011-03-02,69.55,70.66,68.68,68.68,2426439
2011-03-03,71.45,71.55,70.0,70.39,1829409
2011-03-04,71.31,71.78,70.42,71.5,1652129
2011-03-07,69.39,71.97,68.96,71.57,1943505
2011-03-08,69.86,70.43,68.55,69.7,1261037
2011-03-09,69.51,69.772,68.36,69.51,1912363
2011-03-10,66.1,68.59,66.05,68.47,2713889
2011-03-11,68.85,69.16,65.7101,66.0,2527423
2011-03-14,68.95,69.29,67.18,68.3,2926740
2011-03-15,68.83,69.2399,67.09,68.18,2345128
2011-03-16,67.66,69.1,66.63,68.97,2114351
2011-03-17,69.11,69.78,68.11,68.57,1913873
2011-03-18,69.31,70.47,69.05,70.21,1930617
2011-03-21,72.05,72.09,69.75,70.24,2290369
2011-03-22,71.72,72.63,71.354,72.11,1968658
2011-03-23,71.43,71.64,69.75,71.32,1412798
2011-03-24,73.59,73.61,70.61,71.9,2237019
2011-03-25,73.99,74.21,73.3601,73.73,1941826
2011-03-28,72.5,73.88,72.47,73.88,1718328
2011-03-29,72.76,73.07,71.84,72.51,2432276
2011-03-30,75.15,75.26,73.45,73.45,2456986
2011-03-31,73.66,75.46,73.49,74.74,2015534
2011-04-01,72.92,74.58,72.77,74.02,2163456
2011-04-04,73.52,73.73,72.92,73.04,1584214
2011-04-05,73.56,74.42,72.86,73.38,1112518
2011-04-06,72.61,74.49,72.11,74.03,1226872
2011-04-07,71.78,73.41,71.6,72.32,1590653
2011-04-08,70.7,72.89,70.07,72.22,1952484
2011-04-11,70.26,70.9936,69.74,70.53,2030727
2011-04-12,67.92,69.89,67.64,69.44,2983568
2011-04-13,67.51,68.88,67.09,68.37,1909618
2011-04-14,66.82,67.51,66.5,67.01,2196432
2011-04-15,68.73,68.74,66.96,66.98,2346704
2011-04-18,66.84,67.91,65.88,67.87,2436946
2011-04-19,67.41,67.58,66.02,66.76,1989080
2011-04-20,68.28,68.97,68.0,68.49,1450706
