Date,Close,High,Low,Open,Volume
2010-01-01,31.51,32.16,31.5067,31.9867,0
2010-01-04,32.3367,32.4433,31.72,32.13,2161752
2010-01-05,32.6967,32.99,32.2,32.3667,2363073
2010-01-06,33.6,33.6367,32.67,32.67,3473448
2010-01-07,34.5233,34.6466,33.4833,33.5833,3660381
2010-01-08,35.96,35.99,34.26,34.26,6993183
2010-01-11,36.1367,36.2633,35.56,36.0033,3101820
2010-01-12,35.1067,35.75,34.89,35.7467,2662350
2010-01-13,35.0867,35.3733,34.31,35.1567,1876965
2010-01-14,35.3367,35.5533,34.72,35.05,1461741
2010-01-15,34.9067,35.41,34.7767,35.2967,1411284
2010-01-18,34.9067,35.41,34.7767,35.2967,0
2010-01-19,34.9967,35.1967,34.7633,34.94,1512768
2010-01-20,34.5833,34.67,33.82,34.6467,1477782
2010-01-21,33.54,34.6967,33.0333,34.5233,2585871
2010-01-22,33.34,34.1267,32.9167,33.3867,2981319
2010-01-25,32.63,33.94,32.5367,33.5833,1997763
2010-01-26,32.0367,32.8267,31.8967,32.5733,3427281
2010-01-27,31.98,32.18,31.2867,32.0167,2839800
2010-01-28,31.73,32.3333,31.53,32.3333,2058854
2010-01-29,30.0567,31.4667,29.9167,30.6033,8320169
2010-02-01,31.4433,31.9433,30.7067,30.9967,5176920
2010-02-02,32.08,32.3867,31.3633,31.6567,3281082
2010-02-03,31.8533,32.4933,31.7167,31.86,2175660
2010-02-04,30.7233,31.4467,30.56,31.3933,2961849
2010-02-05,30.7033,30.8067,29.7167,30.6,3296394
2010-02-08,30.5033,31.0833,30.2667,30.6833,2677926
2010-02-09,30.9367,31.2167,30.6167,30.9033,2835759
2010-02-10,30.77,31.0533,30.3167,30.9167,1480908
2010-02-11,31.42,31.4767,30.5233,30.76,1071621
2010-02-12,31.4533,31.5,30.6667,31.17,1960824
2010-02-15,31.4533,31.5,30.6667,31.17,0
2010-02-16,32.1067,32.1533,31.5667,31.7467,1775436
2010-02-17,32.4467,32.76,32.1367,32.4933,1220157
2010-02-18,32.8567,32.9167,32.2433,32.2933,1396446
2010-02-19,32.97,33.2133,32.62,32.7,1311948
2010-02-22,33.03,33.2533,32.7733,33.1633,1145667
2010-02-23,32.2467,33.06,32.1003,32.9867,1195806
2010-02-24,32.23,32.5467,31.7933,32.4567,2185713
2010-02-25,32.3933,32.5333,30.57,30.9667,4001511
2010-02-26,33.3633,33.5133,32.1936,32.4333,2732556
2010-03-01,34.51,34.6667,33.4933,33.5667,2714178
2010-03-02,35.25,35.5,34.6467,34.6467,4394538
2010-03-03,35.2367,35.6633,35.09,35.3967,1835103
2010-03-04,35.2467,35.6333,34.9833,35.1533,2955420
2010-03-05,35.8133,35.86,35.4067,35.6533,2063159
2010-03-08,35.85,35.9833,35.4267,35.89,2401413
2010-03-09,35.12,35.7233,34.92,35.6467,3172512
2010-03-10,35.08,35.1633,34.6167,35.0,2742582
2010-03-11,35.1133,35.1733,34.3733,34.83,2202252
2010-03-12,35.04,35.3567,34.7967,35.1467,2475003
2010-03-15,34.9767,35.0933,34.5567,35.0333,2432691
2010-03-16,35.4367,35.4867,34.9,35.0267,2455014
2010-03-17,35.5,35.8933,35.4067,35.5333,1800015
2010-03-18,35.4367,35.7,35.32,35.47,2091666
2010-03-19,34.8533,35.5333,34.7533,35.4233,1986147
2010-03-22,34.95,34.96,34.2333,34.4133,1754469
2010-03-23,36.6433,36.6667,34.9667,35.1,3218676
2010-03-24,36.2933,36.7367,36.1233,36.5833,3791415
2010-03-25,36.6067,37.4333,36.5067,36.5867,4494741
2010-03-26,36.4433,36.8433,36.3,36.77,2390010
2010-03-29,36.8367,37.0533,36.5933,36.6667,1986387
2010-03-30,36.6433,36.9133,36.52,36.75,2746233
2010-03-31,36.7567,36.9467,36.2967,36.5633,2119560
2010-04-01,37.6667,38.11,36.8367,36.9867,2043102
2010-04-02,37.6667,38.11,36.8367,36.9867,0
2010-04-05,38.24,38.27,37.75,37.8867,1843053
2010-04-06,38.5833,38.6833,37.966,37.9733,1953615
2010-04-07,38.2967,38.6267,38.174,38.33,1521105
2010-04-08,38.1933,38.2733,37.5767,38.1633,1998726
2010-04-09,38.3567,38.5333,38.16,38.3767,1231065
2010-04-12,38.8067,39.09,38.53,38.5833,1806702
2010-04-13,38.55,38.9,38.2133,38.61,1674216
2010-04-14,39.1067,39.1667,38.4533,38.4533,1123566
2010-04-15,39.4767,39.8133,38.7067,38.88,1637106
2010-04-16,38.38,39.3733,38.0033,39.3133,2029623
2010-04-19,38.27,38.4733,37.5533,38.1233,1460589
2010-04-20,38.34,38.96,38.12,38.61,1623642
2010-04-21,38.4967,38.6967,38.2033,38.4333,1614330
2010-04-22,38.67,38.8467,37.6667,38.1467,1888077
2010-04-23,38.7933,38.94,38.4567,38.8567,2802801
2010-04-26,39.6333,39.9433,39.0567,39.1267,2443905
2010-04-27,38.5767,39.71,38.46,39.5467,2074107
2010-04-28,38.79,39.03,38.4933,38.7333,1478244
2010-04-29,39.6367,39.7167,39.0367,39.1933,1512117
2010-04-30,38.1933,39.8137,38.13,39.7533,1982262
2010-05-03,39.0067,39.18,38.1933,38.4933,1616631
2010-05-04,36.9033,38.4833,36.3733,38.4333,4551606
2010-05-05,35.7267,36.0,35.0267,35.91,6678840
2010-05-06,35.7967,38.07,33.6667,36.6667,7586634
2010-05-07,34.5,36.35,34.38,35.8267,6648762
2010-05-10,37.2133,37.2133,34.9733,36.5,4620627
2010-05-11,37.32,37.995,36.4033,36.6667,3316050
2010-05-12,37.7233,37.8733,37.0933,37.4367,2488110
2010-05-13,37.3233,37.92,37.1433,37.53,1819989
2010-05-14,35.7467,36.9833,35.24,36.7433,4025892
2010-05-17,34.2133,35.7633,33.6,35.66,6100569
2010-05-18,33.96,35.5867,33.71,34.8567,4158321
2010-05-19,32.95,33.9933,32.4337,33.6933,5002464
2010-05-20,31.22,32.22,30.777,31.93,6966762
2010-05-21,31.8067,32.1833,30.4267,30.7733,4493196
2010-05-24,31.1867,31.9867,31.1167,31.64,2557224
2010-05-25,30.6967,30.7567,29.7933,30.0667,5131137
2010-05-26,31.3433,31.93,30.84,30.8667,4588905
2010-05-27,32.7767,32.7933,32.0,32.1833,2543712
2010-05-28,31.7,32.8,31.4867,32.7367,2708877
