Date,Close,High,Low,Open,Volume
2010-01-01,67.72,69.63,67.52,68.81,0
2010-01-04,67.03,68.35,66.47,68.06,662344
2010-01-05,66.95,67.03,65.48,66.57,778779
2010-01-06,66.77,67.56,66.12,67.0,578255
2010-01-07,66.75,67.49,65.88,66.55,689607
2010-01-08,66.33,66.75,65.49,66.59,770808
2010-01-11,67.16,67.22,66.65,66.9,373900
2010-01-12,66.01,67.0,65.31,66.68,763377
2010-01-13,67.32,67.53,66.14,66.31,736997
2010-01-14,67.05,67.47,66.59,67.29,522768
2010-01-15,67.59,67.7,66.38,66.94,916495
2010-01-18,67.59,67.7,66.38,66.94,0
2010-01-19,69.26,69.6,67.27,67.55,943598
2010-01-20,68.36,68.81,68.09,68.56,665807
2010-01-21,66.98,68.92,66.83,68.45,810297
2010-01-22,65.5,67.8,65.33,66.86,730077
2010-01-25,65.63,66.22,64.47,66.09,597012
2010-01-26,65.37,66.4899,65.06,65.36,452531
2010-01-27,65.07,65.62,64.2,65.07,660536
2010-01-28,64.54,65.26,63.68,65.21,537747
2010-01-29,64.38,65.4,64.24,64.92,653828
2010-02-01,65.88,65.96,64.63,64.83,680928
2010-02-02,67.81,67.94,65.59,66.21,1016258
2010-02-03,66.75,67.81,66.29,67.49,451405
2010-02-04,63.73,66.42,63.62,66.19,1122168
2010-02-05,65.02,65.21,63.36,63.88,612539
2010-02-08,63.58,65.44,63.42,65.05,658957
2010-02-09,63.1,64.49,62.43,64.49,1325875
2010-02-10,63.07,64.04,61.93,63.0,604618
2010-02-11,63.74,64.01,62.43,62.79,740835
2010-02-12,64.46,64.58,62.68,62.89,601487
2010-02-15,64.46,64.58,62.68,62.89,0
2010-02-16,66.22,66.4,64.94,65.21,547299
2010-02-17,67.13,67.14,66.21,66.43,599908
2010-02-18,68.08,68.11,66.66,67.26,659315
2010-02-19,68.49,68.96,67.57,67.96,567412
2010-02-22,68.58,68.98,68.22,68.8,543096
2010-02-23,68.27,68.73,68.07,68.41,1038721
2010-02-24,68.62,68.78,68.19,68.27,554461
2010-02-25,69.05,69.15,67.34,67.46,410881
2010-02-26,68.96,69.63,68.52,69.09,595972
2010-03-01,69.57,69.58,68.65,69.15,378490
2010-03-02,69.96,70.03,69.39,69.64,390497
2010-03-03,69.78,70.08,69.48,70.08,544344
2010-03-04,69.91,70.05,69.57,69.84,319476
2010-03-05,71.45,71.57,69.65,70.44,1113727
2010-03-08,72.21,72.37,71.05,71.37,433939
2010-03-09,71.81,72.54,71.59,71.99,1127240
2010-03-10,71.87,72.22,71.4,71.67,501281
2010-03-11,71.78,71.89,71.21,71.29,559938
2010-03-12,72.36,72.37,71.75,71.96,400338
2010-03-15,71.6,72.14,71.29,71.84,598741
2010-03-16,73.09,73.2,71.56,71.85,631118
2010-03-17,73.67,74.0,73.04,73.25,804902
2010-03-18,73.5,73.77,73.23,73.66,646233
2010-03-19,72.78,73.57,72.63,73.54,668829
2010-03-22,73.55,73.88,72.15,72.3,434395
2010-03-23,73.56,73.73,72.85,73.68,407858
2010-03-24,73.82,74.31,73.15,73.21,443284
2010-03-25,74.11,75.64,74.02,74.31,740018
2010-03-26,73.43,74.85,73.2,74.56,407985
2010-03-29,73.6,73.675,72.93,73.55,431201
