Date,Close,High,Low,Open,Volume
2010-01-01,8.913,9.3293,8.9052,8.9669,0
2010-01-04,8.8667,9.2059,8.6431,9.0363,2998065
2010-01-05,9.3679,9.4064,8.913,8.913,2315867
2010-01-06,9.283,9.3293,9.0903,9.2368,4166688
2010-01-07,9.3987,10.0232,9.098,9.2676,5031917
2010-01-08,9.5221,9.9847,9.152,9.3833,2200096
2010-01-11,9.3139,9.5221,8.9592,9.5221,2168967
2010-01-12,8.6431,9.3293,8.5968,9.2676,3866674
2010-01-13,8.4503,8.6354,8.0957,8.6354,4089433
2010-01-14,8.327,9.0595,8.1728,8.4581,2886130
2010-01-15,8.4658,8.5583,8.1728,8.4041,1567340
2010-01-18,8.4658,8.5583,8.1728,8.4041,0
2010-01-19,8.4426,8.8667,8.4426,8.4735,1494405
2010-01-20,8.4812,8.8281,8.4041,8.4812,1570985
2010-01-21,8.4041,9.0826,8.327,8.5352,4144602
2010-01-22,7.9415,8.5352,7.849,8.3347,4852905
2010-01-25,7.8952,8.1728,7.556,7.9183,2719186
2010-01-26,7.6331,8.2345,7.5251,7.9646,1952046
2010-01-27,7.5714,7.741,7.4403,7.5945,1205763
2010-01-28,7.4403,7.6716,7.3863,7.6408,1946276
2010-01-29,7.1705,7.5174,7.1396,7.4326,2272395
2010-02-01,6.8929,7.1242,6.6153,7.1242,4937526
2010-02-02,7.3247,7.3709,6.9392,6.9777,1813649
2010-02-03,7.6793,7.6948,7.3247,7.3401,1015435
2010-02-04,7.0008,7.687,6.9392,7.687,2920292
2010-02-05,6.9392,7.1705,6.7927,7.0008,3235582
2010-02-08,6.8929,7.0085,6.8004,6.9006,584168
2010-02-09,7.0625,7.0934,6.8081,6.9777,797208
2010-02-10,7.0471,7.1319,6.9006,7.1242,688966
2010-02-11,6.9931,7.1088,6.9083,6.9546,822360
2010-02-12,7.2476,7.3015,6.9777,6.9777,1363911
2010-02-15,7.2476,7.3015,6.9777,6.9777,0
2010-02-16,9.2676,9.2753,7.1319,7.1319,20825999
2010-02-17,9.9615,10.2083,7.1319,7.1319,15310034
2010-02-18,9.7842,9.9461,7.1319,7.1319,9903887
2010-02-19,9.8228,9.9615,7.1319,7.1319,4393262
2010-02-22,9.8382,9.9307,7.1319,7.1319,5128965
2010-02-23,10.0001,10.4858,7.1319,7.1319,13728418
2010-02-24,9.9384,10.6863,7.1319,7.1319,36228988
2010-02-25,10.0541,10.216,7.1319,7.1319,5678311
2010-02-26,10.108,10.216,7.1319,7.1319,3852717
2010-03-01,10.0618,10.2777,7.1319,7.1319,3027759
2010-03-02,10.1851,10.216,7.1319,7.1319,2895252
2010-03-03,10.401,10.5475,7.1319,7.1319,3237069
2010-03-04,10.5552,10.5784,7.1319,7.1319,3566784
2010-03-05,10.8019,11.1026,10.4087,10.5629,4678137
2010-03-08,10.8559,11.0718,10.7248,10.9022,1939981
2010-03-09,11.2183,11.5653,11.0641,11.2568,13321602
