Date,Close,High,Low,Open,Volume
2010-01-01,19.31,19.55,19.26,19.29,0
2010-01-04,19.56,19.75,19.31,19.47,16539316
2010-01-05,19.63,20.06,19.47,19.85,18060924
2010-01-06,19.38,19.78,19.31,19.57,13449636
2010-01-07,19.57,19.6,19.25,19.33,9862170
2010-01-08,19.89,19.92,19.36,19.45,11435227
2010-01-11,20.49,20.8479,20.22,20.62,25617010
2010-01-12,20.17,20.49,20.02,20.35,16162890
2010-01-13,20.31,20.59,20.16,20.34,15961499
2010-01-14,20.2,20.37,20.06,20.26,14060124
2010-01-15,19.66,20.24,19.49,20.24,16449172
2010-01-18,19.66,20.24,19.49,20.24,0
2010-01-19,19.79,19.79,19.25,19.39,18926396
2010-01-20,19.77,19.83,19.34,19.64,16125571
2010-01-21,19.61,20.24,19.51,19.85,16869301
2010-01-22,18.56,19.54,18.5,19.54,16470893
2010-01-25,18.72,18.99,18.53,18.72,17693412
2010-01-26,18.65,18.71,18.03,18.67,26840604
2010-01-27,19.14,19.21,18.53,18.65,17645316
2010-01-28,18.61,19.47,18.31,19.22,22238073
2010-01-29,18.08,18.83,18.01,18.61,20519179
2010-02-01,18.16,18.31,17.97,18.16,16375043
2010-02-02,18.71,18.78,18.03,18.22,18325118
2010-02-03,18.95,19.05,18.6,18.65,12932566
2010-02-04,18.25,18.775,18.2,18.76,16539352
2010-02-05,18.05,18.24,16.96,18.1,32322578
2010-02-08,17.84,18.17,17.75,18.04,11449214
2010-02-09,17.76,18.18,17.48,18.0,18104835
2010-02-10,17.52,17.76,17.35,17.75,12915829
2010-02-11,17.95,17.95,17.31,17.55,14992006
2010-02-12,17.89,17.91,17.42,17.78,15591689
2010-02-15,17.89,17.91,17.42,17.78,0
2010-02-16,18.15,18.19,17.87,18.06,13418198
2010-02-17,18.01,18.24,17.79,18.23,12560249
2010-02-18,17.99,18.04,17.78,17.97,10072879
2010-02-19,18.29,18.31,17.82,18.01,13176863
2010-02-22,17.76,18.29,17.44,18.15,21806206
2010-02-23,17.21,17.44,17.16,17.32,23527764
2010-02-24,17.5,17.6325,17.25,17.3,16670623
2010-02-25,17.5,17.54,16.75,17.16,31412034
2010-02-26,17.63,17.81,17.33,17.42,20320069
2010-03-01,17.77,17.8,17.57,17.68,8688299
2010-03-02,17.61,17.97,17.53,17.84,12978967
2010-03-03,17.61,17.87,17.55,17.71,12200841
2010-03-04,17.51,17.75,17.25,17.69,13268540
2010-03-05,18.1,18.12,17.63,17.7,14019166
2010-03-08,18.35,18.38,18.07,18.2,13752303
2010-03-09,18.4,18.52,18.21,18.3,13154938
2010-03-10,18.48,18.64,18.29,18.35,10807011
2010-03-11,18.35,18.45,18.17,18.37,12498177
2010-03-12,18.04,18.54,18.03,18.49,11108820
2010-03-15,18.08,18.11,17.92,18.0,12913054
2010-03-16,18.48,18.52,18.07,18.21,22057656
2010-03-17,18.88,19.06,18.56,18.59,20468690
2010-03-18,19.24,19.44,19.12,19.25,16270786
2010-03-19,19.39,19.73,19.31,19.39,23934321
2010-03-22,19.42,19.5,19.09,19.19,17277971
2010-03-23,19.68,19.74,19.4,19.5,14104886
2010-03-24,19.46,19.93,19.38,19.9,12489903
2010-03-25,19.69,20.09,19.67,19.74,16408095
2010-03-26,19.79,19.99,19.69,19.8,14425694
2010-03-29,20.1,20.15,19.8,19.81,13261483
2010-03-30,20.17,20.25,20.05,20.09,13782019
2010-03-31,20.21,20.35,20.0,20.03,13626752
2010-04-01,20.38,20.55,20.23,20.37,15886126
2010-04-02,20.38,20.55,20.23,20.37,0
2010-04-05,20.66,20.75,20.42,20.46,8385251
2010-04-06,20.45,20.6,20.27,20.57,10403630
2010-04-07,20.07,20.44,19.97,20.39,12289659
2010-04-08,19.82,19.94,19.56,19.94,16862835
2010-04-09,19.67,19.93,19.629,19.85,12740910
2010-04-12,19.98,20.045,19.75,19.75,9885642
2010-04-13,20.03,20.07,19.81,19.93,9739595
2010-04-14,20.31,20.32,19.91,20.17,10612661
2010-04-15,20.22,20.44,20.18,20.3,9846712
2010-04-16,19.9,20.3,19.75,20.15,11986781
2010-04-19,19.98,20.2,19.62,20.0,13453552
2010-04-20,20.1,20.2,19.78,20.18,11942147
2010-04-21,20.4,20.58,20.15,20.15,11502748
2010-04-22,20.69,20.76,20.03,20.32,12896842
2010-04-23,20.84,20.85,20.58,20.75,11267623
2010-04-26,20.92,21.0,20.82,20.84,11963663
2010-04-27,20.12,21.1,20.1,20.88,19254522
2010-04-28,20.07,20.6,19.79,20.56,20945947
2010-04-29,19.94,20.36,19.865,20.26,21346617
2010-04-30,19.25,20.24,19.23,20.08,20394488
2010-05-03,19.81,19.92,19.2593,19.44,12945025
2010-05-04,18.94,19.63,18.81,19.51,15090386
2010-05-05,18.67,18.9,18.24,18.75,19674806
2010-05-06,17.5,18.5,15.51,18.41,34028592
2010-05-07,17.54,17.82,16.88,17.59,24251585
2010-05-10,18.41,18.69,18.19,18.6,18552840
2010-05-11,18.22,18.47,18.05,18.17,12950142
2010-05-12,18.53,18.8,18.22,18.35,12848643
2010-05-13,18.52,18.82,18.43,18.5,13647181
2010-05-14,17.96,18.3,17.67,18.25,18009225
2010-05-17,18.32,18.36,17.75,18.14,19691611
2010-05-18,18.04,18.66,17.97,18.35,17848977
2010-05-19,17.54,18.05,17.47,17.85,22029835
2010-05-20,16.81,17.27,16.81,17.18,27925602
2010-05-21,16.98,17.14,16.31,16.31,18569095
2010-05-24,16.86,17.1,16.82,16.84,15879311
2010-05-25,16.95,16.96,16.16,16.3,17627774
2010-05-26,16.84,17.28,16.77,17.11,20326386
2010-05-27,17.52,17.52,17.06,17.24,17767907
2010-05-28,17.43,17.6,17.11,17.52,22682117
2010-05-31,17.43,17.6,17.11,17.52,0
2010-06-01,16.4,17.1,16.37,17.08,22686108
2010-06-02,16.83,16.83,16.38,16.55,16190864
2010-06-03,16.81,17.09,16.54,16.88,20740922
2010-06-04,16.23,16.67,16.17,16.46,14267030
2010-06-07,16.0,16.58,15.99,16.28,14471687
2010-06-08,17.05,17.08,16.35,16.4,28814563
2010-06-09,17.29,17.76,17.2,17.24,33066446
2010-06-10,17.81,17.85,17.41,17.67,18543410
2010-06-11,18.14,18.68,17.65,17.7,26207208
2010-06-14,18.37,18.56,18.23,18.41,16856053
2010-06-15,18.74,18.75,18.08,18.19,20497386
2010-06-16,18.26,18.75,18.13,18.6,21865392
2010-06-17,18.31,18.34,17.89,18.3,15100872
2010-06-18,18.23,18.34,17.99,18.32,13962188
2010-06-21,18.42,18.68,18.28,18.51,12382564
2010-06-22,18.13,18.48,18.06,18.36,16672740
2010-06-23,18.14,18.31,17.86,18.04,11906290
2010-06-24,17.69,18.05,17.62,17.97,16361771
2010-06-25,17.33,17.83,17.27,17.8,31617620
2010-06-28,17.25,17.46,17.15,17.41,13339685
2010-06-29,16.46,17.05,16.3,16.95,20276514
2010-06-30,16.15,16.5,16.07,16.48,19629466
2010-07-01,16.15,16.38,15.68,16.06,19523777
2010-07-02,16.33,16.45,16.13,16.2,12292777
2010-07-05,16.33,16.45,16.13,16.2,0
2010-07-06,16.38,16.82,16.21,16.71,14033674
2010-07-07,17.08,17.11,16.35,16.44,11097190
2010-07-08,17.4,17.4,17.0,17.22,11866105
2010-07-09,17.51,17.76,17.38,17.5,13982578
2010-07-12,17.31,17.48,17.16,17.23,10715667
2010-07-13,17.73,17.81,17.31,17.55,10983339
2010-07-14,17.7,17.95,17.56,17.8,10828135
2010-07-15,17.62,17.68,17.24,17.64,15184796
2010-07-16,16.96,17.52,16.82,17.52,21542401
2010-07-19,16.98,17.2,16.88,17.0,9523342
2010-07-20,16.66,16.73,16.25,16.5,23715104
2010-07-21,16.8,17.19,16.705,16.8,16420613
2010-07-22,18.1,18.16,17.24,17.24,25790348
2010-07-23,18.01,18.24,17.82,18.15,21377363
2010-07-26,17.9,18.04,17.82,17.96,16472470
2010-07-27,18.0,18.21,17.92,18.12,15886086
2010-07-28,17.66,17.85,17.38,17.67,17591177
2010-07-29,18.16,18.32,17.68,17.69,22752867
2010-07-30,18.12,18.33,17.6,17.78,14838351
2010-08-02,19.15,19.32,18.45,18.73,22027893
2010-08-03,19.04,19.39,18.78,19.3,13434963
2010-08-04,19.24,19.32,19.0,19.12,13036243
2010-08-05,19.22,19.28,18.98,19.14,11654608
2010-08-06,18.8,19.13,18.47,19.0,19493071
2010-08-09,18.94,19.05,18.72,18.94,10705633
2010-08-10,18.55,18.755,18.31,18.73,18416678
2010-08-11,18.05,18.23,17.93,18.12,15116771
2010-08-12,17.5,17.72,17.33,17.7,17661602
2010-08-13,16.87,17.48,16.83,17.48,22920914
2010-08-16,16.55,16.76,16.39,16.76,23205762
2010-08-17,16.57,16.82,16.55,16.73,23224688
2010-08-18,16.72,16.92,16.6,16.6,18092747
2010-08-19,16.03,16.64,15.99,16.64,25358767
2010-08-20,16.1,16.11,15.6,15.79,20446980
2010-08-23,15.94,16.26,15.9,16.23,15479908
2010-08-24,15.72,15.91,15.47,15.76,16622412
2010-08-25,16.18,16.3,15.639,15.87,23436864
2010-08-26,15.81,16.36,15.66,16.27,18511538
2010-08-27,15.98,16.05,15.45,15.91,14666215
2010-08-30,15.95,16.24,15.94,15.99,13722104
2010-08-31,15.68,16.051,15.59,15.91,12466220
2010-09-01,16.32,16.49,15.86,16.03,14015251
2010-09-02,16.45,16.65,16.22,16.26,12311219
2010-09-03,16.81,16.85,16.47,16.76,13271109
2010-09-06,16.81,16.85,16.47,16.76,0
2010-09-07,16.85,16.93,16.71,16.73,12983931
2010-09-08,16.7,16.9,16.64,16.86,9168770
2010-09-09,16.3,16.99,16.3,16.99,14784014
2010-09-10,16.08,16.42,15.95,16.39,13597915
2010-09-13,16.81,16.82,16.2,16.22,22543259
2010-09-14,17.61,17.89,17.03,17.03,32038294
2010-09-15,17.14,17.61,16.95,17.61,20088085
2010-09-16,17.03,17.22,16.89,17.07,10672321
2010-09-17,17.0,17.27,16.9,17.19,13189260
2010-09-20,17.61,17.65,17.01,17.03,12653555
2010-09-21,17.61,17.98,17.48,17.72,18771309
2010-09-22,17.16,17.4,17.04,17.28,18214435
2010-09-23,17.4,17.83,16.95,17.01,16671481
2010-09-24,17.75,17.83,17.61,17.7,10431142
2010-09-27,17.76,17.96,17.57,17.74,9519579
2010-09-28,18.27,18.305,17.66,17.78,16907120
2010-09-29,18.38,18.77,18.27,18.33,17196972
2010-09-30,18.28,18.65,18.1,18.53,11318970
2010-10-01,18.23,18.5,18.03,18.37,9333459
2010-10-04,17.92,18.3,17.7304,18.19,9914577
2010-10-05,18.509,18.58,18.11,18.17,11354687
2010-10-06,18.36,18.6725,18.07,18.45,11331041
2010-10-07,18.22,18.41,17.83,18.41,13926456
2010-10-08,18.37,18.43,18.14,18.21,8889333
2010-10-11,18.31,18.53,18.25,18.51,7321577
2010-10-12,18.45,18.55,18.16,18.29,7434413
2010-10-13,18.7,18.96,18.55,18.56,10243251
2010-10-14,18.39,18.75,18.27,18.62,8419440
2010-10-15,18.78,18.83,18.485,18.54,10814473
2010-10-18,18.86,18.87,18.57,18.74,9060526
2010-10-19,18.29,18.58,18.09,18.54,11591857
2010-10-20,18.54,18.7,18.26,18.32,8737067
2010-10-21,18.53,18.71,18.25,18.66,8097815
2010-10-22,18.6,18.661,18.46,18.59,5598231
2010-10-25,18.71,18.93,18.62,18.74,6603829
2010-10-26,18.46,18.57,18.255,18.57,9452970
2010-10-27,18.43,18.579,18.19,18.31,8324370
2010-10-28,18.49,18.75,18.3,18.61,10552757
2010-10-29,18.28,18.67,18.27,18.46,14470567
2010-11-01,18.5,18.75,18.35,18.61,16141544
2010-11-02,18.33,18.6,18.1,18.53,11593575
2010-11-03,18.59,18.645,18.05,18.29,13286568
2010-11-04,18.92,19.0,18.7,18.81,21769039
2010-11-05,18.88,18.9925,18.68,18.95,8025852
2010-11-08,18.98,19.1,18.54,18.71,9109477
2010-11-09,18.97,19.25,18.86,18.99,11467802
2010-11-10,18.79,19.04,18.5,18.98,20321244
2010-11-11,18.61,18.66,18.33,18.66,9513961
2010-11-12,18.37,18.63,18.22,18.46,9347691
2010-11-15,18.15,18.44,18.14,18.42,9340450
2010-11-16,17.45,18.02,17.42,18.0,21384856
2010-11-17,17.44,17.7,17.15,17.15,17751917
2010-11-18,17.73,17.78,17.54,17.67,10178112
2010-11-19,17.83,17.84,17.61,17.74,9251494
2010-11-22,18.0,18.29,17.75,17.79,15705476
2010-11-23,17.74,17.9,17.62,17.75,11238784
2010-11-24,18.15,18.18,17.81,17.85,16227030
2010-11-25,18.15,18.18,17.81,17.85,0
2010-11-26,18.11,18.16,17.94,17.94,4537451
2010-11-29,17.83,17.93,17.56,17.76,11237007
2010-11-30,17.66,17.8,17.5,17.62,11686403
2010-12-01,18.04,18.27,17.79,18.0,15172287
2010-12-02,18.72,18.82,18.04,18.04,17145429
2010-12-03,18.74,18.92,18.55,18.69,11839620
2010-12-06,18.69,18.94,18.61,18.61,9696571
2010-12-07,18.64,18.97,18.55,18.94,11845517
2010-12-08,18.86,19.27,18.815,19.02,17670155
2010-12-09,19.0,19.16,18.75,18.97,13291791
2010-12-10,18.83,19.11,18.8,19.01,8900496
2010-12-13,19.3,19.69,19.16,19.16,17430410
2010-12-14,18.87,19.3,18.67,19.0,24093983
2010-12-15,18.64,18.86,18.6,18.85,8284309
2010-12-16,18.751,18.77,18.58,18.6,8485001
2010-12-17,18.99,19.03,18.65,18.76,13115524
2010-12-20,18.92,19.1,18.83,19.01,6149326
2010-12-21,19.24,19.25,18.87,18.99,10362594
2010-12-22,19.43,19.43,19.16,19.2301,9783037
2010-12-23,19.39,19.44,19.28,19.36,8850653
2010-12-24,19.39,19.44,19.28,19.36,0
2010-12-27,19.41,19.5,19.25,19.27,7383723
2010-12-28,19.34,19.5,19.25,19.47,9668485
2010-12-29,19.27,19.45,19.26,19.31,4293488
2010-12-30,19.35,19.38,19.15,19.25,4692808
2010-12-31,19.32,19.4,19.2,19.31,4759158
2011-01-03,19.19,19.5,19.125,19.43,13770407
2011-01-04,19.07,19.19,19.0,19.16,9789279
2011-01-05,18.98,19.12,18.93,19.02,10525344
2011-01-06,19.51,19.62,18.99,19.08,17077837
2011-01-07,19.46,19.59,19.09,19.55,20240919
2011-01-10,19.5,19.51,19.12,19.4,12350499
2011-01-11,19.48,19.75,19.39,19.68,8589010
