Date,Close,High,Low,Open,Volume
2010-11-18,34.19,35.99,33.89,35.0,458097672
2010-11-19,34.26,34.5,33.11,34.15,107863195
2010-11-22,34.08,34.48,33.81,34.2,36657284
2010-11-23,33.25,33.99,33.19,33.95,31205498
2010-11-24,33.48,33.8,33.22,33.73,26147933
2010-11-25,33.48,33.8,33.22,33.73,0
2010-11-26,33.8,33.81,33.21,33.41,12301247
2010-11-29,33.8,33.81,33.07,33.8,27779596
2010-11-30,34.2,34.25,33.36,33.53,57483406
2010-12-01,34.78,34.95,34.42,34.65,34636722
2010-12-02,34.68,34.98,34.51,34.92,23252038
2010-12-03,34.55,34.6,33.97,34.55,19397100
2010-12-06,34.48,34.78,34.41,34.48,11679340
2010-12-07,34.68,34.89,34.46,34.75,20823723
2010-12-08,34.45,34.73,34.33,34.61,12606033
2010-12-09,33.74,34.43,33.62,34.36,18411071
2010-12-10,33.81,33.99,33.53,33.85,11748583
2010-12-13,33.8,34.05,33.7,33.96,11098315
2010-12-14,33.89,33.92,33.45,33.73,15223980
2010-12-15,33.61,34.01,33.61,33.81,10183633
2010-12-16,33.61,33.86,33.56,33.57,9887417
2010-12-17,34.0,34.0,33.19,33.53,35682190
2010-12-20,33.76,34.05,33.74,33.91,12478176
2010-12-21,33.85,33.94,33.72,33.86,9012935
2010-12-22,34.92,34.95,33.53,33.72,20943971
2010-12-23,34.81,35.52,34.62,34.67,20530860
2010-12-24,34.81,35.52,34.62,34.67,0
2010-12-27,34.6,34.89,34.19,34.41,7369560
2010-12-28,35.32,35.67,35.07,35.38,23504027
2010-12-29,36.02,36.3,35.25,35.47,20977863
2010-12-30,36.82,36.98,36.02,36.1,16992775
2010-12-31,36.86,36.96,36.57,36.84,6169578
2011-01-03,37.06,38.0,37.03,37.32,24887527
2011-01-04,37.9,37.99,36.68,37.1,32363335
2011-01-05,38.07,38.3,37.47,37.47,22504710
2011-01-06,38.9,39.48,38.07,38.24,38574796
2011-01-07,38.98,39.33,38.51,38.84,19903435
2011-01-10,38.56,39.36,38.44,39.34,18345001
2011-01-11,38.75,39.43,38.51,38.66,14865842
2011-01-12,38.62,39.37,38.37,38.95,16773869
2011-01-13,38.27,38.71,38.11,38.66,11366756
2011-01-14,38.2,38.47,38.04,38.18,5897150
2011-01-17,38.2,38.47,38.04,38.18,0
2011-01-18,38.03,38.33,37.32,38.05,8919038
2011-01-19,37.4,37.9275,37.26,37.78,12667643
2011-01-20,37.18,37.29,36.27,37.11,15845623
2011-01-21,37.24,37.85,36.82,37.33,9548691
2011-01-24,37.64,37.8601,37.03,37.71,12202831
2011-01-25,38.4,38.49,37.71,37.85,12322634
2011-01-26,37.89,38.91,37.86,38.75,11538199
2011-01-27,38.67,38.95,38.03,38.2,13952195
2011-01-28,36.6,38.02,36.01,38.0,37136046
2011-01-31,36.49,37.05,35.89,36.89,13958195
2011-02-01,36.45,37.23,36.13,36.93,28094539
2011-02-02,35.68,36.56,35.58,36.46,17444689
2011-02-03,36.06,36.06,35.13,35.97,19355848
2011-02-04,36.59,36.73,35.89,36.25,11117733
2011-02-07,36.7,37.09,36.61,36.95,7335115
2011-02-08,36.89,37.05,36.4,36.97,6244440
2011-02-09,36.41,36.91,36.28,36.82,6400798
2011-02-10,35.88,36.64,35.52,36.17,11544935
2011-02-11,36.45,36.57,35.55,35.76,13518261
2011-02-14,36.29,36.56,35.47,36.55,7124095
2011-02-15,36.11,36.41,35.8,36.19,10336657
2011-02-16,36.75,36.84,36.02,36.11,8682405
2011-02-17,36.37,36.7,36.3,36.55,7464253
2011-02-18,36.51,36.76,36.38,36.42,6818766
2011-02-21,36.51,36.76,36.38,36.42,0
2011-02-22,35.77,36.15,35.45,35.86,13944804
2011-02-23,34.59,35.94,33.8,35.85,28209336
2011-02-24,33.02,35.0,32.05,34.9,63562771
2011-02-25,33.25,34.2,33.05,33.67,29027035
2011-02-28,33.53,33.74,32.86,33.49,15891493
2011-03-01,32.95,33.75,32.4295,33.69,27329754
2011-03-02,32.88,33.17,32.59,32.9,14307499
2011-03-03,33.03,33.17,32.65,33.03,17614922
2011-03-04,32.39,33.079,32.01,33.07,24246873
2011-03-07,31.7,32.5,31.52,32.35,15083555
2011-03-08,32.72,32.82,31.69,31.74,14545020
2011-03-09,32.25,32.7586,32.1,32.74,11227891
2011-03-10,31.42,31.7768,30.95,31.47,38336483
2011-03-11,31.93,32.055,31.24,31.25,14024947
2011-03-14,31.59,32.3,31.43,32.14,9981420
2011-03-15,32.35,32.49,30.65,30.98,21478013
2011-03-16,31.78,32.53,31.4,32.42,14158790
2011-03-17,31.44,32.39,31.33,32.18,11032104
2011-03-18,31.85,31.95,31.4202,31.74,9861402
2011-03-21,31.28,32.3,31.23,32.24,13196480
2011-03-22,30.74,31.35,30.51,31.28,16995716
2011-03-23,31.16,31.28,30.2,30.6,23026191
2011-03-24,31.39,31.6,31.24,31.32,15745465
2011-03-25,31.47,31.7,31.09,31.49,15245007
2011-03-28,30.85,31.58,30.85,31.58,10308110
2011-03-29,31.1,31.17,30.68,30.93,9766596
2011-03-30,31.55,31.64,31.04,31.16,7661526
2011-03-31,31.03,31.55,31.0,31.4,8982434
2011-04-01,32.41,32.63,30.84,31.39,29888893
2011-04-04,32.39,32.72,32.2,32.5,12333931
2011-04-05,32.87,32.87,32.1,32.32,10109655
2011-04-06,32.87,33.28,32.52,33.0,8164883
2011-04-07,32.31,32.84,32.07,32.84,11245420
2011-04-08,31.52,32.75,31.325,32.4,16063592
2011-04-11,30.77,31.45,30.55,31.34,15180947
2011-04-12,31.15,31.34,30.1,30.4,19650404
2011-04-13,30.86,31.32,30.59,31.23,13785356
2011-04-14,30.58,30.86,30.35,30.65,9053802
2011-04-15,30.24,30.72,30.18,30.59,9883402
2011-04-18,29.97,30.34,29.9,30.06,12752025
2011-04-19,29.59,29.91,29.17,29.81,19918670
2011-04-20,29.93,30.38,29.42,29.76,22044900
2011-04-21,30.95,31.0,30.01,30.05,18938252
2011-04-22,30.95,31.0,30.01,30.05,0
2011-04-25,31.14,31.19,30.32,31.0,15449210
