Date,Close,High,Low,Open,Volume
2014-03-27,556.9312,566.4451,551.4064,566.4451,13087
2014-03-28,558.457,564.8794,557.1406,559.7136,41115
2014-03-31,555.4453,565.4478,555.4054,565.3381,10801
2014-04-01,565.6074,566.8939,557.1805,557.1805,7953
2014-04-02,565.4478,603.1743,560.651,579.1702,147099
2014-04-03,568.1803,585.6723,562.5857,568.29,5101495
2014-04-04,541.6531,576.1883,541.5135,573.0769,6395164
2014-04-07,536.6768,546.9785,525.7069,539.2597,4401618
2014-04-08,553.381,553.4807,540.1273,540.995,3161059
2014-04-09,562.5957,563.8223,551.4363,558.088,3333868
2014-04-10,539.4691,563.4533,538.422,563.4433,4038799
2014-04-11,529.1475,538.5217,525.0886,531.0822,3926921
2014-04-14,531.0622,542.6105,528.1113,536.7765,2575069
2014-04-15,534.9715,536.976,517.0408,535.3504,3858014
2014-04-16,555.0165,555.4752,538.5217,541.5135,4893284
2014-04-17,534.6324,547.9957,529.696,547.3076,6814046
2014-04-18,534.6324,534.6324,534.6324,534.6324,0
2014-04-21,527.1729,535.2308,524.1612,534.6324,2568244
2014-04-22,533.3459,535.7593,526.0659,527.1928,2365897
2014-04-23,525.4975,532.4085,524.8094,532.3287,2056696
2014-04-24,523.7224,530.1946,520.6907,528.6189,1887131
2014-04-25,514.7669,523.2636,514.009,521.0796,2103021
2014-04-28,515.7343,517.1803,501.4236,515.7941,3335560
2014-04-29,526.2554,528.0106,514.9066,515.485,2699879
2014-04-30,525.2183,526.5546,521.0896,526.1557,1751699
2014-05-01,529.8954,531.4711,522.4459,525.667,1905648
2014-05-02,526.4848,532.5381,524.1711,532.2988,1689667
2014-05-05,526.3651,527.4521,519.8929,523.2935,1024211
2014-05-06,513.7298,525.3678,513.65,523.7922,1689004
2014-05-07,508.564,515.2656,501.9222,514.378,3224905
2014-05-08,509.6011,515.8141,505.0636,507.0681,2021665
2014-05-09,517.31,518.4768,502.8197,509.3518,2439461
2014-05-12,528.4693,528.7386,517.5892,522.0769,1913630
2014-05-13,531.6307,534.6025,528.0605,529.4367,1653433
2014-05-14,525.2083,531.5409,523.852,531.5409,1195134
2014-05-15,518.5565,524.4304,516.0036,524.2609,1708434
2014-05-16,519.2048,520.3716,514.029,519.9627,1485755
2014-05-19,527.4122,528.3297,516.1661,518.2773,1279865
2014-05-20,528.3197,534.7621,524.8592,528.2898,1784999
2014-05-21,537.4646,537.7068,530.4539,531.4412,1196664
2014-05-22,543.5679,546.1008,539.2996,539.6486,1616261
2014-05-23,551.187,552.1244,542.2116,545.7619,1934928
2014-05-26,551.187,551.187,551.187,551.187,0
2014-05-27,564.4007,564.4506,552.8325,554.4779,2106063
2014-05-28,560.1424,566.2855,559.4643,563.0245,1652240
2014-05-29,558.5468,562.456,557.1805,561.8078,1354364
2014-05-30,558.3573,559.8133,554.3882,559.2648,1771085
2014-06-02,552.4136,559.3645,544.2361,559.1651,1438928
2014-06-03,543.4482,550.828,541.0648,549.4817,1867032
2014-06-04,543.169,547.1082,537.2752,540.0176,1817058
2014-06-05,552.3837,553.4308,542.9596,544.9042,1689511
2014-06-06,554.807,556.5323,547.4273,556.5323,1737348
2014-06-09,560.5812,561.3591,554.5178,555.6248,1467693
2014-06-10,559.0155,562.0571,556.3727,558.9756,1353148
2014-06-11,557.3102,558.3473,553.5007,556.4725,1100392
2014-06-12,549.8407,556.4625,546.9586,555.7744,1461103
2014-06-13,550.2495,550.7881,544.0665,550.7482,1220517
2014-06-16,542.79,548.1154,540.0376,547.7564,1708704
2014-06-17,541.5235,543.8272,537.8536,542.7102,1449846
2014-06-18,551.8551,552.0446,542.5108,543.3684,1742112
2014-06-19,553.381,553.4807,547.0084,552.7228,2458070
2014-06-20,554.837,556.0536,548.8848,555.3256,4509306
2014-06-23,563.4034,563.4533,552.7327,553.6303,1538871
2014-06-24,563.0743,571.0784,559.4742,563.6428,2207832
2014-06-25,577.0659,578.3723,563.6727,563.7126,1969839
2014-06-26,574.4232,580.8555,570.2846,579.4095,1741978
2014-06-27,575.6598,578.2826,572.2292,575.6,2237298
2014-06-30,573.7052,577.9834,573.1766,577.0759,1314507
2014-07-01,581.0749,582.8002,575.0714,576.7668,1450279
2014-07-02,580.7408,583.8372,578.8012,581.7531,1057831
2014-07-03,583.1293,583.4085,579.3297,581.7531,714165
2014-07-04,583.1293,583.1293,583.1293,583.1293,0
2014-07-07,580.6561,584.8245,578.0034,582.1619,1064747
2014-07-08,569.5266,577.9419,564.5852,576.1684,1913886
2014-07-09,574.503,575.1412,567.8173,570.0153,1116964
2014-07-10,569.5366,575.0116,563.4633,564.3608,1357031
2014-07-11,577.5945,579.2599,569.8557,570.3444,1622009
2014-07-14,583.2689,583.608,576.4476,581.0051,1857374
2014-07-15,583.1792,584.2008,574.9817,584.1365,1623258
2014-07-16,581.065,586.7892,580.6062,586.3903,1398388
2014-07-17,572.1593,579.3995,567.0534,577.9435,3023752
2014-07-18,593.451,595.1662,580.4068,591.3767,4017386
2014-07-21,587.8563,592.7728,583.6305,590.1301,2065989
2014-07-22,593.1119,598.0084,588.9832,589.1029,1699439
2014-07-23,594.3485,596.2134,590.878,591.606,1233221
2014-07-24,591.7257,597.8589,590.15,594.8172,1036177
2014-07-25,587.4075,590.2398,585.423,588.7838,935284
2014-07-28,588.9832,590.878,583.1525,586.4601,986862
2014-07-29,584.0069,588.0857,581.9176,587.1383,1350343
2014-07-30,585.8119,587.8862,582.4013,584.9443,1016715
2014-07-31,570.0352,582.0521,568.4396,579.0106,2105279
2014-08-01,564.5204,574.3832,561.3092,569.3372,1955524
2014-08-04,571.581,573.775,562.5558,567.4822,1431086
2014-08-05,563.5231,570.4142,561.0698,569.5167,1560958
2014-08-06,564.8235,569.1377,558.467,560.2421,1334530
2014-08-07,561.8178,568.3299,559.564,566.4451,1111943
2014-08-08,567.213,568.6889,558.816,562.456,1496587
2014-08-11,566.3254,568.9283,564.4506,568.4296,1219305
2014-08-12,561.1895,564.3508,559.3446,562.9746,1541979
2014-08-13,573.2065,573.4259,564.2012,565.757,1441869
2014-08-14,573.0769,576.318,569.3172,574.5728,985624
2014-08-15,571.9101,577.7939,568.9582,576.2781,1521220
2014-08-18,580.5663,582.9099,574.4232,574.5329,1286051
2014-08-19,585.2535,585.7321,582.4013,583.3986,981986
2014-08-20,582.8899,585.0939,580.9752,584.2761,1037619
2014-08-21,581.773,582.8999,579.5491,582.142,915359
2014-08-22,580.9652,583.6339,579.0505,581.9924,791651
2014-08-25,578.6117,583.3986,577.415,583.1193,1362539
2014-08-26,576.2781,580.2073,575.0016,579.6688,1639954
2014-08-27,569.4369,576.9064,568.5423,575.6897,1704827
2014-08-28,567.6418,571.6807,565.5476,568.0008,1299520
2014-08-29,570.0352,570.474,565.5168,569.1277,1084199
2014-09-01,570.0352,570.0352,570.0352,570.0352,0
2014-09-02,575.7495,576.2482,569.6264,569.6264,1581158
2014-09-03,576.3579,581.3941,573.4259,578.4122,1217920
2014-09-04,580.3868,584.3958,577.6344,578.4122,1463963
2014-09-05,584.4756,584.9443,580.3569,582.3514,1633949
2014-09-08,588.1056,590.15,584.695,584.695,1433023
2014-09-09,579.4195,587.3876,578.4122,586.5898,1290254
2014-09-10,581.5038,581.9027,575.3606,579.9081,977821
2014-09-11,579.7585,580.2173,574.6825,578.7713,1221063
2014-09-12,574.0442,580.0478,572.8874,579.4095,1602062
2014-09-15,571.5311,573.3761,566.6545,571.3716,1600605
2014-09-16,578.3624,579.9081,571.0923,571.1921,1482363
2014-09-17,583.1692,585.9116,577.1906,579.0305,1695635
2014-09-18,587.6569,587.9261,583.3986,585.3931,1445970
2014-09-19,594.4482,594.8471,587.8862,589.8808,3737275
