Date,Close,High,Low,Open,Volume
2010-01-01,37.96,38.57,37.96,38.33,0
2010-01-04,38.13,38.3895,38.03,38.3,836873
2010-01-05,38.09,38.15,37.55,37.96,942738
2010-01-06,38.02,38.25,37.93,38.1,656502
2010-01-07,38.23,38.29,37.8875,38.05,753253
2010-01-08,38.24,38.29,37.93,38.0,789641
2010-01-11,38.67,38.68,38.13,38.4,514484
2010-01-12,38.51,38.79,38.38,38.53,664244
2010-01-13,38.7,38.93,38.385,38.65,949398
2010-01-14,38.96,38.99,38.425,38.66,700206
2010-01-15,38.79,38.99,38.78,38.9,1082115
2010-01-18,38.79,38.99,38.78,38.9,0
2010-01-19,39.1,39.24,38.61,38.84,1018527
2010-01-20,38.39,38.97,38.34,38.94,988620
2010-01-21,38.15,38.86,38.1,38.48,904508
2010-01-22,38.11,38.51,38.08,38.18,904653
2010-01-25,38.3,38.82,38.0,38.0,873506
2010-01-26,38.27,38.46,38.11,38.27,588079
2010-01-27,38.06,38.43,37.78,38.31,764144
2010-01-28,37.96,38.14,37.75,38.14,882702
2010-01-29,37.68,38.19,37.66,38.07,1033498
2010-02-01,38.07,38.11,37.72,37.85,682280
2010-02-02,39.14,39.15,38.07,38.2,1003684
2010-02-03,38.81,39.35,38.79,39.03,814485
2010-02-04,37.85,38.67,37.85,38.52,813999
2010-02-05,37.7,38.03,37.091,37.78,706906
2010-02-08,36.96,37.78,36.94,37.74,702141
2010-02-09,37.57,37.76,37.09,37.09,614562
2010-02-10,37.51,37.77,37.22,37.57,501756
2010-02-11,37.91,37.96,37.13,37.39,547269
2010-02-12,38.19,38.24,37.35,37.53,806891
2010-02-15,38.19,38.24,37.35,37.53,0
2010-02-16,40.75,42.2,39.2,39.43,2263998
2010-02-17,40.7,41.1,40.52,40.94,1068478
2010-02-18,40.63,40.66,40.21,40.51,750645
2010-02-19,41.03,41.07,40.33,40.33,771606
2010-02-22,40.68,41.11,40.5,40.96,523391
2010-02-23,39.89,40.85,39.83,40.63,921466
2010-02-24,40.38,40.39,40.0,40.13,656829
2010-02-25,40.3,40.385,39.75,40.02,880745
2010-02-26,40.36,40.49,40.04,40.45,507804
2010-03-01,40.81,40.97,40.16,40.36,542874
2010-03-02,40.94,41.08,40.62,41.08,772752
2010-03-03,40.31,40.84,40.26,40.61,602917
2010-03-04,40.21,40.61,39.94,40.53,753939
2010-03-05,40.4,40.56,40.1075,40.52,612805
2010-03-08,40.48,40.68,40.25,40.55,533247
2010-03-09,40.56,40.71,40.38,40.53,424627
2010-03-10,40.58,40.75,40.42,40.5,528163
2010-03-11,40.9,40.92,40.34,40.59,601292
2010-03-12,40.76,40.93,40.43,40.87,472708
2010-03-15,40.5,40.91,40.36,40.8,607286
2010-03-16,40.96,40.97,40.43,40.48,587217
2010-03-17,41.26,41.43,40.93,41.01,523603
2010-03-18,41.42,41.64,41.12,41.38,557188
2010-03-19,41.6,41.79,41.33,41.75,1072256
2010-03-22,42.87,43.63,42.76,43.21,1436982
2010-03-23,43.08,43.14,42.63,43.14,784393
2010-03-24,42.38,42.98,42.25,42.96,644209
2010-03-25,42.3,42.75,42.25,42.75,667061
2010-03-26,41.88,42.5,41.78,42.38,622966
2010-03-29,42.06,42.18,41.83,41.99,529051
2010-03-30,42.57,42.62,42.03,42.05,665382
2010-03-31,42.24,42.6,42.2,42.39,682112
2010-04-01,42.66,42.86,42.28,42.36,654745
2010-04-02,42.66,42.86,42.28,42.36,0
2010-04-05,43.05,43.12,42.56,42.68,502317
2010-04-06,42.89,42.99,42.64,42.78,604620
2010-04-07,42.95,43.28,42.7,42.7,695104
2010-04-08,42.99,43.05,42.6812,42.85,553943
2010-04-09,43.25,43.41,42.85,43.0,617533
2010-04-12,43.22,43.49,43.115,43.39,644523
2010-04-13,43.23,43.27,42.94,43.2,978227
2010-04-14,44.63,44.78,43.27,43.27,1798415
2010-04-15,45.42,45.42,44.12,44.48,1989829
2010-04-16,42.68,45.32,42.6,44.97,2559448
2010-04-19,42.92,43.03,42.21,42.73,1103712
2010-04-20,43.06,43.26,42.84,43.2,895374
2010-04-21,43.1,43.14,42.71,42.98,738397
2010-04-22,42.98,43.06,42.33,42.85,1399215
2010-04-23,43.27,43.28,42.63,42.98,722471
2010-04-26,43.16,43.76,43.16,43.37,681970
2010-04-27,42.15,43.03,42.07,42.84,1002180
2010-04-28,42.62,42.84,42.07,42.28,1210851
2010-04-29,43.24,43.45,42.83,43.22,1108848
2010-04-30,42.8,43.43,42.8,43.3,1156981
2010-05-03,43.54,43.7,42.88,43.2,836366
2010-05-04,42.18,42.95,41.95,42.95,903261
2010-05-05,41.75,42.3,41.45,41.93,1153665
2010-05-06,40.32,41.96,38.0,41.61,2043292
2010-05-07,39.69,40.49,39.14,40.24,2201296
2010-05-10,42.54,42.57,41.09,41.8,1509013
2010-05-11,42.52,43.04,42.03,42.1,1423174
2010-05-12,42.81,42.85,42.25,42.81,844362
2010-05-13,42.0,42.78,41.9,42.74,637973
2010-05-14,41.25,41.99,40.86,41.66,1169307
2010-05-17,41.31,41.49,40.51,41.42,888267
2010-05-18,40.94,41.875,40.77,41.61,857579
2010-05-19,40.78,40.98,40.08,40.79,1089147
2010-05-20,39.45,40.296,39.39,39.92,1407905
2010-05-21,39.34,39.83,38.53,38.64,3300659
2010-05-24,39.16,39.57,39.02,39.14,964595
2010-05-25,39.76,39.82,38.04,38.32,1704263
2010-05-26,39.85,40.54,39.62,39.99,1239637
2010-05-27,40.94,40.94,40.26,40.62,707920
2010-05-28,40.61,41.04,40.37,40.94,993143
2010-05-31,40.61,41.04,40.37,40.94,0
2010-06-01,39.94,41.01,39.93,40.07,911631
2010-06-02,41.05,41.05,39.77,40.03,721883
2010-06-03,40.47,41.19,39.91,40.59,1342137
2010-06-04,39.51,40.05,39.37,39.79,1417632
2010-06-07,38.98,39.69,38.97,39.54,1057507
2010-06-08,39.49,39.58,38.66,38.9,1141893
2010-06-09,39.2,39.75,38.97,39.14,947487
2010-06-10,40.35,40.4,39.74,39.93,863551
2010-06-11,40.78,40.85,39.97,40.01,772781
2010-06-14,40.8,41.44,40.74,41.27,594822
2010-06-15,41.54,41.59,40.82,40.89,812187
2010-06-16,41.4,41.61,40.94,41.3,748738
2010-06-17,41.57,41.7,40.93,41.7,591661
2010-06-18,41.68,41.9,41.56,41.76,742369
2010-06-21,41.65,42.25,41.37,42.24,519491
2010-06-22,40.69,42.0,40.62,41.59,596986
2010-06-23,40.8,41.05,40.19,40.66,657059
2010-06-24,40.12,40.6,39.96,40.45,583854
2010-06-25,40.36,40.55,39.9,40.12,934594
2010-06-28,40.65,40.95,40.23,40.52,644845
2010-06-29,39.89,40.2,39.43,40.13,1080643
2010-06-30,39.45,40.25,39.3,39.75,944098
2010-07-01,39.86,39.97,38.81,39.97,1507859
2010-07-02,39.55,40.15,39.42,39.94,766889
2010-07-05,39.55,40.15,39.42,39.94,0
2010-07-06,39.44,40.16,39.07,39.93,935076
2010-07-07,40.19,40.25,39.2976,39.46,1081199
2010-07-08,40.88,40.92,40.38,40.42,1147089
2010-07-09,41.12,41.28,40.78,40.94,708455
2010-07-12,40.8,40.875,40.25,40.31,733505
2010-07-13,41.78,42.3,41.02,41.08,1126790
2010-07-14,41.89,42.07,41.42,41.74,875731
2010-07-15,42.15,42.32,41.32,41.81,1163922
2010-07-16,43.23,43.44,42.075,42.53,2746187
2010-07-19,42.76,43.66,42.46,43.3,1473586
2010-07-20,43.28,43.28,42.11,42.11,885289
2010-07-21,42.47,43.55,42.26,43.52,1197464
2010-07-22,42.65,43.51,42.415,42.77,1739095
2010-07-23,43.1,43.17,42.25,42.55,1331709
2010-07-26,43.59,43.83,43.08,43.2,1170877
2010-07-27,43.09,43.98,43.03,43.71,875923
2010-07-28,42.95,43.38,42.8598,43.08,814515
2010-07-29,42.69,43.75,42.35,43.29,1049388
2010-07-30,42.83,42.99,42.08,42.23,809316
2010-08-02,43.76,43.96,43.1,43.32,829572
2010-08-03,43.81,43.94,43.24,43.55,1037371
2010-08-04,44.04,44.19,43.71,43.76,1069558
2010-08-05,44.12,44.12,43.55,43.78,802798
2010-08-06,43.96,44.05,43.25,43.78,751768
2010-08-09,44.48,44.52,44.2,44.26,752521
2010-08-10,43.96,44.13,43.55,44.06,747271
2010-08-11,42.94,43.41,42.59,43.41,1235813
2010-08-12,42.57,42.9,42.08,42.18,1187621
2010-08-13,42.01,42.3,41.67,42.03,952884
2010-08-16,42.21,42.2797,41.6,41.76,641963
2010-08-17,43.07,43.35,42.25,42.45,907488
2010-08-18,43.62,43.92,42.75,42.95,786089
2010-08-19,42.87,43.62,42.53,43.4,694547
2010-08-20,42.96,43.07,42.5,42.5,962178
2010-08-23,42.71,43.3455,42.03,42.14,1035380
2010-08-24,42.58,42.86,41.93,42.35,1279905
2010-08-25,42.71,42.83,41.89,42.43,2184627
2010-08-26,42.4,43.09,42.28,42.83,862086
2010-08-27,42.93,43.02,42.08,42.64,732498
2010-08-30,42.22,42.95,42.2,42.86,504962
2010-08-31,41.93,42.41,41.83,42.13,1302029
2010-09-01,43.29,43.35,42.35,42.48,1039105
2010-09-02,43.74,43.91,43.19,43.31,581521
2010-09-03,43.94,44.55,43.55,44.21,925799
2010-09-06,43.94,44.55,43.55,44.21,0
2010-09-07,42.73,43.7,42.58,43.67,1135399
2010-09-08,42.24,42.63,41.98,42.42,1311453
2010-09-09,42.62,42.8,42.2675,42.67,1016451
2010-09-10,42.66,42.8,42.52,42.72,554100
2010-09-13,43.44,43.5,42.88,43.03,789538
2010-09-14,43.18,43.59,43.1,43.51,986309
2010-09-15,43.5,43.57,42.93,43.1,648582
2010-09-16,43.31,43.65,43.01,43.34,633653
2010-09-17,43.48,44.0299,43.34,44.0299,952498
2010-09-20,44.3,44.36,43.58,43.7,511287
2010-09-21,44.37,44.57,44.05,44.42,700267
2010-09-22,44.19,44.85,44.11,44.47,505515
2010-09-23,43.93,44.41,43.81,43.99,485545
2010-09-24,44.88,44.94,44.27,44.4,477812
2010-09-27,44.61,44.98,44.52,44.98,511795
2010-09-28,45.21,45.26,44.16,44.71,575838
2010-09-29,44.92,45.08,44.35,44.98,736515
2010-09-30,44.59,45.32,44.38,44.98,856098
2010-10-01,44.55,44.93,44.25,44.93,693451
2010-10-04,44.43,44.7,44.13,44.53,742756
2010-10-05,44.68,44.8592,44.46,44.72,1311435
2010-10-06,44.72,44.85,44.51,44.68,804306
2010-10-07,44.68,44.96,44.46,44.8,555156
2010-10-08,45.02,45.1,44.6,44.81,610139
2010-10-11,45.06,45.34,44.895,45.09,901323
2010-10-12,45.23,45.34,44.55,44.98,1063625
2010-10-13,45.69,45.91,45.24,45.52,1282760
2010-10-14,45.54,45.79,45.24,45.62,926435
2010-10-15,47.7,48.43,46.35,46.36,4579820
2010-10-18,47.96,48.21,47.08,48.0,1466866
2010-10-19,47.24,47.86,46.94,47.19,1263677
2010-10-20,47.62,47.86,47.13,47.29,961911
2010-10-21,47.58,48.078,47.09,47.85,743968
2010-10-22,47.49,47.82,47.23,47.58,584963
2010-10-25,47.67,48.07,47.53,47.87,972378
2010-10-26,47.46,47.82,47.31,47.55,608126
2010-10-27,47.2,47.26,46.71,47.26,529516
2010-10-28,47.6,47.665,47.33,47.46,831847
2010-10-29,47.86,48.14,47.4,47.64,1021471
