Date,Close,High,Low,Open,Volume
2010-01-01,20.95,21.32,20.94,21.32,0
2010-01-04,20.54,20.73,20.45,20.73,9185786
2010-01-05,20.79,21.06,20.47,20.6,18297237
2010-01-06,21.04,21.08,20.58,20.7,15155020
2010-01-07,20.27,21.39,19.96,21.39,24846549
2010-01-08,20.4,20.45,20.08,20.3,10904010
2010-01-11,20.62,20.66,20.27,20.51,8764891
2010-01-12,19.96,20.33,19.75,20.09,14531115
2010-01-13,19.98,20.06,19.87,20.06,10162675
2010-01-14,19.74,20.1,19.62,20.08,10180211
2010-01-15,19.56,19.89,19.56,19.79,8116547
2010-01-18,19.56,19.89,19.56,19.79,0
2010-01-19,19.99,19.99,19.47,19.51,8029638
2010-01-20,19.78,19.83,19.6,19.8,7147887
2010-01-21,19.19,19.86,19.1,19.76,13461647
2010-01-22,18.86,19.35,18.8,19.09,10456065
2010-01-25,19.0,19.11,18.64,19.0,7780354
2010-01-26,18.95,19.26,18.905,18.92,5973027
2010-01-27,19.2,19.26,18.805,19.01,8656565
2010-01-28,19.03,19.37,18.96,19.35,8412146
2010-01-29,19.08,19.35,19.02,19.16,8947652
2010-02-01,19.16,19.34,19.1,19.21,7820731
2010-02-02,19.47,19.55,19.21,19.22,9946126
2010-02-03,19.02,19.49,19.02,19.33,12702815
2010-02-04,19.48,20.0,19.25,19.57,29565866
2010-02-05,19.88,19.95,19.6,19.73,16252150
2010-02-08,19.67,19.93,19.66,19.85,9554362
2010-02-09,19.93,20.0,19.74,19.86,8327536
2010-02-10,19.89,19.99,19.6,19.84,9266883
2010-02-11,20.13,20.195,19.755,19.82,8439879
2010-02-12,19.95,20.02,19.68,19.95,8483988
2010-02-15,19.95,20.02,19.68,19.95,0
2010-02-16,19.77,19.78,19.52,19.65,7446973
2010-02-17,19.9,19.97,19.74,19.79,6604156
2010-02-18,19.99,20.05,19.82,19.94,6115743
2010-02-19,19.85,20.11,19.78,19.96,5248548
2010-02-22,19.77,20.01,19.71,19.81,6428678
2010-02-23,19.88,19.94,19.56,19.72,7760941
2010-02-24,20.29,20.3,19.89,19.99,6156420
2010-02-25,20.39,20.51,19.88,19.97,12371718
2010-02-26,21.5,21.76,20.85,21.15,19742535
2010-03-01,21.6,21.7,21.41,21.59,9567292
2010-03-02,21.55,21.74,21.36,21.68,8351110
2010-03-03,21.76,21.86,21.45,21.65,10209971
2010-03-04,22.05,22.24,21.86,22.02,10666946
2010-03-05,22.32,22.35,21.9,21.9,6817927
2010-03-08,22.33,22.375,22.07,22.14,4148816
2010-03-09,22.24,22.32,22.09,22.13,6730845
2010-03-10,22.37,22.39,22.12,22.26,7308303
2010-03-11,22.68,22.71,22.09,22.22,9097428
2010-03-12,22.8,22.87,22.67,22.76,5175044
2010-03-15,23.07,23.07,22.44,22.64,6822082
2010-03-16,23.3,23.3,23.01,23.1,7209587
2010-03-17,23.15,23.26,23.03,23.21,6917951
2010-03-18,23.31,23.34,22.9491,23.03,5961411
2010-03-19,23.22,23.42,23.07,23.35,7188521
2010-03-22,23.4,23.51,22.98,23.05,4420118
2010-03-23,23.21,23.45,23.12,23.4,8373995
2010-03-24,23.06,23.21,22.95,23.15,5750955
2010-03-25,23.4,23.63,23.07,23.2,5340507
2010-03-26,23.42,23.55,23.165,23.39,6185602
2010-03-29,23.23,23.58,23.04,23.42,4371734
2010-03-30,23.25,23.49,23.16,23.3,5657840
2010-03-31,23.11,23.29,23.05,23.14,6889606
2010-04-01,23.63,23.66,23.3,23.4,6055207
2010-04-02,23.63,23.66,23.3,23.4,0
2010-04-05,23.78,23.79,23.41,23.56,4540431
2010-04-06,23.84,23.85,23.46,23.68,6092426
2010-04-07,23.86,23.96,23.62,23.72,7836580
2010-04-08,24.59,25.02,24.33,25.0,16715229
2010-04-09,24.85,24.86,24.5,24.65,6917830
2010-04-12,24.93,25.185,24.82,25.06,8555331
2010-04-13,25.02,25.27,24.88,24.92,6873863
2010-04-14,25.24,25.24,24.82,25.0,6962937
2010-04-15,25.34,25.4,25.09,25.19,4974277
2010-04-16,25.0,25.31,24.82,25.22,6072801
2010-04-19,25.04,25.13,24.59,24.92,6484358
2010-04-20,25.02,25.44,24.99,25.24,4960290
2010-04-21,25.62,25.72,24.97,24.97,6584307
2010-04-22,26.07,26.18,25.28,25.55,8675301
2010-04-23,26.06,26.29,25.82,26.14,4819470
2010-04-26,26.21,26.34,26.0,26.0,5763128
2010-04-27,25.14,26.17,25.14,26.11,9781252
2010-04-28,25.21,25.69,25.05,25.13,7900170
2010-04-29,25.63,25.83,25.26,25.34,5768535
2010-04-30,24.73,25.75,24.65,25.57,9891106
2010-05-03,25.7,26.039,24.73,24.86,8730464
2010-05-04,24.71,25.7,24.69,25.45,12620445
2010-05-05,24.68,25.15,24.29,24.52,14044108
2010-05-06,22.91,24.0,21.67,24.0,20075740
2010-05-07,22.27,23.5,21.83,22.79,20289049
2010-05-10,23.75,23.86,23.2,23.47,8707902
2010-05-11,23.83,24.14,23.24,23.32,6723618
2010-05-12,24.17,24.19,23.61,23.83,6849783
2010-05-13,23.11,24.06,23.05,24.03,7116588
2010-05-14,22.96,23.25,22.72,23.06,6624410
2010-05-17,23.22,23.35,22.52,23.11,6700353
2010-05-18,22.58,23.46,22.45,23.29,8641895
2010-05-19,22.34,22.83,22.04,22.4,8319729
2010-05-20,21.74,22.3,21.57,21.6,10304555
2010-05-21,22.15,22.48,20.99,21.0,16226007
2010-05-24,21.67,22.15,21.63,22.05,8169684
2010-05-25,21.93,21.98,20.94,21.14,11079364
2010-05-26,21.22,22.16,21.16,21.97,18758869
2010-05-27,21.99,22.0,21.36,21.66,9854063
2010-05-28,21.8,22.01,21.6,21.91,7893984
2010-05-31,21.8,22.01,21.6,21.91,0
2010-06-01,21.39,22.03,21.38,21.5,8274081
2010-06-02,21.93,21.95,21.38,21.44,9554664
2010-06-03,21.8,22.36,21.53,22.08,10812715
2010-06-04,20.96,21.55,20.77,21.36,15350299
2010-06-07,20.72,21.37,20.72,21.01,12709002
2010-06-08,21.13,21.16,20.52,20.66,13496833
2010-06-09,21.2,21.75,21.05,21.16,13927395
2010-06-10,22.06,22.08,21.48,21.56,10554379
2010-06-11,21.99,22.16,21.65,21.69,10661478
2010-06-14,22.03,22.24,21.96,22.16,7711870
2010-06-15,22.18,22.25,21.83,22.12,6655925
2010-06-16,21.67,22.08,21.57,21.93,7255252
2010-06-17,21.22,21.81,21.06,21.68,8664025
2010-06-18,21.24,21.6,21.24,21.33,9608315
2010-06-21,20.94,21.65,20.83,21.5,6333672
2010-06-22,20.44,21.31,20.37,20.96,7397823
2010-06-23,20.47,20.61,20.07,20.3,8533810
2010-06-24,20.1,20.37,19.89,20.33,10535463
2010-06-25,20.2,20.45,19.94,20.12,9077772
2010-06-28,20.17,20.55,20.08,20.22,7439883
2010-06-29,19.55,19.96,19.4,19.96,12574063
2010-06-30,19.46,19.975,19.41,19.48,12260082
2010-07-01,19.9,19.98,19.27,19.41,11367951
2010-07-02,19.48,19.97,19.45,19.89,8745355
2010-07-05,19.48,19.97,19.45,19.89,0
2010-07-06,19.37,20.04,19.1,19.76,12515551
2010-07-07,19.7225,19.84,19.02,19.39,14979021
2010-07-08,18.22,19.26,17.77,19.17,31430608
2010-07-09,18.53,18.7,18.2,18.26,12068689
2010-07-12,18.81,19.01,18.44,18.44,11795201
2010-07-13,18.89,19.01,18.62,18.97,11354886
2010-07-14,18.62,18.84,18.52,18.8,11400497
2010-07-15,18.79,18.84,18.38,18.64,10008861
2010-07-16,18.13,18.71,18.06,18.65,10489354
2010-07-19,18.29,18.46,18.08,18.12,6440567
2010-07-20,18.48,18.56,18.03,18.12,9549266
2010-07-21,18.11,18.65,18.01,18.57,9093811
2010-07-22,18.33,18.5,18.16,18.31,12138416
2010-07-23,18.41,18.45,18.06,18.29,9570989
2010-07-26,19.04,19.04,18.32,18.38,9980230
2010-07-27,18.29,19.22,18.26,19.18,9366111
2010-07-28,17.95,18.45,17.95,18.28,9811663
2010-07-29,18.01,18.27,17.75,18.09,11127259
2010-07-30,18.11,18.17,17.45,17.79,9712243
2010-08-02,18.45,18.5,18.17,18.49,8358397
2010-08-03,17.69,18.4,17.62,18.37,10481017
2010-08-04,18.13,18.31,17.77,17.77,11529106
2010-08-05,18.46,18.66,18.03,18.4,12308602
2010-08-06,18.28,18.3,17.99,18.25,8319694
2010-08-09,18.56,18.65,18.39,18.43,5626238
2010-08-10,18.25,18.575,18.13,18.44,7019753
2010-08-11,17.87,18.065,17.67,17.81,11372383
2010-08-12,17.95,18.02,17.38,17.53,8342442
2010-08-13,17.67,18.03,17.64,17.92,5583355
2010-08-16,17.63,17.925,17.46,17.56,4573418
2010-08-17,17.64,17.94,17.64,17.81,5627747
2010-08-18,17.98,18.1,17.59,17.64,7503059
2010-08-19,17.71,18.2,17.59,17.94,11138700
2010-08-20,17.32,18.2,17.03,18.02,13788332
2010-08-23,17.14,17.51,17.11,17.35,6087784
2010-08-24,16.86,17.02,16.65,16.93,13778450
2010-08-25,16.96,17.08,16.66,16.72,12624170
2010-08-26,16.91,17.09,16.78,16.98,11265716
2010-08-27,17.03,17.05,16.62,16.99,10874960
2010-08-30,16.9,17.11,16.86,16.98,9758470
2010-08-31,16.89,17.41,16.81,17.03,16007282
2010-09-01,17.21,17.505,17.02,17.02,11421615
2010-09-02,17.43,17.77,17.28,17.36,11462437
2010-09-03,17.65,17.83,17.41,17.53,8137115
2010-09-06,17.65,17.83,17.41,17.53,0
2010-09-07,17.23,17.71,17.16,17.71,4553708
2010-09-08,17.24,17.37,17.14,17.22,5802123
2010-09-09,17.34,17.66,17.2431,17.57,5291700
2010-09-10,17.37,17.51,17.3,17.38,4871816
2010-09-13,17.8075,17.85,17.53,17.54,8398613
2010-09-14,18.5,18.61,17.82,17.86,14173076
2010-09-15,18.6,18.66,18.23,18.3,11742191
