Date,Close,High,Low,Open,Volume
2010-01-01,30.7,31.75,30.58,31.49,0
2010-01-04,32.18,32.24,30.98,31.28,2098890
2010-01-05,32.26,32.63,31.74,32.1,1719214
2010-01-06,32.02,32.82,31.85,32.24,1283073
2010-01-07,32.17,32.285,30.85,31.76,2962534
2010-01-08,33.79,34.17,32.81,33.14,3936058
2010-01-11,34.29,34.452,33.52,34.01,1997629
2010-01-12,33.81,34.35,33.46,33.94,2400891
2010-01-13,34.67,34.8,33.89,34.02,2221773
2010-01-14,35.19,35.49,34.28,34.45,2645365
2010-01-15,35.13,35.43,34.66,35.24,2057918
2010-01-18,35.13,35.43,34.66,35.24,0
2010-01-19,37.1,37.24,34.92,35.0,3473823
2010-01-20,36.15,36.98,35.57,36.55,2482855
2010-01-21,34.16,35.88,33.95,34.53,4363345
2010-01-22,33.42,34.44,33.33,34.42,2044051
2010-01-25,33.48,34.31,33.4,33.62,1098829
2010-01-26,33.15,33.88,32.81,33.15,1135459
2010-01-27,33.56,33.65,32.92,33.05,1354425
2010-01-28,32.81,33.99,32.35,33.65,1580500
2010-01-29,32.31,33.54,32.31,33.04,1413664
2010-02-01,32.53,32.78,32.14,32.33,1474122
2010-02-02,33.28,33.47,32.31,32.47,1355697
2010-02-03,33.07,33.525,32.66,33.21,1738539
2010-02-04,32.22,32.98,32.21,32.91,2094164
2010-02-05,32.39,32.65,31.48,32.5,1853892
2010-02-08,31.9,32.54,31.78,32.39,968088
2010-02-09,31.92,32.45,31.4,32.33,2129802
2010-02-10,31.9,32.12,31.51,31.84,1061776
2010-02-11,32.42,32.58,31.82,31.96,1414788
2010-02-12,31.95,32.0,31.64,31.86,2121937
2010-02-15,31.95,32.0,31.64,31.86,0
2010-02-16,32.79,32.97,32.1,32.15,1713545
2010-02-17,33.0,33.43,32.65,33.13,1298687
2010-02-18,33.79,34.0,33.34,33.59,2301994
2010-02-19,33.72,34.05,33.42,33.58,1503036
2010-02-22,34.92,35.19,33.95,33.98,2520981
2010-02-23,34.45,35.2,34.03,34.93,2366335
2010-02-24,32.45,33.5,31.35,33.22,9779878
2010-02-25,31.92,32.4,31.11,32.2,3399259
2010-02-26,31.95,32.18,31.31,31.82,1918150
2010-03-01,32.47,32.5,31.925,32.25,2477464
2010-03-02,32.99,33.29,32.365,32.49,2882618
2010-03-03,33.82,34.0,33.0,33.15,2540632
2010-03-04,33.86,34.0,33.58,33.89,1120971
2010-03-05,34.68,34.87,33.88,33.96,1630306
2010-03-08,35.11,35.13,34.5315,34.62,1756173
2010-03-09,35.38,35.6,34.67,34.96,2212940
2010-03-10,35.7,35.7,35.0601,35.5,1171685
2010-03-11,35.91,35.95,35.15,35.45,1128180
2010-03-12,35.91,36.0,35.57,35.88,1272019
2010-03-15,35.59,36.34,35.44,35.86,1456482
2010-03-16,35.3,35.86,35.21,35.65,1367185
2010-03-17,37.27,37.65,35.82,35.84,3543962
2010-03-18,36.74,37.46,36.2,37.44,2051877
2010-03-19,36.13,37.35,35.9,36.98,1842694
2010-03-22,36.23,36.42,35.77,36.0,1484984
2010-03-23,37.24,37.4,36.07,36.27,2523234
2010-03-24,38.05,38.24,37.15,37.42,2295320
2010-03-25,39.02,40.47,38.31,38.45,4617339
2010-03-26,39.94,40.19,39.02,39.02,2049725
2010-03-29,39.14,40.01,38.85,40.0,2166642
