Date,Close,High,Low,Open,Volume
2010-01-01,168.84,170.13,166.9288,167.29,0
2010-01-04,173.08,174.25,169.51,170.05,9138979
2010-01-05,176.14,176.26,172.57,173.0,11667885
2010-01-06,174.26,175.38,173.76,175.38,7382071
2010-01-07,177.67,178.75,173.95,174.32,8727377
2010-01-08,174.31,177.43,173.95,176.33,7270763
2010-01-11,171.56,175.06,170.52,175.06,7714455
2010-01-12,167.82,170.48,167.03,170.01,10362621
2010-01-13,169.07,169.67,166.12,168.01,11271202
2010-01-14,168.53,170.72,167.2125,168.0,10526732
2010-01-15,165.21,167.8,164.58,167.6,10900610
2010-01-18,165.21,167.8,164.58,167.6,0
2010-01-19,166.86,167.3975,163.9,165.01,7705236
2010-01-20,167.79,168.18,164.32,165.8,8893890
2010-01-21,160.87,171.0,156.77,169.29,51738223
2010-01-22,154.12,159.75,152.25,158.69,30175582
2010-01-25,154.98,158.3,154.5,156.13,17876989
2010-01-26,150.88,156.5,150.7,154.91,15989492
2010-01-27,151.5,152.93,148.27,150.75,19901885
2010-01-28,153.29,155.2,149.95,154.23,16163117
2010-01-29,148.72,154.88,147.81,154.44,18507263
2010-02-01,153.13,155.25,149.21,149.82,12980767
2010-02-02,156.94,157.5,153.65,153.65,17301460
2010-02-03,157.23,159.94,157.11,157.92,16789855
2010-02-04,150.68,156.06,150.45,155.27,18894955
2010-02-05,154.16,154.46,148.87,150.815,18759121
2010-02-08,151.1,154.6,150.82,154.27,10260553
2010-02-09,152.49,153.53,149.65,152.7,14021791
2010-02-10,153.63,155.35,151.76,152.77,10558206
2010-02-11,154.05,155.32,152.25,154.4,11166069
2010-02-12,153.93,154.5,151.14,152.37,10294003
2010-02-15,153.93,154.5,151.14,152.37,0
2010-02-16,157.4,157.74,154.6,155.15,11501092
2010-02-17,157.26,158.19,155.81,158.02,10071776
2010-02-18,155.73,156.59,154.88,155.61,10998711
2010-02-19,156.18,157.0,154.49,154.5,8693387
2010-02-22,156.71,157.97,156.03,157.16,7376850
2010-02-23,156.7,160.21,155.91,156.83,15698122
2010-02-24,158.33,159.25,156.87,157.46,8367274
2010-02-25,156.44,156.44,154.32,156.0,10522247
2010-02-26,156.35,156.99,155.26,156.24,7813025
2010-03-01,156.54,158.29,156.17,156.37,6526759
2010-03-02,158.75,159.75,156.91,157.2,11995851
2010-03-03,157.72,159.45,157.23,159.23,10007994
2010-03-04,163.61,163.85,158.11,158.22,15442493
2010-03-05,167.18,168.25,165.0,165.09,12229015
2010-03-08,169.84,170.69,167.46,167.75,9350334
2010-03-09,168.85,172.2,168.0,168.74,12964485
2010-03-10,171.94,172.34,168.87,170.25,13109056
2010-03-11,173.51,173.57,171.1,171.35,9075235
2010-03-12,174.96,176.34,174.0,175.0,10219733
2010-03-15,173.53,175.2,170.38,173.89,13962000
2010-03-16,176.19,176.42,173.56,174.2,11691266
2010-03-17,176.64,177.88,175.57,176.9,10142893
2010-03-18,177.45,177.75,175.66,176.1,6890076
2010-03-19,177.9,178.21,175.95,178.19,10287037
2010-03-22,176.1575,176.95,175.23,176.4,7320365
2010-03-23,174.83,176.81,173.29,176.11,10810763
2010-03-24,174.41,175.96,173.64,173.71,8403097
2010-03-25,174.9,178.73,174.78,175.55,9535070
2010-03-26,172.87,175.48,171.91,175.27,11815436
2010-03-29,174.05,174.43,171.64,173.84,11787153
2010-03-30,171.38,174.78,170.7,174.43,8186068
2010-03-31,170.63,171.66,169.85,170.0,8245706
2010-04-01,170.22,172.0,169.5,171.5,6482031
2010-04-02,170.22,172.0,169.5,171.5,0
2010-04-05,173.16,173.37,169.77,170.56,6137584
2010-04-06,172.9,173.89,172.15,172.95,7745506
2010-04-07,176.36,177.9,172.81,172.9,13888151
2010-04-08,179.5,180.8,175.28,176.24,10668741
2010-04-09,179.12,181.0,177.5,180.65,8465296
2010-04-12,177.84,180.384,177.84,179.36,6010356
2010-04-13,179.25,180.0,177.11,177.56,6450794
2010-04-14,184.92,185.94,183.07,184.0,12559543
2010-04-15,184.27,185.6,183.66,185.39,7841950
2010-04-16,160.7,186.41,155.55,183.69,102044993
2010-04-19,163.32,163.73,155.0,155.0,54299112
2010-04-20,159.98,166.71,158.0,166.25,42196524
2010-04-21,158.93,163.14,157.0,161.38,30385643
2010-04-22,159.05,162.0,156.29,158.0,24832945
2010-04-23,157.4,160.72,157.0,160.16,14915918
2010-04-26,152.03,156.99,151.52,156.99,30940641
2010-04-27,153.04,156.19,150.15,150.25,34516793
2010-04-28,157.01,157.65,154.69,157.0,21226053
2010-04-29,160.24,161.05,158.34,159.47,18464219
2010-04-30,145.2,152.5,143.3,151.75,73187804
2010-05-03,149.5,150.65,146.5346,147.82,28282690
2010-05-04,149.45,152.35,147.83,148.89,30313386
2010-05-05,148.19,151.22,147.2,148.0,18355115
2010-05-06,142.32,148.63,139.06,147.51,22983377
2010-05-07,142.99,146.55,141.5,145.42,21268446
2010-05-10,143.83,149.9,141.2,149.14,23106856
2010-05-11,141.97,145.5,141.55,142.3,15497855
2010-05-12,147.2,147.65,142.28,144.45,15456965
2010-05-13,144.65,148.45,144.42,148.45,11525733
2010-05-14,143.23,144.15,141.9,143.49,10982599
2010-05-17,142.64,144.3,138.53,143.49,16337950
2010-05-18,137.36,143.75,136.6,143.47,18025541
2010-05-19,140.1,140.13,136.1,138.04,18087140
2010-05-20,136.1,139.49,135.75,138.33,16279274
2010-05-21,140.62,143.45,136.25,137.47,25553374
2010-05-24,136.69,142.95,136.51,141.9,16580328
2010-05-25,142.56,143.19,134.2,135.0,21490803
2010-05-26,140.3,145.8,139.69,144.01,17080490
2010-05-27,144.95,145.05,141.04,142.92,12910136
2010-05-28,144.26,145.8,143.1,144.5,10691396
2010-05-31,144.26,145.8,143.1,144.5,0
2010-06-01,141.86,146.4,141.7,144.65,9462318
2010-06-02,144.83,145.0,141.14,141.83,7673686
2010-06-03,144.04,145.25,142.5,144.72,7457402
2010-06-04,142.25,145.87,141.71,142.14,14922132
2010-06-07,138.68,143.27,137.85,142.25,12238566
2010-06-08,137.78,139.68,135.05,139.25,14586924
2010-06-09,136.8,139.42,136.2201,138.89,8955872
2010-06-10,133.77,137.77,131.3001,137.6,21930904
2010-06-11,135.64,136.05,133.0,133.4,9241746
2010-06-14,133.44,137.11,133.4,136.5,10958006
2010-06-15,136.9,137.4,133.3,134.81,10654108
2010-06-16,137.06,138.26,135.71,136.0,7080797
2010-06-17,137.32,138.38,135.2184,136.91,8106453
2010-06-18,138.18,139.72,137.52,137.97,10159125
2010-06-21,137.74,140.15,137.31,139.65,8694312
2010-06-22,134.79,137.75,134.59,137.47,9008840
2010-06-23,135.07,136.38,132.73,133.9,8232474
2010-06-24,134.98,135.98,133.11,134.13,9998910
2010-06-25,139.66,140.9,135.425,136.91,14341596
2010-06-28,136.66,140.38,136.53,140.3,9910978
2010-06-29,133.76,135.85,133.17,134.98,10339819
2010-06-30,131.27,134.3,131.0218,133.68,9148289
2010-07-01,131.14,133.75,129.5,131.69,11648608
2010-07-02,131.08,132.38,129.69,132.11,6568376
2010-07-05,131.08,132.38,129.69,132.11,0
2010-07-06,132.26,134.39,131.07,133.74,7821698
2010-07-07,135.83,136.13,132.07,132.44,9302583
2010-07-08,135.46,137.17,133.56,136.92,9896908
2010-07-09,138.06,138.5,134.59,135.36,6922280
2010-07-12,137.25,138.31,136.03,137.61,4737381
2010-07-13,140.25,141.2,138.11,138.5,8983815
2010-07-14,139.06,139.59,137.655,139.29,6069204
2010-07-15,145.22,146.25,137.82,140.02,21621842
2010-07-16,146.17,152.0,146.05,151.47,29604581
2010-07-19,145.68,147.7,144.1,147.67,10875876
2010-07-20,148.91,149.73,141.55,142.18,20577825
2010-07-21,146.99,150.97,146.86,150.05,11345450
2010-07-22,146.55,149.88,144.16,148.88,13312475
2010-07-23,147.38,148.41,144.57,146.65,7310069
2010-07-26,148.2,149.0,145.21,147.39,6093296
2010-07-27,147.23,149.66,147.0,149.09,7153238
2010-07-28,147.2,148.65,146.78,147.0,4846297
2010-07-29,152.58,153.15,147.63,148.27,15683142
2010-07-30,150.82,153.41,150.8,151.35,8805276
2010-08-02,152.74,153.64,151.61,152.82,6532904
2010-08-03,153.19,153.96,151.41,152.12,5654183
2010-08-04,156.41,157.25,153.0,153.62,12289451
2010-08-05,155.92,156.22,154.4,155.63,5682566
2010-08-06,155.18,156.06,153.77,154.54,8083004
2010-08-09,155.4,156.2,154.59,155.93,4210209
2010-08-10,153.9,154.77,153.18,154.02,5867378
2010-08-11,149.25,152.0,148.91,151.72,7737320
2010-08-12,149.42,150.59,147.81,147.81,4957374
2010-08-13,148.08,150.45,148.08,149.38,4225453
2010-08-16,147.76,149.176,147.0,147.58,3720732
2010-08-17,148.59,149.79,148.14,148.68,4393052
2010-08-18,149.2,149.94,147.73,148.54,4461519
2010-08-19,147.05,149.66,146.28,148.67,5292050
2010-08-20,148.24,148.97,147.25,147.44,5277121
2010-08-23,146.74,148.5,146.6,148.12,3729719
2010-08-24,143.95,145.49,143.82,144.8,6374001
2010-08-25,144.68,145.33,142.75,142.81,5641742
2010-08-26,141.81,145.16,141.66,144.94,6819104
2010-08-27,139.75,141.74,138.25,141.13,11252664
2010-08-30,136.66,140.11,136.65,138.83,6205717
2010-08-31,136.93,138.01,135.79,136.25,7065820
2010-09-01,139.74,140.34,137.8,139.01,6897692
2010-09-02,139.78,140.15,138.45,139.79,4999659
2010-09-03,147.29,147.99,141.33,141.57,13588404
2010-09-06,147.29,147.99,141.33,141.57,0
2010-09-07,145.21,146.24,144.15,146.15,6211857
2010-09-08,147.54,149.66,145.36,145.36,8310204
