Date,Close,High,Low,Open,Volume
2010-01-01,30.09,30.52,29.99,30.31,0
2010-01-04,31.25,31.34,30.655,30.72,11571587
2010-01-05,31.65,31.83,30.99,31.28,18990171
2010-01-06,32.4,32.59,31.64,31.74,15720740
2010-01-07,32.48,32.52,31.92,32.31,9000174
2010-01-08,34.12,34.14,32.49,32.95,23014724
2010-01-11,33.78,34.87,33.38,34.71,15944227
2010-01-12,33.29,33.73,32.86,33.17,15739590
2010-01-13,34.05,34.21,33.17,33.35,13885633
2010-01-14,34.31,34.64,33.7,34.08,12007946
2010-01-15,34.03,34.29,33.47,34.19,11967161
2010-01-18,34.03,34.29,33.47,34.19,0
2010-01-19,34.6,34.72,33.85,33.85,12018093
2010-01-20,33.27,34.24,33.01,34.1,17463735
2010-01-21,32.53,33.52,32.5,33.25,20825584
2010-01-22,31.15,32.47,31.05,32.27,21579600
2010-01-25,31.07,31.5,29.52,29.69,29814995
2010-01-26,30.88,31.495,30.31,30.83,18931453
2010-01-27,30.41,30.87,29.4,30.73,19410666
2010-01-28,29.65,30.83,29.36,30.83,16886587
2010-01-29,29.21,30.66,29.01,29.98,18197199
2010-02-01,30.65,30.7,29.53,29.57,13821647
2010-02-02,30.76,31.5,30.43,30.8,16414076
2010-02-03,30.36,31.21,30.155,30.71,11090149
2010-02-04,28.86,29.97,28.71,29.97,17960826
2010-02-05,28.29,29.26,27.71,28.81,22097293
2010-02-08,28.1,29.02,28.05,28.33,16336704
2010-02-09,29.08,29.68,28.56,28.56,20175395
2010-02-10,29.23,29.51,28.5,29.01,12150636
2010-02-11,30.16,30.23,28.87,29.25,14493493
2010-02-12,30.02,30.08,29.42,29.59,14981273
2010-02-15,30.02,30.08,29.42,29.59,0
2010-02-16,31.05,31.14,30.43,30.6,15028323
2010-02-17,31.08,31.24,30.73,31.2,11393999
2010-02-18,31.54,31.66,30.93,31.08,11488184
2010-02-19,31.79,32.08,31.19,31.35,12130099
2010-02-22,31.02,32.15,30.87,32.0,14993855
2010-02-23,30.2,30.99,30.06,30.78,14476850
2010-02-24,30.01,30.54,29.69,30.33,18173408
2010-02-25,30.0,30.09,29.0,29.3,13093325
2010-02-26,30.15,30.25,29.56,29.95,12722833
2010-03-01,30.75,30.95,30.36,30.51,11699458
2010-03-02,31.21,31.67,30.84,31.0,12519594
2010-03-03,31.7,32.22,31.41,31.54,10793402
2010-03-04,31.45,31.885,31.17,31.7,7606020
2010-03-05,31.88,32.105,31.65,31.79,8737340
2010-03-08,31.41,32.39,31.26,32.0,10684908
2010-03-09,30.91,31.25,30.59,31.1,14950892
2010-03-10,30.64,31.13,30.15,30.77,20693888
2010-03-11,30.74,30.79,30.17,30.41,13687375
2010-03-12,31.5,31.55,30.78,31.17,15641689
2010-03-15,31.03,31.52,30.66,31.41,10154344
2010-03-16,31.71,31.93,31.17,31.27,11203577
2010-03-17,32.52,32.83,31.81,31.86,16965142
2010-03-18,31.58,32.55,31.39,32.4,12182998
2010-03-19,30.5,31.9,30.21,31.83,18648232
2010-03-22,30.64,30.9,29.89,30.06,11853278
2010-03-23,30.71,31.1825,30.53,30.79,10179067
2010-03-24,30.21,30.815,30.15,30.38,9984993
2010-03-25,29.57,30.65,29.54,30.49,14177925
2010-03-26,29.36,29.87,29.25,29.78,12483043
2010-03-29,29.87,30.09,29.48,29.57,12255263
2010-03-30,30.0,30.26,29.845,30.02,11792611
2010-03-31,30.13,30.33,29.94,30.23,10508729
2010-04-01,30.74,31.07,30.46,30.6,13189634
2010-04-02,30.74,31.07,30.46,30.6,0
