Date,Close,High,Low,Open,Volume
2010-01-01,32.06,32.57,32.06,32.37,0
2010-01-04,32.54,32.75,32.32,32.53,1652725
2010-01-05,32.18,32.63,31.845,32.63,1647055
2010-01-06,32.15,32.22,31.7,32.22,1307484
2010-01-07,31.69,32.26,31.37,32.06,3140272
2010-01-08,31.77,32.34,31.47,32.09,2699554
2010-01-11,31.74,32.0,31.5,31.9,1082479
2010-01-12,31.24,31.69,31.04,31.65,3105483
2010-01-13,31.69,31.76,31.2,31.22,1277277
2010-01-14,32.02,32.07,31.51,31.61,1268973
2010-01-15,32.16,32.24,31.7,31.99,2017188
2010-01-18,32.16,32.24,31.7,31.99,0
2010-01-19,32.33,32.43,31.98,32.18,998446
2010-01-20,32.26,32.31,31.8,32.08,1499032
2010-01-21,32.1,32.54,32.0,32.15,2252344
2010-01-22,31.29,32.27,31.23,32.0,1615044
2010-01-25,31.42,31.62,31.21,31.45,1100979
2010-01-26,31.28,31.59,31.25,31.3,1045439
2010-01-27,31.49,31.53,31.01,31.21,1042300
2010-01-28,31.54,31.73,31.22,31.56,971568
2010-01-29,30.55,31.62,30.53,31.62,2446979
2010-02-01,31.19,31.38,30.55,30.72,2400600
2010-02-02,31.96,32.005,31.07,31.27,2634932
2010-02-03,32.07,32.23,31.69,31.85,1631523
2010-02-04,31.26,32.03,31.224,31.84,2043380
2010-02-05,30.8,31.35,30.2,31.2,2782788
2010-02-08,34.71,35.19,33.53,33.65,11448689
2010-02-09,35.06,35.28,34.47,34.76,4257000
2010-02-10,35.3,35.61,34.89,35.04,3308205
2010-02-11,36.14,36.19,35.0601,35.33,2432554
2010-02-12,35.55,36.0,35.47,35.92,4321767
2010-02-15,35.55,36.0,35.47,35.92,0
2010-02-16,35.03,35.98,34.76,35.65,3858138
2010-02-17,35.43,35.51,35.02,35.23,1485782
2010-02-18,35.76,35.82,35.1802,35.41,1821421
2010-02-19,35.8,35.99,35.37,35.77,1565117
2010-02-22,35.52,35.92,35.42,35.8,1627927
2010-02-23,35.28,35.54,35.05,35.54,1284071
2010-02-24,35.48,35.54,35.11,35.29,1461064
2010-02-25,35.69,35.74,34.65,35.0,2058023
2010-02-26,35.78,35.99,35.41,35.79,1570682
2010-03-01,36.06,36.19,35.5,35.69,1668519
2010-03-02,36.61,36.68,36.05,36.19,2394367
2010-03-03,36.33,36.665,36.3,36.61,1665035
2010-03-04,36.73,36.73,36.31,36.31,1514484
2010-03-05,37.47,37.52,36.61,36.95,1363835
2010-03-08,37.5,37.73,37.29,37.5,1398475
2010-03-09,37.68,37.93,37.4,37.5,1147517
2010-03-10,38.01,38.01,37.43,37.81,1622987
2010-03-11,38.09,38.15,37.65,37.9,897985
2010-03-12,38.2,38.82,37.75,38.11,942214
2010-03-15,37.63,37.91,37.39,37.76,1839176
2010-03-16,37.85,38.13,37.64,37.68,1766945
2010-03-17,38.14,38.24,37.77,38.0,1404384
2010-03-18,38.1,38.34,37.92,38.15,1110668
2010-03-19,37.89,38.34,37.85,38.24,1363735
2010-03-22,38.25,38.3,37.801,37.97,1408436
2010-03-23,38.23,38.5,37.9,38.44,1177584
2010-03-24,38.06,38.29,37.79,38.22,1344460
2010-03-25,38.1,38.57,38.07,38.33,1809690
2010-03-26,38.41,38.68,38.11,38.11,1676373
2010-03-29,39.22,39.23,38.56,38.66,2225236
2010-03-30,39.05,39.59,39.03,39.23,1140664
2010-03-31,38.28,39.0655,38.25,38.97,1372337
2010-04-01,38.36,38.78,38.12,38.54,1591438
2010-04-02,38.36,38.78,38.12,38.54,0
2010-04-05,39.13,39.21,38.29,38.5,1282286
2010-04-06,38.93,39.19,38.49,39.11,1557458
2010-04-07,38.4,39.0,38.13,38.96,1089888
2010-04-08,38.67,38.75,38.0,38.39,870007
2010-04-09,38.93,39.0,38.44,38.77,1323722
2010-04-12,39.1,39.24,38.82,39.07,1006284
2010-04-13,39.31,39.43,39.07,39.24,965637
2010-04-14,39.52,39.58,39.22,39.31,1190617
2010-04-15,40.14,40.25,39.39,39.56,1301403
2010-04-16,39.85,40.53,39.78,40.32,2632372
2010-04-19,40.91,41.0,39.92,40.6,4462143
2010-04-20,40.95,41.5,40.73,41.38,1939317
2010-04-21,40.13,40.73,39.81,40.5,2152470
2010-04-22,40.41,40.46,39.67,39.97,1113507
2010-04-23,40.53,40.73,40.1,40.4,1378347
2010-04-26,40.41,41.0,40.39,40.67,1531338
2010-04-27,39.44,40.58,39.31,40.35,1983917
2010-04-28,39.03,39.76,38.75,39.52,1896528
2010-04-29,39.32,39.395,38.67,38.85,1569910
2010-04-30,38.36,39.58,38.32,39.44,2156335
2010-05-03,40.12,40.3,38.455,38.51,1996713
2010-05-04,38.94,40.35,38.78,40.28,3052885
2010-05-05,39.5,39.815,38.44,38.64,2650953
2010-05-06,39.29,39.9,36.0,39.47,4113647
2010-05-07,38.97,39.6,38.31,39.16,4268506
2010-05-10,40.8,40.9,39.9,40.0,2803993
