Date,Close,High,Low,Open,Volume
2010-01-01,3.65,3.68,3.63,3.67,0
2010-01-04,3.68,3.74,3.65,3.7,10466091
2010-01-05,3.76,3.77,3.65,3.68,21236390
2010-01-06,3.86,3.89,3.72,3.76,18762482
2010-01-07,4.29,4.35,3.83,3.85,66130550
2010-01-08,4.22,4.37,4.13,4.24,29869532
2010-01-11,4.33,4.44,4.21,4.3,28307463
2010-01-12,4.21,4.42,4.15,4.27,25239156
2010-01-13,4.31,4.34,4.08,4.23,26872405
2010-01-14,4.41,4.45,4.27,4.3,24299301
2010-01-15,4.28,4.41,4.22,4.4,17678151
2010-01-18,4.28,4.41,4.22,4.4,0
2010-01-19,4.3,4.36,4.21,4.25,15203149
2010-01-20,4.29,4.41,4.23,4.25,20893627
2010-01-21,4.53,4.75,4.37,4.39,63969885
2010-01-22,4.69,4.87,4.25,4.4,61227525
2010-01-25,4.8,4.94,4.65,4.76,34705863
2010-01-26,4.6,4.99,4.6,4.86,45439882
2010-01-27,4.88,4.9,4.65,4.67,34008937
2010-01-28,4.99,5.09,4.92,5.06,40498871
2010-01-29,4.79,5.05,4.74,5.04,27569035
2010-02-01,4.9,4.94,4.78,4.87,18652749
2010-02-02,4.93,4.94,4.82,4.88,35142321
2010-02-03,4.71,4.9,4.625,4.87,41303089
2010-02-04,4.54,4.68,4.46,4.66,35832275
2010-02-05,4.63,4.685,4.4,4.57,25105489
2010-02-08,4.58,4.73,4.53,4.65,17834553
2010-02-09,4.65,4.73,4.57,4.67,17436971
2010-02-10,4.71,4.75,4.61,4.63,14030793
2010-02-11,4.79,4.81,4.68,4.73,16134063
2010-02-12,4.68,4.77,4.62,4.72,13712811
2010-02-15,4.68,4.77,4.62,4.72,0
2010-02-16,4.82,4.82,4.7,4.73,14926639
2010-02-17,4.76,4.88,4.725,4.83,12692761
2010-02-18,4.72,4.8,4.69,4.76,11941567
2010-02-19,4.85,4.85,4.71,4.73,11151163
2010-02-22,4.93,4.95,4.88,4.91,16536361
2010-02-23,4.81,4.95,4.8,4.9,13717578
2010-02-24,4.89,4.94,4.83,4.86,12364260
2010-02-25,4.8,4.84,4.75,4.76,10031270
2010-02-26,4.81,4.835,4.76,4.81,9187032
2010-03-01,4.8,4.875,4.75,4.86,7021587
2010-03-02,4.83,4.87,4.79,4.84,11973769
2010-03-03,4.81,4.87,4.77,4.84,10154153
2010-03-04,4.81,4.84,4.79,4.82,5687910
2010-03-05,4.96,4.96,4.82,4.86,14764674
2010-03-08,4.96,5.03,4.89,5.0,12789890
2010-03-09,5.03,5.14,4.85,4.93,21012633
2010-03-10,5.25,5.44,5.15,5.2,39935456
