Date,Close,High,Low,Open,Volume
2010-01-01,6.0275,6.165,5.9975,6.065,0
2010-01-04,6.175,6.22,6.07,6.07,3658080
2010-01-05,6.195,6.2675,6.1275,6.18,2300388
2010-01-06,6.2225,6.23,6.1525,6.2225,1972812
2010-01-07,6.11,6.275,6.0875,6.195,3283912
2010-01-08,6.1825,6.2025,6.0525,6.1125,2953284
2010-01-11,6.16,6.365,6.1475,6.2375,2662792
2010-01-12,5.9725,6.1125,5.8975,6.0925,3633500
2010-01-13,6.03,6.0475,5.8825,6.005,4269764
2010-01-14,6.095,6.11,5.9775,5.995,1902720
2010-01-15,5.9875,6.135,5.955,6.1,1761988
2010-01-18,5.9875,6.135,5.955,6.1,0
2010-01-19,5.9825,6.035,5.9425,6.0125,3280652
2010-01-20,5.8625,5.9425,5.5875,5.9125,9663452
2010-01-21,5.7725,5.9475,5.77,5.865,4024784
2010-01-22,5.72,5.8925,5.7025,5.7725,2407644
2010-01-25,5.725,5.8,5.68,5.795,2163516
2010-01-26,5.75,5.82,5.6925,5.705,2957164
2010-01-27,5.79,5.84,5.6965,5.7425,3149660
2010-01-28,5.945,6.0525,5.6125,5.625,7439976
2010-01-29,5.7425,6.0225,5.7275,5.97,3995128
2010-02-01,5.7925,5.8275,5.6725,5.76,3011496
2010-02-02,5.7975,5.825,5.7125,5.7875,3220476
2010-02-03,5.655,5.775,5.6075,5.775,3061136
2010-02-04,5.4175,5.6075,5.4,5.6075,3843464
2010-02-05,5.4375,5.455,5.2375,5.4025,4368080
2010-02-08,5.45,5.57,5.3975,5.46,2963020
2010-02-09,5.59,5.65,5.5125,5.5425,2731220
2010-02-10,5.6675,5.725,5.5775,5.6025,3033200
2010-02-11,5.7575,5.7775,5.605,5.64,1676752
2010-02-12,5.88,5.88,5.6425,5.7,3217088
2010-02-15,5.88,5.88,5.6425,5.7,0
2010-02-16,5.935,5.9775,5.8575,5.9175,2157936
2010-02-17,6.0025,6.0575,5.915,5.9375,2915344
2010-02-18,6.0225,6.0625,5.995,6.0075,2443664
2010-02-19,6.0675,6.1262,5.9975,6.02,2002020
2010-02-22,6.1425,6.17,6.075,6.075,2502496
2010-02-23,6.0775,6.27,6.05,6.16,4076296
2010-02-24,6.2125,6.225,6.0775,6.12,3299744
2010-02-25,6.26,6.28,6.09,6.1025,3000916
2010-02-26,6.4825,6.555,6.2475,6.25,5360448
2010-03-01,6.5525,6.5775,6.4625,6.49,4155088
2010-03-02,6.62,6.6275,6.5325,6.5575,3745524
2010-03-03,6.535,6.66,6.47,6.6475,2436192
2010-03-04,6.58,6.6675,6.53,6.5575,1378972
2010-03-05,6.665,6.6825,6.58,6.61,2157664
2010-03-08,6.735,6.7675,6.61,6.65,2643844
2010-03-09,6.7625,6.8025,6.715,6.715,1665208
2010-03-10,6.835,6.8375,6.7025,6.7375,2190516
2010-03-11,6.78,6.8175,6.7275,6.7875,2525120
2010-03-12,6.7725,6.8062,6.7,6.8,2686376
2010-03-15,6.7325,6.7775,6.6625,6.7775,1644300
2010-03-16,6.7525,6.7925,6.69,6.73,1630200
2010-03-17,6.8375,6.8525,6.765,6.7825,1505676
2010-03-18,6.82,6.875,6.8,6.825,1399948
2010-03-19,6.71,6.8325,6.69,6.82,2733440
2010-03-22,6.96,7.02,6.6375,6.665,2503128
2010-03-23,7.0025,7.0125,6.8925,6.985,1592148
2010-03-24,6.93,6.9875,6.84,6.9425,1877628
2010-03-25,6.885,7.095,6.875,7.02,1461140
2010-03-26,7.0075,7.0775,6.885,6.91,1483184
2010-03-29,7.035,7.1,6.925,7.02,2206516
2010-03-30,7.005,7.08,6.9175,7.0325,1400596
2010-03-31,6.955,7.0525,6.935,6.9975,2121572
2010-04-01,7.0525,7.075,6.9625,6.9925,1418756
2010-04-02,7.0525,7.075,6.9625,6.9925,0
2010-04-05,7.25,7.3062,7.0325,7.0675,1413852
2010-04-06,7.3225,7.3875,7.125,7.185,2918440
2010-04-07,7.2675,7.3525,7.2125,7.3175,1553200
2010-04-08,7.31,7.3775,7.15,7.25,3105356
2010-04-09,7.3825,7.385,7.2975,7.3175,1109368
2010-04-12,7.3425,7.3925,7.2925,7.3725,2347000
2010-04-13,7.26,7.325,7.205,7.3075,2662576
2010-04-14,7.4675,7.4825,7.2375,7.3225,4050572
2010-04-15,7.415,7.4675,7.3075,7.46,1611164
2010-04-16,7.335,7.4275,7.22,7.3925,2109452
2010-04-19,7.2725,7.445,7.1775,7.295,3051836
2010-04-20,7.275,7.415,7.255,7.3275,4891492
2010-04-21,7.46,7.58,7.285,7.3,4614832
2010-04-22,7.6975,7.8625,7.555,7.7475,11234104
2010-04-23,7.7025,7.78,7.635,7.7225,4677276
2010-04-26,7.535,7.735,7.45,7.68,3425948
2010-04-27,7.29,7.535,7.2625,7.45,3998876
2010-04-28,7.2475,7.375,7.165,7.315,3019312
2010-04-29,7.3525,7.385,7.2225,7.2975,2586556
2010-04-30,7.1175,7.45,7.1175,7.365,1829404
2010-05-03,7.28,7.3525,7.1225,7.16,1771344
2010-05-04,7.03,7.18,6.9575,7.155,2295928
2010-05-05,6.8625,7.185,6.835,6.9675,2565136
2010-05-06,6.8225,7.0025,6.2575,6.8075,7901212
2010-05-07,6.585,6.8025,6.3675,6.7925,8207383
2010-05-10,6.93,7.035,6.8125,6.8875,5206180
2010-05-11,7.0025,7.1075,6.8,6.8375,2865924
2010-05-12,7.235,7.245,6.975,7.0225,2260048
2010-05-13,7.1025,7.28,7.05,7.205,1591652
2010-05-14,7.0075,7.095,6.91,7.065,2678816
2010-05-17,6.9425,7.09,6.6875,7.0525,2583544
2010-05-18,6.8275,7.125,6.785,7.0,3153080
2010-05-19,6.7725,6.905,6.5975,6.81,3415496
2010-05-20,6.5275,6.6825,6.45,6.58,4495420
2010-05-21,6.66,6.6825,6.2775,6.395,3077460
2010-05-24,6.595,6.6975,6.5725,6.6375,1624468
2010-05-25,6.6375,6.6625,6.3025,6.42,3937312
2010-05-26,6.6725,6.7875,6.58,6.6825,2755004
2010-05-27,6.9425,6.95,6.795,6.805,1597272
2010-05-28,6.82,6.9425,6.7475,6.9075,2425748
2010-05-31,6.82,6.9425,6.7475,6.9075,0
2010-06-01,6.685,6.8825,6.6825,6.7575,2746616
2010-06-02,6.8425,6.8425,6.624,6.7125,2108752
2010-06-03,6.985,6.9975,6.8325,6.85,2572512
