Date,Close,High,Low,Open,Volume
2011-03-10,31.02,31.5,30.7,31.2,64600369
2011-03-11,31.12,31.29,30.5,30.5,9531504
2011-03-14,30.91,31.05,30.57,30.96,8663783
2011-03-15,31.34,31.5,30.36,30.39,7126571
2011-03-16,31.25,31.95,31.12,31.25,6157808
2011-03-17,31.91,31.93,31.4,31.54,3332379
2011-03-18,33.06,33.08,31.9,32.11,5463348
2011-03-21,32.25,33.39,32.0,33.39,3823474
2011-03-22,31.87,32.39,31.3904,32.37,3943895
2011-03-23,32.68,32.68,31.5,31.7,4216233
2011-03-24,32.69,32.95,32.5,32.53,2125551
2011-03-25,32.95,33.1,32.58,32.71,3026587
2011-03-28,33.04,33.11,32.75,32.87,2112581
2011-03-29,33.89,34.01,33.05,33.44,5137353
2011-03-30,34.24,34.57,33.93,34.57,3049809
2011-03-31,33.87,34.11,33.665,34.0,1960876
2011-04-01,33.74,34.1,33.66,33.89,1822039
2011-04-04,33.67,33.87,33.31,33.87,2647964
2011-04-05,34.02,34.05,33.25,33.7,3607250
2011-04-06,33.3,34.2,33.24,33.75,2718425
2011-04-07,33.66,33.85,32.85,33.28,1947469
2011-04-08,33.17,33.99,32.99,33.52,2340014
2011-04-11,32.12,33.34,30.79,33.34,15028125
2011-04-12,31.53,32.59,31.33,32.11,3848784
2011-04-13,32.06,32.45,31.7,32.0,3969785
2011-04-14,32.14,32.5,31.79,31.89,1565889
2011-04-15,31.98,32.38,31.89,32.3,3073284
2011-04-18,32.08,32.54,30.75,31.82,2911031
2011-04-19,31.74,33.1,31.66,33.08,3838184
2011-04-20,31.65,32.1897,31.15,32.0,3866027
2011-04-21,31.4,31.98,31.27,31.81,1461936
2011-04-22,31.4,31.98,31.27,31.81,0
2011-04-25,31.4,31.5999,31.1,31.56,732637
2011-04-26,32.0,32.07,31.16,31.35,1771522
2011-04-27,32.65,33.0,32.2503,32.26,3354452
2011-04-28,32.57,32.99,32.25,32.51,1571782
2011-04-29,32.8,32.86,32.03,32.5,1233833
2011-05-02,33.44,33.79,32.8,32.8,2786222
2011-05-03,32.61,33.882,31.94,33.59,3429362
2011-05-04,33.55,33.96,32.79,33.1,4518260
2011-05-05,34.34,34.74,33.15,33.45,2612938
2011-05-06,34.25,34.5,33.89,34.06,1601327
2011-05-09,34.49,34.75,34.14,34.35,1996004
2011-05-10,34.59,34.86,34.0,34.03,1475160
2011-05-11,34.54,34.79,34.06,34.2,1431728
2011-05-12,34.51,34.59,34.12,34.3,814706
2011-05-13,34.6,34.769,34.232,34.43,1694184
2011-05-16,34.25,34.6,34.05,34.3,1719853
2011-05-17,34.54,34.95,34.0,34.21,3037305
2011-05-18,35.07,35.24,34.15,34.4,2070266
2011-05-19,35.05,35.23,34.5,35.02,1183894
2011-05-20,34.63,35.04,34.15,34.9,2012662
2011-05-23,34.41,34.55,34.0,34.4,2180438
2011-05-24,34.49,34.64,34.07,34.53,3046754
2011-05-25,34.68,35.0,34.24,34.57,2539055
2011-05-26,34.83,34.91,34.05,34.9,1798281
2011-05-27,34.74,35.1,34.41,34.92,1474669
2011-05-30,34.74,35.1,34.41,34.92,0
2011-05-31,34.89,35.31,34.56,34.99,8113338
2011-06-01,34.77,35.27,34.42,35.0,3049797
2011-06-02,34.36,35.05,34.25,34.84,2160044
2011-06-03,34.14,34.15,33.72,34.0,2519008
2011-06-06,33.74,34.28,33.06,33.98,2360977
2011-06-07,34.52,34.9,33.73,33.79,1896517
2011-06-08,34.76,34.99,34.25,34.57,1458308
2011-06-09,35.24,35.37,34.58,35.03,1634034
2011-06-10,33.9,35.0,33.86,35.0,2222630
2011-06-13,33.65,34.15,33.25,34.15,1671649
2011-06-14,33.54,34.07,33.26,33.8,1846285
2011-06-15,33.15,33.52,32.62,33.25,2544669
2011-06-16,33.87,34.8,33.5,34.05,5779259
2011-06-17,34.59,34.99,33.95,34.0,3872503
2011-06-20,34.23,34.72,34.05,34.72,1461612
2011-06-21,33.9,34.36,33.5,34.2,2728101
2011-06-22,33.42,33.995,33.36,33.9,2487424
2011-06-23,33.21,33.44,32.28,33.3,3222017
2011-06-24,32.25,33.31,32.16,33.31,11475082
2011-06-27,32.48,32.71,31.49,32.4,3136953
2011-06-28,32.75,33.08,32.58,32.59,2536483
2011-06-29,32.76,33.3,32.59,32.98,1405715
2011-06-30,33.0,33.39,32.63,32.78,1479194
