Date,Close,High,Low,Open,Volume
2010-01-01,23.26,23.94,23.26,23.68,0
2010-01-04,23.86,23.96,23.51,23.71,6944164
2010-01-05,25.69,25.75,23.67,23.73,12428456
2010-01-06,26.12,26.38,25.09,25.51,10690934
2010-01-07,26.52,26.72,25.82,26.0,7037467
2010-01-08,26.22,26.57,25.77,26.39,5130979
2010-01-11,26.17,26.6,25.85,26.42,5188986
2010-01-12,27.12,28.59,27.09,28.04,23621350
2010-01-13,27.84,28.06,27.2,27.23,7752298
2010-01-14,27.26,27.7,26.91,27.69,9253992
2010-01-15,26.78,27.3,26.52,27.23,7729896
2010-01-18,26.78,27.3,26.52,27.23,0
2010-01-19,27.48,27.5,26.5,26.65,5324969
2010-01-20,26.97,27.45,26.78,27.09,4623151
2010-01-21,25.56,27.14,25.52,26.96,12526566
2010-01-22,24.61,25.8,24.53,25.55,10501165
2010-01-25,24.66,25.31,24.24,25.13,7099301
2010-01-26,24.41,25.3,24.32,24.45,6691262
2010-01-27,24.96,24.99,23.95,24.37,7216468
2010-01-28,24.22,25.28,23.985,25.28,6614075
2010-01-29,23.99,24.95,23.82,24.46,6692080
2010-02-01,24.39,24.49,24.03,24.28,4374542
2010-02-02,25.39,25.49,24.34,24.5,7338200
2010-02-03,24.58,25.25,24.33,25.24,6420543
2010-02-04,23.19,24.45,23.17,24.34,8088639
2010-02-05,23.53,23.8,22.2,23.17,9841528
2010-02-08,23.46,24.3,23.3,23.82,10869058
2010-02-09,22.34,23.82,21.97,23.39,20532939
2010-02-10,23.07,23.28,21.6,22.33,17887136
2010-02-11,23.04,23.18,22.62,23.15,7192343
2010-02-12,23.45,23.5,22.41,22.71,5749642
2010-02-15,23.45,23.5,22.41,22.71,0
2010-02-16,23.95,24.0,23.505,23.79,5486198
2010-02-17,24.08,24.3,23.79,23.99,6257933
2010-02-18,24.14,24.35,23.75,23.96,5024636
2010-02-19,24.34,24.43,23.75,24.13,4675306
2010-02-22,24.81,24.85,24.26,24.59,4964751
2010-02-23,23.85,24.71,23.65,24.59,7430173
2010-02-24,24.33,24.34,23.825,23.98,5244229
2010-02-25,24.34,24.38,23.71,23.93,4504439
2010-02-26,24.37,24.49,24.08,24.34,4636436
2010-03-01,24.81,24.81,24.43,24.5,4507055
2010-03-02,25.72,25.95,24.72,25.07,14141955
2010-03-03,25.36,25.9,25.22,25.82,6719151
2010-03-04,26.35,26.42,25.22,25.33,8881912
2010-03-05,26.86,27.06,26.28,26.64,7430806
2010-03-08,26.93,27.38,26.7,27.21,5341014
2010-03-09,26.58,27.17,26.5,27.15,6949616
2010-03-10,27.26,27.45,26.47,26.57,8331030
2010-03-11,27.29,27.52,27.02,27.14,5285060
2010-03-12,26.75,27.59,26.66,27.45,5957303
2010-03-15,26.82,26.86,26.09,26.57,7240691
2010-03-16,27.26,27.29,26.46,26.79,7140571
2010-03-17,28.58,29.12,28.2,28.3,24458415
2010-03-18,27.84,28.75,27.66,28.67,58662497
2010-03-19,27.26,27.98,26.91,27.9,18821794
2010-03-22,27.63,27.81,26.9,27.1,14975024
2010-03-23,27.86,27.9,27.37,27.71,9217317
2010-03-24,28.14,28.4,27.52,27.71,10372469
2010-03-25,27.85,28.61,27.77,28.3,14161948
2010-03-26,27.97,28.49,27.75,27.87,10766898
2010-03-29,28.18,28.226,27.57,28.08,7574035
2010-03-30,28.04,28.18,27.86,28.05,7776796
2010-03-31,28.42,28.68,27.85,28.12,21739691
2010-04-01,28.88,29.25,28.71,28.9,9083773
2010-04-02,28.88,29.25,28.71,28.9,0
2010-04-05,29.34,29.48,28.95,29.16,5124878
2010-04-06,29.03,29.42,28.94,29.16,6285481
2010-04-07,28.5,29.03,28.21,28.74,9841946
2010-04-08,28.55,28.65,28.06,28.3,6022038
2010-04-09,28.0,28.83,27.86,28.68,7790282
2010-04-12,27.89,28.25,27.55,28.12,10069749
