Date,Close,High,Low,Open,Volume
2010-01-01,25.2,25.59,25.2,25.42,0
2010-01-04,25.46,25.7,25.28,25.49,2903910
2010-01-05,25.65,25.91,25.24,25.37,2805367
2010-01-06,25.59,25.99,25.45,25.74,3283304
2010-01-07,25.8,25.89,25.32,25.46,2522130
2010-01-08,25.53,25.85,25.32,25.78,3523723
2010-01-11,25.17,25.76,25.1,25.73,2664343
2010-01-12,24.81,25.09,24.5,25.09,3492117
2010-01-13,25.88,25.99,24.63,24.81,4288321
2010-01-14,25.73,25.92,25.58,25.92,2537173
2010-01-15,25.08,26.0,24.83,25.65,4747965
2010-01-18,25.08,26.0,24.83,25.65,0
2010-01-19,25.71,25.73,24.41,25.08,4374857
2010-01-20,25.84,26.18,25.34,25.45,5478322
2010-01-21,25.58,26.09,25.1,25.94,5328539
2010-01-22,23.59,24.99,23.16,24.96,14178165
2010-01-25,23.42,24.22,23.22,23.83,5006737
2010-01-26,23.18,23.69,23.08,23.27,3957706
2010-01-27,23.52,23.6,22.84,23.15,3875185
2010-01-28,23.35,23.82,22.78,23.74,4248172
2010-01-29,22.74,23.73,22.59,23.48,4513970
2010-02-01,23.27,23.31,22.71,22.95,2655472
2010-02-02,23.5,23.7,23.06,23.41,3439003
2010-02-03,23.26,23.55,23.12,23.35,2032203
2010-02-04,22.69,23.26,22.55,22.89,4723655
2010-02-05,22.57,22.825,21.81,22.51,6446265
2010-02-08,22.23,22.82,22.21,22.51,2527960
2010-02-09,22.73,23.02,22.33,22.61,2633961
2010-02-10,22.63,22.84,22.07,22.73,2848561
2010-02-11,23.23,23.25,22.22,22.51,2842805
2010-02-12,23.49,23.62,22.92,22.94,3997247
2010-02-15,23.49,23.62,22.92,22.94,0
2010-02-16,24.08,24.08,23.41,23.7,2807797
2010-02-17,24.45,24.49,24.01,24.28,3504077
2010-02-18,24.67,24.69,24.25,24.36,3113223
2010-02-19,24.43,24.75,24.26,24.53,2811078
2010-02-22,24.15,24.6899,24.08,24.51,2000692
2010-02-23,24.05,24.25,23.7,23.98,2376298
2010-02-24,24.53,24.58,24.02,24.1,2179331
2010-02-25,24.61,24.65,24.04,24.11,2017417
2010-02-26,24.61,24.85,24.44,24.7,1545702
2010-03-01,24.85,25.06,24.48,24.67,2557572
2010-03-02,24.92,25.12,24.71,25.05,1798400
2010-03-03,25.11,25.332,24.86,25.0,2154124
2010-03-04,25.43,25.51,25.04,25.13,1870593
2010-03-05,26.82,26.9,25.51,25.6,4125974
2010-03-08,26.63,27.42,26.47,26.79,2529385
2010-03-09,26.68,26.94,26.27,26.5,2005734
2010-03-10,26.96,27.64,26.59,26.8,3289089
2010-03-11,26.77,27.07,26.55,26.84,2905392
2010-03-12,26.85,26.93,26.5454,26.88,2010907
2010-03-15,26.5,26.82,26.17,26.65,2496763
2010-03-16,28.35,28.98,26.4,26.51,18415752
2010-03-17,28.18,28.5,27.93,28.5,4559862
2010-03-18,28.24,28.48,27.99,27.99,3488330
2010-03-19,28.31,28.65,28.0,28.34,3867089
2010-03-22,28.77,28.84,27.85,27.98,2899597
2010-03-23,28.48,28.9,28.31,28.76,3234455
2010-03-24,27.8,28.42,27.63,28.39,3653064
2010-03-25,27.73,28.39,27.64,28.09,3604598
2010-03-26,27.92,28.34,27.6,27.77,2108630
2010-03-29,28.32,28.35,27.87,28.0,3030997
2010-03-30,28.53,28.6,27.86,28.35,2853386
2010-03-31,28.07,28.5,27.93,28.31,2525707
2010-04-01,28.38,28.5301,27.95,28.3,3273011
2010-04-02,28.38,28.5301,27.95,28.3,0
2010-04-05,31.37,31.66,28.64,28.88,10395029
2010-04-06,31.31,31.62,30.81,30.94,5589131
2010-04-07,31.23,31.42,30.85,31.1,3444342
2010-04-08,31.83,31.85,30.7,31.14,3664591
2010-04-09,32.92,33.02,31.78,32.0,6994909
2010-04-12,32.75,32.99,32.49,32.99,3195641
2010-04-13,32.68,32.77,31.76,31.83,4627948
2010-04-14,32.85,32.86,32.29,32.72,3537835
2010-04-15,33.27,33.99,32.53,32.64,4827537
2010-04-16,33.08,33.26,32.15,33.11,5008588
2010-04-19,32.77,33.32,32.21,33.05,4795092
2010-04-20,35.17,36.13,34.47,34.69,14242606
2010-04-21,34.23,35.47,33.96,35.46,7666292
2010-04-22,35.22,35.3,33.69,33.7,4396008
2010-04-23,35.49,35.86,35.06,35.28,4495546
2010-04-26,35.27,35.9,35.2,35.66,2663663
2010-04-27,33.98,35.11,33.93,34.96,4101687
2010-04-28,34.17,34.61,33.61,34.21,2674110
2010-04-29,35.0,35.05,34.4,34.64,2128532
2010-04-30,33.83,35.46,33.68,35.02,2988682
2010-05-03,34.91,35.07,33.925,34.25,2995356
2010-05-04,32.92,34.46,32.72,34.45,6048771
2010-05-05,31.54,32.63,30.79,32.45,6665769
2010-05-06,31.0,32.25,28.1,31.19,7616613
2010-05-07,30.18,31.7,29.69,31.02,5342299
2010-05-10,32.98,33.22,31.595,31.81,6693427
2010-05-11,33.38,34.11,32.51,32.71,4913450
2010-05-12,34.22,34.3,33.483,33.52,2476050
2010-05-13,32.91,34.05,32.74,33.91,2799722
2010-05-14,32.34,32.58,31.84,32.53,2829280
2010-05-17,32.98,33.15,31.96,32.66,4623471
2010-05-18,32.6,33.79,32.54,33.05,4714877
2010-05-19,32.19,32.87,31.19,32.25,3522727
2010-05-20,30.21,31.29,29.86,30.97,5822527
2010-05-21,30.87,31.16,29.28,29.59,6228516
2010-05-24,30.43,31.25,30.37,30.64,3609713
2010-05-25,29.94,29.94,28.95,29.5,6107124
2010-05-26,30.01,30.77,29.69,30.4,4487165
2010-05-27,31.09,31.14,30.285,30.81,4272043
2010-05-28,30.21,31.27,29.82,30.92,3680185
2010-05-31,30.21,31.27,29.82,30.92,0
2010-06-01,29.18,30.49,29.12,29.62,2988056
2010-06-02,29.41,29.53,28.89,29.39,4539095
2010-06-03,29.23,30.07,28.98,29.58,4029154
2010-06-04,27.35,28.35,27.155,28.26,5826985
2010-06-07,25.98,27.5,25.91,27.45,6740858
2010-06-08,26.31,26.82,25.56,26.12,4730361
2010-06-09,26.18,27.15,26.03,26.66,3153731
2010-06-10,27.32,27.71,26.26,26.52,10462361
2010-06-11,27.05,27.07,26.64,26.8,3446933
2010-06-14,27.5,27.85,27.26,27.36,4467334
2010-06-15,27.86,27.99,27.6,27.75,2790106
2010-06-16,27.1,27.82,26.945,27.76,3163838
2010-06-17,27.24,27.39,26.59,27.36,2307307
2010-06-18,26.81,27.46,26.715,27.34,3379077
2010-06-21,26.33,27.314,26.13,27.12,2720946
2010-06-22,25.06,26.5,24.91,26.48,4559543
2010-06-23,24.94,25.28,24.44,25.09,4481566
2010-06-24,23.7,24.85,23.61,24.8,6172419
2010-06-25,24.49,24.49,23.67,23.77,10347339
2010-06-28,23.89,24.54,23.87,24.47,4778662
2010-06-29,23.14,23.45,22.75,23.37,5611752
2010-06-30,22.23,23.79,22.0,23.12,6216182
