Date,Close,High,Low,Open,Volume
2015-10-19,9.5613,10.6879,9.5209,10.6879,2737599
2015-10-20,9.7462,9.7809,9.388,9.388,1228324
2015-10-21,9.5209,10.0235,9.4747,9.9657,136047
2015-10-22,9.7924,9.8502,9.3822,9.6538,190402
2015-10-23,9.8213,9.9657,9.7346,9.9657,103700
2015-10-26,9.4862,9.8849,9.4227,9.8849,891081
2015-10-27,9.0876,9.6769,9.0125,9.5671,1100901
2015-10-28,9.4053,9.4458,9.154,9.1858,512911
2015-10-29,9.2147,9.3996,8.9836,9.2494,502742
2015-10-30,8.5041,9.3014,8.5041,9.1858,4239532
2015-11-02,8.3712,8.7641,8.0072,8.6601,70736056
2015-11-03,8.2961,8.4983,7.9004,8.1286,69593158
2015-11-04,7.8917,8.3828,7.8628,8.3134,54566845
2015-11-05,7.6722,8.0246,7.5797,7.8802,38409384
2015-11-06,8.3192,8.3654,7.5971,7.6144,52014410
2015-11-09,8.2037,8.3654,8.1632,8.2095,30339918
2015-11-10,8.325,8.3423,8.0939,8.1632,25579298
2015-11-11,8.1517,8.2672,8.1401,8.2037,19056148
2015-11-12,7.9148,7.9841,7.8513,7.9784,35261957
2015-11-13,7.7357,7.9495,7.5971,7.8628,25833343
2015-11-16,7.7299,7.8628,7.5913,7.7242,23854615
2015-11-17,7.6375,7.7935,7.5797,7.7299,21499482
2015-11-18,7.8802,7.9321,7.6194,7.7877,22537549
2015-11-19,7.961,8.0246,7.8108,7.8166,22798948
2015-11-20,8.2095,8.4521,7.9033,7.961,32125038
2015-11-23,8.0015,8.2095,7.8397,8.1863,26513274
2015-11-24,7.909,8.1026,7.7993,7.8455,41731055
2015-11-25,8.1575,8.585,7.9957,8.0361,39249725
2015-11-26,8.1575,8.1575,8.1575,8.1575,0
2015-11-27,8.2903,8.4579,8.117,8.1575,10457799
2015-11-30,8.585,8.6659,8.1921,8.221,50375815
2015-12-01,9.0183,9.1743,8.5792,8.5965,43457222
2015-12-02,8.637,8.9778,8.5908,8.8796,21950057
2015-12-03,8.4463,8.8623,8.4232,8.6659,32723674
2015-12-04,8.793,8.8363,8.2268,8.3134,20773055
2015-12-07,8.9258,8.9432,8.6196,8.6659,16523553
2015-12-08,8.7641,8.8334,8.4463,8.7178,20109271
2015-12-09,8.5792,8.8912,8.481,8.6601,24686414
2015-12-10,8.5041,8.5561,8.3943,8.5445,19646430
2015-12-11,8.1921,8.8969,8.169,8.6601,18373427
2015-12-14,8.3423,8.377,8.0419,8.2614,19953994
2015-12-15,8.4117,8.6543,8.3683,8.3828,22309523
2015-12-16,8.4925,8.5561,8.4059,8.4463,13572178
2015-12-17,8.2672,8.5041,8.2152,8.4405,13199145
2015-12-18,8.1806,8.3106,8.0881,8.2441,33419590
2015-12-21,8.0997,8.3192,8.013,8.1575,17072618
2015-12-22,8.1228,8.169,8.042,8.1112,12622776
2015-12-23,8.6139,8.6485,8.117,8.1979,19476662
2015-12-24,8.6774,8.7641,8.5446,8.5561,3770763
2015-12-25,8.6774,8.6774,8.6774,8.6774,0
2015-12-28,8.7987,8.8276,8.5619,8.6023,10265524
2015-12-29,8.7814,8.9184,8.7698,8.8334,10862898
2015-12-30,8.8276,8.9432,8.7525,8.8334,10862941
2015-12-31,8.7814,8.8449,8.7236,8.7987,11714551
2016-01-01,8.7814,8.7814,8.7814,8.7814,0
2016-01-04,8.741,8.7525,8.5156,8.6485,26096967
2016-01-05,8.6832,8.8103,8.6312,8.741,17877397
2016-01-06,8.5503,8.6659,8.3828,8.4463,19585660
2016-01-07,7.9206,8.4117,7.8859,8.377,34349524
2016-01-08,7.8224,8.0997,7.6895,7.9553,28442499
2016-01-11,7.6606,7.9206,7.5508,7.7588,26155842
2016-01-12,7.6606,7.7531,7.5624,7.7126,21564722
2016-01-13,7.366,7.7126,7.2389,7.7126,30673429
2016-01-14,7.5104,7.6086,7.3082,7.366,23112263
2016-01-15,7.2447,7.3949,7.2158,7.2793,34150380
2016-01-18,7.2447,7.2447,7.2447,7.2447,0
2016-01-19,7.1176,7.3833,7.0482,7.3255,22373204
2016-01-20,6.9673,7.0482,6.716,6.9327,28802794
2016-01-21,7.1696,7.2447,6.8287,6.9327,28957763
2016-01-22,7.7126,7.7588,7.3082,7.3371,26431013
2016-01-25,7.7068,7.8282,7.5797,7.6779,19357745
2016-01-26,7.857,7.9293,7.7126,7.7126,18566209
2016-01-27,7.7357,7.8628,7.4844,7.8166,31995412
2016-01-28,7.6202,7.9148,7.5508,7.7704,17091951
2016-01-29,7.9495,8.0188,7.7126,7.7473,19666678
2016-02-01,7.9668,8.0188,7.8166,7.8975,16529779
2016-02-02,7.7704,8.0708,7.7184,7.9148,16751116
2016-02-03,7.7242,7.9553,7.574,7.8917,13073763
2016-02-04,8.0015,8.0246,7.6895,7.6895,11249581
2016-02-05,7.626,7.9437,7.5306,7.909,22896203
2016-02-08,7.2273,7.5393,7.1464,7.5104,25645222
2016-02-09,7.3486,7.4295,7.1118,7.1464,11573855
2016-02-10,7.4295,7.5508,7.3429,7.3775,10355645
2016-02-11,7.1638,7.3198,6.9413,7.262,17022480
2016-02-12,7.1002,7.3891,7.0367,7.2215,18260305
2016-02-15,7.1002,7.1002,7.1002,7.1002,0
2016-02-16,7.1233,7.2158,7.0887,7.1696,20731180
2016-02-17,7.522,7.5884,7.1464,7.158,14999410
2016-02-18,7.8166,7.9148,7.522,7.5393,20310947
2016-02-19,7.8975,7.9379,7.6548,7.805,16295639
2016-02-22,7.9726,8.0188,7.8397,7.9437,18617150
2016-02-23,7.5624,7.9841,7.418,7.9264,25352875
2016-02-24,7.8166,7.8397,7.4064,7.5104,22894639
2016-02-25,7.9033,7.9206,7.6491,7.7704,20909475
2016-02-26,7.7646,7.9726,7.5971,7.961,18737234
2016-02-29,7.6664,7.7877,7.626,7.6895,22021768
2016-03-01,7.6722,7.7819,7.5624,7.7531,14460545
2016-03-02,8.0304,8.117,7.7126,7.7299,17337859
2016-03-03,7.857,8.0592,7.6722,8.0361,17346605
2016-03-04,8.9201,9.1511,8.5619,8.6081,57761589
2016-03-07,9.2262,9.2378,8.7005,8.741,31984523
2016-03-08,8.7987,9.1223,8.7843,9.0991,21343233
2016-03-09,8.9489,9.1483,8.8392,8.8623,19159579
2016-03-10,9.1858,9.3649,8.9663,8.9836,24726579
2016-03-11,9.4342,9.4978,9.2436,9.2436,27148266
2016-03-14,9.4804,9.5729,9.2667,9.3591,16738155
2016-03-15,9.6884,9.752,9.388,9.4516,24119219
2016-03-16,9.9311,9.9542,9.5902,9.6538,21660824
2016-03-17,9.9137,10.012,9.7982,9.8964,18812121
2016-03-18,10.012,10.1564,9.8675,9.9195,53594607
2016-03-21,10.2315,10.3644,9.9946,10.012,18572731
2016-03-22,10.1159,10.4452,10.0177,10.0582,19591556
2016-03-23,10.0871,10.1506,9.8733,10.1217,19791364
2016-03-24,10.1506,10.191,9.8849,10.0582,15353317
2016-03-25,10.1506,10.1506,10.1506,10.1506,0
2016-03-28,10.1159,10.2055,9.9484,10.0986,9570898
2016-03-29,10.1968,10.2142,9.9484,10.0351,10258540
2016-03-30,10.3355,10.3499,10.1853,10.2373,18265666
2016-03-31,10.243,10.3759,10.116,10.3066,17983692
2016-04-01,10.6301,10.7139,10.1448,10.1737,25704217
2016-04-04,10.4221,10.659,10.3586,10.659,13270996
2016-04-05,10.1737,10.347,10.1448,10.3239,14366715
2016-04-06,10.3759,10.3875,10.0871,10.1968,17987621
2016-04-07,10.2488,10.4221,10.1824,10.2777,16294022
2016-04-08,10.3355,10.5695,10.2893,10.3124,12601151
2016-04-11,10.243,10.4337,10.2026,10.3701,10175209
2016-04-12,9.96,10.2604,9.9253,10.2315,15211230
2016-04-13,10.1102,10.1159,9.908,9.9888,14268467
2016-04-14,9.9715,10.0524,9.856,10.0293,11453048
2016-04-15,10.0524,10.0986,9.7346,10.0582,20532286
2016-04-18,10.0755,10.1015,9.9022,9.9426,9799621
2016-04-19,9.96,10.0986,9.908,10.0871,11146668
2016-04-20,10.0524,10.1102,9.8617,9.8617,9416467
2016-04-21,10.0871,10.2488,10.0062,10.0177,10334304
2016-04-22,10.1044,10.2257,10.012,10.0755,13774754
2016-04-25,9.9426,10.0582,9.7173,10.0293,10112342
2016-04-26,10.0293,10.0899,9.9542,9.9657,10880100
2016-04-27,10.0004,10.1217,9.9657,9.9946,11015038
2016-04-28,9.8386,10.0437,9.7751,9.9195,8285870
2016-04-29,9.6249,9.7693,9.5382,9.7578,12270368
2016-05-02,9.4747,9.6769,9.4053,9.6249,14645767
2016-05-03,9.2031,9.388,9.1165,9.3765,19153992
2016-05-04,9.2031,9.2436,9.0587,9.128,11489533
2016-05-05,9.0818,9.2262,9.0356,9.2147,6091563
2016-05-06,9.1165,9.1627,8.9894,9.0298,8626257
2016-05-09,9.1627,9.2205,9.0529,9.076,8556556
2016-05-10,9.18,9.1858,9.0183,9.18,8241999
