Date,Close,High,Low,Open,Volume
2010-01-01,47.55,48.25,47.55,48.04,0
2010-01-04,48.33,48.74,47.7,47.7,654555
2010-01-05,48.0,48.5,47.44,48.35,892051
2010-01-06,48.49,48.74,47.8,47.82,776218
2010-01-07,48.63,48.77,47.93,48.3,814201
2010-01-08,48.69,48.8,48.25,48.78,529653
2010-01-11,49.26,49.31,48.57,48.7,587360
2010-01-12,47.39,49.01,47.28,48.92,963860
2010-01-13,49.02,49.11,47.54,47.67,900825
2010-01-14,48.95,49.05,48.32,48.99,478919
2010-01-15,48.0,48.97,47.66,48.93,660852
2010-01-18,48.0,48.97,47.66,48.93,0
2010-01-19,48.76,49.67,48.0,48.0,1297249
2010-01-20,48.43,48.83,47.73,48.47,655309
2010-01-21,47.24,48.79,47.19,48.36,558916
2010-01-22,45.78,47.17,45.71,47.03,790279
2010-01-25,46.19,46.47,45.81,45.97,685400
2010-01-26,45.64,46.07,44.96,46.06,654875
2010-01-27,46.8,46.82,44.75,45.5,1409530
2010-01-28,44.34,48.09,43.04,48.09,3536510
2010-01-29,42.92,44.72,42.67,44.54,1674323
2010-02-01,44.74,45.12,42.84,43.0,1358898
2010-02-02,45.3,45.45,44.39,44.71,1164395
2010-02-03,44.78,45.52,44.51,45.06,965605
2010-02-04,44.35,44.8,44.23,44.46,1166202
2010-02-05,44.73,44.87,43.79,44.08,1016969
2010-02-08,44.25,44.92,44.18,44.82,848626
2010-02-09,44.75,45.12,44.04,44.58,600738
2010-02-10,44.41,44.76,43.93,44.76,581147
2010-02-11,45.03,45.14,43.9,44.36,596198
2010-02-12,44.98,45.2,43.84,44.33,945144
2010-02-15,44.98,45.2,43.84,44.33,0
2010-02-16,45.59,45.64,45.09,45.49,382602
2010-02-17,46.02,46.15,45.53,45.7,510030
2010-02-18,46.88,46.9699,45.87,46.03,543711
2010-02-19,47.23,47.39,46.29,46.81,661810
2010-02-22,47.05,47.39,46.78,47.34,536372
2010-02-23,46.54,47.3199,46.41,47.01,464713
2010-02-24,46.09,46.94,45.62,46.78,1137356
2010-02-25,45.32,46.46,44.47,45.49,1371120
2010-02-26,45.22,45.61,44.88,45.56,764073
2010-03-01,45.08,45.53,44.6,45.49,1335608
2010-03-02,45.43,45.5,45.02,45.4,1764131
2010-03-03,46.82,47.175,45.2,45.5,1293128
2010-03-04,46.27,46.92,45.91,46.72,810765
2010-03-05,46.35,46.62,46.2,46.43,724200
2010-03-08,46.24,46.735,46.1,46.48,716078
2010-03-09,46.1,46.47,45.88,46.1,952965
2010-03-10,46.39,46.49,45.91,46.01,677579
2010-03-11,46.75,46.81,46.05,46.2,573301
2010-03-12,45.12,46.77,45.04,46.76,1182051
2010-03-15,45.42,45.48,44.93,45.1,874356
2010-03-16,45.94,46.0,45.28,45.63,705917
2010-03-17,46.55,46.8,45.92,46.17,744301
2010-03-18,47.26,47.36,46.69,46.69,828681
2010-03-19,46.05,47.43,45.75,47.28,1120949
2010-03-22,46.98,47.21,45.74,45.77,690286
2010-03-23,47.53,47.69,46.97,47.4,838149
