Date,Close,High,Low,Open,Volume
2010-01-01,35.79,36.56,35.77,36.56,0
2010-01-04,36.22,36.26,35.76,36.01,1048013
2010-01-05,37.17,37.91,36.0,36.24,3829177
2010-01-06,36.85,37.53,36.75,37.32,1492364
2010-01-07,36.49,37.02,36.36,37.02,1148258
2010-01-08,36.38,36.63,36.2,36.55,836568
2010-01-11,36.18,36.42,35.83,36.42,1257353
2010-01-12,37.75,37.8,36.15,36.2,2369672
2010-01-13,36.61,38.05,36.46,37.37,4881033
2010-01-14,36.96,37.08,36.51,36.73,1765282
2010-01-15,36.25,36.86,35.97,36.64,1959213
2010-01-18,36.25,36.86,35.97,36.64,0
2010-01-19,37.35,38.01,37.26,37.26,3543713
2010-01-20,37.08,37.32,36.72,37.32,1827560
2010-01-21,36.19,37.34,36.18,37.34,2642185
2010-01-22,36.28,36.89,36.1,36.53,1648798
2010-01-25,36.45,36.82,36.15,36.4,1876076
2010-01-26,36.5,36.55,35.95,35.95,2754832
2010-01-27,37.29,37.35,36.4,36.43,2956657
2010-01-28,37.13,37.38,36.83,37.29,1950826
2010-01-29,36.43,37.23,36.43,37.2,2409794
2010-02-01,36.81,36.81,36.06,36.59,2241951
2010-02-02,37.2,37.96,36.95,37.85,2704446
2010-02-03,37.15,37.57,36.95,37.23,1416159
2010-02-04,36.9,37.16,36.75,37.01,2431934
2010-02-05,37.35,37.5,36.77,36.83,2325551
2010-02-08,36.95,37.46,36.9,37.46,1472290
2010-02-09,37.2,37.37,37.05,37.24,1693942
2010-02-10,37.22,37.28,36.75,37.07,1231258
2010-02-11,37.4,37.45,36.84,37.23,1341536
2010-02-12,37.6,37.73,37.03,37.25,1858310
2010-02-15,37.6,37.73,37.03,37.25,0
2010-02-16,38.38,38.38,37.53,37.59,1722768
2010-02-17,38.39,38.48,38.22,38.3,1330740
2010-02-18,38.83,38.84,37.81,37.94,1442044
2010-02-19,39.97,40.01,38.5,38.9,3565036
2010-02-22,39.74,40.1,39.55,39.97,4638823
2010-02-23,39.26,39.67,39.09,39.39,1119106
2010-02-24,39.64,39.69,39.25,39.42,1467664
2010-02-25,39.73,39.75,39.25,39.28,2333825
2010-02-26,39.76,39.99,39.66,39.89,1433803
2010-03-01,39.91,40.21,39.79,39.92,1538970
2010-03-02,40.17,40.33,39.91,40.12,1185683
2010-03-03,40.76,40.81,40.05,40.37,2376744
2010-03-04,41.1,41.23,40.76,40.93,1878985
2010-03-05,41.45,41.46,40.97,41.35,1596633
2010-03-08,41.2,41.5,40.85,41.3,1724134
2010-03-09,41.57,41.72,40.95,41.0,1679753
2010-03-10,41.5,41.65,41.26,41.61,1512886
2010-03-11,41.68,41.68,41.27,41.4,1399226
2010-03-12,42.65,42.66,41.65,41.75,3367446
2010-03-15,42.98,42.98,42.38,42.54,2523482
2010-03-16,43.52,43.56,42.68,42.95,2454564
2010-03-17,43.15,43.58,43.04,43.58,1906482
2010-03-18,42.98,43.3,42.78,43.09,1789458
2010-03-19,42.44,43.14,42.35,43.05,2130338
2010-03-22,42.88,42.92,42.17,42.27,1397952
2010-03-23,43.15,43.19,42.68,42.98,1266710
2010-03-24,42.69,43.03,42.53,42.94,1343480
2010-03-25,42.64,42.9,42.47,42.9,1624818
2010-03-26,42.49,42.92,42.36,42.68,970613
2010-03-29,42.87,42.96,42.37,42.5,1004202
2010-03-30,43.05,43.17,42.79,42.84,763827
2010-03-31,42.81,43.07,42.79,42.84,836480
2010-04-01,43.06,43.29,42.79,43.0,771828
2010-04-02,43.06,43.29,42.79,43.0,0
2010-04-05,43.24,43.43,43.04,43.25,831237
2010-04-06,43.35,43.35,42.94,43.07,798236
