Date,Close,High,Low,Open,Volume
2010-01-01,43.89,44.575,43.78,44.49,0
2010-01-04,45.68,45.77,44.43,44.43,2008489
2010-01-05,45.66,46.16,45.27,45.79,1860665
2010-01-06,45.98,46.34,45.35,45.66,1686745
2010-01-07,48.12,48.69,46.25,46.25,3706552
2010-01-08,47.51,48.02,47.2,47.81,2412394
2010-01-11,46.95,47.729,46.71,47.48,2000839
2010-01-12,46.18,46.78,45.62,46.48,2392048
2010-01-13,47.03,47.14,45.32,46.24,2455775
2010-01-14,48.02,48.6,46.75,46.76,3433313
2010-01-15,48.51,48.99,47.59,48.14,2646512
2010-01-18,48.51,48.99,47.59,48.14,0
2010-01-19,51.94,52.26,49.3,49.3,9572568
2010-01-20,51.27,52.66,50.3,52.65,10926059
2010-01-21,51.77,52.18,51.01,51.13,9071657
2010-01-22,51.0,52.58,50.82,51.7,3884053
2010-01-25,49.56,51.41,49.4,50.89,4585259
2010-01-26,48.27,49.69,48.1,49.6,3760579
2010-01-27,49.02,50.11,47.811,48.25,3232170
2010-01-28,48.79,50.21,48.43,49.26,3318395
2010-01-29,48.62,49.71,48.54,49.11,2670997
2010-02-01,48.71,50.37,46.18,48.0,8798707
2010-02-02,50.3,50.34,48.53,48.93,2596258
2010-02-03,48.98,50.3275,48.53,50.22,2256957
2010-02-04,47.17,48.9,47.16,48.9,2165794
2010-02-05,47.02,47.2,45.65,46.66,3150412
2010-02-08,46.75,47.71,46.5,46.99,1383837
2010-02-09,47.92,48.34,46.26,47.35,3131191
2010-02-10,47.1,48.01,45.8901,48.01,2733182
2010-02-11,46.82,47.33,46.3,47.29,2081788
2010-02-12,45.95,46.3,45.43,46.3,2216900
2010-02-15,45.95,46.3,45.43,46.3,0
2010-02-16,46.01,46.45,45.24,46.33,1499535
2010-02-17,46.64,47.3,46.18,46.34,1701410
2010-02-18,46.2,46.91,45.89,46.27,2470225
2010-02-19,45.35,46.11,45.07,45.54,3960193
2010-02-22,47.87,47.98,45.7,45.83,5733536
