Date,Close,High,Low,Open,Volume
2010-01-01,130.9,132.85,130.75,132.41,0
2010-01-04,132.45,132.97,130.85,131.18,6155846
2010-01-05,130.85,131.85,130.1,131.68,6842471
2010-01-06,130.0,131.49,129.81,130.68,5605290
2010-01-07,129.55,130.25,128.91,129.87,5840569
2010-01-08,130.85,130.9199,129.05,129.07,4197105
2010-01-11,129.48,131.06,128.67,131.06,5731177
2010-01-12,130.51,131.33,129.0,129.03,8083354
2010-01-13,130.23,131.12,129.16,130.39,6458302
2010-01-14,132.31,132.71,129.91,130.55,7114544
2010-01-15,131.78,132.89,131.089,132.03,8502320
2010-01-18,131.78,132.89,131.089,132.03,0
2010-01-19,134.14,134.25,131.56,131.63,13916168
2010-01-20,130.25,131.15,128.95,130.46,15201857
2010-01-21,129.0,130.69,128.06,130.47,9608696
2010-01-22,125.5,128.89,125.37,128.67,10089325
2010-01-25,126.12,126.895,125.71,126.33,5738920
2010-01-26,125.75,127.75,125.41,125.92,7136640
2010-01-27,126.33,126.96,125.04,125.82,8719447
2010-01-28,123.75,127.04,123.05,127.03,9622829
2010-01-29,122.39,125.0,121.9,124.32,11572387
2010-02-01,124.67,124.95,122.78,123.23,7249873
2010-02-02,125.53,125.81,123.95,124.79,5900187
2010-02-03,125.66,126.07,125.07,125.16,4177981
2010-02-04,123.0,125.44,122.9,125.19,9129991
2010-02-05,123.52,123.72,121.83,123.04,8618019
2010-02-08,121.88,123.22,121.74,123.15,5719389
2010-02-09,123.21,124.2,122.46,122.65,6044966
2010-02-10,122.81,123.65,122.21,122.94,5219260
2010-02-11,123.73,124.2,122.06,122.58,5091096
2010-02-12,124.0,124.05,121.61,123.01,8018236
2010-02-15,124.0,124.05,121.61,123.01,0
2010-02-16,125.23,125.23,124.11,124.89,6777265
2010-02-17,126.33,126.53,125.21,125.42,5827357
2010-02-18,127.81,128.0,126.0,126.08,5527576
2010-02-19,127.19,128.06,126.8724,127.31,6303678
2010-02-22,126.85,127.43,126.31,127.13,3808077
2010-02-23,126.46,127.66,126.0,126.42,4594376
2010-02-24,127.59,128.27,126.81,127.0,4782100
2010-02-25,127.07,127.24,125.57,126.1,5658776
2010-02-26,127.16,128.0,126.74,126.97,4784139
2010-03-01,128.57,128.83,127.47,127.75,4577715
2010-03-02,127.42,129.09,127.13,128.65,6013437
2010-03-03,126.88,128.02,126.68,127.51,6389967
2010-03-04,126.72,127.07,125.47,126.82,6032328
2010-03-05,127.25,127.55,127.04,127.1,6140472
2010-03-08,126.41,127.5,126.36,127.24,6199570
2010-03-09,125.55,126.29,125.2,126.25,7529306
2010-03-10,125.62,126.36,125.21,125.91,6917512
2010-03-11,127.6,127.81,125.71,125.88,7929401
2010-03-12,127.94,128.37,127.51,127.9,5170094
2010-03-15,127.83,128.34,127.28,127.46,4544089
2010-03-16,128.67,128.88,127.45,128.07,6135031
2010-03-17,127.76,128.93,127.36,128.66,6348995
2010-03-18,128.38,128.75,127.45,127.57,4954633
2010-03-19,127.71,128.93,126.78,128.84,10010940
2010-03-22,127.98,128.39,126.57,127.11,5651866
2010-03-23,129.37,129.43,127.64,127.89,5979298
2010-03-24,128.53,129.95,128.47,128.67,6669246
2010-03-25,129.24,130.73,129.13,129.31,7605394
2010-03-26,129.26,129.78,128.7205,129.0,5550705
2010-03-29,128.59,129.95,128.26,129.25,4643265
2010-03-30,128.77,129.13,128.25,128.73,3426538
2010-03-31,128.25,128.75,127.65,128.27,4904711
2010-04-01,128.25,129.31,127.55,128.88,4980625
2010-04-02,128.25,129.31,127.55,128.88,0
2010-04-05,129.35,129.8,128.14,128.29,4118884
2010-04-06,128.93,129.3,128.05,128.65,3926409
2010-04-07,128.48,129.27,128.01,128.53,5157358
2010-04-08,127.61,128.23,127.2,127.91,6006833
2010-04-09,128.76,128.87,127.12,127.62,5186516
2010-04-12,128.36,128.956,128.24,128.57,3984302
2010-04-13,129.03,129.435,127.84,128.26,6805580
2010-04-14,131.25,131.42,129.46,129.83,8545857
2010-04-15,130.89,131.14,130.1902,130.53,6425399
2010-04-16,130.63,132.17,130.25,130.76,9549798
2010-04-19,132.23,132.28,130.38,130.52,11353679
2010-04-20,129.69,130.33,128.26,129.21,15218573
2010-04-21,128.99,130.27,128.5,130.0,7560015
2010-04-22,129.13,129.36,127.77,128.64,6018690
2010-04-23,129.99,130.1,128.71,128.91,6197382
2010-04-26,130.73,131.04,129.54,129.57,5285484
2010-04-27,128.82,132.0,128.71,129.8,10917510
2010-04-28,130.1,130.47,129.03,129.28,7123602
2010-04-29,130.46,131.21,130.15,130.7,5786888
2010-04-30,129.0,130.636,128.84,130.46,6266689
2010-05-03,129.6,130.14,128.8,129.34,4992019
2010-05-04,128.12,128.93,126.5754,128.63,8285289
2010-05-05,127.46,128.23,126.87,127.01,6072834
2010-05-06,123.92,127.93,116.0,126.49,13169697
2010-05-07,122.1,124.39,120.0,123.17,10585340
2010-05-10,126.27,126.67,125.06,125.84,8464250
2010-05-11,126.89,128.42,125.15,125.4,6499773
2010-05-12,132.68,132.85,127.01,127.01,16629704
2010-05-13,131.48,133.1,130.85,130.85,10498358
2010-05-14,131.19,131.67,129.41,131.29,9920567
2010-05-17,130.44,131.76,128.7,130.55,8924745
2010-05-18,129.95,131.99,129.9,131.21,9332110
2010-05-19,128.86,130.5,127.82,129.62,8669840
2010-05-20,123.8,127.96,123.68,126.98,13178148
2010-05-21,125.42,125.61,121.4,121.83,12639577
2010-05-24,124.45,126.02,124.04,125.15,6876074
2010-05-25,124.52,124.95,121.47,121.62,9498873
2010-05-26,123.23,125.94,123.0,124.61,9085936
2010-05-27,126.39,126.39,124.77,124.86,7726560
2010-05-28,125.26,126.2794,124.29,125.85,7422373
2010-05-31,125.26,126.2794,124.29,125.85,0
2010-06-01,124.34,126.88,124.2,125.0,7136082
2010-06-02,127.41,127.5,124.35,124.81,7705556
2010-06-03,127.96,128.22,126.46,127.46,6645219
2010-06-04,125.28,127.1,124.67,126.43,9669111
2010-06-07,124.13,125.86,124.13,125.5,6951325
2010-06-08,123.72,124.46,122.82,124.11,8399126
2010-06-09,123.9,125.84,123.58,124.56,7800309
2010-06-10,127.68,128.22,125.8,126.45,7479610
2010-06-11,128.45,128.8,126.44,127.17,5827093
2010-06-14,128.5,129.97,128.49,128.5,6753113
2010-06-15,129.79,129.95,128.37,128.8,6652612
2010-06-16,130.35,130.68,128.34,128.45,6400971
2010-06-17,130.98,131.03,129.86,130.11,5575129
2010-06-18,130.15,131.25,130.13,130.96,9581587
2010-06-21,130.65,131.94,130.22,131.36,6857800
2010-06-22,129.3,131.47,129.07,130.35,6030623
2010-06-23,130.11,131.47,129.09,129.3,6855741
2010-06-24,128.19,129.73,127.7,129.61,5565558
2010-06-25,127.12,129.095,127.12,128.43,10420671
2010-06-28,128.98,129.47,127.22,127.32,6335135
2010-06-29,125.09,128.4,124.12,127.35,9378799
2010-06-30,123.48,125.22,123.0,124.83,8017939
2010-07-01,122.57,124.21,121.61,123.55,9742208
2010-07-02,121.86,123.29,120.61,123.29,6454413
2010-07-05,121.86,123.29,120.61,123.29,0
2010-07-06,123.46,124.63,122.17,123.58,6348708
2010-07-07,127.0,127.12,123.47,123.47,7090291
2010-07-08,127.97,128.15,126.74,127.37,5439963
2010-07-09,127.96,128.2,127.29,127.9,3898464
2010-07-12,128.67,128.83,127.16,127.37,4206871
2010-07-13,130.48,130.98,128.69,128.97,6687660
2010-07-14,130.72,131.6,129.14,129.32,6607133
2010-07-15,130.72,130.92,129.55,129.87,6187523
2010-07-16,128.03,130.15,127.85,129.96,7002854
2010-07-19,129.79,130.38,128.37,128.67,8388586
2010-07-20,126.55,126.56,122.93,122.97,16340314
2010-07-21,125.27,126.5,124.62,126.44,8615430
2010-07-22,127.47,127.78,126.05,126.32,6909088
2010-07-23,128.38,128.8,127.0,127.3,5077974
2010-07-26,128.41,128.43,127.14,128.18,5172270
2010-07-27,128.63,129.17,127.89,128.78,4648527
2010-07-28,128.43,129.35,127.88,128.67,4252631
2010-07-29,128.02,129.5,127.14,129.06,8997318
2010-07-30,128.4,128.98,127.04,127.43,6025837
2010-08-02,130.76,131.2,129.25,129.25,6437441
2010-08-03,130.37,131.04,129.33,130.03,5091953
2010-08-04,131.27,131.5,129.85,130.46,4573074
2010-08-05,131.83,131.98,130.53,130.73,4523103
2010-08-06,130.14,130.48,128.76,130.41,6137850
2010-08-09,132.0,132.34,130.4,130.79,6135341
2010-08-10,131.84,132.49,130.77,131.18,5471688
2010-08-11,129.83,130.69,129.461,130.69,6318083
2010-08-12,128.3,128.78,127.52,127.69,5132391
2010-08-13,127.87,128.46,127.33,127.96,4670519
2010-08-16,127.77,128.23,126.96,127.47,4005302
2010-08-17,128.45,129.85,127.905,128.83,4298556
2010-08-18,129.3925,130.195,127.8,128.87,4883300
2010-08-19,128.9,129.59,128.02,128.67,5402547
2010-08-20,127.5,128.98,126.96,128.72,6246279
2010-08-23,126.47,128.03,126.44,127.57,4034693
2010-08-24,124.9,126.02,124.57,125.21,5624039
2010-08-25,125.27,125.6,124.0,124.57,5239579
2010-08-26,122.78,125.78,122.78,125.78,7748597
2010-08-27,124.73,124.8,122.42,123.83,6214197
2010-08-30,123.4,125.2699,123.4,125.08,3603963
2010-08-31,123.13,123.99,122.28,123.31,5624125
2010-09-01,125.77,126.31,124.52,125.31,5624070
2010-09-02,125.04,126.23,124.65,126.03,5104538
2010-09-03,127.58,127.6,125.9001,126.02,5144355
2010-09-06,127.58,127.6,125.9001,126.02,0
2010-09-07,125.95,127.36,125.8801,126.99,4353927
2010-09-08,126.08,126.5199,125.39,126.38,4486438
2010-09-09,126.36,127.57,126.15,127.25,3437612
2010-09-10,127.99,128.29,126.26,126.99,4419379
2010-09-13,129.61,130.0,128.52,128.63,5272370
2010-09-14,128.85,129.92,128.43,128.43,4851469
2010-09-15,129.43,129.96,128.54,128.77,4762454
2010-09-16,129.67,129.95,128.8,129.2,4685578
2010-09-17,130.19,130.6,129.7,129.92,10397659
2010-09-20,131.79,132.09,130.11,130.24,7214702
2010-09-21,131.98,132.8,130.78,131.45,5268605
2010-09-22,132.57,132.58,131.4,131.61,4922526
2010-09-23,131.67,132.78,131.22,131.42,3898904
2010-09-24,134.11,134.15,132.34,132.42,7122325
2010-09-27,134.65,135.0,133.51,133.51,6155512
2010-09-28,134.89,135.14,133.71,134.67,7484022
2010-09-29,135.48,135.805,134.34,134.4,5151624
2010-09-30,134.14,136.11,133.67,135.5,6432129
2010-10-01,135.64,136.28,135.09,135.51,5621197
2010-10-04,135.25,135.92,134.39,135.23,4063857
2010-10-05,137.66,137.9015,136.12,136.18,6202496
2010-10-06,137.84,137.96,136.83,136.88,4782906
2010-10-07,138.72,138.88,137.52,137.92,6440718
2010-10-08,138.85,139.09,138.06,138.4,4543943
2010-10-11,139.66,139.94,138.64,138.79,4009658
2010-10-12,139.85,139.99,138.27,138.4,5639174
2010-10-13,140.37,141.48,139.78,139.91,8788326
2010-10-14,141.5,141.5,139.69,140.35,5658943
2010-10-15,141.06,142.1,140.54,142.1,7224057
2010-10-18,142.83,143.03,140.84,140.9,10341157
2010-10-19,138.03,139.34,136.7,137.3,14160546
2010-10-20,139.07,139.87,138.13,138.28,6954831
2010-10-21,139.83,140.49,138.4,139.81,6230393
2010-10-22,139.67,140.75,139.46,140.15,4105311
2010-10-25,139.84,141.4,139.81,140.42,4870212
2010-10-26,140.67,142.0,138.53,139.29,7328198
2010-10-27,141.43,141.57,139.0,139.52,6467113
2010-10-28,140.9,141.95,140.42,141.84,5482601
2010-10-29,143.6,144.0,140.75,140.9,8444096
2010-11-01,143.32,144.26,142.32,143.64,5676036
2010-11-02,143.84,144.71,143.71,143.85,4626496
2010-11-03,144.17,144.46,142.63,144.24,5182447
2010-11-04,146.79,146.84,144.71,144.82,6626305
2010-11-05,146.92,146.93,145.67,145.94,4996376
2010-11-08,146.46,146.58,145.25,145.35,4273819
2010-11-09,146.14,147.53,145.63,146.7,5701284
2010-11-10,146.55,146.79,145.63,146.09,5175737
2010-11-11,145.43,145.5,143.35,144.7,4752261
2010-11-12,143.74,145.77,143.55,144.59,4732937
2010-11-15,143.64,144.75,143.27,143.89,3828151
2010-11-16,142.24,143.38,141.18,142.93,6350519
2010-11-17,141.95,142.49,141.39,142.49,4787048
2010-11-18,144.36,144.99,142.75,143.04,4238874
2010-11-19,145.05,145.35,143.99,144.38,5015957
2010-11-22,145.39,145.43,143.56,144.0,3730686
2010-11-23,143.18,144.53,142.33,144.24,4573145
2010-11-24,145.81,146.44,143.82,143.95,4877219
2010-11-25,145.81,146.44,143.82,143.95,0
2010-11-26,143.9,145.3,143.57,145.3,2081260
2010-11-29,142.89,143.67,141.5,143.53,5040206
2010-11-30,141.46,142.76,141.28,142.24,7676320
2010-12-01,144.41,145.13,143.51,143.61,6826974
2010-12-02,145.18,145.85,144.3,144.33,5375523
2010-12-03,145.38,145.68,144.25,144.25,3710884
2010-12-06,144.99,145.87,144.52,144.54,3321951
2010-12-07,144.02,146.2999,143.87,146.02,4830430
2010-12-08,144.98,145.65,143.84,144.35,4962115
2010-12-09,144.3,145.94,143.52,145.94,4406114
2010-12-10,144.82,144.95,143.73,144.88,3503880
2010-12-13,144.28,145.4,144.21,145.14,4741876
2010-12-14,145.82,146.01,144.26,144.26,4804172
2010-12-15,144.72,145.72,144.31,145.13,4447397
2010-12-16,144.55,145.32,144.15,144.84,4178664
2010-12-17,145.0,145.5,144.4,144.69,10026946
2010-12-20,144.51,145.54,144.39,145.39,3994963
2010-12-21,145.74,145.99,144.33,144.99,3779240
2010-12-22,145.95,146.4,145.58,145.66,3388801
2010-12-23,145.89,146.33,145.33,145.89,2425301
2010-12-24,145.89,146.33,145.33,145.89,0
2010-12-27,145.34,145.7,145.0,145.12,2314687
2010-12-28,145.71,146.15,145.06,145.31,2700968
2010-12-29,146.52,147.5,145.71,146.0,3662739
2010-12-30,146.67,147.11,146.25,146.36,3039004
2010-12-31,146.76,147.07,145.96,146.73,2969933
2011-01-03,147.48,148.2,147.14,147.21,4604911
2011-01-04,147.64,148.22,146.64,147.56,5060088
2011-01-05,147.05,147.48,146.73,147.34,4659195
2011-01-06,148.66,148.79,146.82,147.13,5032270
2011-01-07,147.93,148.86,146.94,148.79,4136379
2011-01-10,147.64,148.06,147.23,147.58,3633350
2011-01-11,147.28,148.35,146.75,148.2,4164771
2011-01-12,149.1,149.29,147.67,147.99,4091442
2011-01-13,148.82,149.29,148.25,149.24,3445785
2011-01-14,150.0,150.0,148.47,148.89,4546899
2011-01-17,150.0,150.0,148.47,148.89,0
2011-01-18,150.65,151.465,149.38,149.82,9176829
2011-01-19,155.69,156.13,152.8301,153.26,12143645
2011-01-20,155.8,155.96,154.45,154.53,7441447
2011-01-21,155.5,156.78,154.96,156.4,7009010
2011-01-24,159.63,159.79,155.33,155.42,7288661
