Date,Close,High,Low,Open,Volume
2010-01-01,22.46,22.75,22.432,22.648,0
2010-01-04,22.574,22.7,22.3797,22.618,3636855
2010-01-05,21.724,22.402,21.55,22.4,7803625
2010-01-06,21.054,21.71,20.926,21.44,9618415
2010-01-07,21.628,21.712,20.91,20.954,6298060
2010-01-08,21.696,22.12,21.356,21.542,6317900
2010-01-11,21.7,21.962,21.534,21.762,3099660
2010-01-12,21.146,21.794,20.956,21.574,7038385
2010-01-13,21.524,21.648,21.088,21.226,5804335
2010-01-14,21.922,22.138,21.396,21.51,4959285
2010-01-15,21.406,22.006,21.4,21.882,4206160
2010-01-18,21.406,22.006,21.4,21.882,0
2010-01-19,21.816,21.928,21.28,21.376,4762090
2010-01-20,21.528,21.75,21.2725,21.668,4675735
2010-01-21,20.712,21.638,20.302,21.552,11065885
2010-01-22,20.032,20.92,19.962,20.654,10387155
2010-01-25,20.184,20.894,20.18,20.73,5574060
2010-01-26,19.062,20.088,19.04,20.088,11908350
2010-01-27,19.412,19.47,18.7,19.322,11118280
2010-01-28,19.068,19.548,18.9,19.54,6061885
2010-01-29,19.096,19.8,18.936,19.262,7461665
2010-02-01,19.586,19.648,18.98,19.268,5947590
2010-02-02,19.808,20.096,19.506,19.638,5743525
2010-02-03,19.962,20.334,19.874,19.924,4853395
2010-02-04,19.114,19.819,18.802,19.819,9605040
2010-02-05,19.694,19.708,18.892,19.13,6857780
2010-02-08,19.408,20.132,19.408,19.898,8118060
2010-02-09,19.774,19.956,19.434,19.65,6248490
2010-02-10,19.136,19.588,18.89,19.314,11035405
2010-02-11,19.898,20.074,19.34,19.378,6732840
2010-02-12,20.102,20.16,19.66,19.733,4822050
2010-02-15,20.102,20.16,19.66,19.733,0
2010-02-16,20.832,20.866,20.222,20.29,6139575
2010-02-17,20.562,20.95,20.32,20.876,5536215
2010-02-18,20.472,20.686,20.328,20.552,3133235
2010-02-19,20.7,20.82,20.326,20.338,5828000
2010-02-22,20.552,20.844,20.518,20.762,3766790
2010-02-23,20.436,20.746,20.37,20.432,4339485
2010-02-24,20.84,20.902,20.502,20.6,4109215
2010-02-25,21.018,21.09,20.37,20.446,4360590
2010-02-26,21.458,21.494,20.926,21.2,4720830
2010-03-01,21.618,21.69,21.256,21.446,3942535
2010-03-02,21.638,21.934,21.52,21.676,5127925
2010-03-03,21.468,21.836,21.426,21.77,4201140
2010-03-04,21.79,21.888,21.438,21.458,4111335
2010-03-05,21.888,21.956,21.67,21.946,4078014
2010-03-08,22.044,22.08,21.66,21.86,2684390
2010-03-09,21.942,22.05,21.7938,21.98,4833655
2010-03-10,22.0,22.078,21.636,21.926,4407885
2010-03-11,22.332,22.396,21.888,21.982,3561220
2010-03-12,22.046,22.518,21.834,22.398,4761595
2010-03-15,21.778,21.84,21.402,21.726,3414525
2010-03-16,21.742,21.9,21.594,21.794,2028550
2010-03-17,21.89,22.06,21.76,21.85,2911125
2010-03-18,21.908,22.287,21.716,21.97,3107600
2010-03-19,21.622,22.082,21.546,21.978,4202365
2010-03-22,21.976,22.032,21.378,21.512,2470940
2010-03-23,21.97,22.046,21.738,22.042,2416620
2010-03-24,22.098,22.2511,21.742,21.9,3467310
2010-03-25,21.98,22.438,21.954,22.22,3264950
2010-03-26,22.216,22.47,22.05,22.082,3185245
2010-03-29,22.272,22.4,22.066,22.258,3769495
2010-03-30,22.072,22.3,21.982,22.272,2385500
2010-03-31,22.436,22.724,22.04,22.064,6380485
2010-04-01,22.536,22.792,22.378,22.568,3868315
2010-04-02,22.536,22.792,22.378,22.568,0
2010-04-05,22.078,22.628,22.008,22.53,5714600
2010-04-06,21.414,21.814,21.13,21.73,7410990
2010-04-07,21.234,21.504,21.148,21.376,2956380
2010-04-08,21.406,21.498,21.106,21.188,3488575
2010-04-09,21.408,21.602,21.324,21.416,2988600
2010-04-12,21.716,21.944,21.394,21.394,3542040
2010-04-13,21.784,21.896,21.656,21.75,2257165
2010-04-14,22.136,22.1544,21.8022,21.868,3617245
2010-04-15,22.33,22.33,22.066,22.066,3202890
2010-04-16,21.502,22.31,21.44,22.282,4928275
2010-04-19,21.888,21.946,21.36,21.4,2911845
2010-04-20,22.484,22.5,21.778,22.0,4691560
2010-04-21,22.374,22.576,22.06,22.54,2871505
2010-04-22,23.368,23.742,22.13,22.29,9718890
2010-04-23,23.652,23.736,23.19,23.44,4883450
2010-04-26,24.056,24.532,23.606,23.74,7483390
2010-04-27,23.164,24.2,23.124,24.2,6111800
2010-04-28,23.29,23.64,23.042,23.4,3442300
2010-04-29,23.764,23.898,23.202,23.506,3235045
2010-04-30,23.326,23.87,23.318,23.716,3869850
2010-05-03,23.372,23.596,23.2,23.408,3132570
2010-05-04,22.686,23.216,22.61,23.11,3130845
2010-05-05,23.788,24.0,22.454,22.656,5933140
2010-05-06,23.408,24.084,22.0,23.79,8547760
2010-05-07,22.936,23.72,22.698,23.362,6482685
2010-05-10,24.678,24.712,23.692,23.886,7145655
2010-05-11,24.086,24.97,24.05,24.414,8582915
2010-05-12,24.516,24.778,24.194,24.296,5752425
2010-05-13,24.384,25.0,24.372,24.512,4234010
2010-05-14,23.638,24.277,23.4,24.256,4776055
2010-05-17,23.872,23.946,23.314,23.568,5737605
2010-05-18,22.938,24.242,22.774,24.058,6558785
2010-05-19,22.804,23.08,22.252,22.838,4858395
2010-05-20,21.904,22.6,21.88,22.298,5439365
2010-05-21,23.018,23.04,21.586,21.596,7120980
2010-05-24,22.836,23.56,22.832,23.116,5357485
2010-05-25,22.78,22.82,21.88,22.364,4997510
2010-05-26,22.62,23.152,22.512,22.88,3912420
2010-05-27,23.47,23.49,22.886,22.948,3913890
2010-05-28,23.226,23.648,23.12,23.48,3885305
2010-05-31,23.226,23.648,23.12,23.48,0
2010-06-01,23.166,23.65,22.828,23.106,4084315
2010-06-02,24.28,24.3,23.414,23.552,7605330
2010-06-03,24.244,24.498,24.058,24.444,3966835
2010-06-04,23.581,24.106,23.47,23.728,5357900
