Date,Close,High,Low,Open,Volume
2010-01-01,26.725,27.345,26.715,27.26,0
2010-01-04,27.04,27.175,26.715,26.725,325156
2010-01-05,27.085,27.085,26.775,26.93,223434
2010-01-06,27.15,27.37,27.015,27.205,262222
2010-01-07,28.18,28.325,26.97,27.05,748156
2010-01-08,27.955,28.45,27.905,28.245,642604
2010-01-11,28.885,28.955,28.015,28.055,697108
2010-01-12,28.84,28.885,28.59,28.645,492636
2010-01-13,29.575,29.655,28.82,29.0,1039964
2010-01-14,29.815,29.975,29.6,29.67,505938
2010-01-15,29.55,29.815,29.265,29.8,422540
2010-01-18,29.55,29.815,29.265,29.8,0
2010-01-19,29.675,29.875,29.3,29.55,582684
2010-01-20,29.535,29.755,29.235,29.695,353320
2010-01-21,29.18,29.545,29.125,29.405,349722
2010-01-22,28.595,29.275,28.53,29.13,500828
2010-01-25,28.375,28.84,28.23,28.59,584106
2010-01-26,28.46,28.55,28.3,28.42,248052
2010-01-27,28.35,28.53,28.09,28.365,469346
2010-01-28,28.985,29.01,28.02,28.23,691222
2010-01-29,26.245,29.05,26.245,28.725,3663600
2010-02-01,24.965,26.65,24.515,26.33,3696362
2010-02-02,25.46,25.59,24.76,25.01,2081516
2010-02-03,25.44,25.48,25.17,25.46,720668
2010-02-04,25.245,25.555,25.0487,25.18,1427884
2010-02-05,25.025,25.415,24.63,25.08,1174652
2010-02-08,24.995,25.13,24.625,24.63,730786
2010-02-09,25.28,25.315,24.86,24.86,574532
2010-02-10,25.205,25.5,24.965,25.35,600960
2010-02-11,26.0,26.07,25.13,25.6,844680
2010-02-12,26.655,26.715,25.66,25.89,855832
2010-02-15,26.655,26.715,25.66,25.89,0
2010-02-16,26.79,26.79,26.28,26.52,766060
2010-02-17,26.815,27.185,26.58,26.77,488332
2010-02-18,26.945,27.095,26.645,26.89,405994
2010-02-19,26.475,27.075,26.45,26.85,746510
2010-02-22,26.345,26.5946,26.25,26.455,752748
2010-02-23,26.25,26.81,26.2,26.325,607666
2010-02-24,26.525,26.6,26.34,26.375,307076
2010-02-25,26.25,26.725,26.035,26.35,613556
2010-02-26,26.4,26.735,26.17,26.185,555950
2010-03-01,27.11,27.16,26.075,26.405,815810
2010-03-02,27.71,27.8,26.99,27.035,664112
2010-03-03,27.95,28.1,27.725,27.725,564298
2010-03-04,27.72,28.275,27.665,28.02,385478
2010-03-05,28.225,28.25,27.6,27.725,386614
2010-03-08,28.285,28.35,28.04,28.135,445032
2010-03-09,28.075,28.35,28.0,28.2,427918
2010-03-10,27.975,28.265,27.88,28.0,454866
2010-03-11,27.935,28.0075,27.65,27.79,401032
2010-03-12,28.13,28.13,27.505,27.925,405618
2010-03-15,28.31,28.32,27.895,28.085,459120
2010-03-16,28.255,28.6303,28.17,28.35,970276
2010-03-17,28.375,28.445,28.27,28.365,292440
2010-03-18,28.785,28.785,28.265,28.265,277102
2010-03-19,28.925,29.04,28.6,28.645,714200
2010-03-22,29.38,29.51,28.715,28.735,468694
2010-03-23,29.58,29.605,29.2012,29.315,311032
2010-03-24,28.655,29.645,28.655,29.57,843196
2010-03-25,28.615,29.1288,28.615,28.87,379040
2010-03-26,27.94,28.7,27.87,28.615,684412
2010-03-29,28.775,28.865,27.63,28.0,458458
2010-03-30,28.825,29.03,28.645,28.75,383622
2010-03-31,28.775,28.96,28.68,28.76,307522
2010-04-01,29.035,29.185,28.8,28.935,396362
2010-04-02,29.035,29.185,28.8,28.935,0
2010-04-05,28.975,29.11,28.81,29.005,450852
2010-04-06,28.835,28.965,28.7925,28.8,351244
2010-04-07,29.085,29.3,28.9588,29.105,467908
2010-04-08,29.17,29.26,28.655,29.085,369076
2010-04-09,29.5,29.5,29.075,29.125,215980
2010-04-12,29.725,29.755,29.495,29.55,336092
2010-04-13,29.75,29.75,29.5175,29.745,168736
2010-04-14,29.97,29.995,29.57,29.75,269018
2010-04-15,30.435,30.435,29.825,29.905,496798
2010-04-16,30.155,30.655,30.11,30.27,658888
2010-04-19,29.96,30.4,29.875,30.105,997944
2010-04-20,30.045,30.12,29.85,30.12,1103908
2010-04-21,29.87,30.105,29.8,30.09,576148
2010-04-22,30.2,30.285,29.255,29.735,777700
2010-04-23,33.43,34.285,30.21,30.305,5843558
2010-04-26,33.175,33.34,32.7702,33.315,1248516
2010-04-27,33.06,33.54,32.845,33.165,979188
2010-04-28,32.83,33.5,32.78,33.35,1412864
2010-04-29,33.13,33.48,32.945,33.075,1033838
2010-04-30,33.07,33.62,33.015,33.24,615182
2010-05-03,33.575,33.6,33.08,33.245,443034
2010-05-04,33.125,33.4,32.885,33.175,764710
2010-05-05,32.87,33.73,32.615,32.965,694698
2010-05-06,31.94,33.02,30.505,32.665,1160122
2010-05-07,30.785,32.015,30.7157,32.015,1141168
2010-05-10,32.33,32.465,31.495,31.5,461614
2010-05-11,32.77,33.47,31.65,32.01,616098
2010-05-12,33.325,33.415,32.685,32.685,479050
2010-05-13,33.29,33.5,33.015,33.15,457208
2010-05-14,32.28,33.265,31.9925,33.055,413400
2010-05-17,32.34,32.94,31.565,32.47,343002
2010-05-18,31.925,32.72,31.845,32.72,404458
2010-05-19,31.83,32.0575,31.5,31.745,441922
2010-05-20,30.265,31.4,30.265,31.185,655632
2010-05-21,31.01,31.175,30.06,30.345,643596
2010-05-24,30.535,31.25,30.53,30.855,306416
2010-05-25,30.335,30.395,29.285,29.88,425990
2010-05-26,30.245,31.035,30.04,30.355,597612
2010-05-27,31.105,31.395,30.62,30.76,481638
2010-05-28,31.62,31.83,30.98,30.98,571876
2010-05-31,31.62,31.83,30.98,30.98,0
2010-06-01,31.155,31.925,31.1,31.615,358712
2010-06-02,32.125,32.135,30.945,31.35,411616
2010-06-03,32.17,32.44,31.635,32.015,196552
2010-06-04,31.09,32.2975,31.0,31.71,405990
2010-06-07,30.435,31.555,30.36,31.175,333700
2010-06-08,30.645,30.725,30.075,30.43,319740
2010-06-09,31.09,31.38,30.8,30.885,512530
2010-06-10,31.86,31.935,31.105,31.5,314092
2010-06-11,32.295,32.36,31.46,31.46,227104
2010-06-14,32.075,32.625,32.0,32.35,306890
2010-06-15,32.305,32.405,31.61,32.13,477486
2010-06-16,32.35,32.53,32.06,32.06,277734
2010-06-17,32.515,32.61,32.285,32.305,339010
2010-06-18,32.425,32.695,32.005,32.47,721926
2010-06-21,32.425,33.01,32.285,32.685,275424
2010-06-22,31.705,32.9,31.62,32.38,400564
2010-06-23,31.43,32.145,31.225,31.78,173752
2010-06-24,31.0,31.5,30.965,31.26,270806
2010-06-25,31.425,31.47,30.69,31.145,895630
2010-06-28,31.67,31.98,31.155,31.53,187484
2010-06-29,30.585,31.435,30.375,31.31,467278
2010-06-30,30.45,31.175,30.315,30.595,365682
2010-07-01,30.38,30.595,29.39,30.4,697672
2010-07-02,30.44,30.75,30.285,30.53,175950
2010-07-05,30.44,30.75,30.285,30.53,0
2010-07-06,30.155,31.065,30.005,30.92,502008
2010-07-07,31.6475,31.715,30.275,30.275,503100
2010-07-08,31.365,31.985,31.0,31.825,499340
2010-07-09,31.865,31.9,31.33,31.33,328822
2010-07-12,31.705,32.0,31.48,31.71,296164
2010-07-13,31.87,32.0,31.73,31.915,426016
2010-07-14,31.665,32.0,31.5,31.72,380766
2010-07-15,31.29,31.87,30.87,31.705,557798
2010-07-16,30.445,31.185,30.435,31.135,629118
2010-07-19,29.825,30.425,29.75,30.425,1225656
2010-07-20,30.48,30.58,29.25,29.52,1053166
2010-07-21,29.74,30.705,29.725,30.705,700010
2010-07-22,31.025,31.095,29.91,30.0,1254168
2010-07-23,29.945,30.665,29.265,30.665,1486456
2010-07-26,30.19,30.34,29.75,30.0,882016
2010-07-27,30.35,30.79,30.25,30.28,791032
2010-07-28,29.54,30.61,29.47,30.41,1044608
2010-07-29,29.215,30.05,28.91,29.95,639026
2010-07-30,29.37,29.425,28.745,28.945,391104
2010-08-02,29.83,29.98,29.515,29.82,509278
2010-08-03,29.635,29.8475,29.51,29.745,756006
2010-08-04,30.065,30.065,29.705,29.75,544730
2010-08-05,29.78,30.075,29.65,29.825,511246
2010-08-06,29.6038,29.705,29.28,29.435,421880
2010-08-09,29.895,30.08,29.685,29.685,292604
2010-08-10,29.345,29.81,29.33,29.765,695344
2010-08-11,28.51,29.28,28.29,29.02,639866
2010-08-12,28.27,28.51,27.85,28.195,347678
2010-08-13,28.14,28.47,28.025,28.135,340164
2010-08-16,28.09,28.3,27.895,27.93,520615
2010-08-17,28.46,28.745,28.215,28.275,357058
2010-08-18,28.575,28.825,28.0,28.4,248898
2010-08-19,28.455,28.595,28.13,28.385,573908
2010-08-20,28.525,28.555,28.145,28.26,391166
2010-08-23,28.4,28.83,28.375,28.575,346906
2010-08-24,27.845,28.21,27.4,28.035,724094
2010-08-25,28.02,28.16,27.545,27.595,682608
2010-08-26,27.925,28.22,27.86,28.17,356520
2010-08-27,28.495,28.645,27.76,28.115,388452
2010-08-30,27.75,28.525,27.75,28.355,403780
2010-08-31,27.635,27.975,27.515,27.65,527328
2010-09-01,28.57,28.5936,27.77,28.025,466814
2010-09-02,29.02,29.07,28.48,28.48,245646
2010-09-03,29.15,29.67,28.97,29.26,447124
2010-09-06,29.15,29.67,28.97,29.26,0
2010-09-07,28.725,29.73,28.565,28.99,334248
2010-09-08,28.82,29.08,28.65,28.7,257188
2010-09-09,28.67,29.275,28.645,29.105,324894
2010-09-10,28.74,28.935,28.46,28.67,210424
2010-09-13,28.86,29.1,28.775,28.875,484936
2010-09-14,29.13,29.31,28.775,28.84,324520
2010-09-15,29.505,29.615,28.785,28.985,445574
2010-09-16,29.53,29.665,29.27,29.45,258380
2010-09-17,29.965,30.075,29.55,29.615,556730
2010-09-20,30.43,30.5,29.838,30.0,368366
2010-09-21,29.635,30.445,29.605,30.32,563794
2010-09-22,29.68,30.005,29.265,29.545,296776
2010-09-23,29.88,30.095,29.38,29.445,445464
2010-09-24,30.28,30.525,29.91,30.25,331550
2010-09-27,30.15,30.29,29.82,30.25,472400
2010-09-28,30.38,30.455,29.915,30.16,184268
2010-09-29,30.46,30.495,30.18,30.36,252078
2010-09-30,30.86,31.205,30.525,30.525,823484
2010-10-01,31.145,31.25,30.7,31.03,548154
2010-10-04,30.935,31.25,30.78,31.03,368336
2010-10-05,31.42,31.575,31.04,31.145,339312
2010-10-06,31.115,31.585,30.995,31.425,443806
2010-10-07,30.975,31.27,30.88,31.23,547014
2010-10-08,30.93,31.255,30.765,30.89,397546
2010-10-11,30.925,31.115,30.835,30.905,162898
2010-10-12,30.76,30.89,30.46,30.805,237808
2010-10-13,31.07,31.24,30.78,30.99,301452
