Date,Close,High,Low,Open,Volume
2010-01-01,41.14,41.66,41.12,41.65,0
2010-01-04,42.01,42.02,41.5,41.51,285939
2010-01-05,41.7,41.93,41.435,41.86,348837
2010-01-06,41.87,41.97,41.51,41.63,375540
2010-01-07,41.55,41.84,41.07,41.65,401968
2010-01-08,41.4,41.4,40.98,41.33,248908
2010-01-11,41.53,41.62,41.17,41.55,249878
2010-01-12,41.42,41.52,41.0,41.21,331808
2010-01-13,42.11,42.145,41.37,41.43,295812
2010-01-14,42.12,42.2,41.83,41.89,278591
2010-01-15,42.02,42.22,41.75,42.03,447782
2010-01-18,42.02,42.22,41.75,42.03,0
2010-01-19,42.76,42.76,41.93,42.06,272702
2010-01-20,42.12,42.39,41.39,42.36,757681
2010-01-21,41.68,42.9,41.66,42.35,479784
2010-01-22,40.95,41.76,40.9,41.48,536523
2010-01-25,40.87,41.41,40.72,41.39,287813
2010-01-26,40.3,40.87,40.23,40.65,335871
2010-01-27,40.28,40.57,39.78,40.2,286336
2010-01-28,40.0,40.49,39.28,40.35,560244
2010-01-29,39.77,40.75,39.77,40.16,430935
2010-02-01,40.41,40.44,39.83,40.03,386247
2010-02-02,41.08,41.15,40.05,40.38,569093
2010-02-03,41.36,41.49,40.8,40.8,543340
2010-02-04,40.23,41.11,40.22,41.07,901920
2010-02-05,40.25,40.76,39.32,40.15,803164
2010-02-08,39.85,40.54,39.73,40.17,651884
2010-02-09,41.08,41.4,39.95,40.32,842364
2010-02-10,41.44,41.65,40.88,41.11,664598
2010-02-11,41.69,41.73,40.86,41.28,671735
2010-02-12,41.68,41.77,41.11,41.2,486335
2010-02-15,41.68,41.77,41.11,41.2,0
2010-02-16,42.0,42.03,41.49,41.87,522456
2010-02-17,42.1,42.61,41.7,42.13,479542
2010-02-18,42.38,42.42,41.88,42.08,317077
2010-02-19,42.48,42.7,41.95,42.21,371341
2010-02-22,42.25,42.48,41.95,42.48,242349
2010-02-23,41.74,42.3,41.6319,42.19,525889
2010-02-24,41.9,42.13,41.61,41.91,561676
2010-02-25,41.97,41.97,41.01,41.36,462127
2010-02-26,42.11,42.23,41.75,42.12,395404
2010-03-01,42.35,42.42,41.86,42.12,395759
2010-03-02,42.84,42.85,42.42,42.5,482134
2010-03-03,42.92,43.32,42.84,42.89,293244
2010-03-04,43.53,43.75,43.04,43.23,421380
2010-03-05,44.49,44.57,43.83,43.85,469789
2010-03-08,44.27,44.56,44.13,44.35,232025
2010-03-09,44.03,44.36,43.88,44.21,270521
2010-03-10,43.94,44.11,43.53,43.9,383705
2010-03-11,44.13,44.13,43.49,43.79,215530
2010-03-12,44.73,44.73,44.26,44.38,254352
2010-03-15,44.99,45.0,44.59,44.72,396378
2010-03-16,45.37,45.41,44.75,45.0,357679
2010-03-17,45.4,45.49,45.19,45.43,270041
2010-03-18,45.42,45.7,45.33,45.46,340739
2010-03-19,44.98,45.74,44.84,45.44,462096
2010-03-22,45.48,45.48,44.22,44.57,426513
2010-03-23,46.06,46.0901,45.31,45.45,413074
2010-03-24,45.8,46.23,45.7,46.04,378580
2010-03-25,45.78,46.57,45.73,45.98,619096
2010-03-26,45.65,46.14,45.26,45.75,595103
2010-03-29,47.96,48.15,46.81,46.85,1132212
2010-03-30,47.69,48.83,47.63,48.0,1098330
2010-03-31,47.67,47.9,47.58,47.67,695621
2010-04-01,48.23,48.37,47.86,48.06,307995
2010-04-02,48.23,48.37,47.86,48.06,0
2010-04-05,48.82,48.87,48.18,48.18,345299
