Date,Close,High,Low,Open,Volume
2010-01-01,9.11,9.41,9.09,9.31,0
2010-01-04,9.5,9.51,9.17,9.22,1871597
2010-01-05,10.27,10.29,9.45,9.53,7609170
2010-01-06,11.0,11.09,10.35,10.38,8046687
2010-01-07,10.82,11.06,10.6225,10.99,3682890
2010-01-08,10.94,11.0,10.75,10.82,1529416
2010-01-11,11.09,11.24,10.88,10.98,2280522
2010-01-12,10.36,11.0,10.34,11.0,4204503
2010-01-13,10.33,10.46,10.04,10.39,2134874
2010-01-14,10.16,10.39,10.08,10.35,2889549
2010-01-15,9.86,10.0,9.64,10.0,2953244
2010-01-18,9.86,10.0,9.64,10.0,0
2010-01-19,10.02,10.08,9.83,9.9,2622579
2010-01-20,9.81,10.1,9.68,10.01,1755992
2010-01-21,9.41,9.89,9.285,9.82,1968033
2010-01-22,9.47,9.76,9.16,9.31,3400077
2010-01-25,9.79,9.83,9.37,9.6,3233443
2010-01-26,10.29,10.37,9.62,9.83,4569698
2010-01-27,10.06,10.33,9.94,10.29,2430330
2010-01-28,10.37,10.5,10.0,10.14,2736019
2010-01-29,10.68,10.85,10.38,10.5,4703630
2010-02-01,10.63,10.7767,10.47,10.74,1441267
2010-02-02,10.93,10.97,10.51,10.67,2048051
2010-02-03,10.62,10.87,10.56,10.71,1983612
2010-02-04,10.01,10.63,9.96,10.5,3110927
2010-02-05,10.19,10.31,9.85,10.0,2742574
2010-02-08,9.96,10.24,9.88,10.24,1307067
2010-02-09,10.28,10.445,10.075,10.23,2102388
2010-02-10,10.45,10.45,10.09,10.34,1219664
2010-02-11,10.66,10.74,10.295,10.45,1052469
2010-02-12,11.09,11.09,10.33,10.46,3544854
2010-02-15,11.09,11.09,10.33,10.46,0
2010-02-16,11.2,11.24,10.89,11.1,3071523
2010-02-17,11.06,11.29,10.99,11.19,2191118
2010-02-18,10.72,11.16,10.71,10.91,2771056
2010-02-19,10.86,11.17,10.4335,10.74,2687269
2010-02-22,10.71,10.97,10.6,10.87,1702467
2010-02-23,10.54,10.76,10.31,10.71,1767988
2010-02-24,10.51,10.75,10.48,10.55,949030
2010-02-25,10.58,10.6,10.2,10.32,1243198
