Date,Close,High,Low,Open,Volume
2010-01-01,15.4108,15.5598,15.4024,15.467,0
2010-01-04,15.4305,15.5064,15.2927,15.4642,579985
2010-01-05,15.4614,15.5202,15.3068,15.4136,526113
2010-01-06,15.3883,15.4698,15.2252,15.408,964770
2010-01-07,15.6357,15.661,15.3658,15.4277,1101027
2010-01-08,15.5204,15.5682,14.9019,15.2449,1813286
2010-01-11,15.5935,15.6329,15.4979,15.5401,447800
2010-01-12,15.4586,15.5204,15.4052,15.4642,427485
2010-01-13,15.6273,15.6357,15.4445,15.4698,376014
2010-01-14,15.557,15.6498,15.5008,15.5008,628856
2010-01-15,15.2393,15.5514,15.2224,15.5514,430032
2010-01-18,15.2393,15.5514,15.2224,15.5514,0
2010-01-19,15.2955,15.3264,15.1915,15.2393,519960
2010-01-20,15.0649,15.2927,15.0172,15.2646,525448
2010-01-21,14.9159,15.1465,14.8147,15.0649,663739
2010-01-22,14.7247,14.9918,14.6854,14.9918,898809
2010-01-25,14.6938,14.7922,14.5026,14.7585,411804
2010-01-26,14.5926,14.6769,14.5054,14.5926,446819
2010-01-27,14.6207,14.6826,14.5195,14.5926,319813
2010-01-28,14.4492,14.6488,14.3845,14.6207,187215
2010-01-29,14.4633,14.6263,14.4155,14.4155,585462
2010-02-01,14.8991,14.93,14.3705,14.4576,783863
2010-02-02,14.8372,14.8681,14.7585,14.8513,1427146
2010-02-03,14.7669,14.8934,14.7079,14.7163,287796
2010-02-04,14.348,14.646,14.348,14.6207,531580
2010-02-05,14.2299,14.3283,14.0162,14.3283,548651
2010-02-08,14.0134,14.1708,13.9065,14.1708,790457
2010-02-09,14.1399,14.1652,13.9347,14.1287,452541
2010-02-10,14.1765,14.2383,14.0106,14.1961,476491
2010-02-11,14.3114,14.3227,14.1259,14.1652,781356
2010-02-12,14.4295,14.4295,14.0443,14.2383,677951
2010-02-15,14.4295,14.4295,14.0443,14.2383,0
2010-02-16,14.4604,14.4857,14.3648,14.4633,542644
2010-02-17,14.5926,14.6488,14.4214,14.4295,552770
2010-02-18,14.5335,14.5531,14.4689,14.5251,415620
2010-02-19,14.5448,14.556,14.4773,14.4942,237897
2010-02-22,14.5364,14.6207,14.4689,14.511,304644
2010-02-23,14.4717,14.5588,14.4098,14.5532,422374
2010-02-24,14.511,14.5588,14.4379,14.4633,231349
2010-02-25,14.7753,14.8007,14.3845,14.4267,811100
2010-02-26,14.5645,14.7219,14.4436,14.7219,2195581
2010-03-01,15.0874,15.0931,14.5532,14.5532,866209
2010-03-02,15.2308,15.2337,15.0931,15.1156,932341
2010-03-03,15.2899,15.3489,15.1577,15.2308,456336
2010-03-04,15.377,15.4108,15.2674,15.2674,442604
2010-03-05,15.3236,15.5429,15.2646,15.4642,697196
2010-03-08,15.4052,15.4417,15.259,15.2786,870157
2010-03-09,15.5345,15.5739,15.3574,15.4052,545354
2010-03-10,15.6329,15.6554,15.408,15.5008,760401
2010-03-11,15.8466,15.9197,15.4755,15.6666,435758
2010-03-12,15.9394,15.9506,15.7341,15.8269,463755
2010-03-15,15.7173,15.9085,15.7088,15.8719,539678
2010-03-16,15.7679,15.796,15.6301,15.7454,831170
2010-03-17,15.7651,15.8522,15.6387,15.7679,762321
2010-03-18,15.0425,15.5823,15.027,15.4923,1942878
2010-03-19,14.9019,15.183,14.8541,15.0256,1789841
2010-03-22,14.9412,14.9834,14.5307,14.7613,1341819
2010-03-23,14.8063,14.9272,14.5082,14.9272,2255730
2010-03-24,14.795,14.8485,14.5839,14.7416,895992
2010-03-25,14.6544,14.9145,14.6488,14.9019,981586
2010-03-26,14.885,14.9694,14.6713,14.7444,1118308
2010-03-29,15.0059,15.0312,14.885,14.8878,873881
2010-03-30,15.1156,15.1409,14.9356,15.0678,585615
2010-03-31,15.034,15.1212,14.9975,15.0115,674985
2010-04-01,14.9412,15.0818,14.8653,15.0649,1749857
2010-04-02,14.9412,15.0818,14.8653,15.0649,0
2010-04-05,15.0931,15.0931,14.8906,14.9187,868201
2010-04-06,15.0003,15.1605,14.9834,15.0425,350684
2010-04-07,14.7332,15.0312,14.7275,15.0312,636887
2010-04-08,14.5926,14.7022,14.5082,14.6741,548566
2010-04-09,14.6938,14.7022,14.4801,14.5926,834655
2010-04-12,14.8653,14.8878,14.6544,14.7135,693401
2010-04-13,14.7275,14.8456,14.6769,14.8456,699074
2010-04-14,14.8203,14.8316,14.6263,14.736,1720707
2010-04-15,15.0172,15.0284,14.8007,14.8316,820749
2010-04-16,15.0087,15.1071,14.9356,14.9581,1188875
2010-04-19,14.9947,15.0284,14.8231,15.0143,582642
2010-04-20,15.2365,15.2365,14.9834,15.0284,484213
2010-04-21,15.0368,15.2702,14.9806,15.2702,329714
2010-04-22,14.8962,15.0256,14.7669,15.0172,968721
2010-04-23,14.8794,14.9187,14.781,14.8653,650825
2010-04-26,14.7444,14.9075,14.7388,14.8316,495452
2010-04-27,14.646,14.8372,14.587,14.7079,1240531
2010-04-28,14.4379,14.6516,14.362,14.6151,625879
2010-04-29,14.4323,14.5195,14.2833,14.4548,980373
2010-04-30,14.2468,14.4576,14.2243,14.4323,440495
2010-05-03,14.736,14.9665,14.556,14.5954,1859145
2010-05-04,14.4548,14.5898,14.4436,14.5757,610248
2010-05-05,14.3817,14.4633,14.3255,14.3564,396343
2010-05-06,14.4745,14.7894,14.3761,14.3901,2929564
2010-05-07,14.213,14.4914,14.1736,14.4773,1983892
2010-05-10,14.7247,14.8428,14.4548,14.6207,805491
2010-05-11,14.8766,14.9412,14.5195,14.6235,1209581
2010-05-12,14.9862,15.0031,14.8569,14.9075,2881923
