Date,Close,High,Low,Open,Volume
2010-01-01,20.4,20.72,20.4,20.59,0
2010-01-04,20.88,21.03,20.73,20.8,47800895
2010-01-05,20.87,20.99,20.6,20.96,52360765
2010-01-06,20.8,20.93,20.67,20.83,40037357
2010-01-07,20.6,20.76,20.34,20.73,54041453
2010-01-08,20.83,20.89,20.4,20.54,48234679
2010-01-11,20.95,21.15,20.82,21.11,51086391
2010-01-12,20.608,20.9,20.38,20.86,69958348
2010-01-13,20.96,21.08,20.44,20.72,71446628
2010-01-14,21.48,21.55,21.05,21.12,151893213
2010-01-15,20.8,21.4,20.77,21.4,198104931
2010-01-18,20.8,21.4,20.77,21.4,0
2010-01-19,21.05,21.17,20.85,20.95,82573499
2010-01-20,21.08,21.14,20.85,21.0,65670024
2010-01-21,20.84,21.31,20.68,21.16,73633287
2010-01-22,19.91,20.79,19.81,20.78,116302374
2010-01-25,20.32,20.5769,20.14,20.25,73785539
2010-01-26,20.0,20.38,19.95,20.18,65298835
2010-01-27,20.24,20.33,19.82,20.0,74926149
2010-01-28,19.92,20.39,19.68,20.34,76974576
2010-01-29,19.4,20.2307,19.3,20.13,96053877
2010-02-01,19.61,19.75,19.44,19.45,50338221
2010-02-02,19.91,20.04,19.56,19.67,63332467
2010-02-03,19.68,19.88,19.47,19.78,45582297
2010-02-04,19.02,19.58,18.95,19.58,90931052
2010-02-05,19.47,19.58,19.0,19.1,88711656
2010-02-08,19.35,19.79,19.3,19.48,62563140
2010-02-09,19.65,19.89,19.44,19.63,69454079
2010-02-10,19.69,19.87,19.45,19.59,56250601
2010-02-11,20.06,20.2,19.55,19.63,58837220
2010-02-12,20.43,20.675,19.785,19.94,91108878
2010-02-15,20.43,20.675,19.785,19.94,0
2010-02-16,20.72,20.85,20.55,20.65,69083324
2010-02-17,20.66,20.86,20.53,20.83,47296651
2010-02-18,20.84,20.85,20.545,20.67,42613583
2010-02-19,20.82,20.97,20.58,20.69,40768209
2010-02-22,20.87,20.96,20.65,20.94,38730597
2010-02-23,20.388,20.95,20.29,20.84,62245210
2010-02-24,20.7,20.81,20.5,20.55,51070073
2010-02-25,20.63,20.66,20.22,20.35,48789319
2010-02-26,20.53,20.68,20.43,20.58,47795250
2010-03-01,20.87,20.94,20.62,20.7,51203283
