Date,Close,High,Low,Open,Volume
2010-01-01,30.73,31.11,30.71,31.02,0
2010-01-04,30.81,31.15,30.77,30.97,2353459
2010-01-05,30.81,30.9,30.41,30.82,3142099
2010-01-06,30.38,30.85,30.32,30.73,2884317
2010-01-07,30.28,30.6,30.12,30.31,3100276
2010-01-08,31.08,31.1175,30.12,30.14,4249623
2010-01-11,31.22,31.41,30.93,31.01,4011741
2010-01-12,31.22,31.41,30.88,31.01,2969099
2010-01-13,31.58,31.69,31.2,31.27,2618263
2010-01-14,31.78,31.88,31.42,31.42,2616931
2010-01-15,31.46,31.97,31.09,31.94,3835021
2010-01-18,31.46,31.97,31.09,31.94,0
2010-01-19,31.73,31.92,31.3,31.3,2161425
2010-01-20,31.22,31.63,30.75,31.56,2720029
2010-01-21,30.84,31.41,30.66,31.19,3110361
2010-01-22,30.1,30.98,30.06,30.8,2597237
2010-01-25,30.36,30.55,30.06,30.12,2774148
2010-01-26,30.03,30.49,29.98,30.29,4020086
2010-01-27,30.01,30.08,29.62,29.91,4070302
2010-01-28,29.66,30.07,29.402,29.99,3816020
2010-01-29,29.61,30.0,29.53,29.9,3805589
2010-02-01,29.91,30.1,29.51,29.66,2725601
2010-02-02,29.96,30.03,29.64,29.8,3239226
2010-02-03,29.99,30.15,29.72,29.75,2128251
2010-02-04,29.26,29.95,29.26,29.91,3174144
2010-02-05,29.44,29.7,29.03,29.38,4337088
2010-02-08,29.36,29.545,29.11,29.39,2227644
2010-02-09,29.31,29.71,29.015,29.54,3876938
2010-02-10,29.39,29.45,29.07,29.31,2102615
2010-02-11,29.6,29.68,29.0,29.4,2460644
2010-02-12,29.39,29.45,29.04,29.07,2794583
2010-02-15,29.39,29.45,29.04,29.07,0
2010-02-16,29.79,29.8,29.26,29.47,2013895
2010-02-17,29.91,29.99,29.57,29.84,2483455
2010-02-18,30.32,30.35,29.88,29.96,2741572
2010-02-19,32.72,33.15,32.2,32.29,9865929
2010-02-22,32.36,32.83,32.19,32.6,4738491
2010-02-23,31.87,32.48,31.58,32.25,5932474
2010-02-24,32.27,32.39,31.92,32.01,4724571
2010-02-25,32.46,32.62,31.71,31.8,5224791
2010-02-26,32.36,32.49,32.16,32.49,3049662
2010-03-01,32.9,32.95,32.29,32.33,2811289
2010-03-02,33.13,33.29,32.75,32.77,4444964
2010-03-03,33.21,33.46,33.03,33.07,3483970
2010-03-04,33.43,33.49,32.96,33.18,3096968
2010-03-05,33.91,33.93,33.36,33.36,3588140
2010-03-08,33.98,34.0,33.74,33.79,2938723
2010-03-09,33.95,34.01,33.75,33.75,3283189
2010-03-10,34.47,34.55,33.86,33.95,4693861
2010-03-11,34.54,34.55,34.25,34.25,2652672
2010-03-12,34.61,34.67,34.3175,34.38,2660638
2010-03-15,34.64,34.67,34.44,34.55,1812320
2010-03-16,34.64,34.75,34.48,34.65,2495784
2010-03-17,34.53,34.84,34.28,34.51,3349705
2010-03-18,34.65,34.81,34.4,34.4,2769470
2010-03-19,34.61,34.97,34.35,34.74,4094373
2010-03-22,34.9025,34.93,34.34,34.34,2891313
2010-03-23,34.6,34.84,34.42,34.77,2440206
2010-03-24,34.74,34.8625,34.56,34.56,3436170
2010-03-25,34.4,34.89,34.4,34.8,3036859
2010-03-26,34.24,34.63,34.06,34.41,2977321
2010-03-29,34.32,34.49,34.11,34.23,2821106
2010-03-30,34.36,34.51,34.19,34.41,2092849
2010-03-31,34.32,34.57,34.171,34.22,2393635
2010-04-01,34.51,34.9,34.15,34.37,2344689
2010-04-02,34.51,34.9,34.15,34.37,0
2010-04-05,34.88,34.92,34.425,34.48,1538613
2010-04-06,34.97,35.0,34.78,34.86,2368599
2010-04-07,34.58,34.89,34.42,34.82,2212594
2010-04-08,34.51,34.58,34.14,34.58,2335422
2010-04-09,34.53,34.53,34.27,34.46,2232910
2010-04-12,34.53,34.65,34.38,34.45,2656280
2010-04-13,35.05,35.09,34.35,34.38,3301719
2010-04-14,35.1675,35.19,34.87,34.95,2817028
2010-04-15,35.35,35.43,34.89,34.98,3241792
2010-04-16,35.47,35.59,35.21,35.25,4682030
2010-04-19,35.31,35.47,35.14,35.31,4471979
2010-04-20,35.43,35.5,35.25,35.34,3612034
2010-04-21,35.72,35.75,35.27,35.43,2578562
2010-04-22,35.99,36.0,35.23,35.55,2590674
2010-04-23,36.19,36.22,35.58,35.85,2419542
2010-04-26,36.18,36.33,35.96,36.12,1746183
2010-04-27,35.76,36.43,35.71,36.15,3503720
2010-04-28,35.78,36.12,35.685,35.96,2416862
2010-04-29,36.17,36.32,35.65,35.85,1943693
2010-04-30,36.19,36.41,35.97,36.35,3356752
2010-05-03,37.35,37.52,36.7,36.76,6140011
2010-05-04,36.09,37.07,35.75,36.95,3863170
2010-05-05,36.64,36.69,36.14,36.14,3792732
2010-05-06,35.21,36.6,34.0,36.44,5085135
2010-05-07,34.01,35.36,34.01,35.18,6592149
2010-05-10,35.71,35.91,34.89,35.05,3543041
2010-05-11,35.96,36.42,35.18,35.55,3662303
2010-05-12,37.06,37.13,35.78,35.93,3502569
2010-05-13,36.35,37.05,36.31,36.76,3270411
2010-05-14,35.53,36.19,35.3,36.17,5117816
2010-05-17,36.07,36.2,35.44,35.75,4826319
2010-05-18,36.6,37.24,36.52,37.06,6251838
2010-05-19,35.57,36.82,35.39,36.59,6399202
2010-05-20,33.75,35.21,33.61,34.99,8804352
2010-05-21,35.01,35.27,33.24,33.3,10992925
2010-05-24,34.52,35.13,34.025,34.86,5292624
2010-05-25,34.82,34.82,33.39,33.39,6818786
2010-05-26,34.42,35.04,34.3,34.88,6398898
2010-05-27,35.67,35.71,34.75,34.89,5421946
2010-05-28,35.74,36.05,35.24,35.47,5660225
