Date,Close,High,Low,Open,Volume
2010-01-01,26.4017,27.0228,26.4017,26.8059,0
2010-01-04,26.796,27.0622,26.658,26.8059,4036123
2010-01-05,27.7425,28.0481,26.6284,26.7862,5251183
2010-01-06,27.427,28.2058,27.2397,27.2594,5866696
2010-01-07,26.382,27.3087,26.2932,27.2791,7076973
2010-01-08,26.5496,26.6482,25.8595,26.382,4595866
2010-01-11,26.2341,26.8552,25.9876,26.8552,4464651
2010-01-12,26.3031,27.1312,25.9088,25.9088,8124579
2010-01-13,26.244,26.6383,26.0073,26.3721,3719899
2010-01-14,25.8595,26.2242,25.7214,26.2045,3302645
2010-01-15,25.7116,26.1848,25.3369,25.82,4914662
2010-01-18,25.7116,26.1848,25.3369,25.82,0
2010-01-19,26.5791,26.6087,25.5538,25.751,4628512
2010-01-20,25.9088,26.4115,25.5834,26.244,3610395
2010-01-21,24.1046,26.1059,24.0947,26.0172,7638221
2010-01-22,24.0849,24.6666,23.4638,24.1933,8713900
2010-01-25,24.1539,25.0609,24.1046,24.7257,4960558
2010-01-26,24.1243,24.5482,23.8581,23.8976,4430911
2010-01-27,23.5427,24.006,22.8033,23.9962,7722386
2010-01-28,22.7441,23.6905,22.3103,23.6905,6846631
2010-01-29,22.5864,23.1976,22.4976,22.9413,4282134
2010-02-01,23.5624,23.592,22.6751,22.9117,5633855
2010-02-02,23.6807,23.9764,23.3159,23.6018,6504891
2010-02-03,22.3498,22.9117,21.8075,22.3695,15480996
2010-02-04,21.8371,22.4483,21.5413,22.4483,9906663
2010-02-05,22.3498,22.4089,21.354,21.8371,11991852
2010-02-08,22.192,22.7244,21.8124,22.2807,7572891
2010-02-09,22.5962,22.9709,22.1822,22.5371,6851205
2010-02-10,22.0934,22.6849,21.7385,22.5864,6052359
2010-02-11,22.054,22.3399,21.8568,21.9653,6965483
2010-02-12,22.2512,22.2807,21.3737,21.8765,6745661
2010-02-15,22.2512,22.2807,21.3737,21.8765,0
