Date,Close,High,Low,Open,Volume
2013-05-09,42.11,44.33,42.0,43.76,19154786
2013-05-10,42.39,42.97,41.78,42.26,2969690
2013-05-13,43.32,43.37,42.3,42.3,1053020
2013-05-14,44.43,44.749,43.9,44.24,2051983
2013-05-15,45.5,45.74,44.85,45.2,2381902
2013-05-16,45.85,46.5,45.6001,46.28,1244801
2013-05-17,45.52,46.21,45.35,46.13,920949
2013-05-20,45.38,45.7299,45.26,45.45,535723
2013-05-21,45.05,45.3,44.41,45.0,668815
2013-05-22,44.65,45.38,44.11,45.14,913169
2013-05-23,45.0,45.15,44.01,44.03,881515
2013-05-24,45.03,45.1,44.835,44.97,387111
2013-05-27,45.03,45.03,45.03,45.03,0
2013-05-28,45.43,45.81,44.05,45.73,719405
2013-05-29,44.47,45.65,44.13,45.43,311096
2013-05-30,44.25,44.5,44.01,44.5,298595
2013-05-31,44.04,44.45,44.04,44.12,154903
2013-06-03,44.58,44.58,43.8,44.02,393978
2013-06-04,43.19,44.7,43.06,44.48,576710
2013-06-05,42.85,43.19,42.71,43.0,967603
2013-06-06,43.23,43.26,42.68,42.71,531075
2013-06-07,42.97,43.7602,42.72,43.41,471574
2013-06-10,43.64,43.64,42.96,43.03,808336
2013-06-11,43.95,44.9,43.03,43.21,329868
2013-06-12,43.0,44.045,42.89,43.75,531518
2013-06-13,42.9,43.09,42.53,42.85,500038
2013-06-14,43.09,43.2,42.79,43.0,265257
2013-06-17,43.53,43.62,42.55,43.3,472046
2013-06-18,43.89,44.25,43.65,44.0,534571
2013-06-19,43.79,44.19,43.01,43.66,343008
2013-06-20,43.34,43.73,42.5,43.31,322710
2013-06-21,44.19,44.28,42.59,43.41,655712
2013-06-24,43.32,43.85,42.315,43.57,347895
2013-06-25,43.0,43.74,42.64,43.54,214614
2013-06-26,42.02,43.292,42.02,43.24,753203
2013-06-27,42.33,42.71,41.5,42.17,675791
2013-06-28,42.56,42.96,42.26,42.29,1403773
2013-07-01,42.95,43.26,42.28,42.56,354922
2013-07-02,43.06,43.5,42.5,43.01,256025
2013-07-03,43.62,43.83,42.25,42.99,493813
2013-07-04,43.62,43.62,43.62,43.62,0
2013-07-05,43.24,44.0,42.95,43.98,197467
