Date,Close,High,Low,Open,Volume
2010-01-01,28.5281,28.9192,28.5281,28.9192,0
2010-01-04,28.9352,29.0948,28.6558,28.7356,2967008
2010-01-05,28.6478,28.9432,28.4483,28.8155,2524296
2010-01-06,28.4403,28.7197,28.2487,28.6478,3276332
2010-01-07,28.7277,29.1347,28.2807,28.4563,3966736
2010-01-08,29.2225,29.2784,28.4642,28.5999,3083203
2010-01-11,29.9409,30.2203,29.3263,29.4301,4248910
2010-01-12,29.3103,29.7174,29.0868,29.6296,3136660
2010-01-13,29.2784,29.4141,29.0709,29.3582,2901108
2010-01-14,29.5259,29.5578,29.1507,29.2146,1950235
2010-01-15,29.5817,29.7414,29.3183,29.5498,3364388
2010-01-18,29.5817,29.7414,29.3183,29.5498,0
2010-01-19,29.925,30.1884,29.462,29.5179,6182004
2010-01-20,29.7254,29.7573,29.0948,29.7015,5026804
2010-01-21,29.2704,29.8851,29.1826,29.8451,5287037
2010-01-22,28.129,29.3582,28.121,29.2066,4076452
2010-01-25,27.9454,28.568,27.9374,28.3605,3775449
2010-01-26,27.7458,28.0172,27.2829,27.8416,4780712
2010-01-27,27.0434,27.5383,26.4927,27.5223,7337092
2010-01-28,26.5725,27.1392,26.1494,27.0674,4565082
2010-01-29,25.91,26.8359,25.898,26.6603,5135348
2010-02-01,26.3649,26.6284,26.0457,26.3889,5722063
2010-02-02,27.5303,27.7698,26.4607,26.5884,6397651
2010-02-03,27.5702,27.8177,27.243,27.3308,2681781
2010-02-04,26.3889,27.3627,26.349,27.3627,3717865
2010-02-05,26.2692,26.4128,25.4789,26.325,6561607
2010-02-08,26.2452,26.7401,25.7902,26.1973,2821076
2010-02-09,26.788,27.8656,26.7162,27.1472,5550476
2010-02-10,26.6523,27.1232,26.4927,26.772,4703725
2010-02-11,27.1232,27.1951,26.4049,26.6443,5215532
2010-02-12,24.9521,25.2554,24.0421,24.7286,21786817
2010-02-15,24.9521,25.2554,24.0421,24.7286,0
2010-02-16,25.447,25.5374,24.8962,25.2075,4720145
2010-02-17,25.9658,26.1814,25.2794,25.5667,5329393
2010-02-18,26.5326,26.6603,25.7822,25.8621,4333745
2010-02-19,26.6284,26.804,26.2612,26.4208,3146943
2010-02-22,26.5565,26.8199,26.5086,26.6124,3511858
2010-02-23,25.9499,26.5485,25.7663,26.4847,6043448
2010-02-24,25.8621,26.0776,25.5029,25.9978,5523062
2010-02-25,25.5348,25.6306,25.1197,25.447,6561325
2010-02-26,25.4709,25.5827,25.2155,25.5348,4569626
2010-03-01,26.0936,26.2053,25.4789,25.4789,5603823
2010-03-02,26.2053,26.325,26.0457,26.1654,7003090
2010-03-03,26.8598,27.1791,26.325,26.341,6218790
2010-03-04,26.4847,27.1552,26.349,27.0514,7318618
2010-03-05,27.0913,27.235,26.7082,26.8918,4136354
2010-03-08,27.1632,27.2589,26.8439,27.0195,2949320
2010-03-09,27.0115,27.4066,26.8918,26.9476,3395626
2010-03-10,27.0514,27.1871,26.78,26.9716,2848590
2010-03-11,27.7139,27.7458,26.8119,26.8678,6193413
2010-03-12,27.7858,27.9374,27.5383,27.698,6957208
2010-03-15,27.8895,28.0013,27.4585,27.6181,3816963
2010-03-16,28.4962,28.6558,27.9374,28.0572,4928546
2010-03-17,28.0891,28.6319,27.9941,28.5042,5224910
2010-03-18,28.2008,28.2966,27.8496,28.121,3470679
2010-03-19,27.8337,28.4403,27.5543,28.3126,5163254
2010-03-22,28.4243,28.4642,27.4665,27.5463,3879367
2010-03-23,28.8554,28.9033,28.3525,28.6239,3537651
2010-03-24,27.8576,28.7915,27.7858,28.7117,5170019
2010-03-25,27.5543,28.4403,27.5543,28.2407,5138687
2010-03-26,27.6501,27.8736,27.4266,27.5623,4380433
2010-03-29,27.658,28.0172,27.6261,27.8097,2350737
2010-03-30,27.8416,28.4163,27.698,27.8576,3990147
2010-03-31,27.8337,28.0252,27.6421,27.8017,2910395
2010-04-01,28.3764,28.7205,28.0803,28.1769,2869373
2010-04-02,28.3764,28.7205,28.0803,28.1769,0
2010-04-05,28.9751,29.0549,28.4563,28.552,3284679
2010-04-06,29.0868,29.1986,28.7037,28.7915,3990338
2010-04-07,29.2625,29.3902,28.8234,28.9033,6335714
2010-04-08,29.3822,29.462,28.7835,29.1188,5536907
2010-04-09,29.7973,29.8292,29.2704,29.4939,4951732
2010-04-12,29.893,30.2921,29.7254,30.2522,6438558
2010-04-13,29.5338,29.8851,29.3622,29.8851,4865521
2010-04-14,29.8132,29.8771,29.5418,29.8372,3920521
2010-04-15,30.1884,30.3879,29.6057,29.7813,6055002
2010-04-16,29.6616,30.3161,29.5259,30.2123,4673773
2010-04-19,29.7414,29.7653,29.2146,29.4061,3755063
2010-04-20,30.372,30.5715,30.0208,30.0208,6761124
2010-04-21,30.5236,30.5396,30.2522,30.4039,6556634
2010-04-22,31.1303,31.4575,29.9409,30.2842,6723271
2010-04-23,29.6137,29.7174,28.4962,29.6137,19571111
2010-04-26,30.2043,30.6673,29.5897,30.364,6606033
2010-04-27,29.2864,30.3241,29.1347,30.0846,5583907
2010-04-28,29.1746,29.6855,29.031,29.3263,5547940
2010-04-29,29.7414,29.8372,29.3662,29.4141,4864981
2010-04-30,29.5179,30.3321,29.3263,29.7095,4414242
2010-05-03,30.372,30.4119,29.6456,29.7573,3730859
2010-05-04,29.2225,29.8611,29.0469,29.8132,4903774
2010-05-05,29.8132,30.2363,28.5441,28.7995,10525153
2010-05-06,28.8953,30.1006,27.1073,29.478,13396737
2010-05-07,28.129,29.6216,27.8496,28.7197,10950937
2010-05-10,30.0208,30.4199,29.0549,29.47,7795937
2010-05-11,30.4199,30.6673,29.5099,29.5338,5865255
2010-05-12,31.6172,31.6331,30.7152,30.787,8447937
2010-05-13,31.9365,32.4074,31.1941,31.5054,6856154
2010-05-14,30.9307,31.6571,30.6274,31.6571,4740297
2010-05-17,30.9227,31.1303,30.1804,31.0584,6156888
2010-05-18,30.34,31.1143,30.2123,30.4119,6502939
2010-05-19,29.5738,30.5156,29.2545,30.2043,6449446
