Date,Close,High,Low,Open,Volume
2010-01-01,22.76,23.29,22.74,23.12,0
2010-01-04,22.89,23.06,22.68,22.89,920033
2010-01-05,22.96,23.03,22.7,22.83,1035266
2010-01-06,23.7,23.77,22.94,22.99,1825220
2010-01-07,24.08,24.08,23.61,23.65,1403764
2010-01-08,24.15,24.23,23.83,24.0,969003
2010-01-11,24.33,24.4,23.99,24.2,937211
2010-01-12,24.04,24.43,23.95,24.14,1483833
2010-01-13,24.66,24.68,24.09,24.09,926374
2010-01-14,24.83,24.86,24.36,24.65,1121991
2010-01-15,24.38,24.93,24.25,24.75,1165653
2010-01-18,24.38,24.93,24.25,24.75,0
2010-01-19,24.73,24.81,24.26,24.35,886250
2010-01-20,24.3,24.56,24.16,24.53,629554
2010-01-21,24.07,24.44,24.02,24.26,1311390
2010-01-22,23.74,24.11,23.71,24.08,1441892
2010-01-25,23.57,23.96,23.4,23.92,837103
2010-01-26,23.2,23.65,23.19,23.54,771332
2010-01-27,23.21,23.35,22.91,23.18,1191829
2010-01-28,22.9,23.26,22.8,23.26,725195
2010-01-29,22.86,23.2,22.82,23.09,1483434
2010-02-01,22.98,23.135,22.86,22.97,938237
2010-02-02,23.23,23.28,22.9,22.98,985672
2010-02-03,23.11,23.43,23.05,23.15,807886
2010-02-04,22.59,23.06,22.58,22.88,1385603
2010-02-05,22.1,22.75,21.95,22.51,2724798
2010-02-08,21.8,22.12,21.8,22.08,1229696
2010-02-09,21.94,22.18,21.78,22.04,1156739
2010-02-10,21.62,22.05,21.5,21.94,1576271
2010-02-11,21.73,21.92,21.32,21.58,1713015
2010-02-12,21.71,21.78,21.38,21.6,1541605
2010-02-15,21.71,21.78,21.38,21.6,0
2010-02-16,22.4,22.41,21.69,21.81,1186666
2010-02-17,23.55,23.67,22.86,22.86,2993427
2010-02-18,23.84,23.89,23.5,23.5,1218904
2010-02-19,24.15,24.42,23.76,23.84,1787030
2010-02-22,23.87,24.44,23.69,24.28,1650823
2010-02-23,23.87,24.1,23.77,23.84,1868617
2010-02-24,24.3,24.45,23.94,23.98,2321067
2010-02-25,26.02,26.48,25.51,25.52,3963891
2010-02-26,25.88,26.24,25.81,26.12,2021747
2010-03-01,25.99,26.1,25.67,26.09,2079470
2010-03-02,25.83,26.15,25.71,26.12,1264770
2010-03-03,25.62,26.03,25.52,25.93,1392320
2010-03-04,25.64,25.7,25.36,25.69,928836
2010-03-05,25.83,25.99,25.63,25.71,1101773
2010-03-08,25.84,26.01,25.76,25.93,694230
2010-03-09,25.65,25.8252,25.49,25.79,1171114
2010-03-10,25.64,25.87,25.62,25.65,1070993
2010-03-11,25.77,25.8,25.42,25.53,671334
2010-03-12,25.91,25.95,25.67,25.82,587528
2010-03-15,26.05,26.12,25.82,26.0,822639
2010-03-16,26.1,26.16,25.91,26.12,924148
2010-03-17,26.39,26.41,26.07,26.29,884564
2010-03-18,26.36,26.42,26.22,26.39,616754
2010-03-19,26.0,26.55,25.9,26.41,1164626
2010-03-22,26.32,26.44,25.84,25.84,840547
2010-03-23,27.28,27.28,26.44,26.55,1710143
2010-03-24,27.02,27.4,26.94,27.11,1317226
2010-03-25,27.1,27.52,27.07,27.27,1325336
2010-03-26,27.03,27.48,26.81,27.23,922191
2010-03-29,27.74,27.74,27.07,27.07,1324761
2010-03-30,27.42,27.76,27.32,27.71,1094998
2010-03-31,27.4,27.45,27.08,27.23,1176058
2010-04-01,27.45,28.0,27.23,27.7,1263347
2010-04-02,27.45,28.0,27.23,27.7,0
2010-04-05,27.3,27.55,27.21,27.53,1110028
2010-04-06,27.01,27.17,26.88,27.11,1326292
2010-04-07,26.72,26.99,26.62,26.9,1025968
2010-04-08,26.52,26.61,26.27,26.56,996629
2010-04-09,26.51,26.72,26.45,26.58,952750
2010-04-12,26.5,26.64,26.42,26.53,1356473
2010-04-13,26.5,26.61,26.21,26.42,1105073
2010-04-14,26.88,26.915,26.33,26.55,2098597
2010-04-15,27.42,27.53,26.74,26.88,1180250
2010-04-16,27.22,27.67,27.05,27.42,1498482
2010-04-19,27.37,27.43,27.03,27.22,872453
2010-04-20,27.74,27.82,27.32,27.46,1066877
2010-04-21,27.88,27.92,27.58,27.68,991245
2010-04-22,28.31,28.35,27.52,27.66,1148951
2010-04-23,28.39,28.42,28.1,28.39,1065745
2010-04-26,28.26,28.49,28.15,28.31,946184
2010-04-27,27.33,28.195,27.26,28.19,1331790
2010-04-28,28.0,28.0,27.51,27.65,1005781
2010-04-29,25.8,27.96,25.4,27.96,3484488
2010-04-30,25.15,25.89,24.97,25.86,2017170
2010-05-03,25.27,25.46,25.2,25.29,1415136
2010-05-04,25.07,25.12,24.61,24.95,1958529
2010-05-05,24.99,25.07,24.79,24.94,1436598
2010-05-06,23.89,25.0,22.62,24.77,1832468
2010-05-07,23.89,24.28,23.44,23.9,2027514
2010-05-10,25.11,25.31,24.76,24.89,1735252
2010-05-11,25.03,25.36,24.7,24.7,1095499
2010-05-12,25.5,25.5,25.08,25.08,843703
