Date,Close,High,Low,Open,Volume
2010-01-01,47.99,48.8,47.95,48.64,0
2010-01-04,48.57,48.94,48.06,48.59,2728060
2010-01-05,48.44,48.58,48.08,48.44,2247681
2010-01-06,48.33,48.49,48.03,48.49,2575110
2010-01-07,48.64,48.6899,48.14,48.14,2593072
2010-01-08,49.1,49.15,48.46,48.52,3119444
2010-01-11,49.95,50.15,49.1,49.41,2944271
2010-01-12,48.69,49.69,48.44,49.06,3908692
2010-01-13,48.66,48.88,48.22,48.7,2433606
2010-01-14,48.51,48.6,48.23,48.48,1803483
2010-01-15,47.88,48.61,47.79,48.61,3264193
2010-01-18,47.88,48.61,47.79,48.61,0
2010-01-19,48.66,48.67,47.81,47.93,3319044
2010-01-20,48.25,48.35,47.78,48.15,2660605
2010-01-21,45.9,48.21,45.85,48.05,5861976
2010-01-22,45.35,46.25,45.29,45.73,3519350
2010-01-25,45.43,46.02,45.24,45.75,2080287
2010-01-26,45.19,45.74,44.85,45.23,3237608
2010-01-27,43.99,44.56,42.39,42.85,7651282
2010-01-28,43.93,44.89,43.81,44.66,4071786
2010-01-29,43.59,44.69,43.5,44.14,3473363
2010-02-01,43.7,44.28,43.49,43.92,3298210
2010-02-02,44.02,44.15,43.64,43.8,5056070
2010-02-03,43.74,44.07,43.5,43.75,3233109
2010-02-04,42.53,43.42,42.46,43.4,4016930
2010-02-05,42.66,42.7,41.94,42.6,4144120
2010-02-08,42.25,43.03,42.24,42.71,2383323
2010-02-09,43.29,43.92,42.61,42.71,3267071
2010-02-10,42.99,43.35,42.64,43.24,2125912
2010-02-11,43.9,43.99,42.68,43.25,3633559
2010-02-12,43.64,43.81,42.92,43.38,3109326
2010-02-15,43.64,43.81,42.92,43.38,0
2010-02-16,44.69,44.78,43.77,44.24,2493838
2010-02-17,45.45,45.55,44.73,44.88,3814921
2010-02-18,46.57,46.7256,45.46,45.47,4462489
2010-02-19,46.76,47.11,46.28,46.4,3001707
2010-02-22,46.46,47.0,46.35,46.94,2000833
2010-02-23,45.61,46.53,45.4,46.17,3139088
2010-02-24,45.43,45.92,45.18,45.74,3925163
2010-02-25,45.22,45.3,44.3,44.5,2772433
2010-02-26,45.52,45.71,45.08,45.35,2254548
2010-03-01,46.09,46.26,45.73,45.76,2135692
2010-03-02,46.04,46.49,45.9635,46.13,2505605
2010-03-03,46.2,46.92,46.1,46.1,2526363
2010-03-04,46.48,46.75,46.18,46.45,2374183
2010-03-05,47.27,47.52,46.71,46.89,2518179
2010-03-08,46.66,47.5,46.65,47.4,2355199
2010-03-09,46.64,46.84,46.4,46.66,2394801
2010-03-10,46.74,47.09,46.48,46.83,2024157
2010-03-11,46.66,46.75,45.9,46.58,3519716
