Date,Close,High,Low,Open,Volume
2010-01-01,23.49,23.61,23.39,23.41,0
2010-01-04,23.34,23.58,23.15,23.57,4254155
2010-01-05,23.47,23.55,23.23,23.31,2711339
2010-01-06,22.98,23.44,22.97,23.41,3562467
2010-01-07,23.05,23.1,22.77,22.93,2738938
2010-01-08,22.92,23.03,22.65,22.85,2378886
2010-01-11,23.63,23.7,22.98,22.98,2404960
2010-01-12,23.29,23.7,23.01,23.46,2053173
2010-01-13,23.38,23.68,23.15,23.45,3121993
2010-01-14,23.0,23.35,22.78,23.31,3551862
2010-01-15,22.71,22.99,22.49,22.8,2528520
2010-01-18,22.71,22.99,22.49,22.8,0
2010-01-19,23.03,23.2,22.53,22.67,1990650
2010-01-20,22.41,22.9,22.26,22.9,2734431
2010-01-21,21.45,22.6,21.45,22.4,4307652
2010-01-22,20.83,21.66,20.755,21.47,4648380
2010-01-25,21.17,21.46,20.93,21.25,3708236
2010-01-26,20.33,21.04,20.32,20.84,4312733
2010-01-27,21.69,21.69,20.27,20.46,8292384
2010-01-28,20.21,21.84,20.04,21.84,10000686
2010-01-29,19.3,20.66,19.11,20.66,9764112
2010-02-01,20.05,20.12,19.26,19.29,6031499
2010-02-02,20.24,20.36,19.83,20.08,4188723
2010-02-03,19.57,20.29,19.45,19.98,3761945
2010-02-04,18.59,19.54,18.55,19.35,6453886
2010-02-05,18.58,19.1,17.74,18.78,8635254
2010-02-08,18.32,19.11,18.31,18.55,4827397
2010-02-09,18.61,19.17,18.51,18.66,7248122
2010-02-10,18.75,18.99,18.53,18.53,5658953
2010-02-11,18.51,18.78,18.32,18.78,5129020
2010-02-12,18.44,18.5,18.05,18.3,3609816
2010-02-15,18.44,18.5,18.05,18.3,0
2010-02-16,19.14,19.16,18.52,18.71,3922645
2010-02-17,19.16,19.38,19.06,19.32,3683792
2010-02-18,19.49,19.54,19.0475,19.46,3742285
2010-02-19,19.54,19.68,19.16,19.35,3371965
2010-02-22,19.62,19.77,19.45,19.63,3579685
2010-02-23,19.05,19.68,18.9799,19.51,4224636
2010-02-24,19.55,19.63,19.1303,19.19,4159176
2010-02-25,19.75,19.76,18.95,19.15,5183266
2010-02-26,19.6,19.91,19.47,19.85,4581064
2010-03-01,20.08,20.115,19.61,19.63,3452510
2010-03-02,20.33,20.37,19.9,19.98,3848026
2010-03-03,20.5,20.62,20.15,20.31,4240860
