Date,Close,High,Low,Open,Volume
2010-01-01,24.3778,24.9953,24.3689,24.9953,0
2010-01-04,24.879,24.9058,24.351,24.7089,4414028
2010-01-05,25.577,25.6307,24.7716,24.879,4072575
2010-01-06,25.8097,26.4988,25.6039,25.6665,5557393
2010-01-07,25.8186,25.8723,25.5323,25.7828,3540302
2010-01-08,25.6218,25.8634,25.5054,25.7202,4001883
2010-01-11,25.935,26.1408,25.6218,25.7918,4238267
2010-01-12,26.821,26.8389,26.1319,26.5883,8253633
2010-01-13,26.7046,26.8478,26.2392,26.812,3733045
2010-01-14,26.7046,26.7673,26.4898,26.7315,2956621
2010-01-15,26.2303,26.8299,25.9529,26.7225,4561583
2010-01-18,26.2303,26.8299,25.9529,26.7225,0
2010-01-19,26.4988,26.5256,26.0101,26.2482,3999248
2010-01-20,26.0692,26.4719,25.9529,26.3914,3417504
2010-01-21,25.8186,26.6151,25.756,26.1229,6385422
2010-01-22,26.3824,27.8233,26.3108,27.7517,13551100
2010-01-25,27.2237,27.6264,26.8657,27.0626,10177909
2010-01-26,26.5793,26.8031,25.7488,26.6241,10455144
2010-01-27,25.9439,26.463,25.5949,26.463,6997851
2010-01-28,25.2727,26.1319,24.8969,26.105,8072292
2010-01-29,24.9058,25.9618,24.8611,25.3712,7969022
2010-02-01,25.7112,25.7291,25.0758,25.0758,5946062
2010-02-02,25.9708,26.0961,25.4607,25.8365,4476688
2010-02-03,26.5346,26.821,26.0245,26.2214,8188563
2010-02-04,25.4786,26.4003,25.4696,26.1856,6350793
2010-02-05,25.1116,25.6128,24.4762,25.4338,7850089
2010-02-08,24.8074,25.6039,24.7269,25.0758,3414360
2010-02-09,25.1743,25.5949,24.9685,25.2369,5826653
2010-02-10,24.9595,25.219,24.691,25.1564,4130816
2010-02-11,25.2101,25.3398,24.521,25.0848,5697452
2010-02-12,25.5412,25.6307,24.6105,24.879,7124666
2010-02-15,25.5412,25.6307,24.6105,24.879,0
2010-02-16,26.0245,26.0424,25.6665,25.8723,5220228
2010-02-17,26.0245,26.2124,25.6933,26.1319,5759297
2010-02-18,26.5346,26.5704,25.8992,25.9976,6569293
2010-02-19,26.7494,26.9015,26.3645,26.642,7383231
2010-02-22,27.3848,27.5279,26.812,26.9552,7877361
2010-02-23,27.3579,27.6443,27.161,27.3221,9716887
2010-02-24,27.5637,27.698,27.2774,27.4206,6042583
2010-02-25,27.7248,27.7248,26.7673,27.1789,8891450
2010-02-26,27.8322,28.1812,27.5816,27.7696,5879582
2010-03-01,28.5303,28.6287,27.9217,27.9217,4037880
2010-03-02,28.2976,28.7361,28.1991,28.7271,4546482
2010-03-03,28.5124,28.933,28.3692,28.4408,3848033
2010-03-04,28.7003,28.8345,28.2349,28.6556,3471438
2010-03-05,28.9777,29.0309,28.7092,28.8703,3089117
2010-03-08,28.6377,29.2731,28.584,28.9419,3868119
2010-03-09,28.4587,28.8166,28.1633,28.6019,4505558
2010-03-10,27.9128,28.5636,27.8143,28.3692,6068929
2010-03-11,28.2349,28.2797,27.7606,27.9486,3939966
2010-03-12,28.2976,28.575,28.1902,28.4408,2846049
2010-03-15,28.2081,28.3065,27.8322,28.1991,3131657
2010-03-16,28.3781,28.4229,28.1275,28.217,3259155
2010-03-17,28.8166,28.8614,28.4139,28.5034,3426246
2010-03-18,28.6466,28.8972,28.5482,28.7271,2870408
2010-03-19,28.4766,28.9956,27.7786,28.8524,4858088
2010-03-22,28.9867,29.1746,28.1902,28.2528,4198444
2010-03-23,29.8637,29.9532,28.9867,29.0225,5146432
2010-03-24,29.631,29.7919,29.4252,29.7742,5765913
2010-03-25,29.6489,30.0695,29.5594,29.7832,5437726
2010-03-26,29.4341,29.81,29.1925,29.7474,4729805
2010-03-29,29.3088,29.8279,29.2283,29.5863,4227992
2010-03-30,29.4252,29.6937,29.2104,29.3178,7756362
2010-03-31,29.5236,29.7026,29.1567,29.3267,4130382
2010-04-01,29.8727,29.98,29.6131,29.7116,4092542
2010-04-02,29.8727,29.98,29.6131,29.7116,0
2010-04-05,29.6221,30.0248,29.2462,29.9353,5242256
2010-04-06,29.4431,29.6668,29.2015,29.4789,4021285
2010-04-07,28.4318,29.4073,28.0649,29.3088,9025095
2010-04-08,28.7092,28.7898,28.217,28.4676,6580047
2010-04-09,28.7361,29.0583,28.6377,28.8793,7456817
2010-04-12,28.9509,29.0583,28.7361,28.8166,3740733
2010-04-13,28.7182,28.9867,28.5482,28.9509,5461411
2010-04-14,29.631,29.7205,28.7003,28.9061,5668865
2010-04-15,29.9621,30.159,29.4878,29.631,5851045
2010-04-16,29.2552,30.0516,28.9419,29.8906,7766281
2010-04-19,29.2731,29.4699,28.8166,29.2909,7242896
2010-04-20,30.6512,30.7586,29.5326,29.5326,9668392
2010-04-21,30.7855,31.1077,30.4365,30.7407,7816781
2010-04-22,31.3314,31.3493,30.1143,30.6065,9152589
2010-04-23,30.875,31.8504,30.6333,31.5014,12283917
2010-04-26,31.0271,32.0147,30.9555,32.0147,6852131
2010-04-27,29.81,30.8302,29.7384,30.7676,7945921
2010-04-28,29.64,30.2933,29.5505,29.9621,6440231
2010-04-29,30.8929,31.045,29.9621,30.0158,6020106
2010-04-30,30.0606,31.2061,30.0158,30.9555,6657338
2010-05-03,30.338,30.5707,30.0606,30.0964,6278541
2010-05-04,28.7808,29.819,28.6556,29.7832,8183071
2010-05-05,27.9217,28.7853,27.7606,28.5034,6062814
2010-05-06,27.0447,28.933,24.9058,28.226,10679099
2010-05-07,26.5614,27.4921,26.2661,27.1431,12147884
2010-05-10,28.5303,29.0583,27.7338,28.1633,6897894
2010-05-11,28.2618,28.7719,27.7785,28.0112,4202954
2010-05-12,28.754,28.8211,28.1991,28.3871,4085826
2010-05-13,28.226,28.9419,28.1186,28.7092,3882200
2010-05-14,27.4027,28.1902,27.1208,28.1007,5996749
2010-05-17,27.2416,27.7159,26.4956,27.3937,5643255
2010-05-18,26.4272,27.519,26.284,27.2953,7142965
2010-05-19,25.6933,26.2303,25.4517,26.1856,14099978
2010-05-20,24.7716,25.3533,24.3778,24.8969,15138030
2010-05-21,25.228,25.7918,24.0735,24.2257,12979466
2010-05-24,24.7716,25.3712,24.7447,25.219,5757097
2010-05-25,24.6463,24.6731,23.5008,23.8766,9570752
2010-05-26,25.04,25.5949,24.7805,25.04,11836901
2010-05-27,26.2124,26.2124,25.5502,25.7291,6606113
2010-05-28,25.5323,26.275,25.2817,26.0871,4716661
2010-05-31,25.5323,26.275,25.2817,26.0871,0
2010-06-01,25.0221,25.6575,25.0221,25.1385,6295798
2010-06-02,25.8723,25.8723,24.9774,25.1564,4843697
2010-06-03,26.0961,26.3914,25.6844,26.1319,4851051
2010-06-04,24.6373,25.4965,24.4673,25.3533,6275094
2010-06-07,23.805,24.7984,23.7514,24.5836,6492253
2010-06-08,23.3844,24.0646,22.8743,23.7961,11606703
2010-06-09,23.1786,23.5813,23.0086,23.3576,15612351
2010-06-10,24.172,24.1809,23.4023,23.6529,13708747
2010-06-11,24.6642,24.6821,23.8945,23.9393,6092517
2010-06-14,25.04,25.5144,24.7984,24.9506,8507711
2010-06-15,26.4272,26.4451,25.6933,25.8186,8405553
2010-06-16,25.9618,26.4809,25.8455,26.4809,7093033
2010-06-17,25.8634,26.1856,25.3622,26.114,7139859
2010-06-18,25.8365,25.9887,25.6951,25.8365,4250923
2010-06-21,25.8544,26.6062,25.7023,26.3198,4424400
2010-06-22,25.1922,26.114,25.1653,25.8365,4913192
2010-06-23,25.3533,25.5412,24.8745,25.1206,6204752
2010-06-24,24.7984,25.2906,24.6821,25.1564,9277663
2010-06-25,24.8432,24.8432,24.3644,24.7895,12963092
2010-06-28,24.8342,25.1564,24.6373,25.0043,3700049
2010-06-29,24.0288,24.3868,23.7066,24.3241,9534202
2010-06-30,24.0467,24.6552,23.9214,24.0288,8049931
2010-07-01,24.1183,24.3196,23.3307,23.9214,8567763
2010-07-02,24.0556,24.4315,23.8766,24.2973,4356866
2010-07-05,24.0556,24.4315,23.8766,24.2973,0
2010-07-06,24.0377,24.6552,23.814,24.2704,6179757
2010-07-07,24.9774,25.0043,23.9482,24.0377,9442739
2010-07-08,25.4965,25.5502,25.0311,25.2369,5352219
2010-07-09,25.6128,25.7649,25.3712,25.586,5607303
2010-07-12,25.3533,25.7023,25.1564,25.5054,5731700
2010-07-13,26.5077,26.6509,25.756,25.8365,6547690
2010-07-14,26.5435,26.6688,26.0692,26.4003,4756981
2010-07-15,26.5793,26.633,25.8992,26.5793,4196606
2010-07-16,25.5144,26.4469,25.398,26.4093,5754186
2010-07-19,25.6218,25.7202,25.1027,25.577,2949490
2010-07-20,26.0155,26.0782,25.0579,25.1743,4331316
2010-07-21,25.5144,26.3287,25.2459,26.1945,6545474
2010-07-22,27.2774,27.4474,25.9529,25.9529,9158638
2010-07-23,26.0513,26.4451,25.0669,25.5054,15911889
2010-07-26,25.8365,26.3198,25.5054,26.2482,10808190
2010-07-27,25.1653,25.926,25.0132,25.8902,8451219
2010-07-28,25.9529,26.4719,25.2996,25.4159,8898267
2010-07-29,25.6128,26.3019,25.1295,26.2214,6381379
2010-07-30,25.7828,25.8276,24.9327,25.3085,8045241
2010-08-02,26.1856,26.454,25.9529,26.3287,5888928
2010-08-03,25.9976,26.275,25.8455,26.1319,3669099
2010-08-04,26.1408,26.3735,25.9171,26.0692,5143352
2010-08-05,26.4898,26.6062,25.7739,26.0961,4951525
2010-08-06,26.4451,26.5704,25.9529,26.1319,5016793
2010-08-09,27.0447,27.0984,26.463,26.6509,4364995
2010-08-10,26.3556,26.7673,26.1319,26.7673,4732074
2010-08-11,25.5144,25.8455,25.2996,25.8365,5033362
2010-08-12,24.9774,25.2996,24.8969,25.228,4935344
2010-08-13,24.4941,25.1116,24.4762,24.8342,5930023
2010-08-16,25.0669,25.4696,24.4047,24.7179,7442191
2010-08-17,25.7291,26.0513,25.2369,25.407,5877497
2010-08-18,26.0782,26.2035,25.6486,25.7828,3819923
2010-08-19,25.407,26.0782,25.3085,25.9708,4504267
2010-08-20,25.0848,25.3085,24.6373,25.1653,4887014
2010-08-23,24.9864,25.4428,24.9148,25.2817,4615745
2010-08-24,24.0467,24.5657,23.9393,24.5568,6062743
2010-08-25,24.0556,24.1899,23.3576,23.814,6677533
2010-08-26,23.9124,24.512,23.8587,24.2167,4286619
2010-08-27,24.3778,24.3957,23.6798,24.1093,3820316
2010-08-30,23.9661,24.4583,23.9661,24.3331,3231087
2010-08-31,23.7424,24.1451,23.5679,23.8587,4842014
2010-09-01,24.8879,24.9685,24.1183,24.1183,5062558
2010-09-02,25.3264,25.3891,24.7895,24.87,4071360
2010-09-03,26.105,26.1408,25.6575,25.6844,4739145
2010-09-06,26.105,26.1408,25.6575,25.6844,0
2010-09-07,25.3175,25.9529,25.2727,25.9529,3041310
2010-09-08,24.9864,25.2101,24.8521,25.1564,4593902
2010-09-09,25.398,25.8186,25.3443,25.3533,5153242
2010-09-10,25.4428,25.662,25.2683,25.4607,3339481
2010-09-13,26.0871,26.3198,25.7649,25.7649,4083811
2010-09-14,25.8186,26.1229,25.8097,26.0871,3252055
2010-09-15,25.6933,25.7739,25.3354,25.7112,4020349
2010-09-16,25.9976,26.0692,25.2369,25.2906,3845154
2010-09-17,25.8813,26.2961,25.7023,26.1856,4896992
2010-09-20,26.3287,26.4361,25.8701,26.0155,3778555
2010-09-21,26.4809,26.6867,26.1498,26.4182,4714738
2010-09-22,26.2482,26.633,26.0782,26.3914,3848399
2010-09-23,25.8544,26.463,25.6844,25.9618,3238980
2010-09-24,26.7404,26.7583,26.1677,26.2571,3448152
2010-09-27,26.821,27.0581,26.6778,26.7583,4773635
2010-09-28,27.4116,27.51,26.5077,26.9015,6759577
2010-09-29,27.4027,27.5637,27.2058,27.2863,5076119
2010-09-30,27.2953,27.868,27.0984,27.5548,4149691
2010-10-01,27.3311,27.6622,27.0357,27.6622,4130374
2010-10-04,27.1342,27.349,26.8031,27.3042,3112364
2010-10-05,28.4229,28.6377,27.4295,27.4295,7155275
2010-10-06,28.0023,28.5213,27.868,28.3244,4878984
2010-10-07,28.1007,28.3893,27.868,28.1902,4269277
2010-10-08,28.4587,28.6377,27.9844,28.226,6120483
2010-10-11,28.3155,28.5929,28.2171,28.584,3430649
2010-10-12,28.226,28.5124,27.9933,28.4497,8486754
2010-10-13,28.8972,29.3438,28.5213,28.6287,12489715
2010-10-14,29.1746,29.3178,28.9776,29.0314,8182231
2010-10-15,29.2999,29.7295,29.0314,29.5326,8437446
2010-10-18,29.3178,29.3715,29.0135,29.3715,5463890
2010-10-19,29.0941,29.4431,28.3602,28.8972,6483042
2010-10-20,30.0248,30.2664,29.1657,29.2641,5608190
2010-10-21,30.3649,30.4275,30.0337,30.1053,6160054
2010-10-22,30.5886,30.6423,30.2127,30.4812,6219984
2010-10-25,31.0898,31.2329,30.8123,30.875,7157256
2010-10-26,30.866,30.9555,30.3917,30.6244,9109536
2010-10-27,31.3224,31.4656,30.7944,31.0808,7982371
2010-10-28,31.2777,31.6088,30.9824,31.5641,4537739
2010-10-29,31.4298,31.6267,31.0898,31.1613,4767891
2010-11-01,31.3403,32.0115,31.1882,31.6983,4694137
2010-11-02,31.4746,31.6983,31.3224,31.5999,5724244
2010-11-03,32.1637,32.2174,31.4925,31.5372,4651316
2010-11-04,32.6648,32.7006,32.101,32.4948,4551075
2010-11-05,32.9333,33.0049,32.5395,32.7812,3884294
2010-11-08,33.4166,33.6045,32.45,32.629,6926955
2010-11-09,32.978,33.5776,32.7722,33.4613,4317681
2010-11-10,33.1033,33.157,32.3605,32.9333,6010342
2010-11-11,33.2107,33.2734,32.7364,32.7364,5097762
2010-11-12,32.6201,33.4703,32.3069,32.817,5269401
2010-11-15,32.6469,33.1928,32.6469,32.8259,3407944
2010-11-16,31.7699,32.5932,31.5909,32.3426,5021424
2010-11-17,32.11,32.4053,31.7609,31.8325,4157509
2010-11-18,33.0407,33.4703,32.5306,32.8796,6493260
2010-11-19,32.817,33.0496,32.5485,33.0496,4358742
2010-11-22,33.4613,33.515,32.5216,32.5485,5703200
2010-11-23,33.0228,33.3629,32.7454,32.8707,4515490
2010-11-24,33.3808,33.5508,33.0228,33.2018,3969992
2010-11-25,33.3808,33.5508,33.0228,33.2018,0
2010-11-26,33.1928,33.3629,32.7096,33.0407,1382546
2010-11-29,32.8528,33.0138,32.45,32.978,5665085
2010-11-30,32.6111,32.9333,32.2621,32.4321,5708373
2010-12-01,33.873,34.0967,33.2018,33.2734,5742215
2010-12-02,34.8574,35.1706,33.9356,33.9714,7161329
2010-12-03,35.0722,35.1617,34.3652,34.6247,4709992
2010-12-06,35.3496,35.4928,34.9021,35.1259,3038215
2010-12-07,34.9021,35.9313,34.8484,35.7971,6276935
2010-12-08,34.3025,34.7411,33.9446,34.3473,5459070
2010-12-09,33.9446,34.5173,33.9088,34.392,7044237
2010-12-10,33.9714,34.1325,33.9177,34.1057,5729605
2010-12-13,33.8282,34.213,33.8193,34.0967,5041832
2010-12-14,34.2667,34.5263,33.864,33.864,5760879
2010-12-15,34.0788,34.5173,33.9804,34.2757,5239920
2010-12-16,34.7679,34.7769,34.0162,34.0699,3585683
2010-12-17,34.5889,34.9737,34.4457,34.8842,4838206
2010-12-20,34.9648,35.1527,34.6605,34.8574,2958605
2010-12-21,34.9558,35.3496,34.8216,35.099,3927196
2010-12-22,34.58,35.1259,34.3474,35.0453,3303899
2010-12-23,34.3115,34.75,34.043,34.6605,3213665
2010-12-24,34.3115,34.75,34.043,34.6605,0
2010-12-27,34.1504,34.2757,33.7298,34.1057,2526747
2010-12-28,33.9983,34.3562,33.9311,34.213,2015684
2010-12-29,34.3294,34.4457,34.0251,34.0699,2299543
2010-12-30,34.222,34.4815,34.0788,34.3741,2192766
2010-12-31,34.1862,34.6247,34.0251,34.2399,2157212
2011-01-03,35.4033,35.7792,34.5263,34.5263,5934403
2011-01-04,35.5107,35.6986,34.9737,35.5017,6029735
2011-01-05,36.334,36.6025,35.4212,35.4212,7248412
2011-01-06,36.1013,36.4772,35.806,36.2803,5066323
2011-01-07,36.1192,36.3788,35.7523,36.2445,5932928
2011-01-10,36.6025,36.692,35.8687,36.0566,5075799
2011-01-11,36.1461,37.0947,36.0834,36.7188,4765225
2011-01-12,36.4593,36.7009,36.2087,36.513,3121523
2011-01-13,35.985,36.4235,35.7971,36.3698,3665718
2011-01-14,36.1998,36.2803,35.8597,35.9403,4840721
2011-01-17,36.1998,36.2803,35.8597,35.9403,0
2011-01-18,36.3698,36.4056,36.0118,36.2893,3724591
2011-01-19,35.9134,36.4146,35.7971,36.3072,4500339
2011-01-20,34.7232,35.278,34.2757,35.1617,12298151
2011-01-21,34.4726,35.2243,34.401,35.108,5911667
2011-01-24,34.8753,34.92,34.1325,34.5621,4872164
2011-01-25,34.5531,34.8305,34.2265,34.7769,5247342
2011-01-26,34.759,35.0044,34.5621,34.7053,4648433
2011-01-27,35.2512,35.4033,34.6605,34.92,4970086
2011-01-28,33.7298,35.3586,33.6045,35.099,6746536
2011-01-31,34.3562,34.3741,33.4166,33.4166,6519561
2011-02-01,34.401,34.6695,34.0967,34.4905,4725779
2011-02-02,33.4434,34.3473,33.336,34.2846,5713254
2011-02-03,33.5508,33.7387,33.0675,33.5687,5892905
2011-02-04,34.1772,34.2041,33.4345,33.7656,5178866
2011-02-07,34.9916,35.0632,34.0609,34.0609,4891635
2011-02-08,35.7523,35.9403,35.1438,35.1527,5538841
2011-02-09,35.9582,36.0029,35.6001,35.6897,5165776
2011-02-10,36.3698,36.4325,35.6718,35.7971,5419069
2011-02-11,37.0589,37.1842,36.1819,36.2266,4897234
2011-02-14,37.05,37.2021,36.8262,36.9963,4102501
2011-02-15,37.2111,37.3542,36.5578,36.7904,5327404
2011-02-16,37.6943,37.7122,37.2916,37.3721,5108897
2011-02-17,37.6496,37.8464,37.3811,37.569,3813611
2011-02-18,37.9449,37.9628,37.2737,37.8822,5528924
2011-02-21,37.9449,37.9628,37.2737,37.8822,0
2011-02-22,37.2647,37.8822,36.9967,37.2647,7352577
2011-02-23,35.7434,37.4437,35.6539,37.1663,8595474
2011-02-24,35.8687,36.2445,35.2691,35.7971,7031905
2011-02-25,36.4056,36.5712,36.0745,36.1461,4173099
2011-02-28,36.513,36.862,36.0834,36.6651,5090753
2011-03-01,35.7076,37.0589,35.6181,37.05,6109895
2011-03-02,36.0118,36.2266,35.5912,36.2266,4663573
2011-03-03,36.3251,36.692,35.9492,36.4414,5122705
2011-03-04,36.9694,37.4885,36.1819,36.2624,9018888
2011-03-07,36.7099,37.4885,36.6741,37.0768,6093828
2011-03-08,36.9515,37.1037,36.2893,36.7278,5663144
2011-03-09,37.4795,37.7838,37.2826,37.4795,7126976
2011-03-10,37.0052,37.5869,36.513,36.8889,8581657
2011-03-11,36.4772,36.8799,36.0834,36.683,6628927
2011-03-14,36.343,36.4325,35.6181,36.1282,5910078
2011-03-15,35.6897,35.8687,34.3204,34.4099,7671247
2011-03-16,34.8216,35.7792,34.3235,35.5733,9402081
2011-03-17,35.6091,36.3251,35.4301,35.5375,6428896
2011-03-18,35.3496,36.4235,35.287,36.1729,7909911
2011-03-21,36.2087,36.334,35.7792,35.8418,4364716
2011-03-22,35.7434,36.1908,35.7165,36.1461,7483331
2011-03-23,35.8866,36.2535,34.9894,35.5644,5805349
2011-03-24,36.9247,37.0321,36.0387,36.4504,6757369
2011-03-25,37.05,37.4258,36.5846,36.9336,3690033
2011-03-28,36.871,37.3005,36.7994,37.1126,3002581
2011-03-29,37.5243,37.5869,36.6472,36.8978,3751599
2011-03-30,37.2289,37.8196,37.041,37.6943,4521039
2011-03-31,37.2021,37.3095,36.7188,36.9963,4307552
2011-04-01,37.6585,38.0612,37.4885,37.578,4609212
2011-04-04,37.3721,37.8554,37.3005,37.757,3386346
2011-04-05,37.0321,37.4169,37.0231,37.3453,3435043
2011-04-06,37.0142,37.2647,36.6114,37.2647,4175134
2011-04-07,36.4862,37.1932,36.4056,36.8262,3839828
2011-04-08,36.0655,36.7725,35.7971,36.6204,4922134
2011-04-11,35.7523,36.1371,35.5644,36.0118,4644291
2011-04-12,35.1796,35.6002,34.7858,35.4301,7183244
2011-04-13,35.3138,35.7076,35.0811,35.4659,4125355
2011-04-14,34.8842,35.2601,34.6247,35.0006,4530317
2011-04-15,35.0453,35.2243,34.6874,35.0364,5210254
2011-04-18,34.0967,34.6158,33.864,34.6158,6351543
2011-04-19,34.2936,34.4547,33.6761,34.1146,7388795
2011-04-20,35.9134,36.155,34.7769,35.2064,9016411
2011-04-21,36.4504,36.4504,35.6539,36.0208,6831880
2011-04-22,36.4504,36.4504,35.6539,36.0208,0
2011-04-25,35.4391,36.3519,34.7411,35.5107,10802871
2011-04-26,36.4414,36.4414,35.4749,35.9582,6418895
2011-04-27,36.8352,36.9694,36.3877,36.4951,4175266
2011-04-28,36.9247,37.1037,36.6293,36.862,3019351
2011-04-29,36.692,37.3453,36.683,36.9336,4005388
2011-05-02,36.4146,37.2111,36.3519,37.0052,4974007
2011-05-03,36.2445,36.4875,35.9313,36.343,3804995
2011-05-04,35.5286,36.5488,35.5107,36.1998,4578026
2011-05-05,35.3228,35.7434,35.0811,35.3675,5669312
2011-05-06,35.457,36.1103,35.3049,35.8955,4475739
2011-05-09,35.5644,35.7434,35.3228,35.5375,3458192
2011-05-10,35.4749,35.8776,35.2422,35.8418,7442961
2011-05-11,34.929,35.5554,34.8126,35.3407,4675645
2011-05-12,35.2422,35.3675,34.5084,34.9558,5479226
2011-05-13,34.5621,35.3407,34.4099,35.2601,4509160
2011-05-16,34.213,34.8216,34.1504,34.4278,3195403
2011-05-17,34.213,34.3383,33.7835,34.1146,7985942
2011-05-18,34.6784,34.7545,34.0564,34.1594,6107913
2011-05-19,34.75,34.9648,34.2936,34.6784,4869525
2011-05-20,34.3204,34.7232,34.0251,34.6874,4094641
2011-05-23,33.9356,34.1057,33.6537,33.8282,4342678
2011-05-24,33.4255,34.2936,33.2376,34.0251,6626252
2011-05-25,33.873,34.0251,33.2018,33.2018,5124329
2011-05-26,33.9983,34.1772,33.382,33.7298,4339516
2011-05-27,34.9558,35.0274,34.4815,34.6247,4149326
2011-05-30,34.9558,35.0274,34.4815,34.6247,0
2011-05-31,35.4391,35.4659,34.9021,35.2243,6691010
2011-06-01,33.9535,35.3586,33.9267,35.3317,4530890
2011-06-02,33.8193,34.3473,33.7835,34.0251,4006378
2011-06-03,33.694,34.0251,33.2376,33.3271,4860418
2011-06-06,33.4971,33.8282,33.3271,33.5955,3569247
2011-06-07,33.0049,33.7119,32.978,33.6492,4899204
2011-06-08,32.289,32.8528,32.11,32.8349,6379114
2011-06-09,32.7275,32.8438,32.2084,32.459,4286711
2011-06-10,32.0473,32.6648,31.6536,32.5216,5397723
2011-06-13,32.28,32.4679,31.9131,32.2084,4941090
2011-06-14,33.2107,33.4882,32.5216,32.7096,4626490
2011-06-15,32.45,33.1212,32.3605,32.8796,6374513
2011-06-16,32.4679,32.7185,32.1637,32.5395,4163031
2011-06-17,33.2107,33.345,32.9065,32.978,5598957
2011-06-20,33.4613,33.5955,32.808,33.0228,3542959
2011-06-21,34.4905,34.5263,33.5687,33.6224,5221404
2011-06-22,34.7947,35.3138,34.6158,34.92,6877683
2011-06-23,35.0543,35.0722,33.9804,34.3473,6676689
2011-06-24,35.0543,35.3943,35.0095,35.0274,9854044
2011-06-27,35.3675,35.5733,34.6874,35.108,4473060
2011-06-28,35.9403,36.1148,35.3675,35.4928,6125032
2011-06-29,37.0142,37.0679,36.1774,36.513,10711624
2011-06-30,37.2826,37.4795,36.9605,37.1037,5970721
2011-07-01,37.9449,38.0523,36.9359,37.399,5573042
2011-07-04,37.9449,38.0523,36.9359,37.399,0
2011-07-05,37.8107,38.1328,37.5136,38.1328,5019781
2011-07-06,37.578,37.7928,37.3184,37.7928,5497546
2011-07-07,38.2223,38.4103,37.9001,37.9538,5231722
2011-07-08,38.0075,38.0165,37.2647,37.5869,5850581
2011-07-11,36.9247,37.5064,36.6472,37.4527,5032254
2011-07-12,36.8173,37.2468,36.7724,37.0321,5679484
2011-07-13,36.7546,37.2647,36.522,37.1216,6371611
2011-07-14,36.4772,37.2737,36.2535,36.9605,4640839
2011-07-15,36.5578,36.7367,36.0566,36.7009,4969940
2011-07-18,36.3251,36.692,35.8687,36.6204,3982216
2011-07-19,37.1484,37.2468,36.4951,36.5578,6399602
2011-07-20,35.5196,36.862,35.3496,35.7971,11697016
2011-07-21,35.7971,36.1461,35.4838,36.1461,8038526
2011-07-22,35.806,36.0208,35.6539,35.8955,5131639
2011-07-25,35.3675,35.7255,35.1706,35.4212,5765861
2011-07-26,34.7232,35.3496,34.6158,35.3496,7354542
2011-07-27,33.2913,34.6963,33.1481,34.5621,10189542
2011-07-28,33.3002,34.1683,33.2644,33.5061,5465833
2011-07-29,33.0675,33.6134,32.4232,32.7543,7275358
2011-08-01,33.5687,35.5733,33.0496,34.9558,9741811
2011-08-02,32.2442,33.524,32.2353,33.1928,8377485
2011-08-03,32.5216,32.987,31.4925,32.4411,6497812
2011-08-04,30.687,32.1995,30.6691,32.1995,10397441
2011-08-05,29.6668,31.2687,28.6824,31.1345,14613235
2011-08-08,27.161,28.9419,27.0894,28.1454,14552013
2011-08-09,28.5034,28.575,26.3645,27.8143,14325421
2011-08-10,27.1252,28.3692,27.0447,27.7875,12881346
2011-08-11,28.6824,29.1746,26.8836,27.2237,11338948
2011-08-12,29.0404,29.2652,28.5034,29.0493,6341718
2011-08-15,29.4341,29.7563,28.9777,29.4073,5994215
2011-08-16,28.9419,29.5505,28.6466,29.0851,6842674
2011-08-17,28.5392,29.3446,28.1723,29.0583,4988727
2011-08-18,26.5972,27.6711,26.3287,27.6711,9504188
2011-08-19,25.8007,26.8858,25.7112,26.2124,6759770
2011-08-22,25.8813,26.7404,25.6039,26.4719,7476574
2011-08-23,26.9194,26.9283,25.7649,26.0871,7376554
2011-08-24,27.698,27.7248,26.4451,26.7941,5552153
2011-08-25,26.5614,27.9665,26.4988,27.7338,6047154
2011-08-26,27.0715,27.3311,25.8544,26.4272,5697204
2011-08-29,28.2081,28.226,27.4921,27.4921,5096064
2011-08-30,28.0917,28.2976,27.6309,28.1096,5705744
2011-08-31,28.5303,29.1567,28.217,28.3423,8314939
2011-09-01,27.5816,28.5124,27.5369,28.3602,9069590
2011-09-02,26.7225,27.1252,26.5122,26.9731,5010997
2011-09-05,26.7225,27.1252,26.5122,26.9731,0
2011-09-06,26.6778,26.7046,25.4258,25.577,8062833
2011-09-07,27.3937,27.6174,26.9373,27.0536,5167734
2011-09-08,26.642,27.4206,26.4809,27.0984,7745939
2011-09-09,25.8634,26.2929,25.4786,26.2482,10662051
2011-09-12,25.6844,25.9976,24.9058,25.2548,8750330
2011-09-13,25.7202,26.1677,25.4965,25.6844,8673849
2011-09-14,26.1677,26.5793,25.3622,26.0782,7708074
2011-09-15,27.2326,27.2666,26.3019,26.5614,9526059
2011-09-16,27.0178,27.4206,26.8746,27.3311,7197747
2011-09-19,26.9462,27.1431,26.3556,26.4361,5292020
2011-09-20,26.3108,27.1968,26.2929,26.9552,5226695
2011-09-21,24.9953,26.3287,24.9774,26.3287,10572983
2011-09-22,23.805,24.6955,23.465,24.163,14108359
2011-09-23,23.9214,23.9482,23.1875,23.7335,12340234
2011-09-26,24.4047,24.4718,23.3844,24.2883,6790207
2011-09-27,25.1474,26.0782,24.7895,24.9774,7923228
2011-09-28,23.9035,25.3354,23.8856,25.3354,7391115
2011-09-29,24.521,24.879,23.8677,24.4762,8722898
2011-09-30,23.5992,24.3152,23.4739,23.9661,10289524
