Date,Close,High,Low,Open,Volume
2010-01-01,37.61,38.24,37.57,37.95,0
2010-01-04,38.45,38.46,37.93,38.1,1728435
2010-01-05,38.96,39.0,38.23,38.45,1510270
2010-01-06,40.25,40.3,38.8,38.85,2579621
2010-01-07,41.84,41.94,40.4355,40.46,3467568
2010-01-08,41.74,42.0798,41.42,41.63,1917662
2010-01-11,41.31,42.2198,41.26,41.97,1510422
2010-01-12,41.19,41.39,40.33,40.91,1558318
2010-01-13,40.93,41.42,40.02,41.15,1592363
2010-01-14,41.09,41.36,40.675,40.92,1056636
2010-01-15,40.27,41.31,40.04,40.9,1557540
2010-01-18,40.27,41.31,40.04,40.9,0
2010-01-19,40.59,40.59,40.04,40.32,1488086
2010-01-20,40.14,40.25,39.6,40.2,2065810
2010-01-21,39.9,40.3,39.37,40.08,3164170
2010-01-22,39.66,40.4422,39.1805,39.71,3511301
2010-01-25,39.95,40.28,39.55,39.88,2594503
2010-01-26,38.94,41.09,38.89,41.09,2359766
2010-01-27,39.42,39.9,38.7602,39.54,2451043
2010-01-28,38.08,39.74,37.88,39.69,2287349
2010-01-29,37.79,39.19,37.68,38.19,1793066
2010-02-01,38.31,38.38,37.92,38.05,1852084
2010-02-02,37.35,37.9,36.8,37.22,3222412
2010-02-03,37.57,38.45,37.36,37.86,1871570
2010-02-04,36.18,37.38,36.17,37.17,1750068
2010-02-05,35.93,36.3,35.02,36.22,2339860
2010-02-08,36.23,36.85,35.39,36.01,1974002
2010-02-09,36.7,37.11,36.1801,36.74,1783748
2010-02-10,36.29,36.84,36.0708,36.72,1326045
2010-02-11,36.8,36.86,36.06,36.25,1505950
2010-02-12,36.5,36.57,35.87,36.34,1314460
2010-02-15,36.5,36.57,35.87,36.34,0
2010-02-16,38.27,38.36,36.85,36.88,2295363
2010-02-17,38.74,38.81,38.19,38.52,1343088
2010-02-18,39.36,39.4399,38.58,38.67,980742
2010-02-19,39.32,39.5,38.86,39.18,1383709
2010-02-22,39.32,39.68,39.1105,39.4,889571
2010-02-23,38.87,39.26,38.55,39.04,1764624
2010-02-24,39.47,39.71,38.81,39.01,1708772
2010-02-25,39.4,39.45,38.44,38.67,1317363
2010-02-26,38.8,39.48,38.71,39.21,1861333
2010-03-01,39.43,39.71,38.91,39.24,1188437
2010-03-02,39.87,39.96,39.5299,39.71,1474381
2010-03-03,40.31,40.8,39.88,39.95,1652341
2010-03-04,40.19,40.56,40.03,40.35,951695
2010-03-05,41.44,41.44,40.38,40.56,1835491
2010-03-08,42.01,42.97,41.85,42.5,1969734
2010-03-09,42.85,43.5,42.39,42.77,2269325
2010-03-10,42.9,43.26,42.73,43.02,1365661
2010-03-11,43.25,43.365,42.38,42.65,1170381
2010-03-12,43.55,43.69,43.1301,43.5,888827
2010-03-15,43.43,43.64,42.73,43.55,997021
2010-03-16,43.97,44.0,43.26,43.4,1104434
2010-03-17,44.43,45.04,44.15,44.21,1885163
2010-03-18,43.85,44.43,43.41,44.29,1184660
2010-03-19,43.1,44.2099,42.98,43.88,1668416
2010-03-22,43.4,43.605,42.73,42.85,854276
2010-03-23,44.24,44.37,43.35,43.4,1112102
2010-03-24,45.97,46.13,44.9,45.0,3428476
2010-03-25,45.41,46.3,45.3,46.18,1594847
2010-03-26,44.87,45.5999,44.6299,45.39,1256813
2010-03-29,45.65,45.74,44.94,44.98,1140872
2010-03-30,45.41,45.87,45.14,45.62,1231249
2010-03-31,45.19,45.51,45.0,45.2,1030610
2010-04-01,45.77,46.07,45.429,45.52,1052116
2010-04-02,45.77,46.07,45.429,45.52,0
2010-04-05,46.17,46.4,45.78,45.93,1168707
2010-04-06,45.41,46.26,45.275,45.83,2614754
2010-04-07,44.37,45.69,43.87,45.11,2786702
2010-04-08,44.28,44.43,43.83,44.14,1845663
2010-04-09,47.61,48.2799,44.18,44.25,9765746
2010-04-12,46.74,47.36,46.44,47.36,2160183
2010-04-13,47.35,47.48,46.62,46.71,1999381
2010-04-14,47.86,47.94,47.12,47.49,1215784
2010-04-15,47.91,48.24,47.5,47.76,956215
2010-04-16,46.9,47.8,46.25,47.77,1783447
2010-04-19,46.77,47.19,46.11,46.6,1383425
2010-04-20,47.57,47.85,46.76,47.3,1064984
2010-04-21,48.13,48.34,47.4,47.57,1122541
2010-04-22,48.85,48.9,46.92,47.45,1202914
2010-04-23,49.21,49.44,48.49,48.9,1276110
2010-04-26,48.67,49.7,48.2,49.35,1837487
2010-04-27,47.46,50.68,46.08,46.25,3841521
2010-04-28,48.38,49.16,47.86,48.5,1745177
2010-04-29,49.97,50.02,48.85,49.1,1557607
2010-04-30,48.22,50.2,48.12,50.12,1808208
2010-05-03,49.13,49.29,48.16,48.4,1600695
2010-05-04,46.48,48.75,46.21,48.3,2904620
2010-05-05,45.71,46.39,45.02,46.0,2166267
2010-05-06,44.27,46.33,41.15,45.61,2277861
2010-05-07,42.35,44.25,41.4,43.91,3259546
2010-05-10,45.16,45.81,44.24,44.84,2322261
2010-05-11,44.74,45.856,43.95,44.28,2478014
2010-05-12,46.8,46.87,45.0,45.0,1892750
2010-05-13,46.69,47.42,46.22,46.71,2018468
2010-05-14,46.11,46.34,45.18,46.34,2590222
2010-05-17,45.89,46.73,44.64,46.22,1998023
2010-05-18,45.05,47.2,44.88,46.27,1434491
2010-05-19,43.07,44.92,42.29,44.53,3342228
2010-05-20,40.79,42.09,40.5,41.64,2706545
2010-05-21,42.06,42.3,40.0,40.0,2312003
2010-05-24,40.8,41.96,40.72,41.71,1450243
2010-05-25,40.64,40.66,39.33,39.5,2654442
2010-05-26,40.47,41.78,40.37,40.96,1447079
2010-05-27,42.43,42.46,41.38,41.59,1544629
2010-05-28,41.76,42.48,41.37,42.33,1125583
2010-05-31,41.76,42.48,41.37,42.33,0
2010-06-01,40.23,41.9,40.12,41.41,1309009
2010-06-02,42.58,42.58,40.07,40.57,3501510
2010-06-03,43.7,43.92,42.82,43.49,3806826
2010-06-04,40.14,42.3,40.05,41.76,2689394
2010-06-07,38.54,40.0,38.42,39.8,2190656
2010-06-08,39.38,39.5,38.36,38.65,2044890
2010-06-09,39.62,40.98,39.37,39.75,1552474
2010-06-10,41.15,41.2,40.37,40.7,1279426
2010-06-11,40.82,40.99,40.015,40.42,1649435
2010-06-14,40.78,41.99,40.65,41.31,1207306
2010-06-15,41.79,41.87,40.76,41.21,1445499
2010-06-16,41.8,42.26,41.37,41.46,1212031
2010-06-17,41.53,41.98,40.88,41.93,1104767
2010-06-18,41.62,41.7025,41.25,41.68,1166101
2010-06-21,41.66,42.84,41.43,42.38,1132478
2010-06-22,40.63,42.2,40.51,41.7,758087
2010-06-23,40.41,40.8,39.46,40.71,1260141
2010-06-24,39.36,40.41,39.24,40.15,1096401
2010-06-25,39.5,39.87,38.96,39.57,1889991
2010-06-28,38.87,39.28,38.57,39.25,1045323
2010-06-29,36.91,38.46,36.54,38.305,1971805
2010-06-30,36.44,37.47,36.37,36.61,1442179
2010-07-01,35.85,36.0924,34.91,35.98,2248801
2010-07-02,35.43,36.0692,35.01,35.84,1467290
2010-07-05,35.43,36.0692,35.01,35.84,0
2010-07-06,36.07,36.82,35.6011,36.14,1260960
2010-07-07,37.31,37.37,35.92,36.05,1272354
2010-07-08,37.37,37.78,36.82,37.51,1646816
2010-07-09,37.97,38.06,37.07,37.49,820996
2010-07-12,37.36,37.89,37.16,37.7,825356
2010-07-13,38.66,38.87,37.83,37.83,846877
2010-07-14,38.48,38.67,38.04,38.41,930704
2010-07-15,37.73,38.52,37.0575,38.47,1395890
2010-07-16,36.19,37.35,36.14,37.31,1301794
2010-07-19,36.51,36.74,35.95,36.71,715682
2010-07-20,37.61,37.68,35.98,35.98,929573
2010-07-21,36.95,37.84,36.74,37.81,1116736
2010-07-22,38.59,38.82,37.67,37.67,879074
2010-07-23,39.3,39.36,38.3,38.59,753126
2010-07-26,39.97,40.0,39.08,39.79,1204569
