Date,Close,High,Low,Open,Volume
2010-01-01,64.41,65.12,64.33,65.12,0
2010-01-04,64.68,64.99,64.41,64.71,9506168
2010-01-05,63.93,64.62,63.82,64.58,10673445
2010-01-06,64.45,64.54,63.83,63.9,13171478
2010-01-07,63.99,64.35,63.74,64.25,10901593
2010-01-08,64.21,64.26,63.63,63.92,7898475
2010-01-11,64.22,64.75,64.01,64.75,7976347
2010-01-12,64.56,64.72,64.015,64.13,10820620
2010-01-13,64.97,65.23,64.54,64.54,13023748
2010-01-14,65.1,65.265,64.75,65.2,7898921
2010-01-15,64.56,65.2,63.98,65.14,20995375
2010-01-18,64.56,65.2,63.98,65.14,0
2010-01-19,65.35,65.75,64.11,64.14,15181945
2010-01-20,65.15,65.95,64.47,65.47,13033001
2010-01-21,63.97,65.47,63.8,65.07,14476348
2010-01-22,63.2,64.19,63.09,63.91,14017278
2010-01-25,63.22,63.7,63.05,63.67,10002646
2010-01-26,62.79,63.01,62.22,62.64,15630239
2010-01-27,63.44,63.72,62.7,62.78,14982388
2010-01-28,63.8,64.07,63.04,63.57,17102107
2010-01-29,62.86,64.27,62.82,63.95,17846737
2010-02-01,63.09,63.26,62.77,63.26,10153377
2010-02-02,63.99,64.195,62.63,63.2,13609713
2010-02-03,63.63,63.87,63.29,63.87,9256261
2010-02-04,62.64,63.62,62.62,63.49,18396935
2010-02-05,62.64,63.6,61.89,62.69,16775130
2010-02-08,62.37,62.98,62.26,62.5,10081749
2010-02-09,62.76,63.47,62.47,62.55,11356334
2010-02-10,62.73,63.07,62.21,62.79,10115778
2010-02-11,62.91,63.21,62.26,62.62,8353558
2010-02-12,62.72,63.0,62.11,62.61,12335802
2010-02-15,62.72,63.0,62.11,62.61,0
2010-02-16,63.61,63.71,62.82,63.4,10212335
2010-02-17,63.98,64.36,63.61,63.67,9485408
2010-02-18,64.53,64.7,63.95,64.0,8260536
2010-02-19,63.81,64.46,63.62,64.19,14222229
2010-02-22,63.49,64.1,63.39,63.81,9839714
2010-02-23,63.31,63.85,63.23,63.65,12481367
2010-02-24,63.45,63.85,63.25,63.63,8519276
2010-02-25,63.28,63.35,62.52,62.77,10528841
2010-02-26,63.0,63.59,63.0,63.46,9357723
2010-03-01,63.39,63.46,63.17,63.25,9219352
2010-03-02,63.44,63.64,63.02,63.27,9013921
2010-03-03,63.4,63.75,63.22,63.64,9360393
2010-03-04,63.57,63.7,63.37,63.51,8067653
2010-03-05,64.04,64.07,63.55,63.63,10634135
2010-03-08,64.2,64.41,64.02,64.07,33380465
2010-03-09,64.27,64.55,64.09,64.49,8827242
2010-03-10,64.29,64.56,64.15,64.43,8436581
2010-03-11,64.22,64.22,63.6,64.01,9958724
2010-03-12,64.18,64.26,63.85,64.15,8222961
2010-03-15,64.57,64.57,64.07,64.17,7444898
2010-03-16,64.53,64.72,64.23,64.72,8887955
2010-03-17,64.65,64.74,64.48,64.67,8060649
2010-03-18,65.06,65.15,64.37,64.57,11742117
2010-03-19,65.11,65.49,64.81,65.25,22684583
2010-03-22,65.1,65.44,64.98,65.09,8803799
2010-03-23,65.36,65.39,64.87,65.1,9453881
2010-03-24,64.75,65.31,64.75,65.21,9351174
2010-03-25,64.57,65.25,64.53,65.25,10496759
2010-03-26,64.38,64.72,64.33,64.6,9450324
2010-03-29,64.82,64.935,64.4,64.4,7812812
2010-03-30,64.9,64.98,64.56,64.89,8311541
2010-03-31,65.2,65.31,64.7,64.81,11939078
2010-04-01,65.77,65.77,65.24,65.47,10600562
2010-04-02,65.77,65.77,65.24,65.47,0
2010-04-05,65.4,65.89,65.38,65.8,8617518
2010-04-06,65.31,65.445,65.0,65.11,8260051
2010-04-07,65.22,65.49,65.08,65.26,9409314
2010-04-08,64.93,65.19,64.77,65.1,8962530
2010-04-09,65.14,65.17,64.78,64.78,6973140
2010-04-12,65.11,65.21,64.93,65.11,8685473
2010-04-13,65.68,65.85,64.91,65.06,12406845
2010-04-14,65.49,65.6,65.18,65.38,10501810
2010-04-15,65.51,65.54,65.13,65.24,8656869
2010-04-16,65.02,65.65,64.89,65.51,15744105
2010-04-19,66.03,66.1,65.06,65.12,14626386
2010-04-20,65.99,66.2,65.73,66.15,11916328
2010-04-21,65.39,65.98,65.07,65.94,13355707
2010-04-22,64.78,65.24,64.33,65.22,19582934
2010-04-23,65.04,65.04,64.33,64.67,11675340
2010-04-26,64.76,65.2,64.72,65.03,9281405
2010-04-27,64.28,64.88,64.21,64.6,11863002
2010-04-28,64.62,64.86,64.25,64.3,12476924
2010-04-29,65.01,65.34,64.85,64.96,7930052
2010-04-30,64.3,65.34,64.3,65.03,14255863
2010-05-03,65.33,65.62,64.545,65.13,15310437
2010-05-04,64.7,65.281,64.41,64.91,14900719
2010-05-05,65.14,65.29,64.44,64.57,13143647
2010-05-06,63.4,65.1,60.03,65.1,24409751
2010-05-07,63.31,63.6,62.09,63.38,20467817
2010-05-10,64.75,65.36,64.0,64.85,18445337
2010-05-11,64.67,65.09,64.18,64.32,10880162
2010-05-12,64.9,65.05,64.49,64.71,11036816
2010-05-13,64.67,65.16,64.51,64.81,12337121
2010-05-14,63.97,64.79,63.41,64.66,12505046
2010-05-17,63.88,64.24,63.2,64.19,10260964
2010-05-18,62.97,63.56,62.85,63.2,18482671
2010-05-19,62.22,62.959,62.05,62.67,18864900
2010-05-20,60.55,61.84,60.55,61.62,24105867
2010-05-21,60.88,60.9599,59.51,59.61,21812957
2010-05-24,60.57,61.45,60.21,60.52,14045040
2010-05-25,60.35,60.41,59.15,59.92,21178908
2010-05-26,59.66,60.83,59.65,60.5,18914635
2010-05-27,59.03,59.89,58.71,59.73,29931012
2010-05-28,58.3,59.12,58.19,58.78,26819196
2010-05-31,58.3,59.12,58.19,58.78,0
2010-06-01,58.76,59.41,57.55,58.0,19511162
2010-06-02,59.73,59.73,58.69,59.16,15581767
2010-06-03,59.77,60.15,59.55,59.9,14254125
2010-06-04,58.01,59.0307,57.76,58.95,21785399
2010-06-07,58.0,58.55,58.0,58.22,13844130
2010-06-08,58.64,58.71,57.87,58.01,14941480
2010-06-09,58.17,58.94,57.94,58.78,13172984
2010-06-10,58.5,59.13,58.35,58.95,16995121
2010-06-11,58.46,58.48,57.935,58.0,14712954
2010-06-14,58.42,59.1,58.38,58.48,10523926
2010-06-15,59.14,59.16,58.55,58.93,10961174
2010-06-16,59.24,59.58,58.78,59.34,8637467
2010-06-17,59.18,59.44,58.65,59.41,11723066
2010-06-18,59.18,59.29,58.85,59.17,16845436
2010-06-21,59.13,59.8,58.92,59.41,12143507
2010-06-22,59.16,60.09,59.12,59.25,13824070
2010-06-23,59.24,59.42,58.71,59.15,12659602
2010-06-24,59.6,59.94,59.03,59.11,18216217
2010-06-25,58.7,59.87,58.63,59.63,45012827
2010-06-28,59.45,59.79,58.81,58.99,15834242
2010-06-29,59.24,59.42,58.68,58.98,20239927
2010-06-30,59.06,59.61,58.94,59.04,15802190
2010-07-01,59.07,59.25,58.65,59.07,17973704
2010-07-02,59.08,59.59,58.85,59.42,10534820
2010-07-05,59.08,59.59,58.85,59.42,0
2010-07-06,59.08,59.6,58.669,59.5,15461192
2010-07-07,60.61,60.7,59.035,59.33,17280181
2010-07-08,61.38,61.73,60.64,60.93,15900447
2010-07-09,60.54,61.07,60.38,60.97,12174104
2010-07-12,60.21,60.54,60.06,60.48,10797127
2010-07-13,60.5,60.96,60.44,60.59,10924403
2010-07-14,60.62,60.6755,60.05,60.16,9668481
2010-07-15,60.26,60.75,59.9,60.62,12839210
2010-07-16,59.44,60.19,59.25,60.0,17569836
2010-07-19,59.57,59.79,59.365,59.72,10277477
2010-07-20,58.58,58.77,58.0,58.45,22305296
2010-07-21,57.12,58.8,56.87,58.8,25707586
2010-07-22,57.02,57.62,56.86,57.43,17973186
2010-07-23,57.63,57.64,57.0,57.28,15076578
2010-07-26,57.74,58.01,57.48,57.65,11777269
2010-07-27,58.1,58.44,57.62,57.95,16963932
2010-07-28,57.83,58.25,57.65,58.14,13503670
2010-07-29,57.83,58.27,57.71,58.1,13036741
2010-07-30,58.09,58.36,57.27,57.63,12984935
2010-08-02,58.72,58.88,58.41,58.5,11455593
2010-08-03,59.35,59.6,58.71,58.75,10855082
2010-08-04,59.74,59.93,59.23,59.37,10508781
2010-08-05,59.76,59.89,59.512,59.53,9796671
2010-08-06,59.96,60.0,59.25,59.52,8524039
2010-08-09,60.05,60.25,59.79,60.0,6678311
2010-08-10,59.43,59.81,58.9,59.41,13550737
2010-08-11,58.5,58.95,58.3,58.92,11470282
2010-08-12,58.52,58.71,58.1,58.15,8240895
2010-08-13,58.15,58.49,58.06,58.49,8549872
2010-08-16,58.01,58.11,57.47,57.99,8710453
2010-08-17,59.22,59.48,58.5,58.93,13479045
2010-08-18,59.35,59.82,59.03,59.46,10535005
2010-08-19,58.72,59.18,58.4,59.17,11949610
2010-08-20,58.74,58.91,58.49,58.7,11286110
2010-08-23,58.87,59.35,58.81,58.98,8843937
2010-08-24,58.01,58.69,57.8591,58.5,14938364
2010-08-25,57.98,58.2,57.84,58.0,11678778
2010-08-26,57.8,58.22,57.78,58.2,12841826
2010-08-27,57.6,57.88,56.99,57.45,11675081
2010-08-30,57.3,57.8,57.26,57.6,9240009
2010-08-31,57.02,57.44,57.0,57.25,14572496
2010-09-01,58.29,58.36,57.44,57.67,11603673
2010-09-02,58.61,58.79,58.3,58.55,8084486
2010-09-03,58.93,59.0,58.5,58.74,7533329
2010-09-06,58.93,59.0,58.5,58.74,0
2010-09-07,58.7,58.97,58.63,58.8,5626433
2010-09-08,58.85,59.03,58.42,58.5,8412485
2010-09-09,59.82,60.0282,59.26,59.41,14077675
2010-09-10,59.98,60.0,59.77,59.94,8358703
2010-09-13,60.32,60.38,59.92,60.06,10706503
2010-09-14,60.58,60.97,60.25,60.43,9912823
2010-09-15,61.05,61.15,60.5,60.71,9111441
2010-09-16,61.29,61.39,60.76,60.82,10496243
2010-09-17,61.57,61.72,61.13,61.59,12240505
2010-09-20,62.09,62.23,61.51,61.65,11160735
2010-09-21,61.94,62.23,61.8,61.86,9449122
2010-09-22,61.97,62.5,61.9,61.98,9353295
2010-09-23,61.81,62.0,61.57,61.63,8394885
2010-09-24,62.14,62.4,61.83,61.98,12636804
2010-09-27,62.03,62.32,61.93,62.22,7687577
2010-09-28,62.43,62.6,61.69,61.96,12155438
2010-09-29,62.31,62.55,62.13,62.31,9596735
2010-09-30,61.96,62.7,61.55,62.49,12845593
2010-10-01,61.75,62.25,61.57,62.09,9773174
2010-10-04,61.67,61.98,61.3,61.54,8710465
2010-10-05,62.8,62.94,62.01,62.08,12439344
2010-10-06,63.21,63.26,62.5,62.89,11339709
2010-10-07,63.22,63.5,63.0,63.29,9827939
2010-10-08,63.23,63.39,63.03,63.38,7358039
2010-10-11,63.3,63.31,63.04,63.26,6173369
2010-10-12,63.29,63.44,62.97,63.13,8707304
2010-10-13,63.58,63.79,63.29,63.43,10104633
2010-10-14,63.74,63.8,63.39,63.79,8654231
2010-10-15,63.57,64.0,63.14,63.98,13265028
2010-10-18,63.86,63.98,63.25,63.69,10849232
2010-10-19,63.29,63.67,62.5,62.89,17235434
2010-10-20,63.6,64.03,63.06,63.32,10206703
2010-10-21,63.99,64.22,63.52,63.86,11111650
2010-10-22,63.81,64.12,63.64,64.08,6774819
2010-10-25,63.98,64.23,63.85,64.04,7795426
2010-10-26,63.84,63.95,63.61,63.85,7122806
2010-10-27,63.57,63.69,63.28,63.58,11916024
2010-10-28,63.56,64.11,63.51,63.94,10121551
2010-10-29,63.74,63.84,63.32,63.64,9309827
2010-11-01,63.69,64.09,63.31,63.88,9360103
2010-11-02,63.88,64.2,63.72,63.94,8632040
2010-11-03,64.19,64.2,63.55,63.99,9322008
2010-11-04,64.76,64.92,64.24,64.32,11337319
2010-11-05,64.65,64.84,64.1,64.75,9276460
2010-11-08,64.33,64.61,64.1,64.56,7855423
2010-11-09,64.31,64.5,64.1,64.47,9225484
2010-11-10,63.95,64.34,63.55,64.24,10795327
2010-11-11,63.92,63.95,63.58,63.7,9109405
2010-11-12,63.67,64.09,63.51,63.69,12944728
2010-11-15,64.14,64.69,63.98,64.11,12729324
2010-11-16,63.14,63.95,62.65,63.65,15671771
2010-11-17,63.06,63.29,62.92,63.13,7416862
2010-11-18,63.83,64.0,63.3,63.47,9400928
2010-11-19,63.83,64.22,63.65,63.89,12890323
2010-11-22,63.62,63.82,63.09,63.5,11179126
2010-11-23,62.87,63.25,62.65,62.99,14766468
2010-11-24,63.29,63.49,62.93,63.03,9635957
2010-11-25,63.29,63.49,62.93,63.03,0
2010-11-26,62.3,62.57,62.14,62.5,4638810
2010-11-29,61.91,62.01,61.39,61.81,12019300
2010-11-30,61.55,61.8199,61.25,61.48,12633463
2010-12-01,62.42,62.48,61.82,62.18,15364681
2010-12-02,62.6,62.88,62.27,62.39,10160313
2010-12-03,62.56,62.77,62.23,62.51,9882724
2010-12-06,62.2,62.48,62.2,62.31,8988972
2010-12-07,62.31,62.74,62.25,62.56,9528777
2010-12-08,62.45,62.56,62.14,62.22,7879147
