Date,Close,High,Low,Open,Volume
2010-01-01,26.67,27.23,26.66,27.14,0
2010-01-04,27.18,27.32,26.82,26.92,3332819
2010-01-05,26.75,27.3,26.39,27.16,9555837
2010-01-06,26.03,26.69,25.75,26.67,11832204
2010-01-07,26.16,26.18,25.7,26.08,5326370
2010-01-08,26.25,26.25,25.82,26.16,4159503
2010-01-11,26.2,26.39,25.76,26.29,4846796
2010-01-12,25.86,26.07,25.76,26.02,6637542
2010-01-13,26.48,26.6,25.76,25.96,6871798
2010-01-14,26.34,26.67,26.11,26.53,4447786
2010-01-15,26.58,26.76,26.0,26.36,7235613
2010-01-18,26.58,26.76,26.0,26.36,0
2010-01-19,26.87,26.9,26.42,26.5,3903989
2010-01-20,26.05,26.66,25.77,26.6,8023135
2010-01-21,26.12,26.83,25.95,26.49,9142883
2010-01-22,24.95,26.07,24.91,25.98,6214816
2010-01-25,25.37,25.57,25.02,25.19,5213983
2010-01-26,24.86,25.4,24.78,25.26,6511557
2010-01-27,25.02,25.23,24.69,24.81,5899361
2010-01-28,24.49,25.17,24.35,25.05,10380847
2010-01-29,24.83,26.2,24.53,25.96,17335974
2010-02-01,25.06,25.115,24.06,24.38,8202954
2010-02-02,25.17,25.21,24.84,25.12,8456175
2010-02-03,25.33,25.5,24.76,25.03,5598284
2010-02-04,24.89,25.26,24.68,25.06,9317528
2010-02-05,25.0,25.09,24.51,24.88,9158157
2010-02-08,24.91,25.29,24.81,24.96,3990300
2010-02-09,25.12,25.38,24.85,24.94,4250308
2010-02-10,25.02,25.33,24.83,25.02,3080136
2010-02-11,25.26,25.35,24.88,25.01,3777214
2010-02-12,24.76,25.05,24.62,25.01,8038201
2010-02-15,24.76,25.05,24.62,25.01,0
2010-02-16,25.45,25.53,24.8,24.97,8111338
2010-02-17,25.62,25.73,25.39,25.44,5910394
2010-02-18,25.94,25.98,25.47,25.48,3252949
2010-02-19,27.44,27.48,25.75,25.93,14783134
2010-02-22,27.21,27.72,27.02,27.27,7529507
2010-02-23,26.9,27.31,26.66,27.18,6077505
2010-02-24,27.95,28.02,27.0,27.1,10626104
2010-02-25,28.0,28.01,27.27,27.34,10211518
2010-02-26,27.98,28.05,27.54,27.82,7779300
2010-03-01,28.53,28.65,27.91,27.96,5336663
2010-03-02,28.57,28.74,28.42,28.65,4067140
2010-03-03,28.76,29.0,28.51,28.58,5055957
2010-03-04,28.67,28.77,28.04,28.66,5829610
2010-03-05,29.1,29.12,28.6,28.72,5438063
2010-03-08,29.6,29.73,28.94,28.97,5679622
2010-03-09,29.89,29.91,29.04,29.45,9327084
2010-03-10,30.39,30.48,29.7,29.75,7852826
2010-03-11,30.46,30.9,30.08,30.25,7683795
2010-03-12,29.94,30.66,29.8497,30.63,5037093
2010-03-15,30.07,30.47,29.58,29.99,6716612
2010-03-16,30.4,30.4,29.86,30.08,4478703
2010-03-17,30.69,30.79,30.26,30.4,4991881
2010-03-18,30.25,30.87,30.05,30.63,4846112
2010-03-19,29.89,30.47,29.77,30.3,5747795
2010-03-22,30.14,30.33,29.27,29.29,4380796
2010-03-23,30.88,30.93,30.08,30.08,4665828
2010-03-24,30.46,31.05,30.32,30.65,7158032
2010-03-25,30.73,31.24,30.6,30.77,7436330
2010-03-26,30.49,31.139,30.36,30.76,4620840
2010-03-29,30.65,30.87,30.385,30.62,3220730
2010-03-30,30.87,31.32,30.6801,30.89,4272545
2010-03-31,30.68,30.94,30.53,30.65,3683244
